index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.516,17.083,Good morning.,0,,
1,0.97,17.083,21.421,"December 6, 2021 Council briefing meeting will come to order.",0,,
2,0.97,21.421,28.128,It is 9:30 2 am . Council President Gonzalez is excused from today's meeting.,0,,
3,0.97,28.128,30.53,I am serving as Council President pro Tem.,0,,
4,0.97,30.53,36.903,Council members Morales and Sawant are excused for this meeting.,0,,
5,0.97,36.903,41.141,I know Councilmember Lewis will be joining us but a little bit later in the agenda.,0,,
6,0.97,41.141,46.246,Will the clerk please call the role?,0,,
7,0.97,46.246,46.646,Juarez?,1,,
8,0.97,46.646,48.214,Year.,2,,
9,0.97,48.214,49.849,Lewis?,3,,
10,0.97,49.849,52.252,Mosqueda?,3,,
11,0.97,52.252,53.153,Present.,4,,
12,0.97,53.153,55.755,Pedersen?,5,,
13,0.97,55.755,56.055,Here.,6,,
14,0.97,56.055,58.825,Strauss?,7,,
15,0.97,58.825,59.426,Present.,8,,
16,0.97,59.426,62.862,Council President pro Tem Herbold?,9,,
17,0.97,62.862,63.196,Present.,10,,
18,0.97,63.196,65.732,By present.,11,,
19,0.97,65.732,73.873,"If there is no objection, the minutes of November 29, 2021 will be adopted.",12,,
20,0.97,73.873,76.476,"Hearing no objection, the minutes are adopted.",12,,
21,0.97,76.476,81.815,Moving on to the second item in the agenda is the Presidents report.,12,,
22,0.97,81.815,85.652,I will hold my comments and deliver them with my report later on in the agenda.,12,,
23,0.97,85.652,98.198,"Moving into preview of today's city council actions, regional committees . The discussion will be a preview of today's city council actions.",12,,
24,0.97,98.198,100.266,The Council and regional committees are coming up this week.,12,,
25,0.97,100.266,126.426,"I will call on Council members as established by the rotated roll call . This is designated Alphabetically by name and with Council President pro Tem called last . This week's roll call rotation begins with Councilmember Juarez followed by Council number Lewis, Mosqueda, Pedersen, Strauss and then I will conclude the agenda discussion.",12,,
26,0.97,126.426,133.6,"As mentioned, I received a note from Councilmember Lewis.",12,,
27,0.97,133.6,135.502,He is second in the roll call rotation.,12,,
28,0.97,135.502,144.31,"If we get to the end of Councilmember Juarez's presentation, we will move directly into Councilmember Mosqueda's presentation.",12,,
29,0.97,144.31,154.854,"If Councilmember Lewis is not back in time . with that, Councilmember Juarez, you are invited to please give your report.",12,,
30,0.97,154.854,156.322,Thank you.,12,,
31,0.97,156.322,160.159,"Thank you, good morning Council President pro Tem and colleagues.",13,,
32,0.97,160.159,164.063,I don't see Mr. Strauss on here with his new type.,13,,
33,0.97,164.063,167.066,I have a very short--there you are.,13,,
34,0.97,167.066,178.478,I have a very short update today . I think I have three items.,13,,
35,0.97,178.478,182.015,There is one item of the public asset and native communities Committee on this afternoon's introduction referral calendar.,13,,
36,0.97,182.015,188.288,The item is a resolution authorizing the superintendent of parks to accept grant funding from the recreation conservation office.,13,,
37,0.97,188.288,193.693,"This item will also be on the public assets committee agenda for Tuesday, which is tomorrow.",13,,
38,0.97,193.693,200.934,Our next public asset meeting is tomorrow at 2:00. we will consider three pieces of legislation.,13,,
39,0.97,200.934,205.972,The first one which you have all been hearing me talk about for a while is the woodland park zoo.,13,,
40,0.97,205.972,213.68,That is the operations agreement renewal that is scheduled for discussion and possible vote . Brian good night received amendments from members which were due November 30.,13,,
41,0.97,213.68,216.816,"Thank you, colleagues.",13,,
42,0.97,216.816,226.426,"This is a standard process for creating contracts between the city and major public assets like the Aquarium, the waterfront and now the zoo.",13,,
43,0.97,226.426,234.133,Amendment need to be agreed upon by both parties for to be meaningfully forward so I want to think positive staff who worked and coordinated in this matter because I think we got 15 amendments.,13,,
44,0.97,234.133,235.335,Thank you very much.,13,,
45,0.97,235.335,243.443,Second item is a resolution I just referred to regarding the recreation and conservation office grant application.,13,,
46,0.97,243.443,251.851,The third and last item is a bill that would create the indigenous advisory Council that we passed almost two years ago.,13,,
47,0.97,251.851,259.926,"We will have a short briefing, discussion, and possible vote.",13,,
48,0.97,259.926,261.628,It has been two years in the working.,13,,
49,0.97,261.628,264.897,"We have been working really closely with tribes, urban Indian organizations and central staff.",13,,
50,0.97,264.897,270.069,Good job with the central staff.,13,,
51,0.97,270.069,271.471,They really came through on this one.,13,,
52,0.97,271.471,294.794,"I believe once this Council gets seated, then we can talk about it and refer more indigenous issues with other indigenous groups . that was the whole reason why we created the indigenous advisory Council so we would have some subject matter experts who would advise not only the executive but the legislative branch and central staff on the things we need to get done.",13,,
53,0.97,294.794,298.898,"For parks, I don't know if some of you know this.",13,,
54,0.97,298.898,302.201,Some of you were born and raised here but the Argosy Christmas ships are coming back.,13,,
55,0.97,302.201,304.003,This is an annual Seattle tradition.,13,,
56,0.97,304.003,306.506,The holiday cruises were canceled last year due to the pandemic.,13,,
57,0.97,306.506,308.007,"This year, the festivities return.",13,,
58,0.97,308.007,317.817,There will be a parade of brightly lighted boats that will cruise from Puget sound to Lake Union and out to Lake Washington.,13,,
59,0.97,317.817,321.421,"Second, construction starts on a new Lake City park.",13,,
60,0.97,321.421,330.63,Construction has begun for the new Lake City park at 12510 33Rd Avenue northeast . We have been working on this probably since I have been elected.,13,,
61,0.97,330.63,335.034,Seattle parks and recreation recently hired a 10 construction to do the work.,13,,
62,0.97,335.034,343.042,Construction began last week.,13,,
63,0.97,343.042,345.278,Seattle parks and Rec anticipates the park to open next summer.,13,,
64,0.97,345.278,349.916,This is a long time coming for neighborhood and a community that has been wanting this green space area to be activated.,13,,
65,0.97,349.916,350.35,"Thank you, parks.",13,,
66,0.97,350.35,373.639,"Seattle public library will return to Pre-Pandemic levels of operation in 20 of the 27 branches starting today, December 6. Seattle parks--Seattle public libraries is reintroducing the reserve a computer service . Now patrons can reserve a computer on or at Seattle public library's Website.",13,,
67,0.97,373.639,384.25,"On January 1, 2022, Seattle public libraries will retire the free Printing and copying services, which we used to do but can no longer do.",13,,
68,0.97,384.25,386.285,Good news on the housing front.,13,,
69,0.97,386.285,391.958,Good job for all you folks who have been working on housing.,13,,
70,0.97,391.958,400.7,"The friendship heights tiny House village, last Monday, the new village officially opened.",13,,
71,0.97,400.7,424.223,It is in district 5 on Aurora write off 125th . This is a tremendous step forward to move folks into safe and welcoming environments where they can get the services they need . The friendship heights village has an emphasis on the residence already in the area and this will transform the lives of those experiencing homelessness.,13,,
72,0.97,424.223,426.626,"At the same time, help restore the neighborhoods public parks.",13,,
73,0.97,426.626,430.329,Thank you to all of the folks who did all of that hard work.,13,,
74,0.97,430.329,431.33,I'm glad it is done.,13,,
75,0.97,431.33,432.799,It is open.,13,,
76,0.97,432.799,436.836,Hopefully we will be moving our neighbors and soon.,13,,
77,0.97,436.836,437.236,Sound transit.,13,,
78,0.97,437.236,449.315,Last week I attended a sound transit meeting where we learned more about the security measures in response to the recent events near the U district and the mt . Baker stations.,13,,
79,0.97,449.315,453.052,"Councilmember Morales has brought this up a few times, which is important.",13,,
80,0.97,453.052,455.555,We have addressed it.,13,,
81,0.97,455.555,467.066,"I know that she is working hard, as are we, to make sure that the mt . Baker and Ranier Valley is safe while using light rail.",13,,
82,0.97,467.066,472.405,We have made it a priority to share sound transit updates with her office and would be happy to do the same for anyone else interested.,13,,
83,0.97,472.405,484.584,Let me just add a little bit more about what happened at the presentation and briefing from Ken Cummins who does the security.,13,,
84,0.97,484.584,494.093,He did a security update about mt . Baker.,13,,
85,0.97,494.093,496.128,The focus was on mt . Baker and Ranier valley.,13,,
86,0.97,496.128,501.2,There was a Powerpoint about sound transit stations and crime so we could see crime in relation to other sound transit stations.,13,,
87,0.97,501.2,503.236,"For mt . Baker, they have increased the security controls.",13,,
88,0.97,503.236,504.504,They are working with the community.,13,,
89,0.97,504.504,508.808,They are working with Council members and SPD and King County Metro.,13,,
90,0.97,508.808,515.748,"I know you guys are all aware of this but let me--for this morning's discussion, it is important.",13,,
91,0.97,515.748,517.083,We had three shootings in that area.,13,,
92,0.97,517.083,522.522,"One on June 22, one on October 22 and one on November 21.",13,,
93,0.97,522.522,528.227,"In two of those incidents, they resulted in death with firearms.",13,,
94,0.97,528.227,534.333,These incidents did not involve those using the light rail.,13,,
95,0.97,534.333,543.843,I say that because that is where sound transit has to work with SPD about the outlying areas in the landscaping and the lighting.,13,,
96,0.97,543.843,548.548,"Where they are increasing the lighting as I said in the landscaping, the lighting will take a little bit longer.",13,,
97,0.97,548.548,556.255,Right now they are experiencing some Supply-Chain issues but mt . Baker is the number one priority.,13,,
98,0.97,556.255,581.48,"Our office did share with Councilmember Mireles's office a memo updating what happened in the meeting, the Powerpoint that showed where our incidents of crime are in relation to other sound transit stations . I think we should point out that with the sound transit stations--we did it Countywide.",13,,
99,0.97,581.48,598.698,"Mount Baker does have the lowest crime rate, actually the highest crime rate . They have been in existence 51 days and we have had over 160 incidents on the property itself like crime.",13,,
100,0.97,598.698,609.909,"What I am trying to do and what we have requested from sound transit is to focus on where we actually have shootings and deaths, not just a misdemeanor or somebody who did not pay the fee or they went in the bathroom and broke something.",13,,
101,0.97,609.909,613.579,That is what we will get back from sound transit and we will be sharing that with you folks.,13,,
102,0.97,613.579,620.92,Then I had a really good opportunity to talk to former Councilmember Pacheco . He is at sound transit now.,13,,
103,0.97,620.92,633.232,Working with Council members so we can really narrow down the safety issues not only at the station but areas surrounding the station.,13,,
104,0.97,633.232,634.433,That is it.,13,,
105,0.97,634.433,637.336,Thank you.,13,,
106,0.97,637.336,641.207,"Thank you so much, council member Juarez.",14,,
107,0.97,641.207,649.448,Any questions about the report before we move on?,14,,
108,0.97,649.448,653.552,Not seeing any raised hands.,14,,
109,0.97,653.552,655.421,"Thank you again, council member Juarez.",14,,
110,0.97,655.421,659.258,It looks like Councilmember Lewis is back.,14,,
111,0.97,659.258,669.068,"Councilmember Lewis, you are up next but seeing that you are just back, do you want us to move forward or are you ready to take the ball and run?",14,,
112,0.97,669.068,673.072,It would be good to have one report in the middle.,15,,
113,0.97,673.072,673.472,Thank you.,15,,
114,0.97,673.472,674.24,Very good.,16,,
115,0.97,674.24,679.578,Councilmember Mosqueda . can we move over to you?,16,,
116,0.97,679.578,682.181,I don't know what is going on.,16,,
117,0.97,682.181,683.849,Councilmember Mosqueda?,16,,
118,0.97,683.849,696.662,"Thank you very much . I do want to warn Council member Lewis that I have three reports, reporting on behalf of Councilmember Morales and Council President Gonzalez.",17,,
119,0.97,696.662,701.1,That does not affect the lineup here.,17,,
120,0.97,701.1,703.102,What is going on with my camera?,17,,
121,0.97,703.102,707.306,"With that, Madam President pro Tem, I will get started if you prefer.",17,,
122,0.97,707.306,711.277,Okay.,18,,
123,0.97,711.277,712.812,I have three reports here today.,19,,
124,0.97,712.812,717.516,I will do my first and then I will do Council President Gonzalez and then Councilmember Morales.,19,,
125,0.97,717.516,729.929,"In the next Finance and housing committee meeting, we have a discussion on the appointments to Seattle housing authority, workers standard board and appointment send Reappointments of the community housing.",19,,
126,0.97,729.929,735.234,We also have a public hearing on next year's annual action plan which is related to office of housing.,19,,
127,0.97,735.234,736.535,2021 annual action plan report.,19,,
128,0.97,736.535,747.646,The street vacation legislation and the race and social justice presentation from Finance and administrative services.,19,,
129,0.97,747.646,749.482,"From updates from FAS, I do have five updates.",19,,
130,0.97,749.482,753.319,I want to know FAS and all of the departments I report to our committee.,19,,
131,0.97,753.319,758.824,"From FAS, they reporting first there is a strike.",19,,
132,0.97,758.824,760.426,Team 174 is striking.,19,,
133,0.97,760.426,771.77,The teamsters notified Marino that they would dispatch workers to the waterfront project.,19,,
134,0.97,771.77,774.974,Fas purchasing and contracting staff will continue to monitor the project and provide administrative support.,19,,
135,0.97,774.974,781.38,We do wish everybody has a good outcome from the strike.,19,,
136,0.97,781.38,787.787,We know that strikes are not the first line of action.,19,,
137,0.97,787.787,794.36,Appreciate that they have taken this decision to strike and respect that very much.,19,,
138,0.97,794.36,814.78,"Number two, Senator Cantwell has provided a request for information to FAS on the potential benefits of having the newly passed local hire policy instituted in the infrastructure investment jobs act which allows FAS to use priority higher for future you Sdot funded projects.",19,,
139,0.97,814.78,824.99,Fas purchasing and contracting Department is working with Sdot to gather information to respond to Senator Cantwell's request.,19,,
140,0.97,824.99,830.996,Payroll items include FAS citywide accounting and payroll.,19,,
141,0.97,830.996,840.072,The department has worked with Sdh articulate new Leadtimes for eligible employees Includng construction instructions to departments for earned code set up for new leads.,19,,
142,0.97,840.072,844.343,Fas developed additional frequently asked questions document for long-term care insurance.,19,,
143,0.97,844.343,858.324,The exemption process with dissolving payroll and manual checks issued to ensure timely processing during the reduced payroll Timeline due to the Thanksgiving holiday.,19,,
