index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.413,16.816,"Good afternoon, the April 5, 2022 meeting of the Seattle city council will come to order.",0,,
1,0.97,16.816,18.918,It is to: 03.,0,,
2,0.97,18.918,20.954,I am this months President pro Tem of the Council.,0,,
3,0.97,20.954,22.589,Please call the role.,0,,
4,0.97,22.589,31.064,Councilmember Herbold.,0,,
5,0.97,31.064,31.998,Here.,1,,
6,0.97,31.998,33.933,Councilmember Lewis.,2,,
7,0.97,33.933,35.001,Councilmember Morales.,3,,
8,0.97,35.001,36.603,Here.,4,,
9,0.97,36.603,37.57,Councilmember Mosqueda.,5,,
10,0.97,37.57,38.738,Here.,6,,
11,0.97,38.738,39.272,Councilmember Nelson.,7,,
12,0.97,39.272,45.045,Here.,8,,
13,0.97,45.045,45.879,Councilmember Strauss.,9,,
14,0.97,45.879,50.95,Here.,10,,
15,0.97,50.95,51.518,Councilmember Pedersen.,11,,
16,0.97,51.518,54.654,Here.,12,,
17,0.97,54.654,62.429,If there is no objection Councilmember Juarez is excused.,13,,
18,0.97,62.429,66.666,Here no objection Councilmember Juarez is excused from today's council meeting.,13,,
19,0.97,66.666,73.139,We previously excused Councilmember Sawant as well.,13,,
20,0.97,73.139,74.374,"Next on the agenda, presentations.",13,,
21,0.97,74.374,75.975,There are no presentations today.,13,,
22,0.97,75.975,82.482,Approval of the consent calendar.,13,,
23,0.97,82.482,85.118,"Councilmember Lewis has joined the meeting, just so the public knows.",13,,
24,0.97,85.118,85.952,Welcome Councilmember Lewis.,13,,
25,0.97,85.952,108.708,We will now consider the proposed consent calendar . are there any items Council members would like to remove from today's consent calendar?,13,,
26,0.97,108.708,110.51,Hearing none I moved to adopt the consent calendar.,13,,
27,0.97,110.51,111.544,Is there a second?,13,,
28,0.97,111.544,112.345,Second.,14,,
29,0.97,112.345,114.647,It has been moved and Seconded to adopt the consent calendar.,15,,
30,0.97,114.647,118.718,Will the clerk please call the roll on the adoption of the consent calendar?,15,,
31,0.97,118.718,120.32,Councilmember Herbold.,16,,
32,0.97,120.32,127.093,Yes.,17,,
33,0.97,127.093,128.061,Councilmember Lewis.,18,,
34,0.97,128.061,128.761,Yes.,19,,
35,0.97,128.761,139.205,Councilmember Morales.,20,,
36,0.97,140.573,149.482,Councilmember Mosqueda.,21,,
37,0.97,149.482,150.583,Present.,22,,
38,0.97,150.583,151.117,Councilmember Nelson.,23,,
39,0.97,151.117,153.453,Aye.,24,,
40,0.97,153.453,154.354,Councilmember Strauss.,25,,
41,0.97,154.354,158.958,Yes.,26,,
42,0.97,158.958,160.226,Councilmember Pedersen.,27,,
43,0.97,160.226,165.965,Aye.,28,,
44,0.97,165.965,167.0,"Seven in favor, none opposed.",28,,
45,0.97,167.0,168.801,The consent calendar is adopted.,29,,
46,0.97,168.801,179.179,Will the clerk please affix my signature to the minutes and the legislation on the consent calendar on my behalf.,29,,
47,0.97,179.179,179.779,Approval of the agenda.,29,,
48,0.97,179.779,184.45,If there is no objection the agenda will be approved.,29,,
49,0.97,184.45,191.357,Hearing no objection the agenda is adopted.,29,,
50,0.97,191.357,191.758,Public comment.,29,,
51,0.97,191.758,201.2,"At this time we will open the remote public comment period for items on the city council agenda, introduction referral calendar and the Council's work program.",29,,
52,0.97,201.2,204.771,He remains a strong intent of the city Council to have remote public comment regularly on meeting Agendas.,29,,
53,0.97,204.771,217.984,However as a reminder the city council reserves the right to end these at any point if we deem that the system is being abused or no longer suitable for allowing meetings to be conducted efficiently and effectively.,29,,
54,0.97,217.984,221.221,Currently I believe we have about nine public speakers.,29,,
55,0.97,221.221,229.329,"If there is no objection, we will go ahead and give them each two minutes to speak.",29,,
56,0.97,229.329,238.905,We don't need to extend the public comment period.,29,,
57,0.97,238.905,240.506,You will each get two minutes to speak.,29,,
58,0.97,240.506,244.577,The city clerk will moderate this period and I will hand it off to her to read the instructions.,29,,
59,0.97,244.577,249.882,The public comment period is set for 20 minutes and each Speaker will be given two minutes to speak.,30,,
60,0.97,249.882,254.721,Speakers are called upon in the order they were registered.,30,,
61,0.97,254.721,263.029,Each must: from the registered phone number provided and use the Id and Passcode that was Emailed upon confirmation.,30,,
62,0.97,263.029,266.933,Please NOTE this is different than the general meeting listening line Id.,30,,
63,0.97,266.933,274.841,If you did not receive an Email confirmation please check your Spam or junk mail.,30,,
64,0.97,274.841,286.653,"Once a Speaker's name is called staff will Unmute the appropriate microphone and and automatic prompt of ""You have been Unmuted"" will be the Speaker's Cue that it is their turn to speak and then the Speaker must press Star six to begin speaking.",30,,
65,0.97,286.653,298.431,Please begin speaking by stating your name and the item that you are addressing.,30,,
66,0.97,298.431,300.633,Once you hear the Chime please wrap up your comments.,30,,
67,0.97,300.633,312.912,If speakers did not end their comments at the allotted time the microphone will be muted to allow us to call on the next Speaker.,30,,
68,0.97,312.912,322.989,Once you have completed your public comment we ask you Disconnect from the line and if you plan to continue following this meeting do so via Seattle channel or the listening line options listed on the agenda.,30,,
69,0.97,322.989,324.424,The public comment period is now open.,30,,
70,0.97,324.424,326.459,We will begin with the first Speaker on the list.,30,,
71,0.97,326.459,329.896,"Please remember to press start six after you hear the prompt of, you have been admitted.",30,,
72,0.97,329.896,336.736,The first Speaker on the list is my a Kelly.,30,,
73,0.97,336.736,349.816,"Hello, my name is MIA Kelly I'm in Organizer with--I am here in support of the ordinance on the introduction calendar today.",31,,
74,0.97,349.816,357.924,The pay up campaign was created from the necessity of what gig workers want and need.,31,,
75,0.97,357.924,361.16,"A good pay, flexible work schedule, the ability to work with a Harassment.",31,,
76,0.97,361.16,364.63,"Workers found this type of work to be enjoyable, satisfying and suited their needs.",31,,
77,0.97,364.63,376.209,Workers that have taken pride in their work . I know personally because I am a former Instacart shopper.,31,,
78,0.97,376.209,382.115,"I personally witnessed and felt the effects of the company changing their contract over and over again, lowering the pay and making the job worse time and time again.",31,,
79,0.97,382.115,384.751,Putting us all in a financial tailspin.,31,,
80,0.97,384.751,405.438,"Today over 40,000 workers in our city are only offered sub minimum wage, excluded from basic worker protections, responsible for an Ever- expanding expense and on a downward spiral to the next poverty level.",31,,
81,0.97,405.438,406.272,Working hand to mouth.,31,,
82,0.97,406.272,411.144,We gig workers have been working on creating standards and laws for a long time.,31,,
