index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.081,16.75,"Good afternoon everyone, thank you so much for waiting.",0,,
1,0.97,16.75,17.951,"Today is February 10th, 2020.",0,,
2,0.97,17.951,21.454,The meeting of the Seattle city council will come to order.,0,,
3,0.97,21.454,28.795,"It is to: 05 p.m., I am to Rhea mascara, with a clerk is called the role?",0,,
4,0.97,28.795,35.468,Sawant? purple?,1,,
5,0.97,35.468,35.702,Lewis?,1,,
6,0.97,35.702,37.737,Morales?,1,,
7,0.97,37.737,38.671,Pederson?,1,,
8,0.97,38.671,42.575,President pro Tem mascara.,1,,
9,0.97,42.575,49.249,Thank you very much.,2,,
10,0.97,49.249,60.56,"Presentations, I am aware of one surprise presentation today, thank you to Councilmember Strauss for the surprise presentation this morning, very excited to have you talk about the presentation front of us.",3,,
11,0.97,60.56,62.695,"Yes, thank you very much.",4,,
12,0.97,62.695,86.286,"We have in our office a staff member who has worked--she will be going on family leave this week so we passed a proclamation this morning honoring her work in the amount of time, effort, and change that she has put into the community that she grew up in and the benefits she has provided our city.",4,,
13,0.97,86.286,92.926,"We just want to say publicly a big thank you to everything you have done Allison, thank you for all of your work.",4,,
14,0.97,92.926,95.195,We are very excited for the new child in your life.,4,,
15,0.97,95.195,103.203,Wonderful and if I am not incorrect we are claiming it Allison McLean day?,5,,
16,0.97,103.203,104.337,And D.,6,,
17,0.97,104.337,120.753,"Very exciting, congratulations to Allison and her growing family, she was part of the effort to call to have a final contract Barkan because her Kiddo is being cared for and she gets to go home and take care of her kid, very excited for her, you to your office.",7,,
18,0.97,120.753,121.354,Thank you.,8,,
19,0.97,121.354,127.327,There minutes for today are no minutes for approval today.,9,,
20,0.97,127.327,144.21,"Moving onto adoption of the referral calendar, I am aware of two possible amendments, first up I would like to move that we adopt the introduction and referral calendar to amend minutes.",9,,
21,0.97,144.21,151.851,"It has been moved and Seconded, seeing that there are two possible amendments I would like to go to Councilmember her bold.",9,,
22,0.97,151.851,158.358,"Thank you, I also have another one, I am sorry I did not Queue up we talked to you a little bit about it but did not officially Queue it up.",10,,
23,0.97,158.358,159.559,However you want to fit it in.,10,,
24,0.97,159.559,164.397,Go ahead work,11,,
25,0.97,164.397,173.406,I moved to amend the proposed introduction and referral calendar by introducing appointment 1547 entitled reappointment of Colleen Eckel Hawk as member.,12,,
26,0.97,173.406,174.007,Second.,13,,
27,0.97,174.007,183.95,"Community, please Commission for the term to December 21st 2022 and referring it to the public safety and human services committee .'s next Seconded.",14,,
28,0.97,183.95,192.892,"I'll add a comment to this, just for the reference, this is again an amendment to the introduction and referral calendar, and it has been moved and Seconded.",15,,
29,0.97,192.892,198.231,Any other additional comments?,15,,
30,0.97,198.231,198.565,Seeing none.,15,,
31,0.97,198.565,207.307,"All those in favor of amending the introduction and referral calendar to appoint 1547, please raise your hand and say I. any opposed?",15,,
32,0.97,207.307,207.507,None?,15,,
33,0.97,207.507,209.175,"Any extensions?, we don't do those.",15,,
34,0.97,209.175,221.721,The amendment has been included and appointment 1547 will be included in the introduction and referral calendar so that it can be referred to.,15,,
35,0.97,221.721,224.123,Councilmember Herbold.,15,,
36,0.97,224.123,227.961,I am Filibustering trying to get the bill title.,16,,
37,0.97,227.961,250.783,"There is a bill on the introduction referral calendar that I would--to add myself as a sponsor, and in addition to Councilmember Strauss, and I am getting there.",16,,
38,0.97,250.783,270.503,"I would like to move to amend the proposed introduction and referral calendar as it relates to counsel bill 1194 83, an ordinance related to the land of zoning, no that is not the right one.",16,,
39,0.97,270.503,271.804,Okay.,16,,
40,0.97,271.804,272.705,There it is.,16,,
41,0.97,272.705,306.839,"To bill 11 9469, an ordinance related to land use and zoning amending section 25.056 75 of Seattle municipal code to mitigate the impact of new residential development on displacement of lower income households, currently Councilmember Strauss is listed as the only sponsor of this legislation, this is carryover legislation that I have worked on last year and I would like to add my name to sponsor.",16,,
42,0.97,306.839,307.14,Second.,17,,
43,0.97,307.14,325.725,"It has been moved and Seconded, just for verification, this is a motion to amend the introduction and referral calendar to include counsel member Herbold as an additional sponsor of the bill that will be introduced on the introduction and referral calendar.",18,,
44,0.97,325.725,326.392,Additional comments colleagues?,18,,
45,0.97,326.392,327.794,"It's been moved and Seconded, seeing none.",18,,
46,0.97,327.794,335.668,All of those in favor of amending the introduction and referral calendar to include Councilmember Herbold on counsel bill 119469 say I?,18,,
47,0.97,335.668,345.678,Seeing the appropriate number of votes it has been announced and amended and it will include Councilmember Herbold on the introduction and referral calendar.,18,,
48,0.97,345.678,352.452,There is one more suggested amendment to the introduction of referral Councilmember,18,,
49,0.97,352.452,384.917,"Thank you, I moved to amend the proposed introduction by introducing a resolution entitled a resolution supporting the taxation of the is this is in Seattle to find housing and essential services, urging the Washington state Legislature to oppose any Preemption or ban or other ban on Seattle's ability to raise revenue through big business taxes or other progressive Úresources and requesting the office of Intergovernmental relations, two Washington state lawmakers by affording it to the city council for adoption.",19,,
50,0.97,384.917,386.018,Thank you Councilmember Sawant.,20,,
51,0.97,386.018,406.139,"I am going to second the motion today, I will note that I am not going to be supportive of amending agenda to include this item, because I think it was included on Friday after the introduction of referral calendar requirements, but I will Seconded so you can speak to it.",20,,
52,0.97,406.139,407.74,And then we will see if there's a vote.,20,,
53,0.97,407.74,411.644,If not it will retain its place on the introduction referral calendar for possible vote in the following week.,20,,
54,0.97,411.644,415.314,Thank you.,21,,
55,0.97,415.314,421.22,"I want to speak to the resolution itself, and also why I feel like there is a dire urgency to vote on it today.",21,,
56,0.97,421.22,436.269,"This resolution States that the city council supports progressive business taxes rather than taxes on working people, it States that the city council opposes presumption and urges the Mayor to public we approach Preemption as he has publicly so far refused to do so.",21,,
57,0.97,436.269,455.621,"The resolution is specifically referring to what many of you may know now, which is Statehouse bill 2907, House bill 2907 is passed, would allow King County to enter passing maximum tax on big business of $121 million a year.",21,,
58,0.97,455.621,469.168,"I just want to make three things clear to all of us, the hospital does not itself create any new revenues, if the hospital passes, part of the state Legislature successfully depend on Kane County success past which they may or may not do, there is no knowing if they would do it or not.",21,,
59,0.97,469.168,485.418,"And if King County chose to pass the largest possible tax, which would be Allowabl under the new authority that would be created, it would generate about 10% of the county's needs, 10%, which means the vast majority of our needs would still remain unfunded.",21,,
60,0.97,485.418,506.105,"We are, of course, as a movement, in favor of any big business taxes even if it is not adequate, even if in best case it would be 10%, because we want every affordable home and we want every possible solution to address the deep crisis in our society.",21,,
61,0.97,506.105,510.71,"But, it is important to acknowledge that the only reason this bill evening this is because of the pressure of our movement.",21,,
62,0.97,510.71,550.816,"The tax and is on movement has already billed serious momentum this year, and this is a momentum that big Bigness cannot afford to ignore, this is on coming on the heels of the incredible victories that we had last year, despite big business attempting to straight up do a carpet takeover of city hall .'s has been a zoning law passing out of committee last Friday which some politicians say they have brought business to the table, but we have to be serious and ask the question, the corporations and the wealthy including Jeff Bezos fought tooth and nail against having to pay a small amount in taxes.",21,,
63,0.97,550.816,553.486,"Then in Bolden, they went on to attempt to buy City Hall.",21,,
64,0.97,553.486,561.794,Why would the same rich people now come to the table and accept potentially having to pay $121 million for King County's?,21,,
65,0.97,561.794,577.209,"Because, the real price that they want is something called the Preemption clause, which is not in the bill right now, but as we have seen in the state Legislature, it could come into the next Iteration or the next Iteration of the bill.",21,,
66,0.97,577.209,595.795,"So, we are here to make sure we understand Preemption is I will finish, a Wonky sounding term, but if it passes, it would be a very serious and historic attack on working people in our city, because it would be a statewide ban on raising any new big business taxes.",21,,
67,0.97,595.795,610.242,"That would mean in other words, that if the Preemption clause passes in this bill, Seattle could not raise taxes on big business this year or any other year.",21,,
68,0.97,610.242,622.722,"Preemption would be an Anti- Democratic ban on taxing this business right at the moment that our tax Amazon movement is finally coming to a point where we have brought enough unity that we could potentially have a successful, valid initiative.",21,,
69,0.97,622.722,651.083,"And, it is all in the context of Seattle and Washington state having the most Regressive tax system in the entire nation, that is why I really appreciate seat state Senator Joe went for publicly opposing such a ban, and I think city Councilmember Tammy morale is in county Councilmember--in joining me in Authoring an Op-Ed that was just published in the stranger, I think we have copies.",21,,
70,0.97,651.083,658.391,I also think the Seattle city council members for the joint letter that we have signed and Councilperson Mosqueda for initiated the letter.,21,,
71,0.97,658.391,667.4,"But as you yourself said, we need every tool in our Toolbox, and we are facing a potentially egregious and historic attack.",21,,
72,0.97,667.4,680.813,"Given the stiff deadline of the House of votes, I do not want the resolution that I have brought forward to be postponed, and it is complementary, the resolution is complementary to the letter that we have already signed.",21,,
73,0.97,680.813,683.416,I would really urge the Council to pass this resolution today.,21,,
74,0.97,683.416,684.016,Thank you.,21,,
75,0.97,684.016,689.789,"Thank you very much, Councilmember Sawant.",22,,
76,0.97,689.789,696.228,[Applause],22,,
77,0.97,696.228,719.151,"So, I would encourage folks to remember that the conversation around this bill is happening in Olympia and the message that we have delivered as a unanimous body today via the letter that was signed, is to support the message that Preemption takes away a tool in the Toolkit in Seattle here.",23,,
78,0.97,719.151,749.949,"I, very much appreciate the words that you just mentioned, I know we have had conversations at the counsel table over the last few weeks about the United message here, my concern with amending the agenda today is really a matter of process, we have heard from folks that they need additional time to look at the resolution, and in the meantime, we have all signed onto a letter that includes all of the Councilmembers that were present in this body today, folks were saying that we are sending a United message, a conversation about a message for Progressive revenue and an opposition to Preemption.",23,,
79,0.97,749.949,774.94,"This is an opportunity for us today via this letter in combination with the folks who are here sharing the message in Olympia and works the folks who supported this effort in the past to raise progressive revenue to ensure that our region gets significant dollars in hand, and we have said so in a letter that make sure that we are United around the call for millions of dollars in revenue to be brought in to address the problem.",23,,
80,0.97,774.94,785.818,"We have a Council that unanimously sent a letter asking folks to keep moving the bill forward as introduced to a lien against Preemption, and to further strengthen the bill as it was introduced.",23,,
81,0.97,785.818,803.369,"I absolutely agree that the message that was sent over the last few years has been that there are people want there to be aggressive revenue, we are tired of using sales tax and property tax, we need more progressive revenue tools in our Toolkit.",23,,
82,0.97,803.369,814.446,And the letter asks our colleagues in Olympia to instead of considering tools that take away taxing authority to give us more progressive taxing option so we can adequately respond to the crisis in our community.,23,,
83,0.97,814.446,825.357,"Good news is that the bill advance for Committee on Friday and it does not have Preemption in it, it creates a progressive revenue that can be a tool coupled with additional revenue streams additional progressive revenue streams can get us closer to matching the authority.",23,,
84,0.97,825.357,837.736,"I want to be clear that this is not the bill that I think the corporations, the large corporation wanted to introduce, it is a bill that actually helps us with the progressive revenue call, the we wanted to be more.",23,,
85,0.97,837.736,852.985,And I applaud representative Macquarie who has been the prime representative of the bill to make sure that the bill was introduced in a strong way and to solicit ideas and encouragement from the community to make sure that it stays strong.,23,,
86,0.97,852.985,859.758,I also know that there is some business folks who sign in support of the bill as is and I think that is helpful to see that type of leadership.,23,,
