index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.713,16.449,We are recording.,0,,
1,0.97,16.449,18.852,"Fantastic, thank you.",1,,
2,0.97,18.852,19.219,Good morning.,1,,
3,0.97,19.219,27.794,"The May 17th, 2021 council meeting will come to order.",1,,
4,0.97,27.794,28.928,I am Lisa Herbold.,1,,
5,0.97,28.928,29.596,The time is 9:31 A.M.,1,,
6,0.97,29.596,37.771,Will the clerk please call the roll.,1,,
7,0.97,37.771,38.838,Pedersen.,2,,
8,0.97,38.838,39.506,Here.,3,,
9,0.97,39.506,40.74,Sawant.,4,,
10,0.97,40.74,42.208,Present.,5,,
11,0.97,42.208,43.877,Strauss.,6,,
12,0.97,43.877,45.745,Present.,7,,
13,0.97,45.745,46.279,Lewis.,8,,
14,0.97,46.279,48.114,Present.,9,,
15,0.97,48.114,48.815,Morales.,10,,
16,0.97,48.815,49.082,Here.,11,,
17,0.97,49.082,49.883,Mosqueda.,12,,
18,0.97,49.883,50.183,Present.,13,,
19,0.97,50.183,58.992,And Council President pro Tem Herbold.,14,,
20,0.97,58.992,59.559,I'm here.,15,,
21,0.97,59.559,60.26,Seven present.,16,,
22,0.97,60.26,62.729,Very happy to join you all here today.,17,,
23,0.97,62.729,64.23,There are no minutes for approval today.,17,,
24,0.97,64.23,69.769,Going to start off with a short President's report.,17,,
25,0.97,69.769,77.41,Items on today's agenda include a report from our team at the office of Intergovernmental relations.,17,,
26,0.97,77.41,82.048,"A preview of city council actions, and an executive session.",17,,
27,0.97,82.048,102.368,"I want to start today's meeting with recognition of the city Council and entire legislative Department's deep sorrow for the devastating tragedy experienced by our Council president and friend, Lorena Gonzalez and her family.",17,,
28,0.97,102.368,112.545,I cannot comprehend the grief they're feeling losing Mary Lou Williams as mother-in-law and Grandma.,17,,
29,0.97,112.545,128.161,"I want to extend our thanks to the first responders and the Harborview staff for all that they did in this terrible tragedy and our gratitude for all who are offering support to this family that I know so many in our city, and elsewhere care for.",17,,
30,0.97,128.161,141.608,"We ask that everyone join us in holding this family in your thoughts, in your hearts, and for those of you of faith in your prayers.",17,,
31,0.97,141.608,161.461,"One other item of general interest I'd like to mention before turning it over to our OAR team, is in case 2020-0334 otherwise known as the pink umbrella case.",17,,
32,0.97,161.461,182.949,"Since 2007, the municipal cold has required that if [inaudible] decides not to follow the recommendation on the disposition of a complaint.",17,,
33,0.97,182.949,186.686,These are sometimes referred to as reversal letters.,17,,
34,0.97,186.686,200.133,"In the reversal letter, responding to the failure order he wrote a reversal let they're decisions were made at levels of command above that board directly on the named employee's action.",17,,
35,0.97,200.133,204.137,And that the name Employeed was carrying out decisions made at a higher rank.,17,,
36,0.97,204.137,225.191,"In response, I sent three questions to chief Diaz asking why this information was not reflected in the investigation and if this was known that someone else was giving orders, why did not those individuals who knew that others were given orders, inform the investigators of that information?",17,,
37,0.97,225.191,237.236,"I ask what were those decisions being made at a higher rank or command level above, and said that I would have expected that the OPA investigation to reveal this.",17,,
38,0.97,237.236,251.818,"I mentioned that if the chief and other officers have this information, it should have been made public, just as it would have been made public, if officers being reviewed of the OPA investigation had disclosed this information.",17,,
39,0.97,251.818,265.999,"Finally, I asked how these other individuals higher in the chain of command, who's actions in this manner would be held accountable for misuse of force, and unwanted dispersal order.",17,,
40,0.97,265.999,277.076,"The chief replied to these questions, and he's also sent out a statement about his plans moving forward.",17,,
41,0.97,277.076,304.671,"He States there will be accountability for the totality of the incident and for this specific investigation and the resulting discipline process as well as ongoing assessments of what occurred that day, that additional information has surfaced, which was not included in the OPA investigation, and that he anticipates being able to quickly and fully reach a conclusion on who was accountable for the actions on that day.",17,,
42,0.97,304.671,315.581,"I mentioned this, because I know this is in a topic of general interest on Thecouncil and in the general public.",17,,
43,0.97,315.581,340.406,"I think there are still question basis the holding of the named employee for those decisions, but I'm going to hold my sort of judgment on that decision based on what we find out about the direction and the orders being given by individuals that are higher up in the chain of command.",17,,
44,0.97,340.406,348.848,"With that, I think we'll just move on into the next item on the agenda.",17,,
45,0.97,348.848,351.284,A state legislative report.,17,,
46,0.97,351.284,362.962,"The folks joining us today are Lily Wolfen Cadega, and Hanna Smith.",17,,
47,0.97,362.962,376.275,They will provide an overview of the efforts and [inaudible] of the Oir team in advocating for the city's interest in the state legislative session this year.,17,,
48,0.97,376.275,383.816,"And with that, I will turn it over to Lily, who I believe will do some introductions.",17,,
49,0.97,383.816,387.32,Thank you so much Council President Herbold.,18,,
50,0.97,387.32,393.459,I did notice Andrew Lewis may have had his hand up with a question about your President's report.,18,,
51,0.97,393.459,398.264,I don't know if he's still there.,18,,
52,0.97,398.264,398.898,"Thank you, director.",18,,
53,0.97,398.898,404.036,I did not see a raised hand.,19,,
54,0.97,404.036,405.905,"It wasn't urgent, Councilmember Herbold.",20,,
55,0.97,405.905,430.163,"I just want today ask a clarification on your report the chief and the discipline of the incident commander during the pink umbrella riot, or rather police use of force on the crowd there and their Declaration of a riot.",20,,
56,0.97,430.163,440.807,"I wonder, given with the new evidence, did the chief clarify your question regarding whether the chief is taking it upon himself to conduct this further investigation?",20,,
57,0.97,440.807,450.016,"Or has the chief shared the information known to them, but that wasn't known to OPA with OPA, so OPA can conduct the investigation?",20,,
58,0.97,450.016,463.863,"I guess my question is, is the chief conducting an internal investigation, which seems it would be outside of the confines of the system we've set up, where we don't expect the police to investigate themselves.",20,,
59,0.97,463.863,467.433,We expect OPA to do it.,20,,
60,0.97,467.433,472.939,"I'm just kind of curious where that stands, and if that was in the answer to your questions.",20,,
61,0.97,472.939,482.315,"There is a lack of clarity, I think in the chief's statement, both in his response to me and the public statement that has been issued.",21,,
62,0.97,482.315,491.257,It refers to being able to quickly and fully reach a conclude on who was accountable for the actions on this day.,21,,
63,0.97,491.257,504.337,"References, additional information that has surfaced which was not included in the original investigation, but is not specifically addressed the question of the scope of this new information who is conducting it.",21,,
64,0.97,504.337,505.738,And I agree with you.,21,,
65,0.97,505.738,508.174,"Councilmember Lewis, those are really critical questions.",21,,
66,0.97,508.174,523.856,I would just say it's extremely concerning if the police Department was in possession of information that was of this Surveyty and decided to withhold it from the OPA and that has to be something that there needs to be answers to.,22,,
67,0.97,523.856,530.796,"And if they're still maintaining that information within the confines of SPD, and not giving it to OPA, that's something that has to be addressed.",22,,
68,0.97,530.796,533.065,I just want to put that out there.,22,,
69,0.97,533.065,537.27,It may be the case that's all been disclosed.,22,,
70,0.97,537.27,541.574,I would like that clarification from the Department.,22,,
71,0.97,541.574,546.078,I know that our briefings here are watched by folks on the executive side.,22,,
72,0.97,546.078,553.085,So I anticipate that these comments are enough to put them on notice that I would expect that kind of clarification.,22,,
73,0.97,553.085,571.504,"And I think, I speak for most of my colleagues here that it seems like some norms are not being followed, and I would like to know when that information was discovered, and how long they held it before they gave it to OPA.",22,,
74,0.97,571.504,572.738,But in any event.,22,,
75,0.97,572.738,573.039,Thank you.,22,,
76,0.97,573.039,574.807,Those are my only questions.,22,,
77,0.97,574.807,577.043,"I appreciate that, Councilmember Lewis.",23,,
78,0.97,577.043,615.514,"I think you're playing a finer point on what was inherent in my original questions of concern, and potentially alarm that the fact that there are others involved in the decision to make an order to Dispurse and the decision to use tear gas and glass balls that apparently, that was information that was known and it was not Divulged to the OPA, but I do want to learn more before I rush to judgment.",23,,
79,0.97,615.514,618.484,But that potentially is Concurring.,23,,
80,0.97,618.484,618.784,All right.,23,,
81,0.97,618.784,637.67,So let's turn it over to our friends at the office of Intergovernmental Relationsment I believe we were going to hear from Cadega from an opening statement.,23,,
82,0.97,637.67,638.337,Thank you so much.,24,,
83,0.97,638.337,648.914,We are before you today with our final report where we will review the Council's 2021 legislative priorities.,24,,
84,0.97,648.914,666.565,"What bills advanced and what is held primarily Online, which there were some concerns about, but turned out to be a productive one.",24,,
85,0.97,666.565,670.669,The goals were to maintain four areas of policymaking.,24,,
86,0.97,670.669,677.576,I think we highlighted that initially when we did our first round of briefings to you all.,24,,
87,0.97,677.576,680.98,Those areas were Covid response and recovery.,24,,
88,0.97,680.98,682.882,Budget and revenue.,24,,
89,0.97,682.882,683.449,Police reform and climate.,24,,
