index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.009,11.111,Welcome to the committee.,0,,
1,0.97,11.177,14.848,We are in section 2 of the select budget committee committing today.,0,,
2,0.97,14.914,20.754,The time is 2:00 P.M.,0,,
3,0.97,20.82,22.188,The budget committee is back in order.,0,,
4,0.97,22.255,25.992,Will the clerk please call the role?,0,,
5,0.97,26.059,30.897,Councilmember Lewis?,1,,
6,0.97,30.964,31.831,Present.,2,,
7,0.97,31.898,33.333,Councilmember Morales?,2,,
8,0.97,33.4,34.3,Here.,3,,
9,0.97,34.367,44.11,Councilmember,4,,
10,0.97,44.177,44.511,Here.,5,,
11,0.97,44.577,45.145,Councilmember Sawant?,6,,
12,0.97,45.211,45.512,Here.,7,,
13,0.97,45.578,46.146,Councilmember,8,,
14,0.97,46.212,46.746,Present,9,,
15,0.97,46.813,49.783,Councilmember,10,,
16,0.97,49.849,50.183,Here.,11,,
17,0.97,50.25,51.551,Councilmember,12,,
18,0.97,51.618,52.786,Here.,13,,
19,0.97,52.852,57.457,Chair Mosqueda?,14,,
20,0.97,57.524,65.231,I hope folks get a little bit of lunch.,15,,
21,0.97,65.298,66.866,We will continue with items on the agenda.,15,,
22,0.97,66.933,72.138,We are in section D3 on our calendar here on the calendar for today.,15,,
23,0.97,72.205,84.717,This is including items in voting group B. we are walking through items 126 through 160 on your agenda.,15,,
24,0.97,84.784,91.057,We will continue where we left off and that was on item 140.,15,,
25,0.97,91.124,105.238,"Thanks again to our team from central staff and I will turn it back over to you to walk through the item very briefly and Councilmembers sponsoring the item, you are welcome to add any additional comments if you would like to do so.",15,,
26,0.97,105.305,111.711,You will have a chance to identify any items Council members wish to remove from consideration.,15,,
27,0.97,111.778,117.217,Thanks for bearing with us as we get through the rest of the list here.,15,,
28,0.97,117.283,118.485,Turning back Jeff.,16,,
29,0.97,118.551,123.323,Item number 140.,17,,
30,0.97,123.389,131.397,"The title is adding $100,000 from the general funds to support.",17,,
31,0.97,131.464,139.973,Councilmember,18,,
32,0.97,140.039,142.008,Try and try again and eventually will get there.,19,,
33,0.97,142.075,146.279,I really appreciate chair member Mosqueda for putting this in the packet.,19,,
34,0.97,146.346,155.221,I really appreciate the success of that effort with your support this year.,19,,
35,0.97,155.288,172.038,"Students will complete 25 college credits and in doing so, they can earn housing and homelessness service provider one and two certificates.",19,,
36,0.97,173.64,175.008,The program began this year in September.,19,,
37,0.97,175.074,176.009,Currently has 21 students enrolled.,19,,
38,0.97,176.075,191.157,"Students were recruited and enrolled from employment housing, Catholic community services, chief Seattle Club, Mary's place, racial identity of this Cohort where 13 Lakh and African-American folks, one native American, and seven white people.",19,,
39,0.97,191.224,202.368,The majority of the students have lived experiences of homelessness and housing instability and again credits from the program are transferable to several community colleges to two and four year degrees.,19,,
40,0.97,202.435,215.348,We are helping folks that are out doing the work with limited experiences in advancing their careers and advancing their leadership in this area.,19,,
41,0.97,215.415,215.748,Thanks again.,19,,
42,0.97,215.815,216.749,Thank you very much.,20,,
43,0.97,216.816,230.797,I will also just add we continue to hear stories of folks that are providing services on the frontline both as human service providers and within our health system.,20,,
44,0.97,230.863,234.634,We know there is quite a few people who are leaving due to the stress and very low pay.,20,,
45,0.97,234.701,238.071,We have been trying to address this over the last few years.,20,,
46,0.97,238.137,267.767,We took some of that on last year and the year before with our efforts to make sure there was a cost-of-living increase for folks that are contracted with the city had not received in over 10 years . I just want to lift that up as we think about the importance of not only investing in services but making sure those were contracted out to provide services also are able to have a living wage and additional protections especially as life is so stressful right now.,20,,
47,0.97,267.834,269.435,Thanks for all of the work they do.,20,,
48,0.97,269.502,271.404,We will continue to lift those wages as well.,20,,
49,0.97,271.471,272.005,Moving on.,21,,
50,0.97,272.071,287.453,Item 141 and the general funds to Hst to support the operations of cabinets.,22,,
51,0.97,287.52,295.428,They would not utilize homelessness services agency but instead would find creative ways to work directly with groups that are the Cooperatives of actual residents of these Penny home villages.,22,,
52,0.97,295.495,298.631,This was proposed by Councilmember Sawant.,22,,
53,0.97,298.698,309.108,Thank you so much.,23,,
54,0.97,309.509,310.877,We are happy to see it included.,23,,
55,0.97,310.943,312.712,"Councilmember Sawant, would you like to provide additional context?",23,,
56,0.97,312.779,317.283,Just very have seen different models working really effectively and there is no One-Size-Fits-All.,24,,
57,0.97,317.35,329.896,We have the model where each one is not self managed and another where each one is self managed.,24,,
58,0.97,329.962,332.365,We have seen successful examples run by organizations like Nicholasville.,24,,
59,0.97,332.432,342.642,"We have overwhelming, powerful testimonials from residents of these villages of how that actually works well for them.",24,,
60,0.97,342.709,357.523,It promotes a real sense of feeling that this is our place and we are responsible for it which I think contribute a lot to the mental well-being of people who have been through a very hard time.,24,,
61,0.97,357.59,361.961,Being on sheltered is so devastating.,24,,
62,0.97,362.028,378.311,I think this is appropriate and I appreciate Councilmember Mosqueda adding this into the meeting.,24,,
63,0.97,378.377,379.278,Thank you very much.,25,,
64,0.97,379.345,380.146,Additional comments for context?,25,,
65,0.97,380.213,381.681,"Seeing none, thank you very much, Councilmember Sawant.",25,,
66,0.97,381.748,382.315,Let's keep going.,25,,
67,0.97,382.381,398.998,"Item 142 on the yes, 142. this would add $8000 from the general fund just one time to Hst for vehicle outreach projects similar to what the mitigation team does and was currently funded in the 2020 budget.",26,,
68,0.97,399.065,404.804,This is proposed by Councilmembers Sawant and Mosqueda.,26,,
69,0.97,404.871,419.886,This medication and flexible financial assistance for vehicle residents came to us from the folks at apparently providing critical services.,27,,
70,0.97,419.952,432.498,We NOTE there has been a 30% increase in the number of people living in their cars due to the economic crisis and we want to make sure we are providing folks are living on housed an opportunity to have access to critical services.,27,,
71,0.97,432.565,438.771,The program currently relies on volunteers and donations to assist with the individuals were living in their vehicles to help them avoid tickets and be in safe places to park.,27,,
72,0.97,438.838,463.162,"We really appreciate the partnership that this program has with entities like University heights who I understand is interest in working with them to make sure there is a Pass-Through of funding to be there . We want to reward all of the important work they are doing, which really does help prevent more people from being outside in the elements and making sure people have the services that they need.",27,,
73,0.97,463.229,476.976,"I am very happy to see this included . This would include outreach staff, case management, and outreach assistance to ensure ongoing services in next year's budget.",27,,
74,0.97,477.043,477.777,Thank you very much.,27,,
75,0.97,477.844,480.379,Seeing no additional comments.,27,,
76,0.97,480.446,494.694,The next one letter a 1. research and prepare draft legislation for elective community oversight over police accountability.,28,,
77,0.97,494.76,503.636,This is sponsored by Councilmember Sawant.,28,,
78,0.97,503.703,504.37,Thanks so much.,29,,
79,0.97,504.437,506.172,"Anything else to add, Councilmember Sawant?",29,,
80,0.97,506.239,509.208,I think the painfully self-evident Unfortunately.,30,,
81,0.97,509.275,517.183,We know police accountability is simply not working.,30,,
82,0.97,517.25,526.959,None of the officers involved in killing the eight people have faced any discipline.,30,,
83,0.97,527.026,530.796,I understand this would require several legal steps.,30,,
84,0.97,530.863,535.268,We might even need a charter amendment.,30,,
85,0.97,535.334,545.811,This request the city attorney to prepare for community oversight of the police.,30,,
86,0.97,545.878,559.025,"Thank you very much, Councilmember Sawant . It is a little hard to hear you but I think we got all of that for next time.",31,,
87,0.97,559.091,567.366,"I want to appreciate your office and the central staff's office for working to Finesse this to help ensure this was a combination of work that central staff will be doing to look at various options, so thank you very much.",31,,
88,0.97,567.433,568.367,"Okay, let's move on.",32,,
89,0.97,568.434,569.201,"Okay, thank you.",33,,
90,0.97,569.268,591.123,"Item 44 is a CPA sponsored by Council President Gonzalez which would add $200,000 to the legislative Department's budget to correct pay disparities for employees performing the same or similar duties that have discrepancies in pay.",33,,
91,0.97,591.19,604.57,It would fill a vacant unfunded position to relief capacity limit constraints in terms of police accountability and labor standards and regulations.,33,,
92,0.97,604.637,614.981,Very important.,34,,
93,0.97,618.284,619.151,"Councilmember Gonzalez, please go ahead.",34,,
94,0.97,619.218,621.721,"I will be really thank you, Lisa, for that description.",35,,
95,0.97,621.787,622.421,It is pretty inclusive.,35,,
96,0.97,622.488,638.237,It is an opportunity for us to have a small additional amount of dollars to accomplish the things described by Lisa in order to ensure we continue to have efficient operations in the legislative Department and continue to be able to provide basic services expected of the legislative branch.,35,,
97,0.97,636.635,642.308,This is a modest increase to our operations to allow for us to do that.,35,,
98,0.97,642.375,671.37,"We did have a pretty significant budget reduction before this, so this is just sort of a minor correction to allow for the division directors through the Council President's office to do the three things that were described by Lisa in her overview of this item.",35,,
99,0.97,671.437,671.771,Thank you.,35,,
100,0.97,671.837,672.905,"Thank you, Council President.",36,,
101,0.97,672.972,674.306,I am pleased to support this item.,36,,
102,0.97,674.373,679.178,I think it is critical that we are addressing pay disparities and I appreciate you advancing this so we can act as good employers.,36,,
103,0.97,679.245,689.255,Overall I think folks are seeing that we are trying to lead by example and making sure there are not pay disparities.,36,,
104,0.97,689.321,699.398,We know a lot of folks are working from home so we will keep addressing that and I think this is a reflection of the bias we are putting forward to make sure issues like this are taken care of.,36,,
105,0.97,699.465,700.199,Thank you so much.,36,,
106,0.97,700.266,700.8,Let's move on.,36,,
107,0.97,700.866,753.819,"All right, sponsored by Councilmember Strauss would add $50,000 in general funds to Oad, office of economic development . This additional funding would fully fund the special events program lead that was added by the Council in the 2020 adopted budget . I would just NOTE the 2021 proposed budget would have shifted $50,000 in general funds from the elimination of the proposed elimination of the Nightlife business position to this position, which was intended to be supported by tax revenues but due to the steep decline in our tax revenues, a portion of the cost is needed to be supported by General Fund.",37,,
108,0.97,753.886,773.339,"Cw 184 would provide additional $50,000 in general funds for the special events position, which resulted in the position partially being Defunded.",37,,
109,0.97,773.405,780.613,It is related to special events and other large-scale activities.,37,,
110,0.97,780.679,783.215,"Thank you very much, Councilmember Strauss.",38,,
111,0.97,783.282,788.554,"Thank you, chair.",39,,
112,0.97,788.621,794.059,This funding will restore the special events program lead position and development.,39,,
113,0.97,794.126,818.617,"Earlier in the budget I proposed a position in Oed to serve as a coordinator for farmers markets, so they could produce the product of the statement of legislative intent on how to streamline barriers to receive city support they need as they are independent organizations that provide fresh food from farmers to Marketshere in the city.",39,,
114,0.97,818.684,835.501,"While I still believe we should explore adding that position, it became clear to me that even more important is to maintain the existing resources.",39,,
115,0.97,826.625,843.108,"In addition to the position's usual work, it will be Tasked with completing the work in the legislative intent, that I just mentioned.",39,,
116,0.97,843.175,866.565,"From a conversation with the office of economic development, it does seem, along with Councilmember Morales's proposal, by funding those two positions, the office of economic development has given me their--they have committed to being able to produce a statement of legislative intent, which I just discussed.",39,,
117,0.97,866.632,869.635,This amendment includes which to Prioritize farmers market work.,39,,
118,0.97,869.702,874.34,"Thank you, chair and thank you, Yolanda.",39,,
119,0.97,874.406,893.225,I knew it was us to ensure the work on farmers markets would be able to happen so I appreciate you got clarification and confirmation from Oed that will move forward with the pieces within our consent agenda amendment package.,40,,
