index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.682,18.951999999999998,The time is 9:31 A.M.,0,,
1,0.97,18.951999999999998,22.422,Please call the role.,0,,
2,0.97,22.422,25.925,Councilmember Sawant.,1,,
3,0.97,25.925,26.893,Present.,2,,
4,0.97,26.893,28.094,Councilmember Juarez.,3,,
5,0.97,28.094,28.395,Present.,4,,
6,0.97,28.395,34.467,Councilmember Morales.,5,,
7,0.97,34.467,41.875,Councilmember Nelson.,5,,
8,0.97,41.875,42.876,Three present.,5,,
9,0.97,42.876,43.71,"Thank you, Ted.",6,,
10,0.97,43.71,46.913,And thank you to the Councilmembers.,6,,
11,0.97,46.913,54.521,Councilmember Nelson said she is going to be 10 minutes late to the meeting and she will likely join the meeting soon.,6,,
12,0.97,54.521,58.591,We have three discussions on today's agenda.,6,,
13,0.97,58.591,75.442,"First the committee will discuss and vote on an ordinance presented by Councilmember Strauss that changes the Timeline for payment plans, repaying the back rent that members may owe during the pandemic.",6,,
14,0.97,75.442,85.151,"On May 11th, 2020, shortly after the public health emergency started the Councilmember passed a bill to pay off rent a dent in installments.",6,,
15,0.97,85.151,98.498,"However that bill spreads the installments over six months, which could be a very short period of time now that the Covid emergency has lasted over two years.",6,,
16,0.97,98.498,109.809,It is unfortunately far from a common situation that Renters are very far behind and have Unfortunately accumulated a lot of debt.,6,,
17,0.97,109.809,118.718,In 2021 rental organizers had bill 5160 in Washington state Emma which included a similar payment plan for unpaid back rent.,6,,
18,0.97,118.718,127.46,In that case the payment plan was for payments of up to one third of a months rent each month Emma which can go longer than six months for Renters more than two months behind on rent.,6,,
19,0.97,127.46,142.442,"The bill we are voting on today Aligns the city of Seattle's payment plan Timeline with the state Timeline, which will help avoid confusion.",6,,
20,0.97,142.442,144.677,The state Timeline is legally the Timeline that applies anyway.,6,,
21,0.97,144.677,148.915,For most Renters and landlords this will not make a big change.,6,,
22,0.97,148.915,156.055,"The one exception being back rent accrued in the six months following the emergency covered by the city law, not the state law.",6,,
23,0.97,156.055,160.36,Rent for those months would be paid off.,6,,
24,0.97,160.36,166.866,This is a bill to clarify the existing laws that apply.,6,,
25,0.97,166.866,170.603,I believe we can voted out of committee today and we will have a discussion too.,6,,
26,0.97,170.603,174.474,Next on today's agenda our appointments for the city of Seattle's Renters Commission.,6,,
27,0.97,174.474,178.511,We have many vacancies because the former member failed to appoint many members last year.,6,,
28,0.97,178.511,191.224,The Commissioner has helped to fill those vacancies . He conducted interviews and made recommendations to the Mayor's office for home to appoint this year.,6,,
29,0.97,191.224,194.46,Mayor Harrell has approved those recommended appointees and the committee will discuss and vote on them.,6,,
30,0.97,194.46,202.802,"Finally, today's committee will talk to Renters at the apartments in Capitol Hill.",6,,
31,0.97,202.802,217.483,Many of the residents were invited to tell their story today.,6,,
32,0.97,217.483,221.921,A longtime owner of the building passed away and the new owners have stated that they intend to sell the building.,6,,
33,0.97,221.921,233.433,The tenants of the building have made it their home.,6,,
34,0.97,233.433,237.77,"Several tenants have lived there for over a decade because they like the building, the community, and they can afford the rent.",6,,
35,0.97,237.77,241.841,They are extremely worried the building will be sold to a developer who will Demolish the building and displace them.,6,,
36,0.97,241.841,244.577,"We heard from several low income Renters, including seniors, who address displacement.",6,,
37,0.97,244.577,245.979,The good news is they are getting organized.,6,,
38,0.97,245.979,250.45,The tenants are getting organized and they formed a tenants Association so they can come together and fight to save their homes.,6,,
39,0.97,250.45,252.585,Last year a new hope community interviewed fighting along activists.,6,,
40,0.97,252.585,259.158,"They wanted state and city funding to save the tenants at square Plaza, which was similarly addressed when it went up for sale.",6,,
41,0.97,259.158,266.266,We support a similar nonprofit.,6,,
42,0.97,266.266,268.134,We have the tenants here today to tell their story.,6,,
43,0.97,268.134,273.406,Before we begin the agenda items we have a public comment.,6,,
44,0.97,273.406,287.053,One person signed up for the public comment period I'm seeing them listed as not present.,6,,
45,0.97,287.053,287.687,"Ted, can you confirm?",6,,
46,0.97,287.687,288.721,It is David Haynes.,6,,
47,0.97,288.721,290.156,He is showing up as not present.,6,,
48,0.97,290.156,290.556,Am I right?,6,,
49,0.97,290.556,292.191,That's what I see also.,7,,
50,0.97,292.191,299.699,That would mean nobody for public comment.,7,,
51,0.97,299.699,303.569,Seeing as our loan Speaker for public comment is not present I will go ahead and close public comment.,8,,
52,0.97,303.569,306.372,We will now begin our first agenda item.,8,,
53,0.97,306.372,310.276,Cb 120305.,8,,
54,0.97,310.276,323.99,"Modifying ordinance 126081, concerning repayment plans for rental arrears accrued during or within six months after the termination of the civil emergency declared on March 3RD, 2020.",8,,
55,0.97,323.99,326.859,The staff is here to present also.,8,,
56,0.97,326.859,333.099,"Councilmember Strauss, as you are the prime sponsor of the bill would you like to introduce the legislation before Jeff speaks?",8,,
57,0.97,333.099,336.836,"Thank you, chair Sawant.",9,,
58,0.97,336.836,347.246,I would be happy to take the report and make some comments.,9,,
59,0.97,347.246,349.415,"It is a modest and technical correction, like you just described.",9,,
60,0.97,349.415,350.75,The state has already passed this legislation.,9,,
61,0.97,350.75,352.985,This is bringing our cities laws in line with the States.,9,,
62,0.97,352.985,356.255,I will see what Jeff has to say and then follow up with any more information.,9,,
63,0.97,356.255,358.825,"Thank you, chair Sawant.",9,,
64,0.97,358.825,367.834,"Thank you, Councilmember, staff.",10,,
65,0.97,367.834,380.48,I am able to share in just a moment.,10,,
66,0.97,383.216,387.453,I really only have one slide that has something visual for the public that would be useful.,10,,
67,0.97,387.453,394.327,I know the Council is well versed in this topic.,10,,
