index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,21.654,22.355,"Good morning, everyone.",0,,
1,0.97,22.355,23.523,The counselor briefing meeting will come to order.,0,,
2,0.97,23.523,24.958,The time is 9:31 A.M.,0,,
3,0.97,24.958,25.859,Willie please call the roll?,0,,
4,0.97,25.859,27.16,"Lewis, present.",1,,
5,0.97,27.16,28.395,Here.,2,,
6,0.97,28.395,35.468,Present.,3,,
7,0.97,35.468,36.77,Peterson.,3,,
8,0.97,36.77,37.771,Here.,3,,
9,0.97,37.771,46.746,Strauss,4,,
10,0.97,46.746,47.046,Present.,5,,
11,0.97,47.046,47.547,Here.,6,,
12,0.97,47.547,50.483,Lawrence?,7,,
13,0.97,50.483,53.987,Here.,8,,
14,0.97,53.987,57.057,Council President Gonzales.,9,,
15,0.97,57.057,60.994,Thank you so much.,10,,
16,0.97,60.994,64.664,If there is no objection the minutes of March eighth 2021 will be adopted.,10,,
17,0.97,64.664,73.273,Hearing no objection here.,10,,
18,0.97,73.273,73.773,The Presidents report.,10,,
19,0.97,73.773,75.241,Going to dispense at that today.,10,,
20,0.97,75.241,77.377,We are going to get straight to the legislative session update.,10,,
21,0.97,77.377,83.516,We do have the office of government relations with us this morning as we normally do.,10,,
22,0.97,83.516,95.762,I'm going to hand it over for introductions and then I'm going to send it over for them to walk us to the presentations.,10,,
23,0.97,95.762,96.096,Good morning.,10,,
24,0.97,96.096,96.463,Thank you.,11,,
25,0.97,96.463,99.732,I am the office of governmental relations.,11,,
26,0.97,99.732,106.906,Lilly Wilson Codega.,11,,
27,0.97,106.906,107.74,State relations director.,12,,
28,0.97,107.74,108.341,Intergovernmental relations.,12,,
29,0.97,108.341,118.818,"Government affairs, director.",13,,
30,0.97,118.818,124.757,"And, as the Council President recently mentioned, we are a little bit more than halfway done with the legislative session.",14,,
31,0.97,124.757,138.671,"I'm going to say, my team may laugh that we are nearing the final month of the legislative session having now pass several major milestones House of origin policy physical transportation costs and that cut off last week.",14,,
32,0.97,138.671,148.781,"What that means, as we will now transition from legislators being on the floor for those days and nights.",14,,
33,0.97,148.781,155.855,"Now, working through the floor action and Transitioning now in to the committee work again.",14,,
34,0.97,155.855,159.392,We may be reaching out to help with some of the higher profile legislative protection act.,14,,
35,0.97,159.392,166.966,Andy addiction bill as those become settled for the executive session.,14,,
36,0.97,166.966,171.404,Having passed the House of origin.,14,,
37,0.97,171.404,176.209,Robin is going to review that police report for us and it's entire portion during her report.,14,,
38,0.97,176.209,196.729,"But I did want to take some time to thank her for her leadership in her role as a public safety chair . Speaking in support of Senate bill 51, the decertification bill and the provisions that we seek to amend onto that bill with the police arbitration process to make that work more effectively.",14,,
39,0.97,196.729,206.539,This is just as a whole thank you for your incredible work.,14,,
40,0.97,206.539,209.242,We are very grateful to you.,14,,
41,0.97,209.242,215.548,"This is on Thursday, March 18th.",14,,
42,0.97,215.548,224.424,For an overview.,14,,
43,0.97,224.424,227.16,I wanted to acknowledge that we have been one of our kids numbers.,14,,
44,0.97,227.16,230.363,"And, good morning to her and welcome.",14,,
45,0.97,230.363,232.231,Good morning.,14,,
46,0.97,232.231,241.374,Starting off with budget and revenue.,15,,
47,0.97,241.374,241.808,In the space.,15,,
48,0.97,241.808,251.718,"The first is that on Wednesday the 17th, this week, the economic forecast will be coming out with the updated revenue forecast for the state.",15,,
49,0.97,251.718,281.781,"As I've commissioned previously, it's likely to show some continued improvement in the budget situation to the tune of several hundred million dollars and, with that in the official amount on Wednesday, that is going to be the final piece in our puzzle for those budget leaders who are working on putting together the house and Senate budget so, we are likely to see those coming there shortly after.",15,,
50,0.97,281.781,290.79,There has been some discussion that they may come a little bit later in anticipation of Federal dollars flowing through.,15,,
51,0.97,290.79,297.53,But that hasn't been officially confirmed we expect to see those coming out.,15,,
52,0.97,297.53,299.132,Likely next week or the following week.,15,,
53,0.97,299.132,301.834,But we are likely to see those coming soon.,15,,
54,0.97,301.834,312.512,"This is at about 20 minutes, 25 minutes.",15,,
55,0.97,312.512,324.824,They have the legislation that the Senate passed earlier in session I will Posit for questions on budget and revenue,15,,
56,0.97,324.824,330.229,Do we have any questions or comments on the section?,16,,
57,0.97,330.229,332.865,I don't see any hands raised.,16,,
58,0.97,332.865,343.376,Just going through the zoom feature or otherwise let's continue.,16,,
59,0.97,343.376,347.48,The education great news for the fair starts spring kids act.,17,,
60,0.97,347.48,350.983,Both of the house and Senate versions are still moving.,17,,
61,0.97,350.983,354.787,That's last week.,17,,
62,0.97,354.787,360.96,The Senate version is scheduled for a public hearing on March 18th.,17,,
63,0.97,360.96,368.201,Senate bill 53-31 with the college program passed the Senate.,17,,
64,0.97,368.201,372.972,"Senate bill 54 or 53, I'm sorry.",17,,
65,0.97,372.972,375.608,Passing the Senate last week and a schedule for the public hearing.,17,,
66,0.97,375.608,383.416,One bill that did not make the cut off last week is the Senate bill 53-40.,17,,
67,0.97,383.416,386.719,That was the bill that extended the eligibility for the school board director.,17,,
68,0.97,386.719,388.387,Not getting out of the sun in time.,17,,
69,0.97,388.387,389.455,Those are the big updates.,17,,
70,0.97,389.455,392.925,I will Posit those questions.,17,,
71,0.97,392.925,393.292,Thank you.,18,,
72,0.97,393.292,400.333,Any questions or comments on that question?,18,,
73,0.97,400.333,400.6,Okay.,19,,
74,0.97,400.6,413.746,I just want to say thanks to you all for helping us to support the fair start for kids Washington state bill.,19,,
75,0.97,413.746,414.413,Such an important bill.,19,,
76,0.97,414.413,415.715,For us here in Seattle.,19,,
77,0.97,415.715,426.359,"But, for the entire stay I'm really excited to see its continued movement through the process.",19,,
78,0.97,426.359,437.47,So please do let me know if there's anything else that I can do to be representative of any of the other senators or representatives who are Championing this bill.,19,,
79,0.97,437.47,437.904,For our families.,19,,
80,0.97,437.904,449.248,I just want to recognize that she has been pouring herself into that.,20,,
81,0.97,449.248,450.082,They have done amazing work.,20,,
82,0.97,450.082,451.584,We are so grateful for her leadership.,20,,
83,0.97,451.584,454.253,Thank you both.,20,,
84,0.97,454.253,454.654,That's great.,21,,
85,0.97,454.654,461.627,Thank you Hanah Smith for all your work on that.,21,,
86,0.97,461.627,463.563,Let's go ahead and go to transportation.,21,,
87,0.97,463.563,469.502,"Apologies, Council President, we have environment up next.",22,,
88,0.97,469.502,470.47,But just a few quick updates.,22,,
89,0.97,470.47,485.551,One bill that didn't make it past the House of origin cut off is origin bill 1075.,22,,
90,0.97,488.387,491.724,This was the legislation that would regulate commissions from On-Demand vehicles such as Tmc's.,22,,
91,0.97,491.724,499.298,"Unfortunately, just a product of not having, especially in the virtual session, not having enough time to run all those bills off of the floor.",22,,
92,0.97,499.298,501.267,We will continue to work this bill next session.,22,,
93,0.97,501.267,503.402,"But for this session, it is not moving forward.",22,,
94,0.97,503.402,516.048,"Other bills that are moving forward in the environmental space, the House bill 1099 which is the bill that would incorporate climate action and Readability and see and comprehensive planning.",22,,
95,0.97,516.048,522.021,That is a hearing coming up tomorrow in the government committee.,22,,
96,0.97,522.021,522.855,At 8:00 A.M.,22,,
97,0.97,522.855,523.222,Very exciting.,22,,
98,0.97,523.222,532.865,"And, then, the Senate bill 5126, the climate commitment act.",22,,
99,0.97,532.865,537.136,That has a hearing coming up this afternoon in the committee.,22,,
100,0.97,537.136,551.918,"That bill just as a reminder because, it is a significant financial impact considered necessary to implement the budget.",22,,
101,0.97,551.918,554.854,"So even though it's not passed in the Senate yet, it is still in committee.",22,,
102,0.97,554.854,556.989,"So, they will have the duration of that session.",22,,
103,0.97,556.989,559.892,"With that, I will Posit any questions on the environment.",23,,
104,0.97,559.892,563.496,Are there any questions on this section?,24,,
105,0.97,563.496,572.171,Doesn't look like anyone has any questions.,25,,
106,0.97,572.171,572.438,Okay.,26,,
107,0.97,572.438,578.744,"Moving onto general government, a few updates in the space, there are a couple of hearings.",26,,
108,0.97,578.744,583.015,"So, you will see these votes, executive sessions.",26,,
109,0.97,583.015,597.596,"This week the one update that I want to highlight here is the House bill 1173, the public lands state lands development authority such as the PDA bill.",26,,
