index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.939,11.811,Good afternoon everyone.,0,,
1,0.97,11.811,14.681000000000001,"The November 1ST, 2021 meeting of the Seattle city council will come to order.",0,,
2,0.97,14.681000000000001,15.682,It's 2:00 P.M.,0,,
3,0.97,15.682,17.717,"I'm Lorena Gonzalez, president.",0,,
4,0.97,17.717,22.322,Will the clerk please call the roll?,0,,
5,0.97,22.322,25.825,Morales.,1,,
6,0.97,25.825,27.027,Here.,2,,
7,0.97,27.027,28.728,Sawant.,3,,
8,0.97,28.728,29.896,Present.,4,,
9,0.97,29.896,31.531,Strauss.,5,,
10,0.97,31.531,32.999,Here.,6,,
11,0.97,32.999,34.434,Herbold.,7,,
12,0.97,34.434,35.135,Here.,8,,
13,0.97,35.135,37.036,Juarez.,9,,
14,0.97,37.036,38.738,Here.,10,,
15,0.97,38.738,40.54,Lewis?,11,,
16,0.97,40.54,40.84,Present.,12,,
17,0.97,40.84,43.176,H present.,13,,
18,0.97,43.176,51.117,Thank you so much I will make sure the reflects when Councilmember Mosqueda Johnson meeting.,14,,
19,0.97,51.117,55.255,"Presentation, I'm not aware of any today.",15,,
20,0.97,55.255,58.358,We will move to approval of the minutes.,15,,
21,0.97,58.358,66.066,There are no minutes for approval today so we will go ahead and move to approval of the introduction and referral calendar.,15,,
22,0.97,66.066,74.274,We do have two introduction and referral calendars to approve today.,16,,
23,0.97,74.274,76.543,I will go through the first one which is October 18th.,16,,
24,0.97,76.543,79.579,And the second one November 1ST.,16,,
25,0.97,79.579,83.049,"Also want to note for the record that we have been joined by Councilmember Mosqueda, welcome.",16,,
26,0.97,83.049,84.517,"Thank you, Council President.",17,,
27,0.97,84.517,97.497,"October 18, a formal roll call on the adoption of the introduction and referral calendar on October 18, 2022 was overlooked last meeting.",18,,
28,0.97,97.497,102.202,To close the final action on the October 18th introduction and referral calendar we will formally adopted today.,18,,
29,0.97,102.202,110.21,"If there is no objection, the October 18th introduction and referral calendar will be adopted and any actions consistent with the introduction and referral calendar will be ratified and confirmed.",18,,
30,0.97,110.21,122.222,"Hearing no objection, the October 18th introduction and referral calendar is adopted and the actions consistent with the introduction and referral calendar are Retta Ford and confirmed.",18,,
31,0.97,122.222,124.724,The November 1ST introduction and referral calendar will be adopted.,18,,
32,0.97,124.724,130.83,"Hearing none objections, the November 1ST introduction and referral calendar is adopted.",18,,
33,0.97,130.83,136.236,"If there is no objection, the agenda will be adopted.",19,,
34,0.97,136.236,138.972,"Hearing no objection, the agenda is now adopted.",19,,
35,0.97,138.972,150.35,"At this time we will open the remote public comment period for items on the city council agenda, the referral calendar, and the work program.",20,,
36,0.97,150.35,154.621,We want to thank everyone for their ongoing patience and cooperation as we continue to operate remote.,20,,
37,0.97,154.621,163.163,Remains a strong attack of the city council tab remote public comment regularly included on the Agendas.,20,,
38,0.97,163.163,166.966,However as a reminder the city council reserves the right to end or remove these public comment periods.,20,,
39,0.97,166.966,171.905,If we deem the system is being abused or is no longer suitable allowing our meetings to be conducted efficiently and effectively.,20,,
40,0.97,171.905,173.206,I'll moderate in the following manner.,20,,
41,0.97,173.206,182.148,"The public comment for this meeting was noted to be 20 minutes, with each speaking two minutes.",20,,
42,0.97,182.148,194.394,"We do have a little over 30 speakers signed up to give public comment today, so I would like to extend the public comment period to a total of 30 minutes.",20,,
43,0.97,194.394,200.099,With each Speaker having one minute to address the city council.,20,,
44,0.97,200.099,206.072,"So, if there is no objection, the public comment period will be objected to 30 minutes.",20,,
