index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,50.55,56.189,Not all of you Unmetered your microphones.,0,,
1,0.97,56.189,66.666,We may need to start over.,0,,
2,0.97,70.603,73.339,You may need to Unmute the microphones.,0,,
3,0.97,73.339,83.483,Unmute.,0,,
4,0.97,84.317,88.054,Okay.,1,,
5,0.97,88.054,94.561,Can we do a Mic check for the Councilmembers?,2,,
6,0.97,94.561,101.935,You may want to start over.,2,,
7,0.97,101.935,102.235,Thank you.,2,,
8,0.97,102.235,102.735,Got it.,3,,
9,0.97,102.735,103.736,Good morning.,3,,
10,0.97,103.736,112.779,"The September 13th, 2022 meeting of public safety human services has come to order.",3,,
11,0.97,112.779,116.282,Will the clerk piece call?,3,,
12,0.97,116.282,121.254,Counselor Pearson?,4,,
13,0.97,121.254,121.688,Present.,5,,
14,0.97,121.688,122.856,Vice chair Lewis?,6,,
15,0.97,122.856,124.09,Resid.,7,,
16,0.97,124.09,125.725,Councilmember Herbals?,8,,
17,0.97,125.725,127.327,Here.,9,,
18,0.97,127.327,130.096,Five present.,10,,
19,0.97,130.096,133.8,I appreciate everybody's patients with getting started.,11,,
20,0.97,133.8,135.702,We have a new clerk on a new system.,11,,
21,0.97,135.702,146.813,On today's agenda we will here appointment of Dr. Faisal khan as director of public health Seattle and King County.,11,,
22,0.97,146.813,159.392,We are also hearing and voting on the appointment of Gino Betts Jr. as the permanent director of the office of police accountability for a discussion and possible vote.,11,,
23,0.97,159.392,181.881,We will be receiving a short of the from counsel central staff on the 911 alternative response and the agreement with the executive for a path moving forward in collaboration on an effort we will hear more about in a moment.,11,,
24,0.97,181.881,183.783,We will now approve our agenda for the committee meeting.,11,,
25,0.97,183.783,185.351,There is no objection.,11,,
26,0.97,185.351,187.22,Today's agenda will be adopted.,11,,
27,0.97,187.22,190.924,I'm seeing no objection.,11,,
28,0.97,190.924,191.524,Today's agenda is adopted.,11,,
29,0.97,191.524,198.932,At this time we will transition into public comment . I will moderate the public comment period.,11,,
30,0.97,198.932,203.436,Each Speaker gets two minutes to speak.,11,,
31,0.97,203.436,208.374,I will strive to alternate between virtual and in person public Commenters.,11,,
32,0.97,208.374,216.916,Recognizing that there are not an equal number of Commenters in each . I will call in each Speaker by name.,11,,
33,0.97,216.916,230.93,If you have not yet registered to speak what you would like to do so you can sign up before the end of the public comment session.,11,,
34,0.97,230.93,234.334,"Once I call a Speaker's name, if you're using the virtual option, you will hear a prompt.",11,,
35,0.97,234.334,237.704,Once you have heard that prompt you need to press Star and six to Unmute yourself.,11,,
36,0.97,237.704,243.81,Please start by stating your name and the item which you are addressing.,11,,
37,0.97,243.81,246.713,You will hear a Chime when 10 seconds are left of the allotted time.,11,,
38,0.97,246.713,251.417,Once a Speaker here's that time we ask that you begin to wrap up your public comments.,11,,
39,0.97,251.417,261.661,If speakers do not end their comments at the end of the allotted time provided they will be muted after 10 seconds to allow us to hear from the next Speaker.,11,,
40,0.97,261.661,268.067,"Once you have completed your public comment we ask that you Disconnect from the line, if you're calling in.",11,,
41,0.97,268.067,276.976,And if you plan to continue following the meeting remotely you can do so via the Seattle channel or the listening Ptions that are listed on the printed agenda.,11,,
42,0.97,276.976,281.347,We have nine people signed up for public comment.,11,,
43,0.97,281.347,290.423,"Nine speakers were with us virtually, and one Speaker that is with us in the chambers, in person.",11,,
44,0.97,290.423,295.428,I will begin with the Speaker in person.,11,,
45,0.97,295.428,303.503,Miss Carolyn Malone.,11,,
46,0.97,303.503,304.303,Thank you.,12,,
47,0.97,304.303,304.637,Good morning.,12,,
48,0.97,304.637,305.104,I'm Carolyn Malone.,12,,
49,0.97,305.104,319.052,"I'm going to address the issue of police hostility, brutality, and others yet to come into the chamber to give me a bedtime.",12,,
50,0.97,319.052,321.421,I have a legitimate right to speak for the Council.,12,,
