index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.816,21.354,Thank you very much.,0,,
1,0.97,21.354,22.589,The meeting will come to order.,0,,
2,0.97,22.589,27.26,It is 3:30 A.M.,0,,
3,0.97,27.26,33.166,[Indiscernible] [technical difficulties] and so she has excused from today's meeting.,0,,
4,0.97,33.166,35.602,We will call the role.,0,,
5,0.97,35.602,37.804,M. Lorena Gonzalez?,1,,
6,0.97,37.804,39.072,Here.,2,,
7,0.97,39.072,42.308,Andrew J. Lewis?,3,,
8,0.97,42.308,44.511,Here.,4,,
9,0.97,44.511,52.619,Kshama Sawant,5,,
10,0.97,52.619,65.432,"On today's agenda, we have just a bit of the End-Of-The- year work to do.",6,,
11,0.97,65.432,68.902,We have [Indiscernible] and a reappointment.,6,,
12,0.97,68.902,86.419,[technical difficulties] we will now improve our agenda for today's meeting.,6,,
13,0.97,86.419,90.457,"If there is no [Indiscernible], the agenda will be adopted.",6,,
14,0.97,90.457,94.561,"Hearing no objection, adopted.",6,,
15,0.97,94.561,106.739,"At the time, we will move right into public comment and moderate the public comment period in the following manner: each Speaker will be [Indiscernible] to speak.",6,,
16,0.97,106.739,108.475,I will call on the Speaker by name.,6,,
17,0.97,108.475,123.79,"If you have not registered to speak but you would like to, you can do so by signing up before the end of the public [Indiscernible] period by going to the Website also listed on today's agenda.",6,,
18,0.97,123.79,131.764,"When I call the speakers name, you will hear a prompt and once you hear the prompt, you need to hit Star 62 Unmute yourself.",6,,
19,0.97,131.764,144.31,Begin by stating your name and the item [Indiscernible] Intermec will hear a time when the 10 seconds are remaining of the allotted time.,6,,
20,0.97,144.31,149.616,"Once the Speaker here's the Chime, we ask that you interrupt your comments.",6,,
21,0.97,149.616,159.893,"And if the speakers don't end the and comments, speakers may be vented after 10 seconds to allow us to hear from the next Speaker.",6,,
22,0.97,159.893,167.2,"Once you have completed, there is a cute--a Disconnection line.",6,,
23,0.97,167.2,188.154,[Indiscernible] when you have people signed up [Indiscernible] and we will jump right into that.,6,,
24,0.97,188.154,188.721,Howard?,6,,
25,0.97,188.721,195.461,Good morning.,7,,
26,0.97,195.461,216.883,"Howard gale, District 7. you have been faced with clear facts and data, the SPD killing more people after the years to dissenter decree than years before, continuing racial disparity in the continued use of force [Indiscernible] and in 2020, unconstitutional egregiously violent actions against demonstrators.",7,,
