index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.085,19.152,.,0,,
1,0.97,19.152,21.988,"Good morning everyone, it's 9:30 A.M.",1,,
2,0.97,21.988,25.158,"On April 6th, 2022.",1,,
3,0.97,25.158,40.44,My name is Teresa Mosqueda the chair of the Finance and housing committee.,1,,
4,0.97,40.44,40.974,Will the clerk call roll.,1,,
5,0.97,40.974,53.987,"Herbold, Pediatric Madame chair.",2,,
6,0.97,53.987,58.491,Thank you very much and welcome everyone to the Finance and housing committee meeting.,3,,
7,0.97,58.491,62.362,We have a full agenda and a number of guests today.,3,,
8,0.97,62.362,63.963,Wonderful to see on the line.,3,,
9,0.97,63.963,79.646,We will commence with public comment and have the housing levy oversight committee appointments five new appointments and six Reapointments then the sugar sweet beverage tax including two new appointments.,3,,
10,0.97,79.646,83.583,We have a panel presentation on Cannabis business and licensing equity.,3,,
11,0.97,83.583,98.097,We will be hearing from business owners and folks from the liquor control board and really appreciate the wealth of knowledge that's been pouring in from our committee meetings across the country.,3,,
12,0.97,98.097,100.8,We'll end by talking about budgets.,3,,
13,0.97,100.8,113.279,We'll have a vote and discussion on the capital projects watch list and three proposed amendments and then we'll have a discussion and vote on payments claims resolution and updated template.,3,,
14,0.97,113.279,119.219,This is a continuation of the item in our previous meeting as well.,3,,
15,0.97,119.219,123.756,Today's agenda will be adopted hearing no objection.,3,,
16,0.97,123.756,128.061,Thanks all we have a few folks signed up for public comment.,3,,
17,0.97,128.061,130.396,I see four people so we'll get into that.,3,,
18,0.97,130.396,136.469,Thank you very much for signing up for public comment this morning.,3,,
19,0.97,136.469,139.439,The public comment period will be hosted in the following manner.,3,,
20,0.97,139.439,143.276,Folks who signed up will have two minutes to provide public comments.,3,,
21,0.97,143.276,146.679,You'll hear a Chime at the end of your two minute allotment.,3,,
22,0.97,146.679,155.421,That Chime gives you the indication that you have about 10 seconds to wrap up your comments and we do hope that you will take the time to wrap it up so nothing gets cut off.,3,,
23,0.97,155.421,163.096,If you would like to send us the remainder of comments send that to counsel at Seattle.Gov.,3,,
24,0.97,163.096,175.975,"Once you hear your name, please NOTE you will hear a prompt that says you have been Unmuted however it's your indication to hit Star 6 on your own line to Unmute your phone.",3,,
25,0.97,175.975,177.443,We're jiving into public comment.,3,,
26,0.97,177.443,182.582,When you hear your name hit Star six to Unmute yourself.,3,,
27,0.97,182.582,187.12,The first two speakers are Claude and Christen.,3,,
28,0.97,187.12,197.664,Welcome good to see your name Mr. Perkis the floor is yours.,3,,
29,0.97,197.664,208.675,My name is Claude Berfek and I'm the Vice President of King County Naacp.,4,,
30,0.97,208.675,212.278,Supporting policies that lift up black and Brown communities.,4,,
31,0.97,212.278,221.054,The policies and counsel will be considering was informed by a large stake holder process which we we were apart of.,4,,
32,0.97,221.054,235.034,It was really important that we got the policy right and the elements of all things other cities have done to advance equity.,4,,
33,0.97,235.034,238.071,Black and Brown communities were Honed by the war on drugs.,4,,
34,0.97,238.071,245.578,Here in Seattle black people were arrested at rates much higher than white people for possession of marijuana.,4,,
35,0.97,245.578,257.49,"While the city has taken steps to remove Misdemeanors from records, people today are still dealing with the consequences of these decisions.",4,,
36,0.97,257.49,277.043,That's why we are here urging you to take urgent action to address this systemic problems in the Cannabis industry by passing legislation to insure more equity in the system.,4,,
37,0.97,277.043,277.243,Thank you.,4,,
38,0.97,277.577,283.249,Thank you very much and again great to hear your voice.,5,,
39,0.97,283.249,285.251,Thanks for Dialling in today.,5,,
40,0.97,285.251,295.128,The next person is Christen wells followed by Zion gray El.,5,,
41,0.97,295.128,295.628,"Good morning, Christen.",5,,
42,0.97,295.628,302.001,If you want to hit Star 6 one more time.,6,,
43,0.97,302.001,304.037,Looks like you're still muted on my line.,6,,
44,0.97,304.37,315.314,I'm going to keep my eye on Kristen here.,6,,
45,0.97,315.314,316.849,"Hi Kristen, please go ahead.",6,,
46,0.97,316.849,319.385,Can you hear me?,7,,
47,0.97,319.385,322.055,I can.,8,,
48,0.97,322.055,322.622,Thanks so much.,8,,
49,0.97,322.622,323.489,Thank you.,9,,
50,0.97,323.489,325.191,Members of Seattle city counsel.,9,,
51,0.97,325.191,336.035,My name is Christen wells and I work at as a bartender at ponder in Seattle.,9,,
52,0.97,336.035,345.311,"I have been working for two years I match Candace needs with the products we have whether it's flower, plant Edibles or medical.",9,,
53,0.97,345.311,348.715,I describe the different feelings you get from those strains and types.,9,,
54,0.97,348.715,369.936,I decided to join the industry because in the middle of the industry I was laid off from my job like many others and I found I have a chronic pain disease so I really dove into the medical side of Cannabis for my own personal use and I'm passionate about sharing what I learned because it's a really powerful plant.,9,,
55,0.97,369.936,381.714,I saw this as an opportunity to pursue the passion of mine as well as get on the inside of the Cannabis industry because there's a lot of equity work that needs to be done.,9,,
56,0.97,381.714,396.496,I believe that the training that this Cannabis equity policy offers will be really helpful to open the Gateway for workers especially to different avenues and fields within the industry.,9,,
57,0.97,396.496,407.64,It gives them the opportunity to see what they would be good at and just develop a ladder for workers to move up within the industry chain.,9,,
58,0.97,407.64,420.686,"For example, I had the opportunity to take a medical marijuana course to be a certified consultant but it costs about 400 dollars and was paid for by my current employer.",9,,
59,0.97,420.686,429.162,This is not accessible because it's so expensive and you have to renew it every year to be considered certified by the state.,9,,
60,0.97,429.162,435.835,Training will open up more growth in the industry as well as upward mobility as you have opportunities to move up within your job.,9,,
61,0.97,435.835,446.679,Overall it will help with the development of the work force within the industry and I think it's really important please pass the Cannabis equity policy.,9,,
62,0.97,446.679,446.879,Thank you.,9,,
63,0.97,447.213,449.615,.,9,,
64,0.97,449.615,451.117,Thank you very much.,10,,
65,0.97,451.117,457.69,The next Speaker is Zion gray El and after that is James Adams and David Hines.,10,,
66,0.97,457.69,469.836,James and David are listed as not present right now so we will look to see if you dial in before concluding public comment.,10,,
67,0.97,469.836,484.083,Go ahead and dial in if you're still waiting out there James and David.,10,,
68,0.97,484.083,485.651,"Good morning, Zion thank you for Dialling in this morning the floor is yours.",10,,
69,0.97,485.651,486.285,"Good morning, to you as well.",11,,
70,0.97,486.285,486.652,Can you hear me?,11,,
71,0.97,486.652,486.986,"Yes, thank you.",12,,
72,0.97,487.32,487.453,.,12,,
73,0.97,487.453,492.158,I work as a bartender at have a heart Bell town in Seattle.,13,,
74,0.97,492.158,494.293,I support the Cannabis equity policy.,13,,
75,0.97,494.293,494.594,Vigorously.,13,,
76,0.97,494.594,501.968,I have been working in the Cannabis industry for five years now.,13,,
