index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.144,14.948,-- of the Seattle city council will come to order.,0,,
1,0.97,14.948,18.251,"I'm Lorena Gonzalez, president of the Seattle city council.",0,,
2,0.97,18.251,22.589,Will the clerk call the role?,0,,
3,0.97,22.589,25.225,Mosqueda?,1,,
4,0.97,25.225,25.458,Aye.,2,,
5,0.97,25.458,26.793,Pedersen?,3,,
6,0.97,26.793,28.161,Here.,4,,
7,0.97,28.161,28.628,Sawant?,5,,
8,0.97,28.628,33.133,Here.,6,,
9,0.97,33.133,36.836,Strauss?,7,,
10,0.97,36.836,38.872,Present.,8,,
11,0.97,38.872,39.139,Juarez?,9,,
12,0.97,39.139,39.672,Here.,10,,
13,0.97,39.672,41.207,Herbold?,11,,
14,0.97,41.207,42.842,Lewis?,11,,
15,0.97,42.842,43.176,Present.,12,,
16,0.97,43.176,43.476,Morales?,13,,
17,0.97,43.476,45.245,Council President Gonzalez?,14,,
18,0.97,45.245,45.512,Here.,15,,
19,0.97,45.512,45.979,Seven present.,16,,
20,0.97,45.979,47.514,Thank you so much.,17,,
21,0.97,47.514,60.794,"We are still waiting for our last two Councilmembers to join us, but we will go ahead and dig in and Admonish them Accordingly, Colleen.",17,,
22,0.97,60.794,61.194,Just kidding.,17,,
23,0.97,61.194,63.897,"Presentations, I am not aware of any presentations.",17,,
24,0.97,63.897,71.204,"Approval of the minutes of the city council meeting June 1,2020 have been reviewed.",17,,
25,0.97,71.204,74.407,"Hearing no objection, the minutes are being signed.",17,,
26,0.97,74.407,78.511,Will the clerk please affix my signature to the now approved minutes.,17,,
27,0.97,78.511,89.722,"Okay, folks, we are going to do adoption of the referral calendar just for the benefit of us as colleagues and for those people listening in.",17,,
28,0.97,89.722,98.331,We have some procedural steps that we got to go through in order to adopt the referral calendar.,17,,
29,0.97,98.331,113.713,So there will be an amendment that will need to be made by Councilmember Herbold and then there will be an amendment that will lead to be advanced by Councilmember Sawant.,17,,
30,0.97,113.713,114.18,And Council briefing.,17,,
31,0.97,114.18,119.619,"Now, I still don't think we have Councilmember Herbold on the line, Oh, there she is.",17,,
32,0.97,119.619,122.856,She just--looks like she is on with us now.,17,,
33,0.97,122.856,128.394,So I am going to go ahead and make sure that we can move through this as quickly as possible.,17,,
34,0.97,128.394,135.101,"So again, right now what we are going to consider is a couple of motions, one from Councilmember Herbold.",17,,
35,0.97,135.101,144.41,The other will come from Councilmember Sawant for the sole purpose of amending the proposed and introduction and referral calendar.,17,,
36,0.97,144.41,146.579,So bear with us for those of you listening in.,17,,
37,0.97,146.579,153.753,We're going to try to move through this as quickly as possible so we can get to public comment.,17,,
38,0.97,153.753,158.825,"I will move to adopt the referral calendar, is there a Snekd.",17,,
39,0.97,158.825,159.359,Second.,18,,
40,0.97,159.359,162.862,It has been moved and Seconded.,19,,
41,0.97,162.862,173.206,"Councilmember Herbold, I understand that you are prepared to make your motion at this time, so if you are on the line, I will yield the floor to you for that amendment.",19,,
42,0.97,173.206,174.374,Thank you.,20,,
43,0.97,174.374,207.273,"I move to amend the introduction referral calendar by Introdeucing Council bill 119803 entitled an ordinance requiring that certain uniformed police officers do not cover with a mourning band the serial number that is engraved on their badge, amending section 3.28.130 of the Seattle municipal code, declaring an emergency and establishing an immediate effective date all by a three-fourths vote of the city Council and by referring it to the city council.",20,,
44,0.97,207.273,209.242,Is there a second?,21,,
45,0.97,209.242,209.742,Second.,22,,
46,0.97,209.742,210.009,Second.,23,,
47,0.97,210.009,210.276,Great.,24,,
48,0.97,210.276,216.516,It has been moved and Seconded to amend the introduction and referral calendar.,24,,
49,0.97,216.516,227.393,"Councilmember Herbold, do you have any brief remarks on this amendment before we open it up for additional potential comment and then ultimately a role call.",24,,
50,0.97,227.393,227.994,Thank you.,25,,
51,0.97,227.994,248.848,"Here in Seattle, people that have participated in the recent rallies and demonstrations protesting the killing of George Floyd have indicated that they have often been unable to identify officers because they could not see a name tag and that the officer's badge serial number was covered with a mourning band.",25,,
52,0.97,248.848,256.356,This legislation would allow the continued use of mourning bands as long as they do not obscure the officer's badge number.,25,,
53,0.97,256.356,266.833,This NOTE assumes that officers would continue to use the badges that they have already been issued by SPD but would simply move the mourning band away from the serial number.,25,,
54,0.97,266.833,271.07,Early last week I announced my intent to introduce this legislation.,25,,
55,0.97,271.07,275.041,"Subsequent to that, the police chief ordered officers to display badge numbers.",25,,
56,0.97,275.041,287.553,I appreciate her order but want to Enshrine this to city law so that it does not depend on the policy of this chief or a future chief.,25,,
57,0.97,287.553,296.896,This bill builds off of legislation adopted in 2000 after the WTO protests which required the display of names on uniforms.,25,,
58,0.97,296.896,301.434,This bill was sponsored by former Councilmember Steinbrook and this is an appropriate role for the Council.,25,,
59,0.97,301.434,308.408,And I'm hoping that a vote can be held on this legislation next Monday at full council.,25,,
60,0.97,308.408,311.844,"Thank you for those brief remarks, Councilmember Herbold.",26,,
61,0.97,311.844,321.421,Are there any other comments on the proposed amendment to the introduction and referral calendar?,26,,
62,0.97,321.421,332.899,"Hearing none, I would just add that Councilmember Herbold, this is not untraditional for us to pursue the strategy that you've just described.",26,,
63,0.97,332.899,360.026,"We did it in the context, if you recall, around observer, like an observer bill of rights, which was usually policies that were memorialized in directives that you wisely put forward and legislated so that if the directive changes, you know, we have to be notified of that because there is an ordinance and a law in place that exists.",26,,
64,0.97,360.026,366.032,And that would preempt the directive that lives in the discretion of the Department.,26,,
65,0.97,366.032,379.512,And we also did the same thing as it related to the Bias-Free policing ordinance that I cosponsored with then Council President Bruce Harrell.,26,,
66,0.97,379.512,395.928,"The Seattle police Department has a Bias-Free policing policy in their standard operating procedural manual, but we felt it was important to Memorialize that in ordinance and in law.",26,,
67,0.97,395.928,403.336,"So appreciate you, nonetheless, bringing--even though there was a directive by the chief, I appreciate you bringing this opportunity forward to Memorialize it in code.",26,,
68,0.97,403.336,406.572,I think it's a prudent path to take.,26,,
69,0.97,406.572,417.75,"Okay, if there are no other comments on the amendment, seeing none I would ask the clerk call the roll.",26,,
70,0.97,417.75,418.05,Mosqueda?,27,,
71,0.97,418.05,421.821,Aye.,28,,
72,0.97,421.821,423.723,Pedersen?,29,,
73,0.97,423.723,423.956,Aye.,30,,
74,0.97,423.956,424.223,Sawant?,31,,
75,0.97,424.223,427.059,Aye.,32,,
76,0.97,427.059,427.727,Strauss?,33,,
77,0.97,427.727,427.96,Aye.,34,,
78,0.97,427.96,428.227,Juarez?,35,,
79,0.97,428.227,432.465,Aye.,36,,
80,0.97,432.465,435.701,Herbold?,37,,
81,0.97,435.701,435.935,Aye.,38,,
82,0.97,435.935,436.202,Lewis?,39,,
83,0.97,436.202,437.904,Aye.,40,,
84,0.97,437.904,439.705,Morales?,41,,
85,0.97,439.705,439.939,Aye.,42,,
86,0.97,439.939,440.406,President Gonzalez?,43,,
87,0.97,440.406,440.74,Aye.,44,,
88,0.97,440.74,442.642,"Nine in favor, none opposed.",45,,
89,0.97,442.642,449.348,The motion carries and the bill is added to the introduction and referral calendar.,46,,
90,0.97,449.348,464.063,I'm now going to move over to Councilmember Sawant who I understand has two proposed bills that she would like to move for introduction and referral to the city council that is not on the published introduction and referral calendar.,46,,
91,0.97,464.063,468.468,These bills were also not distributed by the 5:00 P.M.,46,,
92,0.97,468.468,496.262,"Deadline this past Friday as required by the Council rules, so before Councilmember Sawant makes her substantive motions, we have to take one quick little administrative procedural step, which is we have to suspend the rules to allow for Councilmember Sawant to make her motions to amend the introduction and referral calendar.",46,,
93,0.97,496.262,510.61,"So if there is no objection, the Council rule will be suspended to allow consideration of a bill for introduction and referral that was not distributed by 5:00 P.M.",46,,
94,0.97,510.61,511.878,On Friday.,46,,
95,0.97,511.878,512.945,Is there any objection?,46,,
96,0.97,512.945,525.424,"Hearing no objection, the Council rule is suspended and Councilmember Sawant is now going to proceed with proposing an amendment to the introduction and referral calendar.",46,,
97,0.97,525.424,528.661,"Councilmember Sawant, the floor is yours.",46,,
98,0.97,528.661,531.163,"Thank you, president Gonzalez.",47,,
99,0.97,531.163,536.836,I move to amend the calendar to introduce 119804 and 119805.,47,,
100,0.97,536.836,543.91,And by referring to two bills to the city council for consideration of the June 15th city council meeting.,47,,
101,0.97,543.91,567.033,"The bill titles are as follows--Council bill 119804, an ordinance relating to the Seattle police Department prohibiting the use of Chokeholds by officers, amending section 125.04.200 of and adding a new section 3.28.145 to the Seattle municipal code.",47,,
102,0.97,567.033,580.88,"And Council bill 119805, an ordinance relating to the Seattle police Department, banning the ownership, purchase, rent, storage or use of crowd control weapons and adding a new section 3.28.146 to the Seattle municipal code.",47,,
103,0.97,580.88,584.283,I have an explanation which I can offer if I can get a second.,47,,
104,0.97,584.283,584.55,Second.,48,,
105,0.97,584.55,584.884,Great.,49,,
106,0.97,584.884,590.79,It has been moved and Seconded to amend the introduction and referral calendar.,49,,
107,0.97,590.79,596.028,"Councilmember Sawant, the floor is yours to make some remarks on the amendment.",49,,
108,0.97,596.028,596.762,Thank you.,50,,
109,0.97,596.762,612.011,"Following yet another night of police violence, I'm introducing legislation to ban police use of chemical weapons and other so-called crowd control weapons as well as legislation banning Chokeholds.",50,,
110,0.97,612.011,620.82,Seattle police are attacking peaceful Protester daily from young children to the elderly with Chemical weapons that are internationally banned in warfare.,50,,
111,0.97,620.82,625.057,"They have used Chokeholds on protesters, including the same kind of Chokehold that killed George Floyd.",50,,
112,0.97,625.057,632.565,Last night I was part of a group of hundreds of activists protesting peacefully on Capitol Hill at 11th and pine.,50,,
113,0.97,632.565,637.77,We were Maced and gassed by Seattle police with no provocation.,50,,
114,0.97,637.77,642.875,The police had many officers fully donned in riot gear.,50,,
115,0.97,642.875,646.979,"They had pads protecting their shoulders, arms and Shins.",50,,
116,0.97,646.979,653.853,"They had on Bullet-Proof vests, face shields, body shields, gas masks and they carried Batons, rifles and chemical weapons.",50,,
117,0.97,653.853,665.231,"Our protest movement, on the other hand, has been completely unarmed except for our Cellphones, our umbrellas and our Multiracial working class solidarity.",50,,
118,0.97,665.231,669.402,The police have come prepared to inflict violence without provocation.,50,,
119,0.97,669.402,672.905,Last Friday my office distributed drafts of these two bills to Council offices.,50,,
120,0.97,672.905,687.887,"The first bill bans the city from owning and the police from using crowd control weapons like tear gas, Mace, gas Bams, flash bangs and other weapons that are used Indiscriminately on gatherings of protesters.",50,,
121,0.97,687.887,700.766,"Some of these weapons, like tear gas, are banned from use in war by the Geneva convention, yet the Mayor and the Seattle police under her control have repeatedly on a daily basis used them on the people of Seattle.",50,,
122,0.97,700.766,712.578,I've heard reports from many community members as have other Councilmembers outraged that these weapons were even used against the protests.,50,,
