index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.004,7.507,"I'm Lorena Gonzelez, president of the city council.",0,,
1,0.97,7.507,18.451,Will the clerk please call the roll?,0,,
2,0.97,18.451,42.375,[roll call] eight present.,0,,
3,0.97,42.375,44.577,"Thank you, Madam clerk.",1,,
4,0.97,44.577,47.947,Let's move on to presentations.,1,,
5,0.97,47.947,51.684,I'm not aware of any presentations so we'll go ahead and move to the approval of the minutes.,1,,
6,0.97,51.684,54.287,There are no minutes for approval today.,1,,
7,0.97,54.287,59.058,So we will swiftly move to the adoption of the referral calendar.,1,,
8,0.97,59.058,68.134,"If there is no objection, the proposed introduction and referral calendar will be adopted.",1,,
9,0.97,68.134,72.539,"Hearing no objection, the introduction and referral calendar is adopted.",1,,
10,0.97,72.539,77.844,I will move now to adopt the proposed agenda.,1,,
11,0.97,77.844,78.645,Is there a second?,1,,
12,0.97,78.645,78.978,Second.,2,,
13,0.97,78.978,84.818,It's been moved and Seconded to adopt the proposed agenda.,3,,
14,0.97,84.818,111.945,"As I mentioned this morning, I do have one amendment to the proposed agenda by adding resolution 31946 entitled a resolution related to the response to the Covid-19 public health emergency requesting governor Inslee create a Washington worker relief fund to provide economic assistance to Undocumented Washingtonians during the Covid-19 pandemic and by placing it under the adoption of other resolutions on the agenda.",3,,
15,0.97,111.945,112.245,Second.,4,,
16,0.97,112.245,114.514,Thank you so much.,5,,
17,0.97,114.514,122.355,Are there any comments on the amendment to the introduction and referral calendar?,5,,
18,0.97,122.355,133.8,"Hearing and seeing none, will the clerk please call the roll on the amendment?",5,,
19,0.97,133.8,156.823,[roll call] nine in favor.,5,,
20,0.97,157.257,157.524,None opposed.,5,,
21,0.97,157.524,158.892,Thank you so much.,6,,
22,0.97,158.892,164.197,The motion carries and the agenda is adopted as amended.,6,,
23,0.97,164.197,176.943,"Colleagues, at this time we'll move into public comment as we have been doing, we'll open this remote public comment period for items on the city council agenda, introduction and referral calendar, and the Council's 2020 work program.",6,,
24,0.97,176.943,186.719,"Before we begin, I want to start by reminding colleagues and the viewing public that this is still a pilot and we're continually testing this process and working to improve it.",6,,
25,0.97,186.719,195.094,I ask that everyone please be patient as we learn to operate this new system in real time and navigate through its inevitable growing pains.,6,,
26,0.97,195.094,214.28,"While it remains our strong intent to have public comment regularly included on meeting Agendas, the city council does reserve the right to end or eliminate these public comment periods at any point if we deem the system is being abused or is no longer suitable for our meetings to be conducted efficiently and in a manner that enables us to conduct our necessary business.",6,,
27,0.97,214.28,219.252,I will as usual moderate the public comment period in the following way.,6,,
28,0.97,219.252,244.744,"Our public comment period for this meeting is ordinarily 20 minutes and each Speaker is generally given two minutes, however, today we have a rather robust signup of public Commenters, and in order to advance the interest of hearing from as many people as possible, we do have about 68 Preregistered individuals.",6,,
29,0.97,244.744,252.785,Not everybody is present but we do have a significant volume of folks who have Preregistered to give public comment.,6,,
30,0.97,252.785,262.929,So today we will allot one minute of public comment to everyone in order to maximize the opportunity to hear from as many folks as we can.,6,,
31,0.97,262.929,280.747,"We do have one exception to that rule and that is for our non-English proficient speakers who have Preregistered, for those individuals, I think we have three of those Nonenglish proficient speakers.",6,,
32,0.97,280.747,306.305,"They'll have a translation available to them and so in order to accommodate both the public comment and the translation services, we're going to allow a total of four minutes for those non-English proficient speakers to make sure we're maximizing language access to our public comment period here.",6,,
33,0.97,306.305,323.523,So I appreciate the indulgence on that particular issue to make sure that we remain accessible to non-English speakers who wish to provide the city council with public testimony on matters of importance to our agenda.,6,,
34,0.97,323.523,340.373,"So with that being said, we're going to go ahead and--just a moment, colleagues.",6,,
35,0.97,340.373,340.707,My apologies.,6,,
36,0.97,340.707,348.214,I'll call on each Speaker by name and the order in which they registered on the Council's Website.,6,,
37,0.97,348.214,359.325,"If you've not registered to speak but would like to, you can sign up by going to Seattle.Gov/Council.",6,,
38,0.97,359.325,363.796,The public comment link is also listed on today's agenda.,6,,
39,0.97,363.796,374.707,"Once I call speakers' name, staff will Unmute the microphone and an automatic prompt of you've been Unmuted is the Speaker's Cue, it is your turn to speak.",6,,
40,0.97,374.707,378.911,Please state your name and the item you're addressing.,6,,
41,0.97,378.911,383.182,The introduction referral calendar or the Council's 2020 work program.,6,,
42,0.97,383.182,389.222,Speakers will hear a Chime when 10 seconds are left of the allotted time.,6,,
43,0.97,389.222,393.359,"Once the Speaker hears the Chime, we ask you begin to wrap up your public comments.",6,,
