index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.848,16.182,Welcome back.,0,,
1,0.97,16.182,16.683,Good afternoon.,0,,
2,0.97,16.683,22.756,"June 8th, 2021 education Governance meeting will come to order at 2:02 P.M.",0,,
3,0.97,22.756,31.564,Will the clerk please call the roll?,0,,
4,0.97,31.564,38.505,Councilmember Juarez.,1,,
5,0.97,38.505,38.772,Here.,2,,
6,0.97,38.772,39.873,Councilmember Sawant.,3,,
7,0.97,39.873,40.54,Present.,4,,
8,0.97,40.54,40.974,Custom Stras.,5,,
9,0.97,40.974,41.274,Present.,6,,
10,0.97,41.274,41.674,Four present.,7,,
11,0.97,41.674,45.779,Thank you very much.,8,,
12,0.97,45.779,52.685,The agenda will be adopted without objected.,8,,
13,0.97,52.685,65.131,We don't have anyone sign up for public comments so I am not going to put us through the regular script that we usually read to open up public comment.,8,,
14,0.97,65.131,71.504,I will sort of look one more time on our public comment Sign- up sheet and confirm there is no one on it.,8,,
15,0.97,71.504,79.646,There is no one on the public comment sheet and just before we got started our I.T.,8,,
16,0.97,79.646,80.98,Folks confirmed there was no one in the Cue.,8,,
17,0.97,80.98,91.925,So we are going to go ahead and close out the period of public comments since no one is signed up.,8,,
18,0.97,91.925,95.195,I will go to items of business on the agenda.,8,,
19,0.97,95.195,100.6,Will the clerk please read agenda items one and two into the record?,8,,
20,0.97,100.6,112.812,Agenda items one and two appointments 01 4-95 and 012496 the appointments of Roy Sullivan and seal Juarez for possible vote.,9,,
21,0.97,112.812,113.112,Great.,10,,
22,0.97,113.112,118.685,I will note for the record that we have been joined by Councilmember Mosqueda.,10,,
23,0.97,118.685,118.952,Welcome.,10,,
24,0.97,118.952,120.253,Thank you very much.,11,,
25,0.97,120.253,124.557,Good to have you here.,12,,
26,0.97,124.557,124.757,Okay.,12,,
27,0.97,124.757,130.797,We will go ahead and now start on agenda items one and two.,12,,
28,0.97,130.797,131.698,Can I --,13,,
29,0.97,131.698,133.967,I am going to.,14,,
30,0.97,133.967,134.801,Okay.,15,,
31,0.97,134.801,135.001,Fine.,15,,
32,0.97,135.001,146.012,We will do some introductions in a moment for the record.,16,,
33,0.97,146.012,155.121,But Rewill hand to it central staff some back ground information about the redistricting process.,16,,
34,0.97,155.121,164.23,I will hand it over to list so he can walk us through the presentation.,16,,
35,0.97,164.23,165.999,Good afternoon.,17,,
36,0.97,165.999,166.533,List Wilson.,17,,
37,0.97,166.533,172.438,I'm excited to talk about the Seattle Commission this afternoon.,17,,
38,0.97,172.438,175.475,This is the first time that Council will appoint members for the Commission.,17,,
39,0.97,175.475,179.746,It was created by charter amend 19 and in 2013.,17,,
40,0.97,179.746,183.716,This was the Charter amendment that created Council districts.,17,,
41,0.97,183.716,200.767,Every ten years when new census data is available an boundary of Council districts are rejoined and it calls to determine the final boundaries.,17,,
42,0.97,200.767,208.975,The Council APPOINTS two members via 2/3 vote of the Council and the America's points two members and the member will appoint one additional member.,17,,
43,0.97,208.975,233.633,The duties of the Commission are to appoint a Districting master or consultant to draw maps and the public forum in each Council district and draw compact districts with population.,17,,
44,0.97,233.633,238.638,You will see some pending information to provide self support.,17,,
45,0.97,238.638,248.281,The Commission under state law is required to submitted the plan by 2022.,17,,
46,0.97,248.281,251.217,The requirements are fairly big.,17,,
