index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,21.588,22.155,Good morning.,0,,
1,0.97,22.155,24.557,"April 28th, 2021.",0,,
2,0.97,24.557,26.659,Land use and neighborhoods committee meeting will come to order.,0,,
3,0.97,26.659,27.193,It is 9:31 A.M.,0,,
4,0.97,27.193,29.062,I'm Dan Strauss.,0,,
5,0.97,29.062,29.596,"Clerk, please call rule.",0,,
6,0.97,29.596,32.031,.,1,,
7,0.97,32.031,42.308,Roll call.,2,,
8,0.97,43.443,45.311,Thank you.,3,,
9,0.97,45.311,54.721,The land use and neighborhoods Committee in the city of Seattle begins the committee by acknowledging we are on the traditional and ancestral lands of the first people of this region past and present.,3,,
10,0.97,54.721,56.489,Represented in a number of tribes and urban natives.,3,,
11,0.97,56.489,66.032,We honor with gratitude the land itself and the people of this land and we start with this acknowledgment to recognize the fact that we are guests on this land.,3,,
12,0.97,66.032,69.936,"We must be Stewarding our land as such, as guests.",3,,
13,0.97,69.936,74.24,This is not a checklist and does not give us a passport to do whatever we want or however we desire.,3,,
14,0.97,74.24,91.858,It is a reminder and a grounding for our time together to steward our work as guests as we are here for only a short period of time.,3,,
15,0.97,91.858,92.358,Thank Yo.,3,,
16,0.97,92.358,93.793,We have four items on the agenda today.,3,,
17,0.97,93.793,114.747,"A public hearing on the Department of neighborhood annual report, a presentation on the Seattle Department of Department and construction and inspections, really race and social justice and to report and a presentation on the Seattle design Commission annual report.",3,,
18,0.97,114.747,120.487,"The next meeting will be on Wednesday, may 12th starting at 9:30 A.M.",3,,
19,0.97,120.487,127.994,"Before we begin, if there is no objective or objection, the agenda will be adopted.",3,,
20,0.97,127.994,128.995,"Hearing no objection, adopted.",3,,
21,0.97,128.995,136.302,"At this time, we will open the remote public comment period for the items on today's agenda.",3,,
22,0.97,136.302,144.077,"Before we begin, we ask that everyone be patient as we learn to operate the new system.",3,,
23,0.97,144.077,162.395,"While it remains our intent to have public comment included on meeting Agendas, the city council reserves the right to end or eliminate the public comment periods at any point if it is unsuitable for allowing meetings to be conducted efficiently and in a manner we can conduct necessary.",3,,
24,0.97,162.395,164.097,I will moderate public comment in the following matter.,3,,
25,0.97,164.097,170.336,"Public, it is up to 10 minutes and each Speaker will be given two minutes to speak.",3,,
26,0.97,170.336,174.741,I will call each Speaker by name and a new order in which they register on the Council Website.,3,,
27,0.97,174.741,182.248,"If you have not yet registered to speak and would like to, you can sign up for public comment by going to the Council Website.",3,,
28,0.97,182.248,184.951,The public comment link is also listed on the agenda.,3,,
29,0.97,184.951,194.26,"When I call Speaker names, staff will Unmute the appropriate microphone and an automatic prompt when it is your turn to speak.",3,,
30,0.97,194.26,196.629,Please begin by stating her name and item for which you are addressing.,3,,
31,0.97,196.629,201.134,Speakers will hear a time when 10 seconds or left of the allotted time.,3,,
32,0.97,201.134,205.805,"When the Speaker hears the time, we ask that you begin to wrap up public comments.",3,,
33,0.97,205.805,213.279,"If speakers do not end the public comments in the allotted time provided, they may be muted after 10 seconds to allow us to call the next Speaker.",3,,
34,0.97,213.279,227.06,"When you have completed the public comment, we ask that you please Disconnect the line and he plan to continue following, please do so on the Award- winning Seattle and/or listening options provided on the agenda.",3,,
35,0.97,227.06,232.899,If there is a separate--there is a separate public comment on bringing business home immediately following public comment.,3,,
36,0.97,232.899,238.237,"If you have comments about bringing business home, please Reserve them for the public hearing.",3,,
37,0.97,238.237,240.206,"I know Andrew, I see you are signed up for both.",3,,
38,0.97,240.206,249.182,So please keep your public comments to the items on the agenda and bringing business to the public hearing.,3,,
39,0.97,249.182,254.921,The public comment period is now open and we will begin with the first Speaker on the list.,3,,
40,0.97,254.921,260.026,Good morning.,4,,
41,0.97,260.026,272.238,You are free to begin at your convenience.,4,,
42,0.97,272.238,272.472,Andrew.,4,,
43,0.97,272.472,295.128,Our first and only Speaker today is Andrew (Indiscernible) I see you are on muted.,5,,
44,0.97,295.128,297.93,To start you are hitting pound six.,5,,
45,0.97,297.93,302.368,And now you are back on mute.,5,,
46,0.97,302.368,305.038,I see you were on muted.,5,,
47,0.97,305.038,315.515,I'm not hearing you though.,5,,
48,0.97,319.452,323.056,I can hear you press thing.,6,,
49,0.97,323.056,323.69,You are back on mute.,6,,
50,0.97,323.69,334.1,Now you are off mute.,6,,
51,0.97,345.378,354.487,"Will--I'm sorry, Andrew.",6,,
52,0.97,354.487,355.488,I see you are there.,6,,
53,0.97,355.488,361.694,But I cannot hear your voice.,6,,
54,0.97,361.694,366.833,Back on mute.,6,,
55,0.97,366.833,377.043,Off mute.,6,,
56,0.97,396.929,398.431,"It, what is your suggestion at this time?",6,,
57,0.97,398.431,402.068,I can see that Andrew is off mute and I cannot hear him speak.,6,,
58,0.97,402.068,406.139,Make sure the phone itself is not muted.,7,,
59,0.97,406.139,409.976,"Andrew, you are off mute.",8,,
60,0.97,409.976,413.546,Is your phone muted?,8,,
61,0.97,413.546,422.989,We have more than one public comment or.,9,,
62,0.97,422.989,426.659,Andrew is speaking at this in the public hearing.,9,,
63,0.97,426.659,438.07,I'm using my discretion to provide a little extra time.,9,,
64,0.97,439.906,440.273,Good morning.,10,,
65,0.97,440.273,440.673,Here we go.,11,,
66,0.97,440.673,447.346,Thank you for your patience.,12,,
67,0.97,447.346,447.98,Thank you.,13,,
68,0.97,447.98,448.614,I'm so sorry.,13,,
69,0.97,448.614,449.415,I am technologically challenged.,13,,
70,0.97,449.415,449.816,So am I.,14,,
71,0.97,449.816,458.257,I will jump right in.,15,,
72,0.97,458.257,460.66,And when will that occur?,16,,
73,0.97,460.66,463.863,That is next.,17,,
74,0.97,463.863,465.398,Is is the only topic we need to discuss?,18,,
75,0.97,465.398,474.44,Yes.,19,,
76,0.97,474.44,474.974,"Hang tight, Andrew.",20,,
77,0.97,474.974,475.475,I will be here.,21,,
78,0.97,475.475,491.257,"Thank you seeing as we have no additional speakers remotely present, we will move on to the next agenda item.",22,,
79,0.97,491.257,505.872,"The first item of business today is a public hearing on the ordinance 126923, which is the bringing business home, small business flexibility bill which we adopted in March.",22,,
80,0.97,505.872,507.34,Will you please read the abbreviated title into the record.,22,,
81,0.97,507.34,511.177,Item one.,23,,
82,0.97,511.177,520.987,"Counsel bill 120001/Ordinance 126293 126293, bringing business home, public hearing.",23,,
83,0.97,520.987,528.194,"Quito, will you get us started with a very brief overview of the legislation we adopted before I open the public hearing?",24,,
84,0.97,528.194,529.495,I will just share my screen.,25,,
85,0.97,529.495,532.098,A very quick presentation.,25,,
86,0.97,532.098,545.711,"I will remind Councilmembers about the posture, answer a question that some folks may have as to why the Council is holding a hearing after passing the ordinance.",25,,
87,0.97,545.711,555.021,Talk with the legislative history and briefly remind the committee about what the ordinance does and does not do.,25,,
88,0.97,555.021,569.635,"With respect to perfusion--procedural posture, as Councilmembers no, land use legislation comes with more requirements on other pieces of legislation that the Council considers.",25,,
89,0.97,569.635,575.308,Specifically there are two things that need to happen before Council act on most pieces of land use legislation.,25,,
90,0.97,575.308,580.746,There has to be a review pursuant to the state of the environment the policy Act and there has to be a public hearing.,25,,
91,0.97,580.746,595.294,Ordinance 126293 is authorized pursuant to 367-8390 which is the giving the local government the opportunity to enact regulations more quickly if they are temporary regulations.,25,,
92,0.97,595.294,612.278,So that is the authority of the Council acted when approving--acted under when approving ordinance 126293.,25,,
93,0.97,612.278,624.39,"(Indiscernible) so March 15th, the purpose of the ordinance is to provide temporary regulatory flexibility for Home-Based businesses so that they can operate with fewer restrictions during the Covid-19 civil emergency.",26,,
94,0.97,624.39,631.664,This may allow some businesses to remain operating during the pandemic and could see the economic recovery.,26,,
95,0.97,631.664,637.87,"The provisions in the bill, so the relaxed regulatory requirements expired in April of 2022.",26,,
96,0.97,637.87,649.715,The bill also contains a work program to propose permanent changes to home occupation regulations and doesn't describe what those permanent changes might be.,26,,
97,0.97,649.715,659.225,The council could be considering permanent changes Úabout nine months or so from now.,26,,
98,0.97,659.225,665.031,I will remind the committee about what ordinance 126293 does and does not do.,27,,
99,0.97,665.031,665.965,Relaxes certain performance standards.,27,,
100,0.97,665.965,674.04,The city regulates almost exclusively through performance standards and is not a permanent Acquirement for home occupation.,27,,
101,0.97,674.04,689.555,It is a land use permit requirement for a land use it relaxes performance standards for up to one year and those standards include the number of employees that can work at a home business and the type of customer visits.,27,,
102,0.97,689.555,691.057,Customer visits don't have to be by appointment.,27,,
103,0.97,691.057,696.862,They can be woke up visits the use of required parking for home occupation.,27,,
104,0.97,696.862,704.77,"So if you have a garage with a required parking space, you can use your garage while the ordinance is in effect.",27,,
105,0.97,704.77,713.946,Limitations on increased have traffic and parking demand is removed from most home occupations and a limitation on the Noncommercial appearance of home occupations.,27,,
106,0.97,713.946,718.751,That limitation is also removed for the duration of the ordinance.,27,,
107,0.97,718.751,732.398,"When the regulations and the ordinance expire, if they do expire, home occupations that have been modified pursuant to the relaxed--have to be returned to the proper state.",27,,
