index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.446,14.114,"Okay, let's go.",0,,
1,0.97,14.114,19.886,"So good afternoon, this is the meeting of the public assets and native communities committee.",1,,
2,0.97,19.886,25.425,The date is March 2ND and the time is 2:00.,1,,
3,0.97,25.425,27.961,My name is Debora Juarez.,1,,
4,0.97,27.961,29.629,I'm chair of the committee.,1,,
5,0.97,29.629,34.701,Clerk will you please call the roll.,1,,
6,0.97,34.701,35.101,Clerk.,1,,
7,0.97,35.101,38.805,Council member Pedersen.,2,,
8,0.97,38.805,39.439,Here.,3,,
9,0.97,39.439,45.412,Council member Mosqueda.,4,,
10,0.97,45.412,45.712,Present.,5,,
11,0.97,45.712,47.58,Council member Herbold.,6,,
12,0.97,47.58,48.281,Council member Sawant.,6,,
13,0.97,48.281,49.249,Present.,7,,
14,0.97,49.249,50.517,Four members present.,8,,
15,0.97,50.517,51.117,Thank you.,9,,
16,0.97,51.117,55.422,So we move to approval of the agenda.,9,,
17,0.97,55.422,55.889,There's no objection.,9,,
18,0.97,55.889,57.924,The agenda will be adopted.,9,,
19,0.97,57.924,60.427,"Hearing no objection, the agenda is adopted.",9,,
20,0.97,60.427,62.829,I will now move to the chair.,9,,
21,0.97,62.829,78.244,"Welcome to the public assets and native communities Committee for 2021, today we'll hold a hearing on 32 appeals of the hearing examiners initial report on the waterfront lid number 7651.",9,,
22,0.97,78.244,79.846,That's the final assessment role.,9,,
23,0.97,79.846,85.418,"We received the final report on February 1, Monday February 1, 2021.",9,,
24,0.97,85.418,96.129,This committee will meet again on April 6 to hear additional appeals of the hearing examiners initial report and hearing examiners final report.,9,,
25,0.97,96.129,101.868,"Because the appeals are quasi judicial matters, the committee is not able to accept public comment.",9,,
26,0.97,101.868,107.207,The Council rules will have to be suspended while the committee is hearing the appeals.,9,,
27,0.97,107.207,131.464,"If there's no objection, the Council will be ready to provide public comment at committee meetings will be suspended to not allow public comment today or at the April6 public assets and natives community meetings.",9,,
28,0.97,131.464,132.132,Hearing no objection.,9,,
29,0.97,132.132,144.21,And we will be walked through the standard of review and scope of the committee's recommendation.,9,,
30,0.97,144.21,147.614,He's given guiding materials well ahead of this meeting.,9,,
31,0.97,147.614,151.251,"Before we begin, Eric I want to thank you.",9,,
32,0.97,151.251,156.956,I was able to read the memo and the attachments listing the 32 appeals.,9,,
33,0.97,156.956,164.364,The third attachment in regards to the references to the record from the assessment role hearing on the waterfront lid.,9,,
34,0.97,164.364,176.476,Basically these are the references that are in Eric's memos and there are five of them.,9,,
35,0.97,176.476,179.412,And the Linkss are there that also includes the objections.,9,,
36,0.97,179.412,182.315,These are all the documents listed in Eric's memos.,9,,
37,0.97,182.315,185.518,So you can go and click and open each one of them up.,9,,
38,0.97,185.518,189.188,That actually provides the line up information.,9,,
39,0.97,189.188,189.789,So with that.,9,,
40,0.97,189.789,197.263,Negine can we start the hearing.,9,,
41,0.97,197.263,199.599,Can you please read item one into the record.,9,,
42,0.97,199.599,201.067,All right agenda item one.,10,,
43,0.97,201.067,211.945,Hearing on appeals to the findings and recommendation of the hearing Examiner on the final assessment role for the waterfront local improvement district number 6715.,10,,
44,0.97,211.945,212.579,Thank you Negine.,11,,
45,0.97,212.579,231.965,I will open a hearing on the appeals to the findings and recommendations by the hearing Examiner on the final assessment role for the water improvement district 6715 that are in clerk file.,11,,
46,0.97,231.965,235.568,Can you please walk us through your presentation.,11,,
47,0.97,235.568,238.237,Good afternoon I'm Eric and I work on the central staff.,12,,
48,0.97,238.237,242.809,I will move through some background information and as the chair described.,12,,
49,0.97,242.809,253.72,We talked about the standard of review and scope of recommendations for appeals as noted I provided a memo with some attachments in advance.,12,,
