index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.941,12.012,"Thank you, good afternoon.",0,,
1,0.97,12.012,13.179,"Today is Monday, September 12.",0,,
2,0.97,13.179,16.883,The Council briefing meeting will come to order.,0,,
3,0.97,16.883,17.717,It is now 2:01.,0,,
4,0.97,17.717,23.423,Will the clerk please call the roll?,0,,
5,0.97,23.423,26.526,Councilmember Lewis?,1,,
6,0.97,26.526,27.494,Present.,2,,
7,0.97,27.494,31.097,Councilmember Morales?,3,,
8,0.97,31.097,31.498,Here.,4,,
9,0.97,31.498,33.366,Councilmember Mosqueda?,5,,
10,0.97,33.366,33.967,Present.,6,,
11,0.97,33.967,37.57,Councilmember Nelson?,7,,
12,0.97,37.57,39.239,Present.,8,,
13,0.97,39.239,41.307,Councilmember Peterson?,9,,
14,0.97,41.307,44.477,Present.,10,,
15,0.97,44.477,46.045,Councilmember Sawant?,11,,
16,0.97,46.045,46.813,Present.,12,,
17,0.97,46.813,50.417,Councilmember Strouse.,13,,
18,0.97,50.417,51.051,Present.,14,,
19,0.97,51.051,51.584,Councilmember Herbled?,15,,
20,0.97,51.584,51.818,Here,16,,
21,0.97,51.818,53.686,President?,17,,
22,0.97,53.686,53.987,Present.,18,,
23,0.97,53.987,54.287,All present.,18,,
24,0.97,54.287,54.654,Thank you.,19,,
25,0.97,54.654,56.256,We want approval of the minutes.,19,,
26,0.97,56.256,63.296,"The approval of the minutes of August 15, 2022 will be adopted.",19,,
27,0.97,63.296,65.965,"Not seeing an objection, the minutes are Adoptsed.",19,,
28,0.97,65.965,74.874,"Moving to the President's report, on today's agenda we have a proclamation for signature recognizing September as children's cancer Awareinize month.",20,,
29,0.97,74.874,78.244,I will be speaking to this in a moment.,20,,
30,0.97,78.244,87.72,"We also have a presentation regarding initiative 135, the social housing initiative which received sufficient signatures to be considered by this body for the ballot.",20,,
31,0.97,87.72,90.356,Aimo Gore of central staff will be presenting.,20,,
32,0.97,90.356,97.73,You should all have received a copy of her Powerpoint last week with the agenda.,20,,
33,0.97,97.73,108.942,"The Council will choose whether to put initiative 135 directly into law, send it to the ballot, or propose an alternative for consideration on the ballot.",20,,
34,0.97,108.942,116.816,"Following our individual reports, we will have two executive sessions at the end of our meeting today regarding some legal matters.",20,,
35,0.97,116.816,120.653,"On tomorrow's agenda, the consent calendar will include the minutes and payment of the bills.",20,,
36,0.97,120.653,123.123,We will take one vote on all of the items.,20,,
37,0.97,123.123,130.296,"If there is anyone who wants to remove any of the items, we will discuss them at the end of the Ageneda.",20,,
38,0.97,130.296,134.868,We will be voting on 12 of the 13 items on the agenda.,20,,
39,0.97,134.868,140.907,"The first item is a clerk filed to extend the deadline for surveillance, technology, review reports.",20,,
40,0.97,140.907,146.246,"The second item is the initiative 135, certificate of sufficiency.",20,,
41,0.97,146.246,152.051,"Please know that because this item has not had a committee review, we will be holding this item for one week.",20,,
42,0.97,152.051,156.122,"We expect to take action on it Tuesday, September 20th.",20,,
43,0.97,156.122,164.497,Item number 3 on tomorrow's agenda is a resolution celebrating the 50th anniversary of the discovery park master plan.,21,,
44,0.97,164.497,168.001,I believe Councilmember Lewis will be speaking to this.,21,,
45,0.97,168.001,181.381,Items 4 and 5 regarding the green new deal were recommended unanimously by the Finance and housing committee and Councilmember Mosqueda will walk us through those items.,21,,
46,0.97,181.381,186.352,The next one is the garden house recommended by the public assets committee as well.,21,,
47,0.97,186.352,190.189,Councilmembers will speak to that as well.,21,,
48,0.97,190.189,197.096,Item 7-13 came out of a very Piy transportation and public utilities meeting.,21,,
49,0.97,197.096,203.67,I will allow Councilmember Peterson to speak to these when we get to the individual reports or that portion of the agenda.,21,,
50,0.97,203.67,207.44,Information on all of these items are available on the Online agenda.,21,,
51,0.97,207.44,217.15,"So it looks like tomorrow we will be hearing from Councilmember Lewis, MOS Keda, and Councilmember Peters.",21,,
52,0.97,217.15,221.221,"Moving on to Agend Aitem number 3, signing of letters and proclamations.",21,,
53,0.97,221.221,234.601,"I have a proclamation I would like to share with my colleagues and the public, proclaiming September 2022 to be the childhood cancer awareness month.",21,,
54,0.97,234.601,238.071,This was distributed to your offices last week for your consideration.,21,,
55,0.97,238.071,245.578,I will ask for any additional feedback before I request my colleagues to affix their signatures.,21,,
56,0.97,245.578,255.722,I'm pleased to bring forward today a proclamation recognizing the September as childhood cancer awareness death.,21,,
57,0.97,255.722,264.664,"Cancer is the leading cause of death of children affecting 285,000 children in the United States.",21,,
58,0.97,264.664,270.903,"There are approximately 40,000 children in active treatment at any given time in the United States.",21,,
59,0.97,270.903,273.94,One in five Unfortunately will lose that battle.,21,,
60,0.97,273.94,280.38,Today we recognize that the work of organizations helping children and their families.,21,,
61,0.97,280.38,301.2,"This proclamation was requested by the National kids cancer connection which joins organizations such as the American childhood cancer organization in providing educational, emotional, and financial support to families with children facing this terrible disease, cancer.",21,,
62,0.97,301.2,313.112,We would also like to recognize the work of Seattle children's hospital which works tirelessly with the hospital located in Tacoma to help families and children facing cancer here in our region.,21,,
63,0.97,313.112,322.388,"Today with this proclamation, we recognize the many professionals who work tirelessly in fighting childhood cancer.",21,,
64,0.97,322.388,322.722,Thank you.,21,,
65,0.97,322.722,332.732,Are there any comments on this proclamation or questions before I move forward?,21,,
66,0.97,332.732,334.967,Thanks.,21,,
67,0.97,334.967,336.736,Not seeing any.,21,,
68,0.97,336.736,337.203,Any further Discussin?,21,,
69,0.97,337.203,347.58,Will the clerk call the roll to find out which Councilmembers wish to Offic their signatures to the proclamation.,21,,
70,0.97,347.58,349.382,Councilmember Lewis?,22,,
71,0.97,349.382,349.749,Yes.,23,,
72,0.97,349.749,353.553,Councilmember Morales?,24,,
73,0.97,353.553,354.02,Yes.,25,,
74,0.97,354.02,358.057,Councilmember Mosqueda?,26,,
75,0.97,358.057,358.925,Yes.,27,,
76,0.97,358.925,360.66,Councilmember Nelson?,28,,
