index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.009,11.711,Now recording and you're ready to two.,0,,
1,0.97,11.711,20.587,"May 17, 2021 meeting of the Seattle city council will come to order.",1,,
2,0.97,20.587,22.455,It is 2:01 P.M.,1,,
3,0.97,22.455,26.459,On Lisa Herbolt President Protem of the city council.,1,,
4,0.97,26.459,36.503,Will the clerk please call the roll.,1,,
5,0.97,36.503,41.107,Peterson.,2,,
6,0.97,41.107,41.708,Present.,3,,
7,0.97,41.708,43.41,Sawant.,4,,
8,0.97,43.41,44.411,Present.,5,,
9,0.97,44.411,44.711,Morales.,6,,
10,0.97,44.711,46.579,Here.,7,,
11,0.97,46.579,50.316,Mosqueda.,8,,
12,0.97,50.316,50.617,Present.,9,,
13,0.97,50.617,51.885,Council President Protem Herbolt.,10,,
14,0.97,51.885,52.185,Present.,11,,
15,0.97,52.185,54.587,I'm not aware of a presentation for today.,12,,
16,0.97,54.587,57.791,We'll move on to the approval of the minutes.,12,,
17,0.97,57.791,69.302,"The minutes of the city council meeting of May 17, 2021 have been reviewed, if there is no objection, minutes will be signed.",12,,
18,0.97,69.302,72.639,"Hearing no objection, the minutes are being signed.",12,,
19,0.97,72.639,77.844,Will the clerk please affix my signature to the minutes.,12,,
20,0.97,77.844,83.817,Moving on to the approval of the introduction and referral calendar.,12,,
21,0.97,83.817,89.556,If there's no objection.,12,,
22,0.97,89.556,94.394,The introduction and referral calendar will be adopted.,12,,
23,0.97,94.394,95.662,Hearing no objection.,12,,
24,0.97,95.662,99.532,The introduction and referral calendar is adopted.,12,,
25,0.97,99.532,103.303,Next we have approval of the agenda.,12,,
26,0.97,103.303,108.308,"If there is no objection, the agenda will be adopted.",12,,
27,0.97,108.308,116.549,"Again hearing no objection, the agenda is adopted.",12,,
28,0.97,116.549,123.323,Colleagues next we'll be opening the remote comment period for items on the city council agenda.,12,,
29,0.97,123.323,128.928,The introduction and the Council's work program.,12,,
30,0.97,128.928,135.869,I thank everyone for everyone's ongoing patience and cooperate as we continue to operate these remote public comment system.,12,,
31,0.97,135.869,142.308,It remains the strong intent of the city Council to have remote public comment regularly included on the agenda.,12,,
32,0.97,142.308,151.317,As a reminder the city council reserves the right to end or eliminate these public comment periods at any point.,12,,
33,0.97,151.317,161.728,If we deem is system is being abused or no longer suitable for allowing the meeting to be conducted effectively.,12,,
34,0.97,161.728,165.999,We'll moderate the public comment period in the following matter.,12,,
35,0.97,165.999,168.868,We have 76 speakers signed up for public comment.,12,,
36,0.97,168.868,170.737,If there is no objection.,12,,
37,0.97,170.737,181.114,Agenda will be remanded to extend the public comment period for this meeting from 20 minutes to 60 minutes.,12,,
38,0.97,181.114,189.022,And each Speaker will be given 1 minute to speak.,12,,
39,0.97,189.022,195.361,"Hearing no objection, the agenda is amended to allow for 60 minutes of public comment.",12,,
40,0.97,195.361,202.969,Speakers will be called on in the order in which they are registered by public comment on the Council's Website.,12,,
41,0.97,202.969,208.841,Each Speaker will call in from the phone number used for this registration.,12,,
42,0.97,208.841,220.72,And using the meeting phone number Id and pass code that was E-Mailed to them upon confirmation.,12,,
43,0.97,220.72,223.256,And with line call in information.,12,,
44,0.97,223.256,228.695,I'll call on each Speaker by name and the order in which they registered in the county's Website.,12,,
45,0.97,228.695,238.037,"If you have not yet registered to speak but would like to, you can do so by going to the Council's Website.",12,,
46,0.97,238.037,248.181,The public comment link is also on tonight's agenda.,12,,
47,0.97,248.181,256.589,"Once I call the Speaker, and once I say you have been Unmuted the Speaker must press Star six to begin speaking.",12,,
48,0.97,256.589,262.729,Let's begin by saying your name and the item that you're addressing.,12,,
49,0.97,262.729,267.734,As a reminder public comment relate to an item on today's agenda.,12,,
50,0.97,267.734,271.771,The referral calendar or the Council's work program.,12,,
51,0.97,271.771,275.708,Speakers will hear a time when 10 second are left on the allotted time.,12,,
52,0.97,275.708,279.746,Once you hear the Chime we ask that you begin to wrap up your public comment.,12,,
53,0.97,279.746,289.122,If speakers do not end their comments at the end of their allotted time Provisitted speakers microphone will be muted allow us to call on the next Speaker.,12,,
54,0.97,289.122,293.459,Once you have completed your public comment we ask that you Disconnect from the line.,12,,
55,0.97,293.459,303.636,"If you plan to complete following the meeting, you can do so via the Seattle channel or the listening items.",12,,
56,0.97,303.636,309.208,Public comment is now open and will begin with the first Speaker on the list.,12,,
57,0.97,309.208,315.481,Again plea remember to dial Star six after you hear the prompt of you have been Unmuted.,12,,
58,0.97,315.481,321.387,"I will read the first two speakers into, into the record.",12,,
59,0.97,321.387,328.961,We have Howard Bell followed by Steve Cooper.,12,,
60,0.97,328.961,329.329,Howard.,12,,
61,0.97,329.329,349.916,"Good afternoon, Howard Dale district 7. next month will be the four year anniversary of the SPD murder of Charlene Lyles leaving her four children Motherless.",13,,
62,0.97,349.916,359.325,"After that murder, council member, Sawant, and Gonzalez said they were deeply distraught.",13,,
63,0.97,359.325,372.939,Last week marked the two year anniversary of the SPD murder of Ryan Smith and two days from now on Wednesday we will mark the one year anniversary of the SPD murder of Terry Caver.,13,,
