index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.847,17.617,Good morning everyone.,0,,
1,0.97,17.617,19.018,Welcome back.,0,,
2,0.97,19.018,26.326,"The April 5th, 2021 Council briefing meeting will now come to order.",0,,
3,0.97,26.326,28.528,The time is 9:31 A.M.,0,,
4,0.97,28.528,40.54,"Colleagues, as we discussed last week, Councilmember Strauss is not going to be able to join us today at Council briefing or at the city council meeting.",0,,
5,0.97,40.54,41.541,He has been excused for both.,0,,
6,0.97,41.541,42.542,He is serving jury duty.,0,,
7,0.97,42.542,44.677,He will not be with us this morning.,0,,
8,0.97,44.677,48.948,"That being said, will the clerk please call the roll?",0,,
9,0.97,48.948,50.25,Mike Pedersen?,0,,
10,0.97,50.25,51.851,Here.,1,,
11,0.97,51.851,54.754,Present.,2,,
12,0.97,54.754,55.522,Present.,3,,
13,0.97,55.522,56.022,Herbold?,4,,
14,0.97,56.022,59.025,Juarez.,5,,
15,0.97,59.025,60.026,Here.,6,,
16,0.97,60.026,61.428,Lewis?,7,,
17,0.97,61.428,62.829,Their present.,7,,
18,0.97,62.829,64.664,Morales.,8,,
19,0.97,64.664,68.168,Mosqueda.,9,,
20,0.97,68.168,68.568,Present.,10,,
21,0.97,68.568,70.17,Council President Gonzalez.,11,,
22,0.97,70.17,71.371,Here.,12,,
23,0.97,71.371,74.073,Six present.,13,,
24,0.97,74.073,77.744,Thank you so much.,14,,
25,0.97,77.744,83.183,"If there is no objection the minutes of March 29th, 2021 will be adopted.",14,,
26,0.97,83.183,85.185,"Hearing no objection, the minutes are adopted.",14,,
27,0.97,85.185,98.431,"President's report, I do not have a President's report this morning so we will just dive right into the state and legislative session update and we handed over to director Lily Wilson-Codega to do a round of introductions and kickoff the report.",14,,
28,0.97,98.431,103.102,"Thank you Council President, Lily Wilson-Codega.",15,,
29,0.97,103.102,107.574,Director of the office of Intergovernmental relations.,15,,
30,0.97,107.574,112.479,"Robin Koskey, deputy director.",16,,
31,0.97,112.479,114.414,"Quinn Majeski, state relations director.",17,,
32,0.97,114.414,120.086,"Hannah Smith, government affairs program director.",18,,
33,0.97,120.086,126.092,Good morning everyone.,19,,
34,0.97,126.092,127.527,Thank you for making the time today.,19,,
35,0.97,127.527,134.801,We are before you with a state legislative briefing with approximately three weeks left in the 2021 legislative session.,19,,
36,0.97,134.801,138.304,We did a brief overview of budget highlights at our last briefing.,19,,
37,0.97,138.304,145.745,We looks forward to spending some additional time with you today on each chamber's operating proposals.,19,,
38,0.97,145.745,148.147,Given the outlook is much different than we had anticipated.,19,,
39,0.97,148.147,154.554,With the influx of Federal dollars to the state from the American rescue plan act dollars.,19,,
40,0.97,154.554,162.629,These final weeks of session will be focused on the 2021/2023 priority.,19,,
41,0.97,162.629,168.334,Both chambers are working long days into the night and some weekends on the floor.,19,,
42,0.97,168.334,175.441,Both the house and the Senate today will be spending full days on the floor considering bills that have not yet died.,19,,
43,0.97,175.441,182.549,The remaining two weeks of session will be used for each chamber to reconcile differences in the legislation.,19,,
44,0.97,182.549,186.786,As they have changed as they move between the two chambers.,19,,
45,0.97,186.786,196.763,"I also want to highlight one of the Council's top, highest priorities, capital gains, continues to advance this session.",19,,
46,0.97,196.763,204.07,"While we don't have a ton to report there, when will speak to this more in depth.",19,,
47,0.97,204.07,207.106,We are thrilled to report that is Referenced in both the health and Senate budgets.,19,,
48,0.97,207.106,213.813,"I will also note that the human services investments, Hannah will be speaking to in her portfolio, are just remarkable.",19,,
49,0.97,213.813,229.429,"The scale of these investments and their ability to help our most Foldable families, parents, issues around Childcare, affecting our most Foldable, Dmu did and refugee.",19,,
50,0.97,229.429,235.134,"That we have seen at the Federal level, the state has really stepped up.",19,,
51,0.97,235.134,237.337,I am very much looking forward to 100S report today.,19,,
52,0.97,237.337,244.11,Robin will also speak to some remarkable investments in the capital budget around housing and homelessness.,19,,
53,0.97,244.11,256.055,With some exciting news on the expansion for rapid opposition funding and we have a specific ask for you that I know she will be holding until the end to help us break some of those funds lose.,19,,
54,0.97,256.055,261.761,We have [Indiscernible] April 2ND.,19,,
55,0.97,261.761,267.233,"The cut off is coming up on Sunday, April 11th.",19,,
56,0.97,267.233,270.87,"The last day of the legislative session is scheduled to be Sunday, April 25th.",19,,
57,0.97,270.87,276.576,"I will now turn it over to Quinn Majeski, our state relations director for a state budget update and Council priority highlights.",19,,
58,0.97,276.576,285.285,"Good morning, Council members, thank you as always for having us.",20,,
59,0.97,285.285,289.389,"In the budget and revenue space, last week we covered a lot of the salient highlights of the different budgets.",20,,
60,0.97,289.389,303.603,"In delivering the Council bulletin over the weekend, Hannah also provided a more in depth overview of the capital and operating budgets.",20,,
61,0.97,303.603,307.874,"Which in the interest of time, I think we are not going to go through item by item.",20,,
62,0.97,307.874,319.619,"If there any questions about particular items, we are happy to address those or look into them as Councilmembers are interested.",20,,
63,0.97,319.619,335.501,"In terms of the overall developments on the budgets, last week both the house and the Senate passed their proposals, their operating capital and transportation proposals on various days.",20,,
64,0.97,335.501,347.847,"Those are all now queued up for the budget leaders, the chairs, vice chairs, and drinking members, to begin negotiations across the chambers.",20,,
65,0.97,347.847,370.436,"Given the fact that there is a pretty significant amount of Federal resources available, as well as the continued improvement of the overall--the state's overall revenue forecast, I do believe that the budgets are not as far apart as they have been in previous years.",20,,
66,0.97,370.436,376.342,The starting point for negotiations should be a relatively good one.,20,,
67,0.97,376.342,378.878,There are differences that budget leaders will need to address.,20,,
68,0.97,378.878,387.687,"Both budgets, as Lily mentioned, to include the capital gains tax.",20,,
