index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.414,21.654,Good evening everyone thank you for joining this committee meeting.,0,,
1,0.97,21.654,32.899,"This is a special public hearing to hear from members of the public, the date November 10th, 2021 and the time is 5:32 P.M.",0,,
2,0.97,32.899,40.006,Please call the.,0,,
3,0.97,40.006,68.535,"[roll call] spot thank you, nine present.",1,,
4,0.97,68.535,91.558,"Thank you very much, we're going to have translation with us, I want to welcome to the committee meeting and thank him for the opportunity to provide translation, I will reap the first portion of my transcript orienting us and then when we get to the end I will turn it over.",2,,
5,0.97,91.558,99.199,Thank you very much for joining us this morning to go through the details and the truth about what is in the proposed budget.,2,,
6,0.97,99.199,111.578,Appreciate your time and attention to this conversation we were having about the proposed budget as well as the community members who have been tuning in.,2,,
7,0.97,111.578,126.559,"If you have Emailed my office about SPD related items you will be receiving momentarily a summary of what is in the budget much to the, to correct much of the information I want to make sure the information is clear.",2,,
8,0.97,126.559,135.168,"There is no cut to existing Seattle police officers, there is no cut to the proposed hiring plan.",2,,
9,0.97,135.168,142.909,Comments to the contrary are counter to what is included in this Proposedbudget.,2,,
10,0.97,142.909,156.789,"Over $26 million included for overtime staffing, there is over $4 million included free discretionary purpose and I.T.",2,,
11,0.97,156.789,159.025,Systems totally $4 million.,2,,
12,0.97,159.025,168.301,Please NOTE it is important the correct information is shared with you in case you have concerns about the misinformation you received today.,2,,
13,0.97,168.301,174.641,That is an advisory in case anyone is calling in on that.,2,,
14,0.97,174.641,189.556,I'm sure that we Pre-Proposals to decrease or increase but I wanted to make sure everyone on a baseline understanding of what the truth was and there is no cut to existing officers or cuts to the proposed hiring plan.,2,,
15,0.97,189.556,192.225,With that I will get into my script.,2,,
16,0.97,192.225,201.834,Thank you again for joining us today to provide translation for members of the public who request translation services in advance.,2,,
17,0.97,201.834,208.975,We will be translating open remarks and directions on how to participate in today's public hearing.,2,,
18,0.97,208.975,222.689,In addition to providing translation for the public comment for members providing comments in Spanish we will be translating comments to English for those who wish to testify in Spanish only today.,2,,
19,0.97,222.689,242.909,For future language access request please make sure to contact from my office that is a request we ask of you 72 hours in advance of committee meetings to make sure we can accommodate your request.,2,,
20,0.97,242.909,248.514,The next public hearing is next week on Thursday 9:30 A.M.,2,,
21,0.97,248.514,267.567,We have approximately 4 1/2 hours with a public testimony this evening if everybody who has signed up is offered one I know how important it is to hear from community members so that's why you all have coordinated town halls office hours and more to help with today's budget.,2,,
22,0.97,267.567,279.412,I have heard from folks even before we began to have our discussions specifically about the proposed budget about what we need in this time of Covid.,2,,
23,0.97,279.412,308.374,"We want to make sure the budget process is an opportunity for constituents, advocates and members of the community to provide deliberate public engagement opportunities and to be with us . transparency, accountability and good Governance means the special process has to be more than checking a box and understanding the proposed budget that's why we hold public hearings.",2,,
24,0.97,308.374,320.887,The proposed but it was not developed with public hearings like this and it is the council as the legislative branch responsibility to develop the final budget that requires us to set aside time to engage with constituents like we are doing tonight.,2,,
25,0.97,320.887,332.565,"I will pause, if you have access to the script and I will let you go head and if it's not word for word that's okay the general sentiment is included.",2,,
26,0.97,332.565,334.4,Thank you.,2,,
27,0.97,334.4,338.504,Yes Ma'am.,3,,
28,0.97,338.504,347.113,I just got the script at this moment whenever you started saying colleagues today we have joining us today correct?,3,,
29,0.97,347.113,349.215,Correct.,4,,
30,0.97,349.215,353.453,Here goes.,5,,
31,0.97,355.521,612.678,[speaking in foreign language] [speaking in foreign language] [speaking in foreign language] [speaking in foreign language] [speaking in foreign language] [speaking in foreign language],5,,
32,0.97,642.942,648.014,Thank you very much.,6,,
33,0.97,648.014,656.922,Included my final comments so summarizing the last two sentences thank you.,6,,
