index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,2.435,3.169,The meeting.,0,,
1,0.97,3.169,5.638,"Hello, good afternoon everyone.",0,,
2,0.97,5.638,9.075,"April 5th, 2021 meeting will now come to order.",0,,
3,0.97,9.075,11.478,It is 2:00 P.M.,0,,
4,0.97,11.478,14.08,Of the clerk please call the roll?,0,,
5,0.97,14.08,15.949,Pedersen?,1,,
6,0.97,15.949,16.95,Here.,2,,
7,0.97,16.95,18.585,Sawant?,3,,
8,0.97,18.585,20.453,Present.,4,,
9,0.97,20.453,21.521,Her most?,5,,
10,0.97,21.521,24.691,Juarez?,6,,
11,0.97,24.691,26.359,Here.,7,,
12,0.97,26.359,28.094,Lewis?,8,,
13,0.97,28.094,29.963,Present.,9,,
14,0.97,29.963,30.997,Morales?,10,,
15,0.97,30.997,32.799,Here.,11,,
16,0.97,32.799,34.067,Mosqueda?,12,,
17,0.97,34.067,35.001,Here.,13,,
18,0.97,35.001,38.471,Council President Gonzalez.,14,,
19,0.97,38.471,39.305,Present.,15,,
20,0.97,39.305,41.508,Seven presents.,16,,
21,0.97,41.508,49.315,"Councilmember Stouts will be excused from today's meeting and from the April 19, 2021 meeting.",16,,
22,0.97,49.315,57.023,"Hearing no objection, Councilmember Stross is excused from today's meeting and be April 19th meeting.",16,,
23,0.97,57.023,65.732,Councilmember wars has a proclamation honoring Marcella's Turner for his service as chief librarian.,17,,
24,0.97,65.732,72.472,Councilmember Juarez will first present the proclamation and then I will open the floor for comments.,17,,
25,0.97,72.472,80.413,After that we will suspend the roles to allow our guest to accept the proclamation and provide compliments.,17,,
26,0.97,80.413,83.016,"Thank you, Council President.",18,,
27,0.97,83.016,85.251,Good afternoon colleagues.,18,,
28,0.97,85.251,100.066,"I am presenting a proclamation signed last Monday, March 29th, by both Mayor Durkan and all of Seattle city Council to honor the chief librarian, Mr. Turner for his 10 years of service.",18,,
29,0.97,100.066,106.573,Seattle is a city of readers.,18,,
30,0.97,106.573,108.408,The library circulated over 12 million books and materials.,18,,
31,0.97,108.408,111.678,There were over 17 million visits and that you're alone.,18,,
