index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.006,6.072,,0,,
1,0.97,6.072,26.826,Thank you for joining the select budget committee for the Seattle city council . I am the chair of the budget select committee . can you please call the roll?,1,,
2,0.97,43.143,44.21,There are nine present.,2,,
3,0.97,44.21,143.343,Thank you for joining us today . today's the last day of the select budget committee meeting . We will do most of our technical votes to wrap up the discussion that we had on Monday November 21st . It comprised of all of the amendments for the balancing packager today . We allow for the finalization of quality control technical aspects of th budget to make sure we did a full rollup of all of those series of amendment items for us . There will be a final violence package for the biannual budget and then we wil take a series of this legislation to the Council tomorrow afternoon at 2:00 they will then have the opportunity to have a Walk-Through of all budget related bills for tomorrow afternoon . I will be saving the majority of my comments for tomorrow and I want folks to know Procedurally we will get through the aspects of the Fina budget votes today and then I will have my final comments tomorrow . feel free to make your request today or tomorrow before counsel . Today the agenda is in front of us and I does include a series of technical amendments . The final action 2023 balancing package.,3,,
4,0.97,143.343,145.678,If there is no objection I move to approve today's agenda.,3,,
5,0.97,145.678,146.112,Second.,4,,
6,0.97,146.112,173.606,Hearing no objection the agenda is now adopted . I do understand that there is a central staff presentation that we will have an opportunity to do a Walk-Through of all of the amendments . So first I'm going to turn it over to deputy director Penny G and director handy from central staff to WAL us through this procedural aspects to Orient folks as to what is on the agenda for today,5,,
7,0.97,173.606,184.183,Thank you and good morning.,6,,
8,0.97,186.553,364.297,I'm happy to report today that this is the final step in the deliberation of the 23-2024 budget . If you can move on to the next slide? there are six items for committee consideration . The first is an amendment to make a technical Correctional action that the city voted to approve last week this is making a correction or the wrong fund was selected so the overall spending does not change it was just a technical correction was necessary for us to balance . There also clerk files to make a final recommendation . This is where the Mayor's proposed budget and capital improvement project AR filed and where the changes are also filed . So this is not voting to approve or disapprove of any changes it's just voting to approve the filing of the clerk files . and then finally there to counsel budget items the comprise of legislation ultimately adopt the 2020 budge and endorse the 2024 budget . I included the updated attachment to the Council bill on today' agenda . that includes everything that the Council has made on the budget here . for the final Council action there three pieces of budget legislation up for consideration . 24 of those 28 pieces are proposed to be on the consent calendar and will B acted on with one vote unless one gets removed for individual consideration . The budget adoption ordinance and the endorsement resolution will be considered individually and that is typically where they make final comments about the proposed put budget and then following those items of the final votes on the property TA bills they give voted after it is adopted . before the committee acts on the final technical budget items I wanted to return us where we started this conversation in terms of the balancing package and future Sustainability for the general fund . This is been an ongoing conversation with the Finance Committee and the select budget committee . This is about the general fund at on .6 billion of the city budget.,6,,
9,0.97,364.297,415.181,And this is where the city has the greatest flexibility and funding . on this chart the blue line is expected expenditures and the Redline is projected revenues . The first slide shows the executive proposed budget and what the projected general fund cap was . with an average operating gap of about 190 million dollars . the next slide is the final package for the counsel . You will recall two weeks ago in the initial Packag was here it shows an average operating gap of about 250 million . After all amendments were considered were things AR edited is the projected gap of about 214 million . This is primarily due to the revenue forecast of the counsel receive in November . So there are a Fe things to note that there is an ongoing project to decrease in general fund revenue so that makes the operating gap worse.,6,,
10,0.97,415.181,462.261,Overall the actions that this committee took as a body decreases the ongoing spending compared to the Mayor's Proposa by about 2 million per year . S that is Absents the negative forecast update in November an the counsel actions would have slightly narrowed the gap . in the end the counsel budget action and spending budget proposed by the counsel did not increase the ongoing expenditures . not compared to the Mayor proposed . I am happy to answer any questions or you can go ahead and move into actions.,6,,
11,0.97,462.261,486.986,Thank you so much . do any Council members have any questions on the presentation from central staff? okay . I will let folks know I cannot see all of the tiles at this morning . If you have a question please jump in . were working O fixing this on my end but I'm not going to be able to see it.,7,,
12,0.97,486.986,508.274,Okay . fantastic . With move right into the actions . Madam clerk you're the one that is reading the items in today? or hall I do that? okay.,7,,
13,0.97,513.946,518.317,Fantastic . Let's go ahead and move into items of business on today's agenda . can you please read item 1 into the record?,7,,
