index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.814,38.004,"Good morning, everyone . take you so much for joining the Seae city council's select budget committee meeting . today is Thuy is Thursday, October 13th . the time is 9:31 a.m. I am Teresa Mosqueda . will we please call the role?",0,,
1,0.97,38.004,40.24,Present.,1,,
2,0.97,40.24,42.609,Councilmember Pedersen.,2,,
3,0.97,42.609,44.911,Present.,3,,
4,0.97,44.911,49.949,Council member Strauss.,4,,
5,0.97,49.949,54.587,Councilmember Herbold.,4,,
6,0.97,54.587,56.256,Councilmember Lewis.,4,,
7,0.97,56.256,57.457,Here.,5,,
8,0.97,57.457,60.293,Councilmember Morales.,6,,
9,0.97,60.293,63.73,Seven present.,7,,
10,0.97,63.73,65.498,"Thank you so much, Madame cl.",8,,
11,0.97,65.498,74.541,Madame clerk . I will make sure to announce our colleagues if they join us and when they join us later today . I want to thank you all for ring here today.,8,,
12,0.97,74.541,87.754,"This is day three of week three in a four long process of doing a deep dive into the Mayor's proposed budget of 2023 and 2024. today, we will focus on the following departments.",8,,
13,0.97,87.754,115.348,"Department of transportation, the proposed enforcement officer PEO transfer from Department f Department of transportation to--Finally, the community Safetd communication center . The four Department today are Sdot, the discussion about the trip PEO.",8,,
14,0.97,115.348,158.291,"If there is no objection, today's agenda is a adopted . We are very appreciative of the Ong conversations we have been able to have with the departments . TK through the issue Identificatios identification memos as well . I want to welcome to the stage here today our fearless leader, Esther handy . She will be with s here throughout the day . I want to thank deputy Aly Pennuci . of of course, we will continue to have a dusty director of student budgets office . Thank you for being here with us today.",8,,
15,0.97,158.291,171.604,"Throughout the day, colleagues, we will continue with the same s that we used yesterday . I think you again to Councilmember Strauss for getting us going in the morning . We have worked out worked out a process that I Thik I think leaves room for robust.",8,,
16,0.97,171.604,194.994,"Robust discussion . as a reminder, as we get into each of of the presentations, depending on which Department it is, if there is a Councilmember who has has--over that Department, I will turn it to them to add in the opening remarks and given the chance to welcome colleagues colleagues from that Department.",8,,
17,0.97,194.994,200.366,". They see each other quite frequently . The Department will walk through their memo--excuse me, their Powerpoint pre.",8,,
18,0.97,200.366,210.843,"I want to encourage Councilmembers, if you have a question, of course, feel free to raise your hand . that is also also true for our central staff.",8,,
19,0.97,210.843,230.663,"Staff members . for the team Frol staff, if you have something, an an issue that might be addressed later, an issue of identification, or questions you you have already submitted to you departments, we are also encouraging the central staff TM staff team to Chime in, as well.",8,,
20,0.97,230.663,256.022,"Then we will get to the opportunity to hear from central central staff on the issue identification memos that they have created, and walked to the Powerpoint presentations . This is a chance for us on the legislative branch to hear Frome nonpartisan central staff team, their analysis, any questions, concerns, or issues that they have identified . Councilmembers, Councilmembers, please feel Freo raise your hand and ask Questio.",8,,
21,0.97,256.022,269.969,"Ask questions . You're also welcome to weigh in with any thoughts you might have . If Nee, if needed, we have Julie Dingely Dingely from the budgets office, as well, with any questions you might have in Tha.",8,,
22,0.97,269.969,277.176,"That time . of course, the departments, feel free to take f take yourself off of camera, Orf if you have other things to do.",8,,
23,0.97,277.176,286.719,We have combined the two Effortn this one week in this go around.,8,,
24,0.97,286.719,288.554,Their IP questions and concern.,8,,
25,0.97,288.554,290.69,And concerns.,8,,
