index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.606,14.981,Good morning.,0,,
1,0.97,14.981,21.988,"We are about to convene the December 7, 2020 Council briefing meeting which will come to order.",0,,
2,0.97,21.988,25.992,The time is 9:30 1 am.,0,,
3,0.97,25.992,35.001,I did receive a notice this morning from Councilmember Councilmember's office that she will not be joining us for the Council briefing or for full city council this afternoon.,0,,
4,0.97,35.001,42.842,We will make sure to properly get her excused for this afternoon but she will not be joining us this morning.,0,,
5,0.97,42.842,47.914,"With that being said, will the clerk please call the roll.",0,,
6,0.97,47.914,49.516,[roll being called],1,,
7,0.97,49.516,75.408,Seven present.,2,,
8,0.97,75.408,79.879,"If there is no objection the minutes of November 30, 2020 will be adopted.",3,,
9,0.97,79.879,86.352,Hearing no objection the minutes are adopted.,3,,
10,0.97,86.352,86.786,Present's report.,3,,
11,0.97,86.786,99.966,Úi don't have anything to Repor this morning so we will go ahead and dig in a preview of today's city council actions Counsil regional committees and I will: Council members as established by the Regina roll call for city council meetings.,3,,
12,0.97,99.966,113.98,"This week's roll call will be as follows, Councilmember Pedersen and Councilmember Strauss, Councilmember Herbold, Councilmember Lewis, Councilmember Mosqueda and I will conclude this Agendas discussion for this morning.",3,,
13,0.97,113.98,118.885,First up is Councilmember Pedersen them will hear from Councilmember Strauss.,3,,
14,0.97,118.885,123.823,For the record we have been joined by Councilmember Herbold.,3,,
15,0.97,123.823,128.728,"Good morning, colleagues.",4,,
16,0.97,128.728,131.531,The transportation and utilities committee has nine items on today's full council agenda.,4,,
17,0.97,131.531,143.309,All nine of the items on today's Council agenda from the transportation utilities committee were recommended unanimously for passage by the five members of the committee.,4,,
18,0.97,143.309,160.994,The items include various property easements and technical updates from both Seattle Department of its utilities and Seattle [Indiscernible] regarding transportation we have Council number 11960 which is a Six- month extension of the existing transit service funding agreement with King County Metro.,4,,
19,0.97,160.994,186.653,"This brief six-month extension is needed because the previous six year sale transportation district was written in 2014 to expire at the end of this year rather than providing a cushion in case it was renewed or extended . The sales tax was of course renewed by voters last month, so it will be next year when we review and adopt more extensive longer-term service funding agreement with King County Metro for our supplemental bus service.",4,,
20,0.97,186.653,201.467,Speaking of the sales tax for the Seattle transportation district today agenda includes counter number 11959 which officially imposes that sales tax which voters authorized last month.,4,,
21,0.97,201.467,224.023,Both of these transportation bills were passed unanimously by the committee and are not considered controversial . The more sensitive discussions will occur next year when we reviewed the new transit services agreement with King County Metro and finally allocate the remaining reserves from the old 2014 Sdpd measure and the new revenues from the incremental $20 vehicle licensee that the Council adopted two weeks ago.,4,,
22,0.97,224.023,226.426,This will occur after the engagement process.,4,,
23,0.97,226.426,234.5,The transportation utilities committee will meet again on Wednesday December 16 to be the last meeting of this calendar year.,4,,
24,0.97,234.5,249.449,"Regarding district 4 on today's full city council agenda is also an item that impacts the District specifically Madison Park, council bill 119746.",4,,
25,0.97,249.449,257.156,With a solid ground housing and the relatively new mercy Magnuson housing there are 850 low income residents who live it Madison park.,4,,
26,0.97,257.156,258.558,600 of whom identify as Bipod.,4,,
27,0.97,258.558,262.962,As a Councilmember for this district those low income residents are my main focus for Madison park.,4,,
28,0.97,262.962,278.444,I am pleased that Council bill 119746 regarding the tennis center not only frees a small start building for other opportunities but also strengthens the public benefits for the low-income residents of Madison park.,4,,
29,0.97,278.444,291.658,We work with central staff parks Department antenna center to make that happen and I really appreciate chair Councilmember Juarz leadership on this as well.,4,,
30,0.97,291.658,292.492,Thank you.,4,,
31,0.97,292.492,296.763,Any comments or questions?,5,,
32,0.97,296.763,302.468,Hearing none we will go ahead and hear from Councilmember Strauss then Councilmember Herbold.,5,,
33,0.97,302.468,304.871,Good morning.,6,,
34,0.97,304.871,314.981,There are no items from the neighborhood Committee on the pole calendar or on today's agenda.,6,,
35,0.97,314.981,320.319,Our next meeting of the Land- use and neighborhood Committee is Wednesday and will start 9:00 A.M.,6,,
36,0.97,320.319,329.996,And this will be the final meeting of the year with three items on our agenda a brief discussion on legislation to extend interim Floodplain regulations that Council adopted earlier this year.,6,,
37,0.97,329.996,334.901,The permanent regulations were not finalized this year so we need to extend interim measure.,6,,
38,0.97,334.901,355.822,A quarterly report from STC I on the progress towards strengthening tree protection to the public hearing and briefing on application to extend the contract Rezone of 11063 and fourth Avenue . This application is being considered under councils Quasi-Judicial rules many public hearing is limited to parties of record.,6,,
39,0.97,355.822,362.028,The Councilmember should refrain from hearing arguments about the merits of the application outside of this public hearing.,6,,
40,0.97,362.028,372.071,An initial briefing on updates to the construction code will occur during the Land-Use neighborhood committee.,6,,
41,0.97,372.071,373.339,Let me get back to this.,6,,
42,0.97,373.339,375.942,I believe we have a pause this briefing.,6,,
43,0.97,375.942,387.253,"Council members, I will Follow- up with you about when we were here briefing on the construction code update.",6,,
44,0.97,387.253,395.394,Events last week attend the regional transportation committee where we reviewed draft changes to Metros connects in term Metro connect interim and 20/50 networking maps.,6,,
45,0.97,395.394,409.809,Last week I attended the Wallingford community council meeting we heard from a number of homeless service providers and they presented to the community about their work in the Wallingford area.,6,,
46,0.97,409.809,420.787,I also attended the balance of group meetings of the Maritime industry strategies group on Tuesday and Thursday where we had robust discussion about Maritime and industrial operations and land use.,6,,
47,0.97,420.787,426.993,Transportation and many other topics.,6,,
48,0.97,426.993,444.811,"In district 6 Leslie gospel to neighbors from Ballard East Ballard, green Lake, Greenwood, sunset Hill and [Indiscernible] and topics of neighborhood safety, addressing homelessness, Participatory budgeting, traffic calling, in and around the brewery district, as well I will be continuing to hold district 6 resident meetings this week.",6,,
49,0.97,444.811,451.317,I will hold those meetings tonight and tomorrow night.,6,,
50,0.97,451.317,455.087,"For the listening public if you're interested in meeting with me, please sign up on my Website.",6,,
51,0.97,455.087,456.022,Thank you.,6,,
52,0.97,456.022,462.028,Any questions or comments on that report?,7,,
53,0.97,462.028,466.899,Hearing none will go ahead in here now from Councilmember Herbold and then Councilmember Juarz.,7,,
54,0.97,466.899,472.138,Good morning.,8,,
55,0.97,472.138,472.839,Good to be here.,8,,
56,0.97,472.839,477.343,I have no items in the public safety and human services Committee on the full council today.,8,,
57,0.97,477.343,483.149,"We do have a public safety and human services committee meeting tomorrow, Tuesday, December 8 at 9:30 am.",8,,
58,0.97,483.149,487.053,Items on the agenda for tomorrow's meeting are as follows.,8,,
59,0.97,487.053,506.005,We will have a briefing and discussion of legislation that Mayor Durkan and I announced last week to give explicit authority to a civilian led police accountability system to issue administrative subpoenas when gathering information critical to their investigations.,8,,
