index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.851,28.862,"Good afternoon everyone and welcome back to the full city council meeting, the meeting will now come to order.",0,,
1,0.97,28.862,32.265,It is to: 05 P.M.,0,,
2,0.97,32.265,36.369,Will the clerk please call the role.,0,,
3,0.97,36.369,64.631,[roll call] nine present.,1,,
4,0.97,64.631,69.302,"Presentations as I mentioned this morning, one presentation this morning.",2,,
5,0.97,69.302,86.419,At this time I'd like to invite senior deputy to provide remarks and officially deliver the state of the state address.,2,,
6,0.97,86.419,93.66,"So senior deputy Mayor, welcome to this afternoon's council meeting.",2,,
7,0.97,93.66,94.093,It taken away.,2,,
8,0.97,94.093,108.842,"Good afternoon Councilmember Gonzelez, yesterday Mayor Durkan delivered her address to the state of the city . She highlighted challenges we would face in 2021.",3,,
9,0.97,108.842,119.619,Most importantly and urgently the challenge to vaccinating our community equitably which is the key to our reopening and recovery.,3,,
10,0.97,119.619,150.483,"Thanks to leadership of the Council, although we have much work left to do, it is my pleasure to formally deliver to you, here at the third regular meeting at the city Council, in accordance with the Council city Charter, address and a letter outlining her priorities has just been sent to your Inboxes.",3,,
11,0.97,150.483,164.297,And members of the public who wish to view the Mayor's address can find it on Seattle,3,,
12,0.97,164.297,166.399,Thank you so much for being with us.,4,,
13,0.97,166.399,174.807,"We really appreciate to officially present those remarks, thanks so much.",4,,
14,0.97,174.807,180.613,We are going to move on to approval of the minutes.,4,,
15,0.97,180.613,183.917,The minutes of the city council meetings of February 1 and eighth 2021 have been reviewed.,4,,
16,0.97,183.917,187.62,"If there's no objection, the minutes will be signed.",4,,
17,0.97,187.62,190.69,"Hearing no objection, the minutes will be signed.",4,,
18,0.97,190.69,200.233,"Adoption of the referral calendar, if there is no objection, the introduction of referral calendar will be adopted.",4,,
19,0.97,200.233,203.836,"Hearing no objection, the introduction referral calendar is adopted.",4,,
20,0.97,203.836,207.14,If there is no objection the agenda will be adopted.,4,,
21,0.97,207.14,213.713,Hearing no objection the agenda is now Abducted.,4,,
22,0.97,213.713,220.653,"Public comment, at this time we will open the remote public comment period, and the Council's work program.",4,,
23,0.97,220.653,231.164,I want to thank everyone for their ongoing patience as we continue to remote this public comment remote system.,4,,
24,0.97,231.164,250.516,"It does remain a strong intent to have remote public comment regularly included in Agendas, however the city council does reserve the right to and these at any point if we deem it is being abused or is no longer allowing our meetings to be conducted effectively and efficiently.",4,,
25,0.97,250.516,255.555,The public comment period for this meeting was noted for 20 minutes.,4,,
26,0.97,255.555,263.029,However we have almost 30 speakers signed up and a rather light agenda for this afternoon.,4,,
27,0.97,263.029,264.797,Because of that I plan to do the following.,4,,
28,0.97,264.797,277.91,I'd like to extend the public comment period from 20 minutes to a total of 30 minutes and provide each Speaker one minute to speak as opposed to the usual two minutes.,4,,
29,0.97,277.91,285.585,If there is no objection the public comment period will be extended from 20 to 30 minutes.,4,,
30,0.97,285.585,292.625,Hearing no objection the public comment Reed is extended to 30 minutes.,4,,
31,0.97,292.625,295.928,I will call each Speaker by name and in order in which they registered under Website.,4,,
32,0.97,295.928,307.44,If you have not yet registered you can go to the Council Website . It's also listed on today's agenda.,4,,
33,0.97,307.44,314.08,Once I call a speakers name you will hear and automatically prompt that you have been on muted.,4,,
34,0.97,314.08,321.254,When you hear the prompt you will then need to press Star six before speaking.,4,,
35,0.97,321.254,324.29,Please begin by stating your name and the item you are addressing.,4,,
36,0.97,324.29,332.031,And as a reminder it should relate to an item on today's agenda.,4,,
37,0.97,332.031,338.971,"A speakers, you will hear a Chime when you have 10 seconds left of your allotted time.",4,,
38,0.97,338.971,341.04,When you hear that please wrap up your public comment.,4,,
39,0.97,341.04,350.85,"If you do not and your comments at the end of the allotted time provided, your microphone will be muted to allow us to call on the next Speaker.",4,,
40,0.97,350.85,354.12,Once you completed your comment please Disconnect from the line.,4,,
41,0.97,354.12,361.594,If you plan to continue following this meeting you can do some via our channel or anyone of that listening options.,4,,
42,0.97,361.594,365.398,"I will now open public comment, and we begin with the first Speaker on the list.",4,,
43,0.97,365.398,373.206,As a reminder please remember to press Star six after you hear the prompt.,4,,
44,0.97,373.206,394.994,"It is to: 11 p.m., so we will finish public comment at approximately 241 P.M.",4,,
45,0.97,394.994,410.943,"Good afternoon, the prestigious law review, one of their core conclusions is that independence is broadly recognized as both the core principle and essential element of oversight.",5,,
46,0.97,410.943,420.153,Without independence accountability leading to a repetitive cycle in today's crisis.,5,,
47,0.97,420.153,428.327,This is the same conclusion in many articles on police use of force.,5,,
48,0.97,428.327,442.074,Is the current principal in the current Washington bills requiring law enforcement not participate in investigations ..,5,,
49,0.97,442.074,463.062,I would ask Councilmembers if they are equally disturbed at the fact that Councilmembers are also finding that legislation from real independent investigations envisioned by the Legislature.,5,,
50,0.97,463.062,472.905,"Next up is Daniel Kavanaugh, followed by Daniel weighing.",6,,
51,0.97,472.905,491.19,"Name is Dan, I'm a Renter in district 3 and Councilmembers need to vote yes on the resolution that says we need to have taxes on the state level we won't allow Democrats to strike a run deal with big business as they want to do.",7,,
52,0.97,491.19,499.932,Councilmember Gonzelez has been giving excuses about procedure saying it would be redundant.,7,,
53,0.97,499.932,508.241,Councilmember you were not concerned with procedure when you violated the open public meetings act to repeal the first Amazon act with Mayor Durkin.,7,,
54,0.97,508.241,514.547,And that goes for other Councilmembers as well.,7,,
55,0.97,514.547,521.354,Wouldn't it be redundant to vote now because it would be on one of your least popular votes ever.,7,,
56,0.97,521.354,527.36,"If the Amazon taxes rollback you will be held responsible, and that is redundant.",7,,
57,0.97,527.36,531.864,"You owe it to your constituents, don't use your",7,,
58,0.97,531.864,538.671,Next is Daniel weighing,8,,
59,0.97,538.671,551.083,"I'm a student in D4, I'm here to call on the city Council to support the resolution 3199.",9,,
60,0.97,551.083,562.962,We know that last year lawmakers propose a tax that would have Preempted an outlaw of the Amazon text that we fought so hard to win.,9,,
61,0.97,562.962,569.068,We don't have any indicators that they would introduce a similar poison pill this time around.,9,,
62,0.97,569.068,570.97,There is inherent conflict between big business and working people.,9,,
63,0.97,570.97,574.907,"Lawmakers, like it or not, have to take a side.",9,,
64,0.97,574.907,583.516,"When they say that Amazon tax is as opposed obstacle, they make it clear that they side with big is this.",9,,
65,0.97,583.516,590.923,Washington state has one of the most perhaps progressive taxes in the country.,9,,
66,0.97,590.923,603.135,There is zero reason to worry about Overtaxing other than protecting their profits.,9,,
67,0.97,603.135,603.903,Otherwise it is abundantly,9,,
68,0.97,603.903,618.618,Next up is Grayson followed by Alyssa Kaufman.,10,,
69,0.97,618.618,624.957,"My name is Grayson, I am a Renter in the central district.",11,,
70,0.97,624.957,637.269,"Please stand with the movement in affirming to tax Amazon, I know some Councilmembers think this resolution is redundant, and if that is true, that's fantastic and it should pass.",11,,
71,0.97,637.269,642.375,It is your political responsibility to protect this Cucial funding.,11,,
72,0.97,642.375,651.183,Councilmembers voted to pass the tax this summer and you should stand in complete opposition of the insinuation of Overwriting the Amazon Taxa.,11,,
73,0.97,651.183,676.008,"We need more tax on big business, but for Councilmember Mosqueda, he said this is a huge win, this is about caring about Seattle and it was a crucial move to supporting the city and the most vulnerable.",11,,
74,0.97,676.008,688.587,"Next up is Alyssa, followed by Violeta Cohen.",12,,
75,0.97,688.587,704.837,"I'm a teacher in district 4, I'm calling on you to vote and support yes, it is unconscionable that even the majority has open talk about undermining this tax.",13,,
76,0.97,704.837,711.811,I'm calling on you to stand up for the people you represent and send a clear message that you support this taxation.,13,,
77,0.97,711.811,723.422,I speak as an adult who teaches children how to stand up to bullies and do what is right.,13,,
78,0.97,723.422,726.959,Will you be an example for our children or will you let down the people of Seattle?,13,,
79,0.97,726.959,729.795,Bystanders are just as much at fault as the bullies themselves.,13,,
80,0.97,729.795,731.964,Do what is right and support this resolution.,13,,
81,0.97,731.964,734.6,It should be an easy vote.,13,,
82,0.97,734.6,740.072,"Next is via followed by AVA,",14,,
83,0.97,740.072,753.385,"I am a Renter in Capitol Hill, Councilmembers need to vote today to support the resolution to defend Amazon tax.",15,,
84,0.97,753.385,766.765,People are suffering profoundly yet we are watching politicians walk back relief.,15,,
85,0.97,766.765,786.685,"In this critical moment Washington state legislators have the audacity to say they want to phase out or water down the Amazon tax, even though Billionaires have made over $1 trillion in pandemic profits.",15,,
86,0.97,786.685,803.202,"Councilmembers understand the urgency of the site, for everyone listening today I urge you to join the tax caravan this Saturday and join the movement to fight for what we",15,,
87,0.97,803.202,817.75,My name is eva and I'm a Renter in district 2. we need Seattle to the Council to make a clear stand against undermining the Amazon tax.,16,,
88,0.97,817.75,829.662,I want to thank Councilmembers for bringing forward this movement.,16,,
89,0.97,829.662,832.698,"This is a taxation statewide that was long overdue, but this is not just speculative.",16,,
90,0.97,832.698,844.276,In an article earlier this year Democratic party state representative Nicole Macri openly discussed the need to reduce the Amazon task.,16,,
91,0.97,844.276,855.788,"Democratic politicians have controlled all three branches of government for the past five years, why do we still have a ban on rent control still have the most oppressive tax structure of any state in the entire country.",16,,
92,0.97,855.788,862.828,Progressive change does not come from cozy relationships among politicians and big business.,16,,
93,0.97,862.828,870.402,It's been movements for substantial change like the $15 minimum wage and Amazon tax.,16,,
94,0.97,870.402,875.774,"Don't be complicit, pass this",16,,
