index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.903,7.507,We will start the recording.,0,,
1,0.97,7.507,8.975,Latch my character that July 13th 2020 meeting will come to order.,0,,
2,0.97,8.975,14.08,It is 2:01 P.M.,0,,
3,0.97,14.08,22.622,Will the clerk please call the role?,0,,
4,0.97,22.622,32.999,Role is being called.,0,,
5,0.97,51.084,54.32,That you met clerk.,1,,
6,0.97,54.32,69.436,"Remote meetings and electronic participation will be allowed, continuing this fact is through August first 2020.",1,,
7,0.97,69.436,82.048,"If there is no objection, counsel rules will be suspended to allow remote meetings and electronic participation through August 1ST of 2020.",1,,
8,0.97,82.048,86.052,"Hearing no objection, counsel rules are suspended.",1,,
9,0.97,86.052,90.59,The Council will be hosting meetings and participating electronically through August 1ST 2020.,1,,
10,0.97,90.59,92.559,I'm not aware of any presentations.,1,,
11,0.97,92.559,96.93,We will go ahead and move to approval of the minutes.,1,,
12,0.97,96.93,106.406,The minutes of the city council meeting have been reviewed . If there is no objection minutes will be signed.,1,,
13,0.97,106.406,114.914,"Hearing no objection, minutes are being signed . please affix my signature to the minutes.",1,,
14,0.97,114.914,125.191,I am now going to move to adopt the proposed introduction and referral calendar.,1,,
15,0.97,125.191,125.625,Is there a second?,1,,
16,0.97,125.625,133.233,"Thank you so much, moved and Seconded to adopt the proposed introduction and referral calendar.",1,,
17,0.97,133.233,159.526,"I understand that there is actually a need to make a motion to a slight modification for the introduction referral calendar PR 31957 is included on the introduction and referral calendar . It is a direct result of the passage of 119811, the high-level spending plan for jump start Seattle.",1,,
18,0.97,159.526,173.106,It had a five Council members and sponsors . We wanted to provide an opportunity to add sponsors to the resolution a proposed spending plan in detail.,1,,
19,0.97,173.106,183.082,I will move to amend the introduction and referral calendar to add Council members as sponsors to resolution 31957.,1,,
20,0.97,183.082,186.653,We will need a second for that motion.,1,,
21,0.97,186.653,186.986,Seconded.,2,,
22,0.97,186.986,190.623,"Thank you, comes a member.",3,,
23,0.97,190.623,194.627,Moved and Seconded.,3,,
24,0.97,194.627,196.629,Adding sponsors to the resolution.,3,,
25,0.97,196.629,213.746,"With the exception of Council member Vess Gaeta, I would ask if any individuals would be added to the list of sponsors for that particular resolution.",3,,
26,0.97,213.746,216.616,Everybody will be called upon.,3,,
27,0.97,216.616,219.953,The council member is a primary sponsor of the resolution.,3,,
28,0.97,219.953,230.597,"And when your name is called, you can indicate whether you want to be listed as a sponsor to that resolution, by saying yes or no.",3,,
29,0.97,230.597,236.002,Please call the roll.,3,,
30,0.97,236.002,239.305,Council member Lawrence?,4,,
31,0.97,239.305,248.014,Role is being called.,5,,
32,0.97,248.014,251.584,'s no caps member Peterson?,5,,
33,0.97,251.584,251.784,No,6,,
34,0.97,251.784,260.059,Council member Kshama Sawant?,7,,
35,0.97,260.059,262.962,Yes.,8,,
36,0.97,262.962,263.262,Stress?,9,,
37,0.97,263.262,267.066,Yes.,10,,
38,0.97,267.066,267.367,Herbold?,11,,
39,0.97,267.367,267.6,Yes.,12,,
40,0.97,267.6,267.934,Gonzales?,13,,
41,0.97,267.934,277.01,Yes.,14,,
42,0.97,277.01,282.215,I have seven Council members who have indicated that they would like to be added as sponsors.,15,,
43,0.97,282.215,294.227,Are there any additional comments on the amendment to the Traction referral calendar?,15,,
44,0.97,294.227,305.772,"Seeing none, will the clerk please call the roll on the adoption of the amendment?",15,,
45,0.97,305.772,310.043,Council member Lawrence?,15,,
46,0.97,310.043,310.977,Yes.,15,,
47,0.97,310.977,311.244,Lewis?,16,,
48,0.97,311.244,319.185,Yes.,17,,
49,0.97,319.185,319.952,Peterson?,17,,
50,0.97,319.952,325.258,Kshama Sawant?,17,,
51,0.97,325.258,325.491,Strauss?,17,,
52,0.97,325.491,325.758,Herbold?,17,,
53,0.97,325.758,326.025,Gonzales?,17,,
54,0.97,326.025,336.602,Can I ask if you could call on Council member Council member Morales?,18,,
55,0.97,336.602,337.87,"Yes, sorry, here I am yes.",18,,
56,0.97,337.87,340.173,[laughing],18,,
57,0.97,340.173,343.042,Nine in favor and none opposed.,19,,
58,0.97,343.042,347.313,Thank you so much.,20,,
59,0.97,347.313,356.389,"The motion carries the amended introduction referral calendar is adopted if there is no objection, the agenda will be adopted.",20,,
60,0.97,356.389,359.892,Hearing none the objection is adopted.,20,,
61,0.97,359.892,366.666,We will go to the remote call for the introduction referral calendar for the 2020 work program.,20,,
62,0.97,366.666,383.416,I want to say thank you to everybody for their ongoing patience as we learn to rate this in real time . We can navigate the growing pains and improvement processes related to the remote public comments.,20,,
63,0.97,383.416,411.778,We are always looking at adding features that allow for additional suspicion we intends to have public comment would regularly . We will enter into public comment if we believe it is being abused or we cannot conduct efficiently or in a manner in which we are able to conduct our necessary business.,20,,
64,0.97,411.778,414.714,I will moderate public comment in the following manner.,20,,
65,0.97,414.714,418.284,Is set to be 20 minutes.,20,,
66,0.97,418.284,421.954,Each Speaker will be given two minutes to speak.,20,,
67,0.97,421.954,426.793,I will call on each Speaker by name and the order which they registered.,20,,
68,0.97,426.793,442.041,You can signed up before the end of public comment by going to the Council Website./Counsel the public comment link is also listed on today's agenda.,20,,
69,0.97,442.041,453.553,"When I call a Speaker name, the appropriate microphone will be needed . The speakers Q will give you your Cue to speak.",20,,
70,0.97,453.553,464.831,"Please begin your comments by stating your name and the item you are addressing relate to the item on today's agenda, introduction and referral.",20,,
71,0.97,464.831,469.302,Speakers will hear a time when ten seconds are left of the allotted time.,20,,
72,0.97,469.302,480.78,"When you hear that time, please wrap up your comments so we can call on other speakers who have also signed up to speak to us today.",20,,
