index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.119,21.988,Good afternoon welcome back to August 2ND.,0,,
1,0.97,21.988,29.629,Will the clerk please call the roll?,0,,
2,0.97,29.629,30.263,Juarez.,1,,
3,0.97,30.263,31.097,Here.,2,,
4,0.97,31.097,32.265,Lewis.,3,,
5,0.97,32.265,32.432,,4,,
6,0.97,32.432,32.699,Here.,5,,
7,0.97,32.699,34.634,Morales.,6,,
8,0.97,34.634,39.572,Here.,7,,
9,0.97,39.572,41.708,Mosqueda.,8,,
10,0.97,41.708,42.008,Present.,9,,
11,0.97,42.008,49.015,Pederson.,10,,
12,0.97,49.015,49.549,Sawant.,10,,
13,0.97,49.549,49.849,Present.,11,,
14,0.97,49.849,50.316,No presentations.,12,,
15,0.97,50.316,55.855,We will move for Approvallal of the minutes of July 26th.,12,,
16,0.97,55.855,56.423,2021 is reviewed.,12,,
17,0.97,56.423,59.726,If no objection they are signed.,12,,
18,0.97,59.726,60.226,They are being signed.,12,,
19,0.97,60.226,62.796,Will the clerk please affix my signature to the minutes.,12,,
20,0.97,62.796,70.27,Colleagues we will move to the approval of the deferral calendar as we discussed this morning.,13,,
21,0.97,70.27,74.24,There is an amendment to the introduction and referral calendar.,13,,
22,0.97,74.24,86.786,I will move the introduction first and I will need a second and we will move to motions to amend.,13,,
23,0.97,86.786,90.323,I move to adopt the proposed introduction there's a approval.,13,,
24,0.97,90.323,90.557,Yes.,14,,
25,0.97,90.557,90.857,Second.,15,,
26,0.97,90.857,92.192,Yes.,16,,
27,0.97,92.192,120.153,As we discussed this morning there's a proposed amendment to the introduction calendar and it was not submitted before 5:00 by the rules.,17,,
28,0.97,120.153,127.56,The Council will relate to circulation of bills for introduction by 5:00 P.M.,17,,
29,0.97,127.56,136.736,On the preceding day will be suspended to allow one bill to the introduction and referral calendar.,17,,
30,0.97,136.736,151.251,Hearing no objection the Council will suspend it and we will proceed with consideration of the amendment to the introduction and the referral calendar.,17,,
31,0.97,151.251,165.698,I will hand it over to Councilman Pederson.,17,,
