index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,23.69,24.19,"Good morning, everybody.",0,,
1,0.97,24.19,24.591,Let's see.,0,,
2,0.97,24.591,32.532,With got the morning thing here.,0,,
3,0.97,32.532,35.735,"This is the February 24, 2020 city council meeting pick a time is 9:23.",0,,
4,0.97,35.735,40.006,I am Council President pro Tem and was Mayor over the weekend because the Mayor was out of town.,0,,
5,0.97,40.006,41.241,"And I was Mayor last weekend, too.",0,,
6,0.97,41.241,45.311,Got a lot done.,0,,
7,0.97,45.311,47.113,You guys don't even know what I've done.,0,,
8,0.97,47.113,47.747,Neither does the Mayor.,0,,
9,0.97,47.747,52.352,I'm not sure you want to tell us.,1,,
10,0.97,52.352,54.854,"I remained a couple of streets, got some stuff done.",2,,
11,0.97,54.854,59.192,"Rev Councilmember Herbold, Councilmember Pedersen, and Councilmember Strauss.",2,,
12,0.97,59.192,70.47,I understand Councilmember Herbold would like a minute to get us updated on the East regional way corridor project for signatures.,2,,
13,0.97,70.47,72.372,Thank you so much and good morning.,3,,
14,0.97,72.372,82.081,I am going to be leaving the briefing a little bit early for a press conference on police hiring in the Chinatown I.D.,3,,
15,0.97,82.081,86.486,I want to speak to this letter.,3,,
16,0.97,86.486,92.592,"I don't have it in hand, so it might arrive in the middle of this meeting.",3,,
17,0.97,92.592,94.661,I am sure folks can circulate it without my presence here.,3,,
18,0.97,94.661,106.606,"If it doesn't come for some reason, during the Council briefing's, we can certainly it at 2:00 today.",3,,
19,0.97,106.606,110.71,This is a letter in support of a grant application for Federal funding for the East marginal way project.,3,,
20,0.97,110.71,116.015,"On Friday, my office Emailed background information to all Councilmembers and staff about this project.",3,,
21,0.97,116.015,127.327,"My interest in this project is Long-Standing because of its critical linkage for bike commuters from West Seattle, to ensure that they are separated from traffic.",3,,
22,0.97,127.327,151.951,"The 2020.2025 capital improvement plan, adopted along with the budget, noted Sdot planned or adopted this project and noted that us still plans to apply for $15 million in funding from this grant.",3,,
23,0.97,151.951,153.553,This particular request is for $13 million.,3,,
24,0.97,153.553,175.475,"The CIP, the capital improvement program, notes that Sdot anticipates about a $10 million port contribution, and the benefits for this project is that it will improve safety and reliability with the movement of people and goods, in the industrial Maritime area.",3,,
25,0.97,175.475,185.852,"It will support freight loads by rebuilding the roadway and promote efficiency through signal modifications, intelligent transportation systems, and apparently, to my constituents in West Seattle who bike commute, and improves safety by separating Nonmotorized moves from the freight traffic.",3,,
26,0.97,185.852,189.489,The letter we are going to be sickening at some point today is in support of this grant.,3,,
27,0.97,189.489,192.559,Thank you for giving me the time to talk about that.,3,,
28,0.97,192.559,193.159,Thank you.,4,,
