index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.233,10.377,Will the clerk please call the roll?,0,,
1,0.97,10.377,11.411,Councilmember Sawant?,1,,
2,0.97,11.411,15.849,Here.,2,,
3,0.97,15.849,20.153,Councilmember Strauss?,3,,
4,0.97,20.153,21.388,Present.,4,,
5,0.97,21.388,22.288,Councilmember Herbold?,5,,
6,0.97,22.288,24.19,Here.,6,,
7,0.97,24.19,26.96,Councilmember Juarez?,7,,
8,0.97,26.96,29.329,Here.,8,,
9,0.97,29.329,30.597,Councilmember Lewis?,9,,
10,0.97,30.597,32.799,Present.,10,,
11,0.97,32.799,36.603,Councilmember Morales?,11,,
12,0.97,36.603,36.836,Here.,12,,
13,0.97,36.836,39.139,Councilmember Mosqueda?,13,,
14,0.97,39.139,39.439,Present.,14,,
15,0.97,39.439,40.874,Councilmember Pedersen?,15,,
16,0.97,40.874,43.143,Here.,16,,
17,0.97,43.143,46.413,Councilmember President Gonzalez?,17,,
18,0.97,46.413,46.646,Here.,18,,
19,0.97,46.646,48.114,Nine present.,19,,
20,0.97,48.114,49.549,Thank you so much.,20,,
21,0.97,49.549,63.696,"Silent on allowing electronic participation at Council briefing meetings to continue participating remotely, I'll move to suspend the Council rules through may 31st, 2020, to allow this meeting to occur while participating through electronic means.",20,,
22,0.97,63.696,99.566,"Of course, this is in reaction to the recent announcement by Governor Inslee extending his Stay-At-Home, stay healthy order for the state of Washington and to be consistent with that and to be consistent with Mayor Durkan's communication related to the same issue and extending Telecommute opportunities and Telework opportunities for all Seattle workers through may 31st, 2020, now also extending those policies through this rule suspension.",20,,
23,0.97,99.566,109.108,"If there is no objection, the Council rules will be suspended to allow electronic participation at Council briefing meetings through may 31st, 2020.",20,,
24,0.97,109.108,118.551,"Hearing no objection, the Council rules are suspended and Council briefing meetings will be held with Council members participating electronically through may 31st, 2020.",20,,
25,0.97,118.551,127.527,"Thank you, colleagues, if there is no objection, the minutes of April 27th, 2020, will be adopted.",20,,
26,0.97,127.527,131.364,"Hearing no objection, the minutes are adopted.",20,,
27,0.97,131.364,154.42,"Again, quickly moving to President's report, I'll make it short, consistent with the memo I sent out yesterday, the legislative Department Teleworking practice has been extended until May 31st, 2020, the Timeline is compatible with the governor's stay home, stay healthy proclamation and the Teleworking policy.",20,,
28,0.97,154.42,161.027,"If you have any questions or concerns, please let me know.",20,,
29,0.97,161.027,229.062,"We can expect additional detailed updates as soon as we move forward about how we can hope to be able to look at and start framing potential return to city hall in the coming months and so I have already asked the city clerk and fines administrative services to start thinking through a plan for the needs, potentially to reopen Council chambers and also for the need to address the potential return of some individuals to the second and third floor of the legislative Department, so more to come, no decisions, I want to make sure we engage with all of the folks that need to be engaged with before we formalize any return to work opportunities and ongoing conversations with you all and with our operational staff around how to best accomplish that in a way that is consistent with public, ongoing public health recommendations in this space.",20,,
30,0.97,229.062,233.333,That is the conclusion of my President's report.,20,,
31,0.97,233.333,237.57,Happy to take any questions about that.,20,,
32,0.97,237.57,246.012,"Hearing none, we'll move right into a preview of the city actions and work on regional committees.",20,,
33,0.97,246.012,256.356,I'm going to call on Councilmembers in a roll call for city council meetings.,20,,
34,0.97,256.356,265.598,"First we'll hear from Councilmember Sawant, Herbold, Lewis, Morales, Mosqueda and I'll conclude the agenda discussion for today.",20,,
35,0.97,265.598,268.568,We don't have any presentations.,20,,
36,0.97,268.568,290.79,"I'm hoping we can get through today's presentation as quickly as possible because I know there are some lingering legislative items that need to happen between now and noon, so I am going to go ahead and hand it over to Councilmember Sawant.",20,,
37,0.97,290.79,291.224,The floor is yours.,20,,
38,0.97,291.224,296.029,There are no items on the agenda.,21,,
39,0.97,296.029,330.73,"On Friday, may 1ST, international worker's day, may day, my office joined community organizations and activists and very successful socially distanced for our car vain and bike protest against the Amazon movement we have brought forward I encourage Councilmembers to watch the Video of the demonstration we live streamed during the event and find it on my Council office's Youtube or Facebook page.",21,,
40,0.97,330.73,393.96,"The speakers who spoke at the rallies, Online rallies, why are Amazon taxes so necessary for our communities, not only to provide assistance to workers, reestablish public jobs program to hire tens of thousands of people and to carry out green new deal, building Retrofits and other programs, and also, Paramount point that was made by speakers is that given the cities and States dubious distinction of the nation's aggressive tax system, not only is it unjust that the working people have the burden of revenues but now we'll face an even brutal question is that when we have widespread joblessness which we have seen the projections are that we're heading into a deep recession with massive joblessness, for a Regrisive tax system that Im replies a plummeting of revenues, that is a mathematical sequence.",21,,
41,0.97,393.96,408.341,Any refusal from the political establishment to tax big business and the wealthy will mean budget short falls and budget cuts unless we short up on revenues and increase public revenues.,21,,
42,0.97,408.341,410.977,I was struck by how many people participated.,21,,
43,0.97,410.977,415.548,I saw many new faces and incredible energy in the demonstration.,21,,
44,0.97,415.548,420.52,"At the same time, overwhelmingly, the serious approach to maintain social distancing to keep the communities safe.",21,,
45,0.97,420.52,429.061,It was a good example of how we can have democratically organized protest actions but in a safe way.,21,,
46,0.97,429.061,454.32,"Just last point, we're beginning the movement to organize district based town halls that community organizers are leading from each district and I know that UAW 4121 and others have invited Councilmembers Pedersen and Lewis for district 4 and District 7 town hall community town hall tomorrow at 6:00 P.M ..",21,,
47,0.97,454.32,463.429,I believe Gonzalez and Mosqueda have also been invited.,21,,
48,0.97,463.429,466.699,I would urge Councilmembers to hear.,21,,
49,0.97,466.699,471.003,Thank you for that report.,22,,
50,0.97,471.003,476.943,Any questions or comments on Councilmember Sawant's report?,22,,
51,0.97,476.943,477.944,Okay.,22,,
52,0.97,477.944,486.185,"Hearing and seeing none, we'll move through the rest of the list here, so next up is Councilmember Strauss, the floor is yours.",22,,
53,0.97,486.185,492.992,"Yes, good morning and my apologies for the technical difficulties.",23,,
54,0.97,492.992,496.095,I'm participating by phone while on a computer.,23,,
55,0.97,496.095,497.864,Audio is not working as well.,23,,
56,0.97,497.864,507.573,There are zero items from the land use and neighborhood's community on the agenda and zero from the land use and neighborhood's community for the calendar.,23,,
57,0.97,507.573,520.119,"I have another round of weekly office hours over the phone this last week and have held meetings, spoken with or scheduled a meeting with everyone who requested a meeting this last year.",23,,
58,0.97,520.119,526.525,We made changes on how we respond to E-Mails and phone calls we receive so we're Proactively offering them a meeting with me.,23,,
59,0.97,526.525,547.58,"As you may remember from last week, my staff worked with small business groups, other interested parties, and all of the Council offices on a letter to state and Federal officials regarding the ways in which the levels of government can step up to support our local establishments.",23,,
60,0.97,547.58,561.861,I didn't have one question for Councilmember Pedersen I'll follow up with after this call and then we'll send that letter around again and we look forward to bringing that to full Council for signature this afternoon.,23,,
61,0.97,561.861,574.307,My office continues to provide direct support and guidance to small businesses and Non-Profits on how to best navigate the support programs that are involved.,23,,
62,0.97,574.307,587.019,"Another update from the Commons Park, as of this weekend, there was notice posted for an encampment removal.",23,,
63,0.97,587.019,591.891,It was posted less than the 72 hours.,23,,
64,0.97,591.891,598.264,The guidance about encampment removal requires notice be provided no fewer than 72 hours.,23,,
65,0.97,598.264,606.238,This occurred within 48 hours of the encampment removal that occurred.,23,,
66,0.97,606.238,614.547,Encampment Removals that push people out of the community without addressing the under lying Association is not in line with my values.,23,,
67,0.97,614.547,628.561,My calling for urgency and resources over the last several weeks and before the Covid pandemic began are because I also understand the need of adjacent residence to have relief from living next to an unmanaged encampment.,23,,
68,0.97,628.561,631.364,We have to manage the public space.,23,,
69,0.97,631.364,635.368,We had success with increased access to hygiene and cleaner and better maintained park.,23,,
70,0.97,635.368,640.206,These are the steps we have to make as we move people into shelter.,23,,
71,0.97,640.206,645.778,Navigation had moved 17 people out of the park into 24/7 shelter as of last Wednesday.,23,,
72,0.97,645.778,652.251,We need to manage this public space and we haven't.,23,,
73,0.97,652.251,654.954,"Initial success, access to hygiene and better maintained park.",23,,
74,0.97,654.954,666.198,Where we failed is providing law enforcement the tools they need to address and intervene predatory behavior as we deployed the necessary resources to stabilize the people who are trying to get off the streets.,23,,
75,0.97,666.198,676.175,"Again, on Saturday, may 2ND, a notice was distributed and indicated an encampment removal would occur this Monday, may 4TH at 9:00 A.M ..",23,,
