index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.85,17.817,"Now recording, thank you.",0,,
1,0.97,17.817,18.218,Perfect.,1,,
2,0.97,18.218,18.918,"Thank you, everyone.",1,,
3,0.97,18.918,30.43,The December 10th 2021 special meeting of the community economic development committee will come to order.,1,,
4,0.97,30.43,31.297,It is 9:33 A.M.,1,,
5,0.97,31.297,32.899,"I'm Tammy Mireles, chair of the committee.",1,,
6,0.97,32.899,40.573,Will the clerk please call the role?,1,,
7,0.97,40.573,41.107,Councilmember Wara's?,2,,
8,0.97,41.107,41.574,Councilmember Lewis?,2,,
9,0.97,41.574,41.908,Presents.,3,,
10,0.97,41.908,42.542,Councilmember Peterson?,4,,
11,0.97,42.542,42.942,Present.,5,,
12,0.97,42.942,43.843,Councilmembers have one?,6,,
13,0.97,43.843,44.711,And chair at Morella's?,6,,
14,0.97,44.711,45.145,Here.,7,,
15,0.97,45.145,51.251,That is three present.,8,,
16,0.97,51.251,52.118,That is Quorum.,9,,
17,0.97,52.118,52.952,Thank you very much.,9,,
18,0.97,52.952,58.925,"If there is no objection, today's agenda will be adopted.",9,,
19,0.97,58.925,60.36,"No objection, today's agenda is adopted.",9,,
20,0.97,60.36,65.031,At this time we'll open the remote and general public comment period.,9,,
21,0.97,65.031,76.676,I ask everyone to be patient as we operate this Online system and it remains the strong intent of the Council to have public comments regularly during meeting Agendas.,9,,
22,0.97,76.676,78.445,I understand there is not anyone signed up.,9,,
23,0.97,78.445,79.078,Is that correct?,9,,
24,0.97,79.078,82.982,That is correct.,10,,
25,0.97,82.982,93.393,"Okay, in that case I'll dispense with the very long script about public comment and we will close the public comment period now.",11,,
26,0.97,93.393,97.997,So will you please read items one through five into the record?,11,,
27,0.97,97.997,110.577,"Agenda items 1 through 5, appointments 2064 through 20684 the Seattle human rights Commission.",12,,
28,0.97,110.577,119.385,"The appointment of Alexander f tang as member for a term to January 22nd, 2022.",12,,
