index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.336,7.607,Will come to order.,0,,
1,0.97,7.607,10.076,It is to: 03 P.M.,0,,
2,0.97,10.076,14.381,"I am Llerena Gonzalez, president of the Council.",0,,
3,0.97,14.381,16.516,Morales?,1,,
4,0.97,16.516,18.818,Care.,2,,
5,0.97,18.818,19.886,Mosqueda.,3,,
6,0.97,19.886,22.355,Present.,4,,
7,0.97,35.568,38.538,Nine present.,5,,
8,0.97,38.538,43.209,Thanks so much.,6,,
9,0.97,43.209,47.614,"Presentations, I'm not aware of any presentations for today so we will move to approval of the minutes.",6,,
10,0.97,47.614,52.419,The minutes of the approval have been reviewed.,6,,
11,0.97,52.419,55.422,"If there is no objection, the minutes will be signed.",6,,
12,0.97,55.422,58.858,"Hearing no objection, the minutes are being signed.",6,,
13,0.97,58.858,62.662,With the clerk please affect my signature to the minutes on my behalf?,6,,
14,0.97,62.662,66.132,Approval of the introduction and referral calendar.,7,,
15,0.97,66.132,69.069,"As you heard from Councilmember Lewis this morning, he does have an amendment.",7,,
16,0.97,69.069,78.278,"What we are going to do is I am going to make a motion to adopt the calendar, and then I will need a second.",7,,
17,0.97,78.278,87.387,"After it has been moved and Seconded, we will consider a suspension of the Council rules in order for Councilmember Lewis to propose a amendment.",7,,
18,0.97,87.387,96.196,"I'm going to move, it's going to be Seconded, I'm going to suspend the rules, and then the motion is going to happen to them in the calendar.",7,,
19,0.97,96.196,98.731,"First off, I moved to adopt the introduction and referral calendar.",7,,
20,0.97,98.731,99.999,Is there a second?,7,,
21,0.97,99.999,101.701,Second.,8,,
22,0.97,101.701,105.405,It has been moved and Seconded.,9,,
23,0.97,105.405,113.713,I am going to go ahead and--let's see.,9,,
24,0.97,113.713,119.118,I'm going to go ahead and suspend the rules at this point.,9,,
25,0.97,119.118,127.427,"If there are no objections, council rule 3.Adot five relating to circulation of a Council bill for introduction by 5:00 P.M.",9,,
26,0.97,127.427,135.702,On a preceding business day will be suspended to allow consideration of an amendment to the proposed introduction and referral calendar.,9,,
27,0.97,135.702,148.448,"Hearing no objection, council rule three a five is suspended and we will now hear from Councilmember Lewis his motion to see if it receives a second.",9,,
28,0.97,148.448,150.016,"Thank you, Madam President.",10,,
29,0.97,150.016,154.854,I wonder if Madam clerk could assist me in providing the bill number.,10,,
30,0.97,154.854,160.159,It doesn't look like it was provided to me in advance of the meeting.,10,,
31,0.97,160.159,162.295,So I can appropriately make this motion.,10,,
32,0.97,162.295,169.335,"Statement Councilmember Lewis, I have Council bill 12 001 nine.",10,,
33,0.97,169.335,171.404,Payment thank you so much.,10,,
34,0.97,171.404,190.256,Madam President I Tsutomu to amend the introduction and referral calendar by adding Council the 120129 with a request that that bill then be so referred to the select Committee on homelessness strategies and investments.,11,,
35,0.97,190.256,190.69,Second.,12,,
36,0.97,190.69,201.401,It has been moved and Seconded to amend the introduction and referral calendar to introduce Council bill 120129 and by referring it to the select Committee on homelessness strategies and investments.,13,,
37,0.97,201.401,207.407,Are there any additional comments on the motion?,13,,
38,0.97,207.407,208.908,Okay.,13,,
39,0.97,208.908,212.412,This is a procedural motion.,13,,
40,0.97,212.412,230.863,"We will have lots of discussion on the substance of the Council bill, but this is just for purposes of introducing the bill in order to allow that conversation to a in the committee that is chaired by Councilmember Lewis which is the select Committee on homelessness strategies and investments.",13,,
41,0.97,230.863,234.767,"Hearing no additional comments or questions, will the clerk please call the roll on the adoption of the amendment?",13,,
42,0.97,249.482,257.457,"Nine in favor, none opposed.",14,,
43,0.97,257.457,260.159,The motion carries and the introduction and referral calendar is adopted as amended.,15,,
44,0.97,260.159,270.67,Are there any additional comments on the introduction and referral calendar?,15,,
45,0.97,270.67,273.373,Okay.,15,,
46,0.97,273.373,284.917,"Hearing no additional comments on the introduction and referral calendar as amended, will the clerk please call the roll on the adoption of the amended introduction and referral calendar?",15,,
47,0.97,303.436,305.805,"Nine in favor, none opposed.",16,,
48,0.97,305.805,317.083,The motion carries in the introduction and referral calendar is adopted as amended.,17,,
49,0.97,317.083,317.817,Approval of the agenda.,17,,
50,0.97,317.817,320.286,"If there is no objection, the agenda will be adopted.",17,,
51,0.97,320.286,324.123,"Hearing no objection, the agenda is adopted.",17,,
52,0.97,324.123,335.601,"Colleagues, at this time we will open the remote public comment period for items on the city council agenda, Introducion and referral calendar, and ongoing.",18,,
53,0.97,335.601,343.843,It remains a strong intent of the city Council to have remote public comment regularly included on meeting Agendas.,18,,
54,0.97,343.843,355.555,"However as a reminder, the city council removes the right to end or remove if the system is being abused or no longer suitable for allowing our meeting to be conducted efficiently and effectively.",18,,
55,0.97,355.555,359.058,I'll moderate the public comment period in the following manner.,18,,
56,0.97,359.058,364.864,Today's public comment period is slated to last 20 minutes.,18,,
57,0.97,364.864,373.072,We do have a significant number of individuals who are signed up to provide public comment today.,18,,
58,0.97,373.072,379.946,"So, I am going to go ahead and extend public comment period by 10 minutes for a total of 30 minutes.",18,,
59,0.97,379.946,389.489,"So, colleagues, if there is no objection, the public comment period will be extended to last a total of 30 minutes.",18,,
60,0.97,389.489,392.158,"Hearing no objection, the public comment period is extended to last 30 minutes.",18,,
61,0.97,392.158,398.664,In an effort to hear from as many folks in that 30 minutes I am going to have to reduce the amount of time allotted to each Speaker.,18,,
62,0.97,398.664,410.81,"Instead of having two minutes each, every Speaker will be provided a total of one minute to address the city council this afternoon.",18,,
63,0.97,410.81,414.68,Speakers are called upon in the order in which they registered to provide public comment on the Council's Website.,18,,
64,0.97,414.68,423.423,"Each Speaker must call in from the phone number used for this registration and using the meeting, phone number and Passcode that was Emailed to them upon confirmation.",18,,
65,0.97,423.423,428.528,This is different than the general meeting lesson line call in information.,18,,
66,0.97,428.528,435.034,"Again, I'll call on each Speaker by name, and in the order in which they registered on the Website.",18,,
67,0.97,435.034,443.109,"If you have not yet registered to speak but would like to, you can sign up before the end of public comment by going to the Website at Seattle.Gov/Counsel.",18,,
68,0.97,443.109,449.048,The public comment link is also listed on today's agenda.,18,,
69,0.97,449.048,455.521,"Once I call your name, staff will Unmute your microphone and you will hear a automatic prompt that you have been Un-Muted.",18,,
70,0.97,455.521,463.129,This will be your Cue to press Star six before you begin speaking.,18,,
71,0.97,463.129,476.542,"Please begin by stating your name, the item that you are addressing, and as a reminder, public comment should relate to an item on today's agenda, the introduction and referral calendar, or the Council's work program.",18,,
72,0.97,476.542,480.68,Speakers will hear a time when 10 seconds I left of the allotted time.,18,,
73,0.97,480.68,484.784,"Once you hear the Chime, please begin wrapping up your public comment.",18,,
74,0.97,484.784,493.492,"If you do not end your comment at the end of the allotted time provided, your microphone will be needed to allow us to call on the neck Speaker.",18,,
75,0.97,493.492,497.763,Once you've completed your public comment we ask that you please Disconnect from the line.,18,,
76,0.97,497.763,503.703,"If you plan to continue following this meeting you can do so by watching us on Seattle Channel, or anyone of the listing options listed on the agenda.",18,,
77,0.97,503.703,505.771,The public comment period is now open.,18,,
78,0.97,505.771,510.409,It is about 2:15 P.M.,18,,
79,0.97,510.409,515.314,We will go until about 2:45 P.M.,18,,
80,0.97,515.314,517.683,We will begin with the first Speaker on the list.,18,,
81,0.97,517.683,524.69,"Again come after you press--after you hear you have been Un- muted, press Star six so you can Unmute yourself.",18,,
82,0.97,524.69,529.228,The Firstperson is Howard followed by aerial.,18,,
83,0.97,529.228,534.634,Hi.,19,,
84,0.97,534.634,537.837,"On May 19, 2020, the SPD murdered a man.",19,,
85,0.97,537.837,553.019,"Despite the director being on site shortly after this killing, and the clear Video evidence it was immediately available indicating a profound failure of the escalation, he made a decision not to open a investigation.",19,,
86,0.97,553.019,561.06,"It wasn't until August 20th, three months later, that they announced they suddenly found my complaint from June, and were opening an investigation.",19,,
87,0.97,561.06,576.509,"This, despite the fact that he took charge of the investigation just weeks after another killing, and then watched as three more people of color in severe mental health crisis, all wielding a knife or no weapon at all were killed by the SPD.",19,,
88,0.97,576.509,590.156,"In all cases, they were ruled lawful and proper to last week, the OPA is quote the most robust transparent civilian led system in the United States of America.",19,,
89,0.97,590.156,591.023,It is not debatable.,19,,
90,0.97,591.023,593.659,We have more civilian oversight here than anywhere else.,19,,
91,0.97,593.659,595.695,I have not seen a model that is better than ours.,19,,
92,0.97,595.695,599.599,This is Orwellian and Patently ludicrous.,19,,
93,0.97,599.599,604.47,We must create a true 100% civilian oversight of police.,19,,
94,0.97,604.47,608.074,Please visit Seattle Stop.Org to find out how.,19,,
95,0.97,608.074,613.179,Next up is aerial lapse in.,20,,
96,0.97,613.179,615.414,Followed by Stephanie Ingram.,20,,
97,0.97,615.414,624.523,I'm speaking today to address Councilwoman Sawant's end the deadly exchange the resolution.,21,,
98,0.97,624.523,637.503,I'm truly disappointed to see that Councilwoman Sawant is yet again using totally unrelated International issues to distract from the very real issues we face right here in our city.,21,,
99,0.97,637.503,644.21,Spd and any issues relevant to the city should not be entangled or Conflated with international issues.,21,,
100,0.97,644.21,646.645,This absurd resolution will do nothing for the people that actually live here.,21,,
101,0.97,646.645,654.02,"As Councilwoman Sawant points out in her resolution, the Council recently cut $47 million from the SPD budget.",21,,
102,0.97,654.02,666.866,"This is a huge and important change, what work as Councilwoman Sawant led to ensure that--this resolution is nothing but political Grandstanding.",21,,
103,0.97,666.866,675.474,The issue of Israel is being invoked because it makes for good media.,21,,
104,0.97,675.474,678.177,Did you notice how Israel is literally the only country she named?,21,,
105,0.97,678.177,678.477,Why?,21,,
106,0.97,678.477,679.779,Because it gets your attention.,21,,
107,0.97,679.779,683.449,It doesn't change anything about life --,21,,
108,0.97,683.449,685.885,Thank you for calling in today.,22,,
109,0.97,685.885,691.59,Next up is Stephanie Ingram followed by Madeleine.,22,,
110,0.97,691.59,711.077,I'm a community member who lives in the central district and I'm an advocate for the community driven Garfield Superblock park renovation project . I support the legislation and hope that some of the Arpa funds will go toward our Superblock project.,23,,
111,0.97,711.077,720.786,"Our group has met with staff from the District 3, and we are thrilled that Councilwoman Sawant has agreed to funding.",23,,
112,0.97,720.786,723.722,We urge other Councilmembers to also support this project.,23,,
113,0.97,723.722,729.929,Community engagement led to an idea of an arts and history focused arts renovation.,23,,
114,0.97,729.929,733.399,Have been fighting to make this project a reality ever since.,23,,
115,0.97,733.399,743.709,It is an ambitious project to create a vital civic space in the heart of the central district that honors and tells the story through art and cultural presentations such as the people who live here over the millennia.,23,,
116,0.97,743.709,755.521,The development of a rich community gathering space in the central district is of critical importance to this marginalized neighborhood.,23,,
117,0.97,755.521,760.459,"This project aims to honor the role of public space in the area, provide high-quality infrastructure for many you and give the neighborhood --",23,,
118,0.97,760.459,761.927,Thank you for calling in today.,24,,
119,0.97,761.927,766.966,Next up is Madeleine followed by Jared.,24,,
120,0.97,766.966,772.772,"Mary, if you are listening, you are showing up as not present on my end.",24,,
121,0.97,772.772,779.645,Please confirm that you are calling into the correct number with the number that you registered with.,24,,
122,0.97,779.645,780.079,"Madeleine, welcome.",24,,
123,0.97,780.079,787.586,I am responding to the Arpa funding package.,25,,
124,0.97,787.586,813.212,"I just want to emphasize that language is super important when constructing this bill, specifically that the funds be channeled directly into black lives organizations and that the Council use the word black to emphasize the significant contributions that have been made by our local black community.",25,,
125,0.97,813.212,827.593,There are a Plethora of organizations that need this funding . The current white centric Non-Community-Based services do not work for the predominantly black service population.,25,,
126,0.97,827.593,830.696,That is quoting King County equity now.,25,,
127,0.97,830.696,834.767,The Council has an opportunity to set a new precedent by channeling directly into black community.,25,,
128,0.97,834.767,842.041,Instead of indirectly channeling through predominantly white led organizations.,25,,
129,0.97,842.041,850.649,"So, changing the channels by which these funds are distributed can prevent from the repetition of the outcome of the paycheck protection program.",25,,
130,0.97,850.649,855.254,"So, I just want to emphasize again that language is so important when writing this bill.",25,,
131,0.97,855.254,857.156,Thank you for calling in today.,26,,
132,0.97,857.156,860.759,Next up is Jared Brown followed by George.,26,,
133,0.97,860.759,862.928,"Jared, welcome.",26,,
134,0.97,862.928,867.132,"Thank you, chair, and Seattle city council.",27,,
135,0.97,867.132,876.575,I live in Seattle in the Lakewood neighborhood and I'm here to discuss the end of the change legislation.,27,,
136,0.97,876.575,880.079,"I'm progressive, proud to be liberal and to stand up for those who need help the most.",27,,
137,0.97,880.079,890.856,"Coming off June 10th and remembering the tragic deaths of Ronna Taylor, George Floyd and so many others, I agree that police violence often goes too far.",27,,
138,0.97,890.856,892.558,"That said, this proposal is not the answer.",27,,
139,0.97,892.558,896.495,"On the contrary, it's an affront to progressive liberal, and basic democratic beliefs.",27,,
140,0.97,896.495,903.702,It's ridiculous to imply that learning between the SPD and Israel are the cause of police violence.,27,,
141,0.97,903.702,913.679,Reflecting on Juneteenth undermines the important debate we should instead be having to find proper ways to reduce violence.,27,,
142,0.97,913.679,920.686,Further equating Israel to apartheid is an affront to the black South Africans that lived through the actual apartheid.,27,,
143,0.97,920.686,928.627,Anti-Tran35 rhetoric--which results in violence in our own community.,27,,
144,0.97,928.627,931.597,Thank you for calling in.,28,,
145,0.97,931.597,932.031,Appreciate it.,28,,
146,0.97,932.031,933.932,Next up is George.,28,,
147,0.97,933.932,936.535,Followed by Cody.,28,,
148,0.97,936.535,947.346,Lehigh is pleased to support the Council's proposed first tranche of Arpa funding.,29,,
149,0.97,947.346,951.417,Thank you chair Mosqueda for your leadership.,29,,
150,0.97,951.417,954.253,This budget demonstrates a strong commitment to addressing our homelessness crisis.,29,,
151,0.97,954.253,963.195,"An investment both long-term and short-term approaches, my colleague will speak to the $20 million in rapid acquisition funding for permanent affordable housing.",29,,
152,0.97,963.195,969.435,I want to focus on your support for urgent needed of emergency shelter.,29,,
153,0.97,969.435,975.941,"$400,000 proposed for tiny House villages will leverage the $2 million allocated by the state for tiny houses.",29,,
154,0.97,975.941,979.378,As well as private donations.,29,,
155,0.97,979.378,982.381,Will also leverage state support for apprenticeship programs and construction trades.,29,,
156,0.97,982.381,987.586,We also support funding for Rv safe lots.,29,,
157,0.97,987.586,994.393,"Of course Lehigh would be advocating for additional funding in round two of Arpa, but this is a strong start to addressing our homelessness crisis.",29,,
158,0.97,994.393,994.693,Thank you.,29,,
159,0.97,994.693,998.097,Thank you for calling in today.,30,,
160,0.97,998.097,1003.102,"Now, I'm showing that you are not present.",30,,
161,0.97,1003.102,1008.273,"So, if you call back in, I'll make sure to call on you.",30,,
162,0.97,1008.273,1019.618,"Right now I'm showing as not present Mary, Cody, Carolyn, and Rachel.",30,,
163,0.97,1019.618,1031.13,"So, Mary, Cody, Carolyn, and Rachel, if you can hear me, please double check the confirmation Email that you received from our legislative Department staff.",30,,
164,0.97,1031.13,1039.138,Make sure that you are dialing in to that number with the Password with the number that you used to register.,30,,
165,0.97,1039.138,1042.441,For today's public comment.,30,,
166,0.97,1042.441,1048.847,"If I see that your status changes from not present to present, I will make sure to double back and give you your one minute.",30,,
167,0.97,1048.847,1051.116,Showing up as present and ready to go is Robert.,30,,
168,0.97,1051.116,1054.953,Followed by Micah.,30,,
169,0.97,1054.953,1055.421,"Robert, welcome.",30,,
