index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.913,24.824,"Thank you so much, the January 11, 2022 meeting of the public safety and human services committee will come to order.",0,,
1,0.97,24.824,25.291,It is 9:30 A.M.,0,,
2,0.97,25.291,28.728,"I'm Lisa Herbold, chair of the committee.",0,,
3,0.97,28.728,33.733,Will the clerk please call the roll.,0,,
4,0.97,33.733,34.0,Lewis.,1,,
5,0.97,34.0,38.872,Present.,2,,
6,0.97,38.872,39.639,Council member Mosqueda.,3,,
7,0.97,39.639,43.443,Council member Nelson.,4,,
8,0.97,43.443,44.611,Present.,5,,
9,0.97,44.611,48.615,Council member Pedersen.,6,,
10,0.97,48.615,48.915,Present.,7,,
11,0.97,48.915,49.349,Chair Herbold.,8,,
12,0.97,49.349,49.682,Present.,9,,
13,0.97,49.682,50.049,Thank you.,10,,
14,0.97,50.049,59.592,This is our first meeting of the year and I would like to start off with a warm welcome to our new members.,10,,
15,0.97,59.592,67.934,"Council member Nelson, council member Mosqueda, and Council member Pedersen, who was an alternate, and is now a regular member.",10,,
16,0.97,67.934,73.339,I want to thank you all for your willingness to serve on this Committee.,10,,
17,0.97,73.339,86.986,"On today's agenda, we'll be hearing first aid briefing from the director of the office of police accountability on his findings about the proud boys ruse used by the Seattle police Department on June 8, 2020.",10,,
18,0.97,86.986,115.215,"We will also be hearing an update from health on Covid-19 and then Finally, we'll be receiving a briefing on December 9 emergency 9/11 system outage from community safety and communications center and we will be right into the agenda, we'll approve our agenda.",10,,
19,0.97,115.215,121.955,"There are no objections, today's agenda will be adopted.",10,,
20,0.97,121.955,124.557,"Hearing no objections, today's agenda is adopted.",10,,
21,0.97,124.557,130.83,"As I noted in Council briefings yesterday, there are schedule limitations.",10,,
22,0.97,130.83,152.752,"So we'll need to do our best to stick to the schedule as much as possible and I have a tendency to let things run long and I am putting folks on notice that I will be doing everything I can to not let that happen in this meeting, so we can get to everything on today's agenda.",10,,
23,0.97,152.752,157.023,Time will be Transitioning into the public comment.,10,,
24,0.97,157.023,161.928,"As always, I will moderate public comment period as follows.",10,,
25,0.97,161.928,163.83,Each Speaker will be given two minutes to speak.,10,,
26,0.97,163.83,170.236,I will call on each Speaker by name in the order which they registered on the Council Website.,10,,
