index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.849,23.223,Good morning.,0,,
1,0.97,23.223,28.528,"And welcome to the January 26th, 2021 meeting of the public safety and human services committee meeting.",0,,
2,0.97,28.528,29.229,It is 9:30 A.M.,0,,
3,0.97,29.229,30.93,"I'm in Lisa Herbold, chair of the committee.",0,,
4,0.97,30.93,35.335,Will the clerk please call the road?,0,,
5,0.97,35.335,39.072,Councilmember Herbold?,1,,
6,0.97,39.072,42.976,Here.,2,,
7,0.97,42.976,44.01,Council President Jeff Gonzalez?,3,,
8,0.97,44.01,44.744,Here.,4,,
9,0.97,44.744,46.98,Councilmember Lewis?,5,,
10,0.97,46.98,48.681,Councilmember Morales?,5,,
11,0.97,48.681,51.384,Here.,6,,
12,0.97,51.384,52.285,Councilmember Sawant?,6,,
13,0.97,52.285,53.486,Here.,7,,
14,0.97,53.486,61.194,Four members present.,8,,
15,0.97,61.194,61.895,"Thank you, Alex.",9,,
16,0.97,61.895,71.037,"So, on today's agenda, we will be hearing the appointment of check curry Mayer to the office for emergency management.",9,,
17,0.97,71.037,75.508,We'll be hearing a presentation and discussion of the human services Department and partners in the community safety initiative.,9,,
18,0.97,75.508,97.263,"We'll also be hearing a brief update from the service Department on the community safety investment process, and we'll be engaged in a another discussion and possible recommendations moving forward on the less lethal weapons draft bill developed based on recommendations from our police accountability partners.",9,,
19,0.97,97.263,109.843,"And finally, we'll have a discussion only on counsel bill 1199-81 regarding a supplemental amendment to SPD's 2021 budget.",9,,
20,0.97,109.843,121.654,"Before we begin public comment, I want to highlight the unusual process for deliberations on our last lethal weapons bill.",9,,
21,0.97,121.654,148.681,"Just want to note for folks who may be listening in or intending to use public comment today on that topic, any recommendations that the committee makes on less lethal weapons will have to be submitted to the monitor and the U.S. Department of justice and U.S. District Court before we have any full counsel actions.",9,,
22,0.97,148.681,172.405,"We have to do this because the city of Seattle and Seattle police Department are under a consent decree under the supervision of a consent decree, and we have to meet terms that are laid out in the consent decree that include the review and approval of bills related to police use of force.",9,,
23,0.97,172.405,177.844,"So under the consent decree, the monitor and DOJ must review and the court must approve any proposed changes to the use of force in the city of Seattle.",9,,
24,0.97,177.844,195.094,"So, just as a point of information, the bill that we have before us today that we have had several meetings on since this summer will not be moving to full council as is typically the process.",9,,
25,0.97,195.094,205.572,"Normally after a committee vote, Legislature will move on to full Council for the full council vote.",9,,
26,0.97,205.572,206.239,That will not happen.,9,,
27,0.97,206.239,210.21,"After this committee recommendation, then we will be submitting to legislation to the court, for review.",9,,
28,0.97,210.21,212.445,"And so, I see that Councilmember Lewis has now joined us.",9,,
29,0.97,212.445,213.313,"Good morning, Councilmember Lewis.",9,,
30,0.97,213.313,218.952,And we'll now approve our agenda for our committee meeting today.,9,,
31,0.97,218.952,220.42,If there is no objection.,9,,
32,0.97,220.42,227.227,Today's committee meeting will be adopted.,9,,
33,0.97,227.227,233.566,"Hearing no objections, today's agenda is up adopted . Now, we will move into public comment.",9,,
34,0.97,233.566,246.145,"And, it looks like we have about 35 people signed up for public comment this morning.",9,,
35,0.97,246.145,260.56,"And in order to facilitate the public comment discussion, we will identify a fair amount of time for everybody to speak.",9,,
36,0.97,260.56,267.033,"We have 20 minutes on the agenda, and I want to do everything I can to allow for as many people to speak as possible.",9,,
37,0.97,267.033,270.603,"So instead of the normal two minutes of time, we will have 1.5 minutes to speak.",9,,
38,0.97,270.603,276.009,"So, a minute and a half.",9,,
39,0.97,276.009,276.709,90 seconds per Speaker.,9,,
40,0.97,276.709,283.016,"I will call on each Speaker per name, and in the order in which they registered on the Council's Website.",9,,
41,0.97,283.016,292.025,"If you have not registered to speak but would like to, you can find out before the end of the public hearing by going to the Council's Website.",9,,
42,0.97,292.025,293.493,The link is also noted on today's agenda.,9,,
43,0.97,293.493,296.496,"Once I call a Speaker's name, you'll hear a prompt.",9,,
44,0.97,296.496,303.703,"Once you have heard that prompt, you need to play press Star six to Unmute your self.",9,,
45,0.97,303.703,307.507,Please begin by stating your name and item by which you are addressing.,9,,
46,0.97,307.507,318.317,Speakers will hear a time when 10 seconds are left of their allotted time.,9,,
47,0.97,318.317,321.254,"Once the Spiegel here's the Chime, we ask that you begin to wrap up your public comment.",9,,
48,0.97,321.254,328.628,"If speakers do not hear the Chime at the end of the allotted time provided, the Speaker's microphone will be muted at the end of 10 minutes to allow us to hear the next Speaker.",9,,
49,0.97,328.628,345.478,"Once you have completed your time and given your public comment, please Disconnect your line . You can do so at the Seattle channel or listing options.",9,,
50,0.97,345.478,356.656,"In order to allow as many speakers to speak as possible, as I mentioned earlier, I've adjusted the speaking time from two minutes to 90 seconds.",9,,
51,0.97,356.656,364.197,"And now, if there are no objections, I will amend the agenda to allow some additional time for public speaking.",9,,
52,0.97,364.197,373.206,"So again, if there are no objections, I'd like to amend the agenda for 30 minutes of public comment, rather than 20 minutes.",9,,
53,0.97,373.206,382.782,"Hearing no objections, the agenda is amended to allow for 30 minute public comment.",9,,
54,0.97,382.782,387.987,"So next, I'm going to begin calling on the speakers in order to speak.",9,,
55,0.97,387.987,398.631,"We will start with Howard gale, followed by Stephen Ramos.",9,,
56,0.97,398.631,400.266,Good morning.,10,,
57,0.97,400.266,425.057,"As Seattle recently noted in relation to many months of horrifying reviews committed by Seattle police, quote, the allegations for policy violations in 5 of 22 cases, only one officer so far has been disciplined, and that was a written Reprimand.",10,,
58,0.97,425.057,436.936,"We are now well past the contractual 180 day Timeline for disciplining officers for many of the most horrifying abuses of last summer, guaranteeing that police will issue sanctions, Emboldening them to continue their abuse.",10,,
59,0.97,436.936,437.77,"Yet, here we are today.",10,,
60,0.97,437.77,452.885,"This morning, you will be discussing certain tools of police abuse, a worthy goal, but meaningless as long as police have--guns, arrests, et cetera, in a system that completely lacks accountability.",10,,
61,0.97,452.885,462.862,The community police Commission will hold a police use of force policy with no real opportunity for public input and a total complete absence of the victims of those policies.,10,,
62,0.97,462.862,477.31,"The particular irony here is that you will be discussing Aws you have no control over because of the Federal Court consent decree, while you ignore actions that is accountability you could take to bring officers to justice.",10,,
63,0.97,477.31,488.387,"Imagine engaging in this policy discussion around domestic abuse, where in the morning they discuss what methods of abuse Abusers have recourse to in a system that would refuse to uphold--to account and in the evening they have a discussion led by experts without hearing criminal reviews.",10,,
