index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.282,19.586,"Okay, well, good afternoon, everyone.",0,,
1,0.97,19.586,27.26,The July 20th 2021 community economic development committee meeting will come to order.,0,,
2,0.97,27.26,28.094,It's 2:02:00 P.M.,0,,
3,0.97,28.094,31.264,I'm Tammy Morales chair of the committee.,0,,
4,0.97,31.264,33.466,Will you please call the role.,0,,
5,0.97,33.466,35.001,Council member Juarez.,1,,
6,0.97,35.001,37.17,Here.,2,,
7,0.97,37.17,38.738,Council member Lewis.,3,,
8,0.97,38.738,41.508,Present.,4,,
9,0.97,41.508,43.61,Council member Pedersen.,5,,
10,0.97,43.61,45.211,Here.,6,,
11,0.97,45.211,49.215,Council member Sawant.,7,,
12,0.97,49.215,50.984,Present.,8,,
13,0.97,50.984,52.452,"Chair Morales, here.",9,,
14,0.97,52.452,65.098,"Thank you, if there's no objection, item 12, the appointment of Rachel Morowitz will be removed from the agenda due to the appointee's availability.",10,,
15,0.97,65.098,66.266,Is there any objection?,10,,
16,0.97,66.266,69.436,"Hearing no objection, this item is removed.",10,,
17,0.97,69.436,74.707,"If there's no objection, Today'Sagenda will be adopted as amended.",10,,
18,0.97,74.707,80.947,"Hearing no objection, today's agenda is adopted as amended.",10,,
19,0.97,80.947,88.288,"This afternoon, we have several Commission appointments for the Seattle music Commission and for the women's Commission.",10,,
20,0.97,88.288,97.297,"First we'll hear from the office of arts and culture, and they'll be presenting their annual report on our public art program.",10,,
21,0.97,97.297,101.468,"I should say first, sorry, we do have a public comment period.",10,,
22,0.97,101.468,108.241,I want to confirm with it that we do not have anybody signed up for public comment.,10,,
23,0.97,108.241,112.512,There are no public comment registrants.,11,,
24,0.97,112.512,112.779,Okay.,12,,
25,0.97,112.779,115.415,"In that case, we will proceed.",12,,
26,0.97,115.415,120.086,Public comment period is open and closed.,12,,
27,0.97,120.086,121.187,So my apologies.,12,,
28,0.97,121.187,126.726,I'm really excited about the presentation from office of arts and culture today.,12,,
29,0.97,126.726,130.597,They'll be presenting their annual report on the public art program.,12,,
30,0.97,130.597,138.471,We all know that our local artists provide important opportunities for us to connect.,12,,
31,0.97,138.471,138.872,Art provokes us.,12,,
32,0.97,138.872,143.877,It makes us think about how our society is or is not functioning.,12,,
33,0.97,143.877,151.184,"And as an example, I had the privilege of attending the AIDS Memorial Pathway opening at Cal Anderson park last month.",12,,
34,0.97,151.184,162.228,And had an opportunity to listen to the artists who were sharing their stories about their own experience during the AIDS pandemic.,12,,
35,0.97,162.228,174.107,"And just being in that setting, in that context, hearing their stories again reminded me of my own friends from high school and college, you know, who were terrified of contracting AIDS.",12,,
36,0.97,174.107,185.118,I still have several friends and family members who are gay and I just remember the palpable fear at the time that people were going to contract it.,12,,
37,0.97,185.118,193.927,So that conversation reminded me of a friend who was brutally assaulted due to Phobia.,12,,
38,0.97,193.927,201.935,It really just made me reflect on how different the outcomes are now for people who are living with HIV today.,12,,
39,0.97,201.935,207.173,"And just being able to say that, right, people who are living with HIV today.",12,,
40,0.97,207.173,213.68,Something we couldn't say in the 80s.,12,,
41,0.97,213.68,216.783,I've had several discussions with friends and family then.,12,,
42,0.97,216.783,224.157,And all of these conversations were jarred by the public art project supported by the city of Seattle.,12,,
43,0.97,224.157,229.195,So I'm excited to hear about what we're doing in general with the public art program.,12,,
44,0.97,229.195,247.013,Because it really is an important way for us to connect with one another to humanize the built environment and to really think about our society and the reflection of the artists on our society.,12,,
45,0.97,247.013,247.413,And it's free.,12,,
46,0.97,247.413,251.884,Which is maybe just as important as all the other pieces of that program.,12,,
47,0.97,251.884,268.601,So we will be hearing today from Calandra and I don't know if there's anybody else coming from the Department.,12,,
48,0.97,268.601,271.237,Amy Wynn is here.,12,,
49,0.97,271.237,271.471,Yay.,12,,
50,0.97,271.471,271.804,I'm excited.,12,,
51,0.97,271.804,273.106,So let us continue.,12,,
52,0.97,273.106,278.845,"And we will, I'll ask you to please read item one into the record.",12,,
53,0.97,278.845,285.551,"Item one, public art annual report for briefing and discussion.",13,,
54,0.97,285.551,285.852,Perfect.,14,,
55,0.97,285.852,286.052,Okay.,14,,
56,0.97,286.052,287.42,So I all ready gave my introduction.,14,,
57,0.97,287.42,291.658,I'm going to hand it over to the arts Department and hear what Y'all have to say.,14,,
58,0.97,291.658,297.397,"Thank you so much Council member Morales, and thank you to all the Council members.",15,,
59,0.97,297.397,302.235,We're really pleased to be here today to share about the public art program.,15,,
60,0.97,302.235,306.606,"I am joined by my colleague, Amy Wynn.",15,,
61,0.97,306.606,308.975,And we're going to to several things today.,15,,
62,0.97,308.975,312.412,We're going to talk about what's happened over the last couple years in the program.,15,,
63,0.97,312.412,324.223,We're going to share a little bit of data about both the folks who we have been commissioning as well as kind of what our partnerships look like going forward with our capital Department.,15,,
64,0.97,324.223,331.898,"But I did want to reflect just some of the pieces that Council member Morales, you were Referencing around the AIDS Memorial Pathway.",15,,
65,0.97,331.898,334.6,And that's a project that we're going to talk more about.,15,,
66,0.97,334.6,345.778,But I do think that public art is this opportunity for us to have a public conversation about issues that are important to the community.,15,,
67,0.97,345.778,350.817,"And it, you know, art gives us an opportunity to share things in different modes.",15,,
68,0.97,350.817,353.353,And it allows people to engage in different ways.,15,,
69,0.97,353.353,365.665,And I do think that something like the AIDS Memorial Pathway allows us to have that conversation about something like health and well being and which communities have been impacted the most.,15,,
70,0.97,365.665,372.372,"In ways that, you know, sometimes reports aren't able to have the same sort of impact.",15,,
71,0.97,372.372,375.675,"Those spaces that, you know, we do public art in public.",15,,
72,0.97,375.675,382.648,It happens in all of the spaces that we walk through everyday in our parks.,15,,
73,0.97,382.648,386.953,On our streets.,15,,
74,0.97,386.953,391.023,And it gives us an opportunity to stop and reflect and take a moment.,15,,
75,0.97,391.023,397.029,It's a program that's important to our office.,15,,
76,0.97,397.029,398.664,We're celebrating our 50th anniversary this year.,15,,
77,0.97,398.664,399.732,We've been here 50 years.,15,,
78,0.97,399.732,402.335,We've been doing this work for 50 years.,15,,
79,0.97,402.335,407.173,The city of Seattle has one of the oldest public art programs in the country.,15,,
80,0.97,407.173,414.747,We have the second oldest program which means we have this incredible collection that we maintained.,15,,
81,0.97,414.747,417.25,Along with the work that we're talking about today.,15,,
82,0.97,417.25,424.69,Along with the projects that have come into tuition over the last couple years.,15,,
83,0.97,424.69,431.731,We have this amazing collection that we have the responsibility to maintain and keep making pristine.,15,,
84,0.97,431.731,436.068,And make sure we're in conversation with our past especially as we go forward.,15,,
85,0.97,436.068,455.588,I'm realizing that I don't think I introduced myself I'll take a moment to say I'm Callandra Childers.,15,,
86,0.97,455.588,471.437,"Making sure everything we do is done through a racial equity Lense and really investigating who is benefiting from these programs, where in the community they are situated and who exactly we're engaging when we have these tunes.",15,,
87,0.97,471.437,481.38,"I'm joined today by my colleague, Amy, and I'm super thrilled to introduce Amy as the public art director to the community and economic development committee.",15,,
88,0.97,481.38,487.186,She joined us in the middle of the pandemic so she's very new on our staff but is not new to the city.,15,,
89,0.97,487.186,495.361,"She's worked in the Department of transportation, the Department of neighborhoods and also worked if the city council members office previously.",15,,
90,0.97,495.361,508.507,So she has a wealth of city experience and brings in a lot of really relevant experience in the ways of urban planning and Participatory processes that are going to be hugely beneficial for the program.,15,,
91,0.97,508.507,526.025,But I'm excited to have her share a little bit about her vision about where the program is going from here and then just to make sure everybody is a little bit familiar with how the program is situated so the city of Seattle has a 1% for art ordinance.,15,,
92,0.97,526.025,528.694,Which means every time we build a Capitol project.,15,,
93,0.97,528.694,538.104,"Whether it be a fire station, a park, or a roadway, 1% of the Capitol project is dedicated through art.",15,,
94,0.97,538.104,540.072,That funding comes through our office.,15,,
95,0.97,540.072,542.942,And we work with those Capitol departments.,15,,
96,0.97,542.942,559.392,Those are key partners to Codevelop projects that meet the needs of both the Capitol Department as well as our goals that are really centered around how do we integrate the artist's voice into the civic landscape.,15,,
97,0.97,559.392,563.129,We can be talking about big major sculptural pieces.,15,,
98,0.97,563.129,572.271,And we can be talking about community of practice where people are engaging in conversations and it might be something that's very transient.,15,,
99,0.97,572.271,577.209,Something that's a pop up that happens in just a moment of time.,15,,
100,0.97,577.209,583.616,Something that speaks to that moment in time approach is that creative comment event that just kicked off this weekend.,15,,
101,0.97,583.616,588.521,We had two days of dedicated programming from 11:00 A.M.,15,,
102,0.97,588.521,589.055,To 7:00 P.M.,15,,
103,0.97,589.055,590.556,We had artists performing.,15,,
104,0.97,590.556,593.559,We had lots of different kinds of engagement.,15,,
105,0.97,593.559,595.494,That's what public art can look like.,15,,
106,0.97,595.494,598.264,And I think I will pass it off to Amy.,15,,
107,0.97,598.264,605.037,Because I think that's where you're getting started with this.,15,,
108,0.97,605.037,610.643,"Thank you, Callandra and thank you for the opportunity to just share.",16,,
109,0.97,610.643,614.68,A bit of context on why we're here presenting today.,16,,
