index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.615,18.118,"Thank you, appreciate it.",0,,
1,0.97,18.118,24.891,The September 13 2021 meeting of the Seattle city council will come to order.,0,,
2,0.97,24.891,27.694,--,0,,
3,0.97,27.694,38.138,[roll being called],1,,
4,0.97,64.364,85.351,"Thank you so much, presentations we do not have any presentations this morning so we will move to approval of the minutes the minutes of the city council meeting of August 16, 2021 have been approved if there is no objection--the minutes are being signed will the clerk please affix my signature to the minutes?",2,,
5,0.97,85.351,136.736,"We will move to the approval of the introduction and referral calendar, there are three proposed amendments to the introduction and referral calendar that I can see in my script for today, so here is what we are going to do, I have to first moved to adopt the introduction referral calendar then there has to be a second and we can consider each of the amendments individually, so I know who has amendments based on your communications with the city clerk's office, so I will just call on you as we go through this just to expedite and meet the process as understandable and accessible to members of the public as we possibly can.",2,,
6,0.97,136.736,160.527,This is just an opportunity for Councilmembers who did Miss the deadlines to referring items of legislation through our ordinary Council President office this is their opportunity to make amendments to the introduction referral calendar for those pieces of legislation for consideration.,2,,
7,0.97,160.527,166.633,So I moved to adopt the introduction referral calendar is there a second?,2,,
8,0.97,166.633,211.911,"It has been moved and Seconded to adopt the introduction and referral calendar again there are three Councilmembers including myself who have amendments to the introduction and referral calendar I am going to switch the order here a little bit to allow us to consider the perhaps less controversial amendments first and then save the best for last so if there is no objection to that I am going to go ahead and do that, I will start with my amendment to the introduction and referral calendar, if there is no objection item 8 203.4 will be amended by changing the committee referral from the Governance and education committee to the city council.",2,,
9,0.97,211.911,212.912,Second.,3,,
10,0.97,212.912,224.29,Hearing no objection introduction referral calendar is amended to reflect the item 8 appointment 2034 is referred to the city council.,4,,
11,0.97,224.29,230.196,We are not voting on the amendments?,5,,
12,0.97,230.196,231.731,To the introduction referral calendar?,5,,
13,0.97,231.731,239.539,I heard you ask if there were any objections which suggests hat there is a need for second --,5,,
14,0.97,239.539,253.553,"Madam clerk, I am going to call upon you to the author of my script and parliamentarian, it indicates here that I just need to call for an objection, is that correct?",6,,
15,0.97,253.553,266.332,Correct because the amendment is within the unanimous consent that we are seeking and if there are no concessions you would --,7,,
16,0.97,266.332,275.642,"We do not need a second, but if we want to vote on it we do EED to object.",8,,
17,0.97,275.642,278.344,Right.,9,,
18,0.97,278.344,280.146,Sorry about that.,9,,
19,0.97,280.146,308.508,I think it is largely because of the underlying legislation--okay so this is just an opportunity to have a unanimous consent on this item so if there is no objection item 8 will be amended by changing the committee referral from--to the city council.,9,,
20,0.97,308.508,319.118,Hearing no objection introduction referral calendar is amended to reflect that--is referred to the city council.,9,,
21,0.97,319.118,342.108,"There is also a request for a suspension of rules, Councilmember--I am going to go through the steps needed to suspend the rules and then Councilmember Mosqueda will make a motion that will require a second and then we will go to the rollcall.",9,,
22,0.97,342.108,373.973,"So based on this again, if there is no objection the counsel rule relating to circulation of legislation and introduction not on the published--on the preceding business day will be suspended to allow consideration of amendment to allow one Council bill to the introduction and referral calendar.",9,,
23,0.97,373.973,379.879,Hearing no objection the counsel will be suspended and we will proceed with consideration to the proposed amendment to the introduction and referral calendar.,9,,
24,0.97,379.879,387.186,Councilmember Mosqueda you are recognized in order to move your amendment to today's introduction and referral calendar.,9,,
25,0.97,387.186,394.127,"Thank you very much, I am move --",10,,
26,0.97,423.055,426.926,It has been Seconded by Councilmember Herbold.,11,,
27,0.97,426.926,442.008,It has been moved and Seconded to move and amend the introduction referral calendar is there anything else you would like to add to the introduction to the human amendment --,11,,
28,0.97,442.008,465.665,The eagerly anticipated--was discussed in my committee last Friday--and hopefully vote it out community partners have been--we just did not get it into the--we consider --,12,,
29,0.97,469.602,483.449,Are there any additional comments to the--hearing none will the clerk please call the roll on the adoption of the --,13,,
30,0.97,483.449,487.787,[roll being called],14,,
31,0.97,503.502,532.231,-- so now we are going to go back to the top of my script here and we will consider Councilmember Pedersen's amendment so I will go ahead and recognize Councilmember Pedersen to make his motion to make the introduction a referral calendar for this afternoon.,15,,
32,0.97,532.231,545.077,As it was circulated last Friday I moved to amend the introduction and referral calendar by introducing --,16,,
33,0.97,558.391,576.542,It has been moved and Seconded by Councilmember Warez to amend the introduction and referral calendar I will hand it back over to Councilmember Pedersen to address this amendment and then we will open it up to comments and questions.,17,,
34,0.97,576.542,597.396,Colleagues have made similar remarks--I should summarize it here for the benefit of the public--circulated an amendment to Council bill 120112.,18,,
35,0.97,597.396,674.24,"That passed out of committee August 17 I am not a member of the committee--and get it approved by the law Department and there are two options to this amendment which I will discuss later--by using the funds--I was not able to get that onto--asking that we add it to the IRC, your vote would not be to support or oppose the authorizing legislation at this time--we do not need to adopt the authorizing legislation right away but I wanted everybody to have it in front of them to read along with--as part of item 3, that is--to effectuate those financial changes--I also want to acknowledge the many who have written with concerns about how we fund our police departments and other programs.",18,,
36,0.97,674.24,707.206,I believe we can and should do more on multiple fronts with--we have the frontline staffing necessary--so I asked my colleagues allow this--thank you.,18,,
37,0.97,707.206,712.411,I see that Councilmember Herbold has her hand raised.,19,,
38,0.97,712.411,717.316,If you would like to make comments you can --,19,,
39,0.97,728.36,772.371,I appreciate Councilmember Pedersen getting this bill in front of us it is in front of us we do not need it on the IRC yet because I still think there is a little bit of a Ripeness issue--to see how this discussion later in today's meeting goes around Councilmember Pedersen's proposed amendment to fund a training and recruitment program and if Councilmember Pedersen is successful with that vote and that amendment we could look at next week's IRC --,20,,
40,0.97,781.013,795.694,Are there any other comments or questions on the introduction --,21,,
41,0.97,795.694,796.328,--,22,,
42,0.97,867.066,939.305,"Thank you, I will be voting no on this amendment but I want to be clear my objection is not about process, it is about the content of the bill, my office is totally opposed to the content of the bill, and as has been Referenced earlier, there will be amendments--and I will be speaking to the substance of my opposition to those amendments which will be similar arguments in opposition to this bill so I will not--ordinarily I virtually never have process arguments against discussion, I believe in the broadest possible Democratic discussion available and--consistent with that I will be voting no on this motion.",23,,
43,0.97,939.305,990.889,"For those Councilmembers who may not be tracking this closely, I know that I just had a conversation with my staff about some of the staging issues, I will describe them as, that Councilmember Herbold and Councilmember Mosqueda have highlighted, to put it simply, my understanding is that if some or all of Councilmember Pedersen's amendments to the bill as passed out of committee are successful, then that Obviates the need for us to consider the legislation that he is seeking to place on the introduction and referral calendar.",24,,
44,0.97,990.889,1029.695,"If those amendments fail, it would require consideration of the Council bill that he is seeking to add to the introduction and referral calendar, so I think some of the arguments that are being made right now is let's see how the amendments fair one way or another before we agree to add a Council bill related to those subject matters to the introduction and referral calendar.",24,,
45,0.97,1029.695,1042.508,So for those of you who may not be following that process and procedure that is effectively what the conversation is right now as it relates to this procedural issue related to whether or not we should amend the introduction and referral calendar.,24,,
46,0.97,1042.508,1086.885,"Now that the motion has been made and Seconded, and I am not sure if Councilmember Pedersen is, let me Rephrase that, it is unclear to me now that we are discussing the introduction and referral calendar and that the motions and seconds have been made as it has been amended my understanding based on the city council rules is that we now have to vote on this particular motion that is before us since it is on the table but I will call on our city clerk to either confirm or clarify the city council rules related to that procedure.",24,,
47,0.97,1086.885,1118.617,"There are a couple of options that can occur, a motion can be held after consideration the bill itself on agenda item 2 and 3 if I am not mistaken and the motion can be withdrawn completely and the IRC can be--and the Council can decide at this point--or not.",25,,
48,0.97,1118.617,1131.263,"And Madame clerk if we were to call this matter to a vote now, would we be able to reconsider the introduction and referral calendar later on in the agenda?",26,,
49,0.97,1131.263,1133.298,You could.,27,,
50,0.97,1133.298,1136.535,Thank you so much.,28,,
51,0.97,1136.535,1139.404,I think we are as clear as mud now as they say.,28,,
52,0.97,1139.404,1166.198,So Councilmember Pedersen my Subjection suggestion is that we go ahead and call this to a vote and see how the voting on--goes and after that consideration if you wish to Re- introduce or have us reconsider--that is certainly a motion that you would be entitled to make.,28,,
53,0.97,1166.198,1168.834,Thank you.,29,,
54,0.97,1168.834,1194.393,Are there any additional comments or questions on Councilmembers Peterson's--Councilmember Pedersen's motion to amend--hearing none --,30,,
55,0.97,1194.393,1229.328,"[roll being called] three in favor, six opposed.",31,,
56,0.97,1229.328,1237.703,"The motion fails, and the bill is not introduced.",32,,
57,0.97,1237.703,1256.555,"Again, depending on how the conversation goes--there is an opportunity--are there any further comments on the introduction and referral calendar?",32,,
58,0.97,1256.555,1268.967,"All right, hearing no additional comments on the introduction and referral calendar, will the clerk please call the role on the adoption of the introduction and referral calendar as amended?",32,,
59,0.97,1268.967,1292.758,"[roll being called] nine in favor, none opposed.",33,,
60,0.97,1292.758,1295.594,The motion carries and the introduction and referral calendar is adopted as amended.,34,,
61,0.97,1295.594,1305.37,Approval of the agenda I moved to adopt the agenda is there a second?,34,,
62,0.97,1305.37,1305.704,Second.,35,,
63,0.97,1305.704,1315.28,It has been moved and Seconded by Councilmember Herbold to adopt the agenda are there any comments on the agenda and I noticed that Councilmember Mosqueda has one amendment here so I will call on Councilmember Mosqueda to make her amendment.,36,,
64,0.97,1315.28,1335.701,"Thank you very much Madame President, I moved to amend the agenda on item number 1 which is Council bill 120119 and I hope to hold this bill indefinitely, I will talk more about why if there is a second.",37,,
65,0.97,1335.701,1351.616,It has been moved and Seconded that Council bill 120119 be held indefinitely.,38,,
66,0.97,1354.319,1361.827,The bill that we had in front of us on today's agenda was actually an amendment to legislation that we had passed earlier this year providing for dollar hazard pay for grocery workers.,39,,
