index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.813,19.652,"Good morning, the June 23rd, 2023 of Thewill come to order.",0,,
1,0.97,19.652,22.889,I am Dan Strauss with the quick call of role.,0,,
2,0.97,22.889,31.097,Councilmember Lewis?,1,,
3,0.97,31.097,31.431,Present.,2,,
4,0.97,31.431,33.9,"Councilmember Jurarez, Councilmember Mosqueda?",3,,
5,0.97,33.9,34.667,Present.,4,,
6,0.97,34.667,37.103,Present.,5,,
7,0.97,37.103,39.005,Thank you.,6,,
8,0.97,39.005,73.139,"The land use and neighborhoods committee begins our meetings with Elliott acknowledgment . We are on the traditional and ancestral lands of the first people of this region, past and present, represented in a number of tribes in the U.S. in honor of gratitude of the land itself and the people of this land, we begin with this acknowledgment to recognize the fact we are guests on this land and should Steward our land as such, as guests.",7,,
9,0.97,73.139,75.642,Starting our meetings with acknowledgment is not a checklist or road behavior.,7,,
10,0.97,75.642,80.146,This does not give us a passport to proceed however we desire.,7,,
11,0.97,80.146,94.26,"And we must Steward our work as guests at our time here is both as elected officials in on this earth is short, so we take this moment to pause and acknowledge the first people of this region past and present.",7,,
12,0.97,94.26,118.451,"We have the items on the agenda today, public hearing, a vote which provides Land-Use flexibility to affordable housing developments on religious institution lands, a briefing and vote on 10126, landmark ordinance for the Bodo house on Capitol Hill, and the briefing the Seattle Department of construction on the quarterly permitting report.",8,,
13,0.97,118.451,123.289,"We previously planned to hear from op CD today regarding the racial equity report that will help inform the comprehensive plan, major update process.",8,,
14,0.97,123.289,130.497,"That presentation has Unfortunately been delayed, and we will expect to hear it as soon as possible.",8,,
15,0.97,130.497,135.401,"Hopefully, we will have time for it in July.",8,,
16,0.97,135.401,139.606,"The next meeting of the land use and neighborhoods committee will be Wednesday, July 14th starting at 9:30 A.M.",9,,
17,0.97,139.606,144.077,". before we begin, if there's no objection, the agenda will be adopted.",9,,
18,0.97,144.077,147.18,"Hearing no objection, the Agendas adopted.",9,,
19,0.97,147.18,155.388,We opened the remote comment period for Tate's items on the agenda.,10,,
20,0.97,155.388,158.892,"Before we begin, I ask everyone to be patient as we operate the system in real time.",10,,
21,0.97,158.892,174.24,"While it remains our strong intent to have comments, the city council does reserve the right to end this public hearing comments at any point.",10,,
22,0.97,174.24,178.144,I will moderate the public comment period in the following manner.,10,,
23,0.97,178.144,180.947,Public comment period for this time is up to 10 minutes.,10,,
24,0.97,180.947,183.75,Each Speaker will be given two minutes to speak.,10,,
25,0.97,183.75,197.764,"I will call on each Speaker by name and the order which they are registered on the Council's Website . If you have not registered to speak and would like to, you can sign up for the enter public comment, which is also listed on today's agenda.",10,,
26,0.97,197.764,208.541,"The public comment call in line is different than the listen line, so please be aware of that and be sure you do not mix the two phone numbers.",10,,
27,0.97,208.541,214.48,"Once I called the Speaker's name, staff will mute the appropriate microphone and the prompt will be your Unmuted.",10,,
28,0.97,214.48,217.984,"At that time, you must press Star six, not pound six.",10,,
29,0.97,217.984,218.985,Star six.,10,,
30,0.97,218.985,224.791,Please begin by speaking by stating your name and the item in which you are addressing.,10,,
31,0.97,224.791,240.173,"Speakers will hear a Chime when 10 seconds are left of the allotted time . Once the Speaker here is the time, we ask you wrap up your public comments.",10,,
32,0.97,240.173,245.979,"If speakers do not end within the allotted time provided, the Speaker's microphone will be muted after 10 seconds to allow us to call on the next Speaker.",10,,
33,0.97,245.979,255.421,"Once you've completed public comment, we ask you please Disconnect from the line if you plan to call a this meeting, the do so by the listening options listed in the agenda.",10,,
34,0.97,255.421,263.73,"There is a separate public hearing for item one, council bill 120081, the religious institution affordable housing bill, so please Reserve any comment about that legislation for the public hearing, which will occur directly after the public comment period.",10,,
35,0.97,263.73,283.116,"If you have mixed up which public hearing or public comment you have intended to sign up for, please just NOTE at the beginning of your comments, and we will get you in the right place.",10,,
36,0.97,283.116,287.053,"Public comment period is now open, and we will begin with the first Speaker on the list.",10,,
37,0.97,287.053,292.358,And I am looking at the public comment list.,10,,
38,0.97,292.358,294.627,I see folks in green listed for the public hearing.,10,,
39,0.97,294.627,304.871,"I am checking my assumptions that I should wait to call on those individuals once we open the public hearing, is that correct?",10,,
40,0.97,304.871,305.338,Affirmative.,11,,
41,0.97,305.338,309.375,We are public hearings highlighted in green and public comment.,11,,
42,0.97,309.375,313.78,Picnic.,12,,
43,0.97,313.78,317.75,"For public comment today, we have Martha Baskin, followed by Michael Ramos, and then Megan Cruz.",12,,
44,0.97,317.75,324.257,We see Darrell not present.,12,,
45,0.97,324.257,327.093,"Darrell, if you are listening, please call in now.",12,,
