index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.61,20.653,Here.,0,,
1,0.97,21.721,25.325,"Well good morning, everyone.",0,,
2,0.97,25.325,26.059,"Today is October 1, 2020.",0,,
3,0.97,26.059,30.53,The select budget committee will come to order.,0,,
4,0.97,30.53,31.564,I'm Teresa Mosqueda.,0,,
5,0.97,31.564,37.103,Will the clerk please call the roll.,0,,
6,0.97,37.103,37.67,Morales.,1,,
7,0.97,37.67,41.641,Here.,2,,
8,0.97,41.641,41.975,Pedersen.,3,,
9,0.97,41.975,42.242,Here.,4,,
10,0.97,42.242,42.542,Sawant.,5,,
11,0.97,42.542,45.045,Here.,6,,
12,0.97,45.045,45.545,Strauss.,7,,
13,0.97,45.545,47.914,Present.,8,,
14,0.97,47.914,48.348,Gonzalez.,9,,
15,0.97,48.348,50.55,Here.,10,,
16,0.97,50.55,51.251,Herbold.,11,,
17,0.97,51.251,53.987,Here.,12,,
18,0.97,53.987,54.32,Juarez.,13,,
19,0.97,54.32,54.821,Here.,14,,
20,0.97,54.821,55.088,Lewis.,15,,
21,0.97,55.088,56.79,Present.,16,,
22,0.97,56.79,57.924,Chair Mosqueda.,17,,
23,0.97,57.924,58.224,Present.,18,,
24,0.97,58.224,59.259,"Mine, present.",19,,
25,0.97,59.259,60.46,Thank you very much.,20,,
26,0.97,60.46,61.06,Thank you Council colleagues.,20,,
27,0.97,61.06,63.096,We have everyone in it attendance this morning.,20,,
28,0.97,63.096,71.704,I want to thank you for your time again on our full agenda for day two of the overview of the Mayor's proposed budget for 2021.,20,,
29,0.97,71.704,80.313,We spent all day yesterday having a robust conversation with various departments and the city's budget office for high level overview.,20,,
30,0.97,80.313,83.349,Today we have the opportunity to continue that conversation.,20,,
31,0.97,83.349,89.022,This morning we will focus in session one on the Seattle police Department.,20,,
32,0.97,89.022,96.229,This follows the summer's Seattle police Department budget inquest that the city council launched to get a better understanding of where funding is currently going.,20,,
33,0.97,96.229,107.607,"We're excited to hear more from Council colleagues, your questions, questions you may have that the community has raised and to get more details from the Seattle police Department and the city budget's office as we look at 2021.",20,,
34,0.97,107.607,113.613,"This afternoon we will focus on human services Department, SMC and Oed.",20,,
35,0.97,113.613,130.53,"Seattle, the folks at the office of economic development have been so kind to offer additional time for us because we did not get a chance to get into the racial equity and Covid response components and thanks for working with director Lee and his team.",20,,
36,0.97,130.53,134.033,We did have extra time at the end so we can cover those last three slides.,20,,
37,0.97,134.033,140.84,I want to thank you all for your time just as a reminder we will do 30 minutes of public testimony this morning.,20,,
38,0.97,140.84,142.375,We will end by 1:00 P.M.,20,,
39,0.97,142.375,143.943,This morning no later.,20,,
40,0.97,143.943,144.811,Hopefully a little earlier.,20,,
41,0.97,144.811,150.283,We'll give you one hour break for lunch and we will have a hard stop again this evening at 5 P.M.,20,,
42,0.97,150.283,159.792,I appreciate all of your time and I just want to do a quick Shoutout to our folks from the city clerk's office in I.T.,20,,
43,0.97,159.792,165.732,And the communications team who have been so generous to help us run these remote public meetings.,20,,
44,0.97,165.732,168.835,If there's no objection today's agenda will be adopted.,20,,
45,0.97,168.835,173.006,Hearing no objection the agenda is adopted.,20,,
46,0.97,173.006,182.615,Also thanks so much for making sure that the Oed was reflected in our budget as published yesterday so there's no need to amend the agenda today.,20,,
47,0.97,182.615,184.45,At this time we'll go into public comment.,20,,
48,0.97,184.45,186.853,We do have a few folks signed up this morning.,20,,
49,0.97,186.853,188.154,Thank Yo all for calling in.,20,,
50,0.97,188.154,199.332,Just a reminder if you are not able to call in for public comment will will be public comment provided for a long period of time on Tuesday evening starting at 5:30 P.M.,20,,
51,0.97,199.332,206.105,The public comment signup sheet starts two hours prior to that and we will look forward to a more robust discussion with those who can call in at this time.,20,,
52,0.97,206.105,209.609,I'm going to start by calling the first three people present.,20,,
53,0.97,209.609,212.845,You will hear a 10 second Chimer at the end of your time.,20,,
54,0.97,212.845,215.715,We'll give folks two minutes today to provide public comment.,20,,
55,0.97,215.715,222.121,I'll call in the order in it which you appear and I'm also going to call folks who are listed but not present.,20,,
56,0.97,222.121,234.4,"We haven't done that in the past but I want to make sure if there's folks listening in and they're not in our line to testify and they're on the listed in line, that's an indication to them they need to give us a call on the public testimony line.",20,,
57,0.97,234.4,246.079,So with that please NOTE we are continuing to work to try to endeavor to make this remote public testimony process smoother every time and we look forward to continuing to get your feedback on this.,20,,
58,0.97,246.079,256.089,"Public comment is open and the first three people on the list are Howard Gayle, Melissa Terry and Katie Nooner.",20,,
59,0.97,256.089,269.102,Please push Star 6 to Unmute yourself and we will also Unmute your line over here but you do need to hit Star 6 to Unmute.,20,,
60,0.97,269.102,274.173,"Good morning, Howard.",20,,
61,0.97,274.173,275.108,Please go ahead.,20,,
62,0.97,275.108,278.511,Just going to wait another second here.,20,,
63,0.97,278.511,283.116,"Howard Gayle, followed by Melissa Terry.",20,,
64,0.97,283.116,283.783,"Howard, good morning.",20,,
65,0.97,283.783,284.717,Please go ahead.,20,,
66,0.97,284.717,285.151,Good morning.,21,,
67,0.97,285.151,304.07,This is Howard Gayle from district 7. this morning you're going to be looking at the SPD budget $4.7 million of that budget is for the office of police accountability which has failed to stop or hold accountable the vast majority of officers for the abuse of the last four months which now continues.,21,,
68,0.97,304.07,317.617,"There have been near death experiences, brain trauma, loss of sight, 13 officers standing around while they watch a woman who was falsely arrested have seizures repeatedly.",21,,
69,0.97,317.617,324.49,"Severe burn and concussion wounds, just this Monday we saw an officer brandishing a gun at protesters without cause.",21,,
70,0.97,324.49,328.027,We saw a police officer run a bike across a Protester's neck.,21,,
71,0.97,328.027,332.965,The response of the OPA to that case was to refer this for criminal charges.,21,,
72,0.97,332.965,338.171,Raising the obvious question as to why none of the other abuse was so treated.,21,,
73,0.97,338.171,347.38,It highlights the fact that far too much of the OPA's nearly $5 million budget is actually been used this summer to avoid accountability.,21,,
74,0.97,347.38,379.979,"So please, I'm begging the Council, as part of Defunding and Reimagining public safety and police, please Defund an accountability system which has not provided accountability and Reimagine having public safety with accountability based on a citizen investigative model on citizen accountability and not on spending $5 million basically to paper over the police abuse.",21,,
75,0.97,379.979,382.915,Thank you.,21,,
76,0.97,382.915,384.317,"Thank you, Howard.",22,,
77,0.97,384.317,386.686,"Melissa, good morning.",22,,
78,0.97,386.686,395.161,Just Star 6 to Unmute yourself.,22,,
79,0.97,395.161,395.428,Hello?,23,,
80,0.97,395.428,397.497,"Good morning, Melissa.",24,,
81,0.97,397.497,399.532,Hi.,25,,
82,0.97,399.532,400.7,Thanks for taking my comments.,25,,
83,0.97,400.7,432.832,"I am in district 4 and I have been fighting for black lives during these protests this summer and I'm just appalled at SPD's response, at the Mayor's response, at the city government's response to what happens when you stand up for black lives and the police have been, I mean my daughter had a flash bang explode on her knee that she's still scarred from it.",25,,
84,0.97,432.832,439.872,I know that's very minor compared to other things that have been happening especially to people in the black community.,25,,
85,0.97,439.872,446.512,Please I urge you to Defund SPD.,25,,
86,0.97,446.512,446.746,Please.,25,,
87,0.97,446.746,447.146,I yield my time.,25,,
88,0.97,447.146,457.023,"Thank you for calling in this morning, Melissa.",26,,
89,0.97,457.023,457.59,"Katie, good morning.",26,,
90,0.97,457.59,458.09,"Good morning, Katie.",26,,
91,0.97,458.09,458.724,Good morning.,27,,
92,0.97,458.724,460.66,Can you hear me?,27,,
93,0.97,460.66,462.795,We can.,28,,
94,0.97,462.795,463.196,Thank you.,28,,
95,0.97,463.196,464.597,Good morning.,29,,
96,0.97,464.597,466.999,My name is Katie.,29,,
97,0.97,466.999,477.577,I am in district 2. I'd like to say thank you for siding on the right side of the future and helping us build the start of things with this last overriding of the veto.,29,,
98,0.97,477.577,486.052,That was a big moment in history and I know it was probably a hard decision and appreciate stepping on a limb.,29,,
99,0.97,486.052,486.886,"However, just the start.",29,,
100,0.97,486.886,493.359,We do need to work on Defunding SPD this next year by at least 50%.,29,,
101,0.97,493.359,498.998,I'm going to ask we try to work for 80% because as we know when we asked for 50 we didn't quite get it.,29,,
102,0.97,498.998,508.307,Maybe if we ask for more we can work on it because this is the road to Abolishment at the end of the day.,29,,
103,0.97,508.307,529.028,When Jenny Durkan put out her recent budget she invested more into the police than black communities and I find that to be rather backwards considering police traumatized black community so much and it just shows we would like to invest in the black community and rebuilding it.,29,,
104,0.97,529.028,539.071,We know Preventative measures is investigating in youth and giving them resources and opportunities to not go on to the streets.,29,,
105,0.97,539.071,546.345,"Grocery stores so they don't have to walk a mile to the grocery store, things like that and get caught up in even before they get there.",29,,
106,0.97,546.345,554.987,It's very important that we continue this process in finding a way to Defund and abolish the police completely.,29,,
107,0.97,554.987,568.1,"That'll truly build a society that we are desiring today as we can invest more in education, more in the youth and more into social services and mental health and domestic violence counselors and all of those things.",29,,
108,0.97,568.1,576.609,This is on behalf of all of the morning March.,29,,
109,0.97,576.609,576.943,Thank you.,29,,
110,0.97,576.943,577.209,Great.,30,,
111,0.97,577.209,581.013,Thank you very much.,30,,
112,0.97,581.013,581.781,The next four speakers.,30,,
113,0.97,590.022,593.693,"Quan, I want to note it says you're not present, as well as Kelly.",30,,
114,0.97,593.693,605.738,"If you are listening in on the listen in line, please do follow the instructions for dialing back in to our zoom meeting here so we can have you present.",30,,
115,0.97,605.738,606.639,That's for Quan and Kelly.,30,,
116,0.97,606.639,614.113,I'm going to go to the two listed as present.,30,,
117,0.97,614.113,614.68,That's Leah.,30,,
118,0.97,614.68,615.247,"Good morning, Leah.",30,,
119,0.97,615.247,616.082,"Hi, good morning.",31,,
120,0.97,616.082,618.05,Can you hear me?,31,,
121,0.97,618.05,619.452,"Yes, thank you.",32,,
122,0.97,619.452,620.786,Thank you.,33,,
123,0.97,620.786,634.033,"Hi, my name is Leah in district 4. I'm calling, first I would like to thank the city council for overriding the veto as Katie said we know that was a hard decision being made and we appreciate you sticking to your word.",33,,
124,0.97,634.033,650.449,"I would like to say as a district 4 member, Alex Pedersen, please learn more from folks about the navigation team that you so love to support because they are not trusted and they are not reaching out and giving the support that you think they are.",33,,
125,0.97,650.449,656.455,They are often leading to police Sweeps.,33,,
126,0.97,656.455,659.692,By disclosing where camps are and they are not trusted.,33,,
127,0.97,659.692,664.23,Please learn more from people working directly with these Encampments.,33,,
128,0.97,664.23,677.877,I'm doing a lot of neutral aid with groups . please Defund SPD preponderance I've marched with the morning March.,33,,
129,0.97,677.877,685.151,We're seeing the brutality of SPD that mirrors the brutality.,33,,
130,0.97,685.151,688.187,I really am hoping that Seattle will stay strong.,33,,
131,0.97,688.187,697.296,That all of you will stay strong and bold so we can be an example to the country.,33,,
132,0.97,697.296,705.271,Please do not let Jenny Durkan take money from the jump start tax and put it into the money she's promising.,33,,
133,0.97,705.271,708.274,That money needs to come from SPD.,33,,
134,0.97,708.274,727.86,"Not other money you had planned to put into useful programs for youth, education, housing, food security, all these other important needs that this money for the hundred million that she's saying that she's promising to Bipoc communities here needs to come from SPD.",33,,
135,0.97,727.86,735.234,I yield my time.,33,,
136,0.97,735.234,737.636,"Jessie, good morning.",34,,
137,0.97,737.636,749.882,"I want to note again for Quan and Kelly, we do not see you listed as present so please do dial back in to the number that was offered for the public testimony line.",34,,
138,0.97,749.882,752.918,"Jessie, I see you.",34,,
139,0.97,752.918,753.853,Please go ahead.,34,,
140,0.97,753.853,754.153,Thank you.,34,,
141,0.97,754.153,757.59,Thank you.,35,,
142,0.97,757.59,758.958,I'm a district 2 voter.,35,,
143,0.97,758.958,767.466,"First off, thank you for listening to your constituents and supporting our will to start the process of Defunding the Seattle police Department.",35,,
144,0.97,767.466,773.973,I acknowledge that was a big step for a lot of folks on the Council and I want to thank you for that.,35,,
145,0.97,773.973,777.109,But the work is a lot bigger.,35,,
146,0.97,777.109,790.723,Want you to recognize the proposed budget is austerity for Bipoc and working communities and a blank check for a police Department that has killed and violently oppressed the people of this city with impunity.,35,,
147,0.97,790.723,793.592,As we can see OPA is worthless.,35,,
148,0.97,793.592,799.431,There's no justice there and there's no reform there even.,35,,
149,0.97,799.431,812.545,We would really encourage you to listen to the demands of people and take an enormous chunk from the Seattle police Department and put it into actual public safety that actually keeps us safe because there's massive need in this community.,35,,
150,0.97,812.545,818.651,People are literally starving in our streets and all we're doing is buying bullets.,35,,
151,0.97,818.651,819.018,It's grotesque.,35,,
152,0.97,819.018,839.872,"While I understand that my experiences are very limited and the police are, have abused so many people that we don't even know about, I was personally viciously beaten and arrested for no reason, charges weren't ever brought against me and literally just for standing adjacent to protests.",35,,
153,0.97,839.872,843.609,I had a rib broken and there's no justice for me.,35,,
154,0.97,843.609,844.643,Opa is completely Unhelpful.,35,,
155,0.97,844.643,851.984,"I can't even get body camera footage for another six months, I believe.",35,,
156,0.97,851.984,859.758,"There's no reason that we need to keep pouring money, any amount of money into this violent oppression machine.",35,,
157,0.97,859.758,863.429,"So again, Defund SPD, at least 50%.",35,,
158,0.97,863.429,872.338,"I personally think we should go 80 and put that money directly into black communities, Brown communities and indigenous communities in Seattle.",35,,
159,0.97,872.338,874.64,Take care of the people who need it.,35,,
160,0.97,874.64,875.608,Thank you so very much.,35,,
161,0.97,875.608,879.979,Thank you for your time and for telling us about that experience.,36,,
162,0.97,879.979,881.413,We really appreciate you calling in.,36,,
163,0.97,881.413,882.014,Okay.,36,,
164,0.97,882.014,896.795,The last two people that I see are still listed as not present so I'm going to do one more call and double check with our folks from the I.T.,36,,
165,0.97,896.795,897.696,Team.,36,,
166,0.97,897.696,899.365,Appears they are not present.,36,,
167,0.97,899.365,910.542,So we will endeavor to make public testimony available again every morning session for 30 minutes at the beginning.,36,,
