index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.081,25.358,"The August 18th, 2021 transportation and utilities committee will come to order.",0,,
1,0.97,25.358,26.359,My name is Alex Pedersen.,0,,
2,0.97,26.359,31.765,Councilmember Morales is excused . will the clerk please call the role?,0,,
3,0.97,31.765,35.001,Council President Gonzalez?,1,,
4,0.97,35.001,36.669,Present.,2,,
5,0.97,36.669,39.906,Councilmember Herbold?,3,,
6,0.97,39.906,42.509,Councilmember Strauss?,3,,
7,0.97,42.509,44.21,Present.,4,,
8,0.97,44.21,47.48,And chair Pedersen?,5,,
9,0.97,47.48,48.681,Thank you.,6,,
10,0.97,48.681,51.918,Three present.,7,,
11,0.97,51.918,64.731,"If there is no objection, the proposed agenda will be adopted . hearing no objection, the agenda is adopted.",8,,
12,0.97,64.731,68.401,"Good morning, everybody.",8,,
13,0.97,68.401,89.122,"Quick preview of the 12 items on today's agenda, which is the transportation management plan for major events including how the intent to encourage transit during sporting events and and around Husky Stadium . I believe there are important items in their plan we could lift up and Memorialize in the resolution.",8,,
14,0.97,89.122,99.265,"I have an amendment, amendment number one on the agenda that will do just that . We will talk about it further during that item today.",8,,
15,0.97,99.265,103.136,We have five appointments to various transportation boards.,8,,
16,0.97,103.136,114.881,We will consider to provide limited condemnation authority in case it is needed for a portion of the property in West Seattle to implement a climate zone.,8,,
17,0.97,114.881,118.351,The port of Seattle is working on that project.,8,,
18,0.97,118.351,123.523,We have a great acceptance package from the Seattle Department of transportation.,8,,
19,0.97,123.523,129.562,We will once again discuss utility rate ordinances for Seattle public utilities.,8,,
20,0.97,129.562,137.937,This is our second time hearing those and they are consistent with the resolution we have approved previously.,8,,
21,0.97,137.937,155.788,"We will have a briefing and discussion on an energy program being developed by Seattle city light . We will not vote until our September 15th meeting . as a reminder, this is our last meeting before the Council takes a two week recess, which means we do not have official Council meetings during that time.",8,,
22,0.97,155.788,164.397,"Today we will be in the Council and our next committee meeting will be Wednesday, September 15th.",8,,
23,0.97,164.397,171.404,"Public comment . at this time, we will open the remote public comment period.",8,,
24,0.97,171.404,180.613,Lease be patient as we operate as Online system . We are continuously looking for ways to Fine-Tune this process of public participation.,8,,
25,0.97,180.613,200.833,"It remains the strong intent to have public comment regularly included on meeting Agendas, however the city council reserves the right to modify the public comment periods at any point if we deem the system is being abused or will not allow our meetings to be conducted efficiently or in a matter being able to conduct following business.",8,,
26,0.97,200.833,215.648,I will moderate the public comment period in the following manner . Each Speaker will be given two minutes to speak . I will call on the Speaker in order in which they scheduled on the Website.,8,,
27,0.97,215.648,246.579,"If you would like to sign up, go to the Council's Website at Seattle.Gov . staff will Unmute the appropriate microphone and a prompt of you have been Unmuted will be the Speaker's Queue that it is there turn to speak . please begin speaking by stating her name and the item you are addressing . as a reminder, public comment should relate to an item on today's agenda.",8,,
28,0.97,246.579,252.418,"Speakers will hear a Chime when there are 10 seconds left . When you hear the Chime, wrap up your public comment.",8,,
29,0.97,252.418,265.632,"If you do not wrap up in the time allotted, your microphone will be muted to allow us to call in the next Speaker.",8,,
30,0.97,265.632,276.809,"Once you finish your public comment, we ask that you please Disconnect from the line and if you continue following this meeting, please do so via the listening options listed on the agenda.",8,,
31,0.97,276.809,280.847,The regular public comment period is now open.,8,,
32,0.97,280.847,288.121,"It looks like we have just two speakers, so I will go ahead and call them.",8,,
33,0.97,288.121,296.295,"We've got Jim and Paul . go ahead, Jim.",8,,
34,0.97,300.266,303.036,Good morning.,9,,
35,0.97,303.036,322.488,"I want to address your agenda item of the rail quiet zone . As you are probably aware, it is very important to the community surrounding terminal five as we testify extensively at the master use permits meeting years ago.",9,,
36,0.97,322.488,338.671,The large locomotives that pull those container trains have very loud horns designed for trains that speed through the Plains of the Midwest . It is totally inappropriate for a tight urban setting.,9,,
37,0.97,338.671,349.716,Very disturbing . The quiet zone was agreed to by all of the parties concerned when it was created . It was supposed to be completed over a year ago.,9,,
38,0.97,349.716,363.329,It is discouraging that trains will return in January and the quiet zone will still not be in place because nobody gave it proper priority.,9,,
39,0.97,363.329,370.036,Please don't delay this project any longer.,9,,
40,0.97,370.036,372.839,The sooner the community can Leep at night.,9,,
41,0.97,372.839,377.543,They run those trains 24/7.,9,,
42,0.97,377.543,382.048,We need this thing in place.,9,,
43,0.97,385.151,387.72,Thank you very much.,10,,
44,0.97,387.72,393.96,"Next we have Paul Casey . go ahead, Paul.",10,,
45,0.97,393.96,398.865,Good morning.,11,,
46,0.97,398.865,401.734,My name is Paul Casey and I have lived in West Seattle since 1978.,11,,
47,0.97,401.734,406.172,I live at 2653 Belvedere Avenue Southwest.,11,,
48,0.97,406.172,420.019,It is about three-quarters of a mile from terminal 5. I am not going to say much because I will echo exactly what Jim just said here I was going to say everything verbatim to what he said.,11,,
49,0.97,420.019,433.599,"The thing is, I will also add onto that he did make reference to this, this has already been agreed upon to do and the sooner the better for everybody.",11,,
50,0.97,433.599,454.921,The horns have been an incredibly big distraction . It has Woken us up at night . This one individual lays on the horn for 35 for 40 seconds at a time . It is waking up everyone on the East side of Seattle.,11,,
51,0.97,454.921,456.789,Thank you very much for the opportunity to comment.,11,,
52,0.97,456.789,461.828,Please implement this quiet zone as soon as possible.,11,,
53,0.97,461.828,462.228,Thank you.,11,,
54,0.97,462.228,468.701,"Thank you very much for those comments here colleagues, that concludes our list of public speakers.",12,,
55,0.97,468.701,476.909,"Councilmember Herbold joined us before public comment started, so welcome, Councilmember Herbold.",12,,
56,0.97,476.909,489.121,"All right, let's go to item 1. will the clerk please read the short title of the first agenda item into the record?",13,,
57,0.97,489.121,498.231,"Agenda item 1, resolution at 32016, a resolution relating to the University of Washington Husky Stadium transportation management plan for a briefing discussion and possible vote.",14,,
58,0.97,498.231,499.432,Thank you.,15,,
59,0.97,499.432,511.844,"We have with us today our essential staff analyst Calvin chow . good morning, Calvin.",15,,
60,0.97,511.844,522.755,"We got the Seattle Department of transportation and the University of Washington with us, who is proposing or asking us to improve their updated management plan which has been in place for decades . It is time for an update.",15,,
61,0.97,522.755,533.766,"As I mentioned near the start of the agenda, all we have on the agenda is an amendment to the Council resolution that accompanies the transportation management plan.",15,,
62,0.97,533.766,536.969,I can talk about that later.,15,,
63,0.97,536.969,541.474,Let's go ahead and get an introduction from folks.,15,,
64,0.97,541.474,547.58,"Calvin, if you have anything you want to set us up with, we would appreciate it.",15,,
65,0.97,547.58,556.055,"Thanks, Councilmember . I think we should go through the consultation first and I can help the Council with the conversation afterwards.",16,,
66,0.97,556.055,560.126,Welcome Seattle Department of transportation.,17,,
67,0.97,560.126,567.099,Whoever wants to take it away and introduce the University of Washington too.,17,,
68,0.97,567.099,567.7,Good morning.,18,,
69,0.97,567.7,574.106,My name is Ann Sutphin . I am a mobility solutions manager in the transit mobility division.,18,,
70,0.97,574.106,588.421,"Myself, dusty Rasmussen, and Dan Erickson will do a brief presentation I give you background on the plan.",18,,
71,0.97,588.421,590.022,Thank you.,19,,
72,0.97,590.022,591.624,Your Audio is a little choppy.,19,,
73,0.97,591.624,594.06,It sounds like someone is drumming.,19,,
74,0.97,594.06,599.165,We can handle that . I don't know if there is a way to adjust it.,19,,
