index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,21.521,22.455,We ready?,0,,
1,0.97,22.455,22.655,Okay.,0,,
2,0.97,22.655,24.391,Good afternoon.,0,,
3,0.97,24.391,33.666,"The January 24th, 2020 meeting of the Seattle city council's community economic development committee will come to order.",0,,
4,0.97,33.666,34.467,It is 2:02:00 P.M.,0,,
5,0.97,34.467,41.474,"I'm Tammy Morales, chair of the Communitiening no, Ma'Amic development committee.",0,,
6,0.97,41.474,48.681,"Joining me are Council members Lewis, Pedersen, and Juarez.",0,,
7,0.97,48.681,51.718,"If there is no objection, well there is no prior agenda.",0,,
8,0.97,51.718,60.026,We will not adopt a prior agenda.,0,,
9,0.97,60.026,61.194,Right?,0,,
10,0.97,61.194,61.394,Okay.,0,,
11,0.97,61.394,61.761,Let's move on.,0,,
12,0.97,61.761,65.498,Thank you for attending our first community economic development committee.,0,,
13,0.97,65.498,74.407,I want to set this committee up and let everybody know what we'll do this year.,0,,
14,0.97,74.407,77.61,"Answer the question, what is community wealth, and how do we build it?",0,,
15,0.97,77.61,85.385,"Working previously as I did in the South end as a community Organizer, I know there's a need to make our communities more vibrant.",0,,
16,0.97,85.385,92.225,And that means developing assets in such a way that wealth stays in our communities.,0,,
17,0.97,92.225,97.797,It's about focusing on wealth and resources so we create resilient local economies.,0,,
18,0.97,97.797,105.705,"We want to ensure young and old, artists, care Givers, and working class families get to share in the city's prosperity too.",0,,
19,0.97,105.705,123.89,"So strategically what I think that means is that we have to be laser focused on stopping displacement, finding a Pathway for worst development for underemployed folks, including our young folks, and supporting money ownership of assets.",0,,
20,0.97,123.89,128.962,Several issues come up as I think about the discussions I'd like to have in this Committee.,0,,
21,0.97,128.962,135.301,"How do we maximize jobs in our local economy that exist in locally owned, independent businesses?",0,,
22,0.97,135.301,146.079,How do we maximize the diversity of our businesses so that our economy is Self- reliant and resilient and it's not just service jobs that we have here?,0,,
23,0.97,146.079,155.288,How do we Prioritize spreading and replicating local business models that have outstanding labor and environmental practices?,0,,
24,0.97,155.288,164.297,And how do we identify tools that support community stewardship of land and that can really stop the displacement that's occurring in our city?,0,,
25,0.97,164.297,175.208,These are the kinds of questions I hope to talk about in this committee Throughoh out the course of the year and move us toward the kind of structural changes that can really start to build community wealth.,0,,
26,0.97,175.208,186.052,"And I'm looking forward to hearing from community members, from our departments, and from central staff over the year as we dive deep into how we can achieve this goal.",0,,
27,0.97,186.052,190.123,So I'm going to open it for public comment.,0,,
28,0.97,190.123,193.626,Do we have public comment?,0,,
29,0.97,193.626,193.826,Nope.,0,,
30,0.97,193.826,194.027,Okay.,0,,
31,0.97,194.027,194.327,Very well.,0,,
32,0.97,194.327,205.038,"In that case, um, I would like to ask our first Presenters to come up from the office of arts and culture.",0,,
33,0.97,205.038,208.441,We'll move on to our items of business.,0,,
