index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.552,20.086,Good afternoon everybody.,0,,
1,0.97,20.086,22.655,"Welcome to the January 6, 2020 meeting of the Seattle city council.",0,,
2,0.97,22.655,25.325,It is 2:06 P.M.,0,,
3,0.97,25.325,30.163,"I am Kshama Sawant, Mayor pro Tem.",0,,
4,0.97,30.163,32.966,"Mayor clerk, please call the roll.",0,,
5,0.97,32.966,47.046,"Councilmember Gonzalez, Herbold, Maroulis, Pederson, strong, Strous, Mayor pro Tem.",1,,
6,0.97,47.046,54.687,I would like to take this time to acknowledge tribal leadership.,2,,
7,0.97,54.687,68.201,"We are joined by the Council of Snohomish tribe, Councilmember of the Snohomish tribe, and judge Leona Cosgrove of the to all of tribe.",2,,
8,0.97,85.151,96.83,"I am starting this meeting because I am now the most senior Councilmember and part of the Council rules, acts as Mayor pro Tem until the majority of the Council elects a President, which is going to happen in a moment.",2,,
9,0.97,96.83,104.103,"At that time, I will switch seats with the new Council president for the rest of the date.",2,,
10,0.97,104.103,111.111,The social Councilmember is the most senior member of the city council.,2,,
11,0.97,111.111,125.658,[Laughter] that reflects the time well and a change for good.,3,,
12,0.97,125.658,134.567,"This has happened even at a time where big business and Billionaires rent on a ferocious attack, using their powerful wealth and political power.",3,,
13,0.97,134.567,152.886,"It shows me it's time, and it's important for elected representatives to genuinely fight for the interests of ordinary people, and if we are unwavering, people will stand up to resist attacks from big business.",3,,
14,0.97,152.886,161.427,"I look forward to working with all Council, the most progressive city council in recent times.",3,,
15,0.97,161.427,181.314,"I hope we will have the courage to Reinstitute the Amazon attacks on big business, to Úfind affordable housing and vital services to ensure our city is affordable for all working people.",3,,
16,0.97,181.314,186.753,"Right after this election of the new Council President, there will be a public Swearing- in ceremony of each newly elected Councilmember, except for myself.",3,,
17,0.97,186.753,194.127,I will explain this.,3,,
18,0.97,194.127,197.73,I will have my ceremonial swearing-in next Sunday on January 13.,3,,
19,0.97,197.73,203.436,I hope to see you all there.,3,,
20,0.97,203.436,206.205,We hope to proceed with the Council president for 2020 and 2021.,3,,
21,0.97,206.205,207.04,Councilmember Herbold.,3,,
22,0.97,207.04,215.448,I nominate Councilmember Gonzalez as Council President.,4,,
23,0.97,215.448,215.848,Second.,5,,
24,0.97,215.848,216.649,Thank you.,6,,
25,0.97,216.649,223.323,The name of Councilmember Lorena Gonzalez has been nominated and has been Seconded.,6,,
26,0.97,223.323,225.758,Are there any other nominations?,6,,
27,0.97,225.758,230.763,"Hearing no further nominations, nominations are closed.",6,,
28,0.97,230.763,237.57,We will proceed with a vote.,6,,
29,0.97,237.57,243.676,I am honored and privileged to nominate Councilmember Gonzalez as Council President.,7,,
30,0.97,243.676,252.986,"Councilmember Gonzalez holds the values of fairness, justice, compassion, and collaboration.",7,,
31,0.97,252.986,256.055,"As she often reminds us, her word is her bond.",7,,
32,0.97,256.055,273.706,"These values are demonstrated on issues like landmark police accountability, secure scheduling, among many, many other important issues that Councilmember Gonzalez has led on.",7,,
33,0.97,273.706,284.917,"She is not only progressive in public policy, but a Hard- driving leader, and leader of people.",7,,
34,0.97,284.917,288.121,I believe she will cultivate the best in each of us.,7,,
35,0.97,288.121,297.93,"Facilitating our talents, and our capabilities, and in doing so, making more effective, the Seattle city council.",7,,
36,0.97,297.93,300.833,"Thank you, Councilmember Herbold.",8,,
37,0.97,300.833,304.804,Any other comments?,8,,
38,0.97,304.804,306.439,"Seeing none, we will proceed towards a vote.",8,,
39,0.97,306.439,316.149,"Those in favor of electing Councilmember Gonzalez as Council President, please vote aye.",8,,
40,0.97,316.149,316.416,Opposed?,8,,
41,0.97,316.416,318.017,Vote no.,8,,
42,0.97,318.017,326.359,Councilmember Lorena Gonzalez is elected as Council president for 2020 and 2021.,8,,
43,0.97,326.359,327.393,[Applause],9,,
44,0.97,345.411,350.183,"Thank you so much, Councilmember Sawant.",10,,
45,0.97,350.183,358.091,"I appreciate you leading the charge for us today, as we waited for these Council President elections.",10,,
46,0.97,358.091,363.963,"I want to thank Councilmember Herbold for the nomination, for your kind words.",10,,
47,0.97,363.963,369.802,"It's been an honor to work on so many of the public policies I've been able to lead on, and look forward to many more opportunities to do so.",10,,
48,0.97,369.802,379.979,"It is really my pleasure and honor, and really, I'm humbled by the trust placed in me by my colleagues.",10,,
49,0.97,379.979,384.016,"It is not only a new year, if a new decade, and a new chapter for this city council.",10,,
50,0.97,384.016,398.131,"I am more proud today than I have ever been before, to serve on the Seattle city Council, and large part because of what each of you represents.",10,,
51,0.97,398.131,420.019,"But more importantly because of the people we get to represent every simple day, and the issues we get to fervently fight for college are justice, equity, and a fair city for working families, and for the people who live in our city, and work in our city, who continue to ask themselves, if they will have a place in the city of Seattle.",10,,
52,0.97,420.019,422.655,"The city council is here to say, yes, you will.",10,,
53,0.97,422.655,429.962,"We promise to deliver with old policy and really deliver on the shared, progressive values of this city as represented by each of you in this room.",10,,
54,0.97,429.962,436.836,"And the thousands, hundreds of thousands of people, who are not in this room with us today.",10,,
55,0.97,436.836,439.672,"Thank you so much, colleagues, for your confidence.",10,,
56,0.97,439.672,448.481,"I look forward to working with each of you on the issues that are priorities to you, and also priorities to the people we represent throughout the city.",10,,
57,0.97,448.481,450.049,Thank you so much.,10,,
58,0.97,450.049,462.762,"Really quickly, before we move into the swearing-in ceremony, I wanted to acknowledge my own husband in the audience today, Cameron Williams.",10,,
59,0.97,462.762,469.368,"He and I are expecting our first child literally any day now, so if you see me rush out, you know why.",10,,
60,0.97,469.368,474.807,[Laughter] [Applause],11,,
61,0.97,474.807,483.316,"Thank you, for being such a rock for me, and I am really looking forward to heading down this journey for the rest of our lives.",12,,
62,0.97,483.316,486.018,Thank you.,12,,
63,0.97,486.018,490.49,I also want to acknowledge some elected officials in the audience.,12,,
64,0.97,490.49,491.891,We have city attorney Pete Holmes.,12,,
65,0.97,491.891,495.528,Thank you for being with us today.,12,,
66,0.97,495.528,503.703,"And also joining us is King County Councilmember Joe McDermott, who also happens to be one of my representatives.",12,,
67,0.97,503.703,508.941,Did I Miss any other elected officials but I didn't happen to see?,12,,
68,0.97,508.941,516.983,Judge Anita Crawford.,12,,
69,0.97,519.685,523.389,Port Commissioner Peter Steinberg.,12,,
70,0.97,527.793,532.765,We also have Tom Rasmussen and Nick Licata.,12,,
71,0.97,540.172,547.78,"Former executive Ron Sims, and former Councilmember Gordon in the audience.",12,,
72,0.97,547.78,548.748,Got it?,12,,
73,0.97,548.748,550.783,All right.,12,,
74,0.97,550.783,551.817,I think I've got everybody.,12,,
75,0.97,551.817,559.959,"It's dangerous to go down a list of elected officials in the audience, but thank you for being with us.",12,,
76,0.97,559.959,560.993,We appreciate it.,12,,
77,0.97,560.993,572.338,It's an honor to now begin the process of swearing-in our newly elected and reelected Councilmembers.,12,,
78,0.97,574.04,582.949,"At this time, we will proceed to the oath of office ceremonies her newly elected district Councilmembers in the order of district members followed by brief remarks for each Councilmember.",12,,
79,0.97,582.949,588.821,"I will ask the clerk, is there a need for me to request that the agenda be approved?",12,,
80,0.97,588.821,589.055,Great.,12,,
81,0.97,589.055,590.957,Thank you so much.,12,,
82,0.97,598.864,600.833,We will go ahead and commence with the swearing-in ceremony.,12,,
83,0.97,600.833,610.142,"We will begin today's ceremony, by swearing-in Councilmember Lisa Herbold, who is representing district one, the place that is my home, as well.",12,,
84,0.97,610.142,612.578,"Councilmember Herbold is not just my colleague, but my district representative.",12,,
85,0.97,612.578,628.628,"The oath of office will be administered by her granddaughter, Jamiyah Perkins, joined by her grandson, Jamil Perkins.",12,,
86,0.97,628.628,631.464,They are going to work their way to us here soon.,12,,
87,0.97,646.412,658.891,"I, Lisa Herbold, swear that I possess all of the qualities and qualifications prescribed in the Seattle city charter.",13,,
88,0.97,658.891,668.0,"And the Seattle municipal code, for the position of city Councilmember of the city of Seattle.",13,,
89,0.97,668.0,672.872,I will support the Constitution of the United States.,13,,
90,0.97,672.872,676.308,The Constitution of the state of Washington.,13,,
91,0.97,676.308,689.555,"And the Charter, and ordinances of the city of Seattle and that I will faithfully conduct myself, as a Seattle city Councilmember.",13,,
92,0.97,696.562,706.772,[Applause],14,,
93,0.97,730.296,737.269,Thank you so much for the privilege of representing district one on the Seattle city council for four more years.,15,,
94,0.97,737.269,746.779,"I take this oath in gratitude and service, and inspired by the kind of city that I want for my grandchildren.",15,,
95,0.97,746.779,762.027,"I began my campaign last year, reflecting on the promises I made to voters when I first ran in 2015.",15,,
96,0.97,764.363,769.168,"I promised laws to protect tenants from getting discriminated against because of where they work, their income, their past involvement in the criminal justice system.",15,,
97,0.97,769.168,773.806,I promised secure scheduling regulations for workers at large stores and chain restaurants.,15,,
98,0.97,773.806,776.442,I promised restoration of a Seattle police Department's popular community service officer program.,15,,
