index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,22.555,23.656,The microphone is not working?,0,,
1,0.97,23.656,28.294,Turn the TV on.,0,,
2,0.97,28.294,29.129,"Good morning, everyone.",1,,
3,0.97,29.129,38.972,"Welcome in to Thursday, August 11, 2022 Finance and housing committee meeting.",1,,
4,0.97,38.972,44.31,Councilmember Herbold?,2,,
5,0.97,44.31,44.711,Here.,3,,
6,0.97,44.711,56.089,Councilmember Peterson Councilmember no?,4,,
7,0.97,56.089,59.225,Present.,5,,
8,0.97,59.225,67.1,Madam chair Mosqueda?,6,,
9,0.97,67.1,77.277,Present.,7,,
10,0.97,77.277,108.341,This is pertaining to the Seattle Aquarium the last three items on the agenda for today equity . We have a series of folks from staffing your here.,8,,
11,0.97,108.341,111.411,This is agenda night and number four.,9,,
12,0.97,111.411,118.852,The last agenda item 393.,9,,
13,0.97,118.852,123.189,Plus there is a Timeline on today's agenda.,9,,
14,0.97,123.189,130.363,If there are no objections Dave's agenda is adopted.,9,,
15,0.97,130.363,132.232,We are going to move over to public comments.,9,,
16,0.97,132.232,140.006,We have some folks signed up for the in person and Online comments.,9,,
17,0.97,140.006,153.386,"Madam clerk, going to ask that you prepare so that we will have an introduction public comment.",9,,
18,0.97,153.386,155.989,"For anybody who is on the line, we will get to you soon.",9,,
19,0.97,155.989,157.023,Now you can hear me.,9,,
20,0.97,157.023,165.398,"Okay, I talk loud usually but I was like I do not think this is coming through.",9,,
21,0.97,165.398,166.699,Let me ask the folks from I.T.,9,,
22,0.97,166.699,170.37,If you could hear me the whole time or do we need to repeat anything for the record?,9,,
23,0.97,170.37,174.841,We just lightly here you.,10,,
24,0.97,174.841,177.31,It is up to you if you want to redo it.,10,,
25,0.97,177.31,192.058,You could hear me or was hard?,11,,
26,0.97,192.058,193.293,We could only slightly here you.,12,,
27,0.97,193.293,195.528,I'm going to redo that for the good of order.,13,,
28,0.97,195.528,197.03,We have a full committee here today.,13,,
29,0.97,197.03,199.299,Thank you to my colleagues for your participation in today's agenda.,13,,
30,0.97,199.299,200.266,"Today is August 11, 2022.",13,,
31,0.97,200.266,200.867,9:30 8 am.,13,,
32,0.97,200.867,212.645,The rollcall has Artie been done and the agenda includes two items from the Aquarium or the Aquarian expansion.,13,,
33,0.97,212.645,213.813,Are items from the committee.,13,,
