index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,21.888,26.226,We just called the meeting back to order.,0,,
1,0.97,26.226,28.561,"So, first, approval of the agenda.",0,,
2,0.97,28.561,35.235,If there is no objection the agenda will be adopted.,0,,
3,0.97,35.235,38.338,"Hearing no objection, the agenda is adopted.",0,,
4,0.97,38.338,39.506,"Chair's report, briefly.",0,,
5,0.97,39.506,75.408,There is a special meeting of this committee today we are going to hear discussion and debate and then I hope to hold a vote on the transitional legislation thank you for Councilmember Sawant to bring it forward and all of the work by Pedersen and all of my other colleagues that worked very critically on this ordinance and contributed a lot of potential amendments and we will discuss the amendments in turn after public comment.,0,,
6,0.97,75.408,80.88,"So, now, public comment I will open it for public comment.",0,,
7,0.97,80.88,83.583,We have 13 folks who signed up to speak.,0,,
8,0.97,83.583,91.157,I will accept folk that come up to speak as a group it folks elect to do so.,0,,
9,0.97,91.157,94.427,I am keeping the time limit at the 2 minute time limit.,0,,
10,0.97,94.427,105.038,"When you come up I want to note there are two microphones, one closer to the window, this one, use either one.",0,,
11,0.97,105.038,105.605,You can Queue up.,0,,
12,0.97,105.605,112.445,I will call three names up at a time.,0,,
13,0.97,112.445,129.128,"I apologize in advance for my terrible pronouncing names, I don't mean anything by it.",0,,
14,0.97,133.366,133.9,I will start,0,,
15,0.97,155.155,163.129,-- it is really a vital essential need for the homelessness crisis in Seattle.,1,,
16,0.97,163.129,175.108,It is not a cure for homelessness it a step up and to move on and to get your dignity and your respect back.,1,,
17,0.97,175.108,182.749,They opened doors for me in 9 months that I did not see anywhere in my future when I was out there homeless.,1,,
18,0.97,182.749,190.456,And they helped immensely and I am still going to come in and advocate for homelessness and for tiny houses.,1,,
19,0.97,190.456,200.733,"It is definitely better than tents and people need that, people are dying out there from the cold and from homelessness.",1,,
20,0.97,200.733,204.904,Senseless crimes of the Christie Jackson that got shot for helping somebody.,1,,
21,0.97,204.904,211.244,In the wrong place at the wrong time.,1,,
22,0.97,211.244,212.879,But homelessness it is no joke.,1,,
23,0.97,212.879,220.353,Makes you battered and broken and as a woman a tiny House saved my life.,1,,
24,0.97,220.353,236.169,They are everything to help somebody boost their moral and to get motivated and back on the right track and please keep funding this tiny homes are essential.,1,,
25,0.97,236.169,238.004,I am prove to prove they work.,1,,
26,0.97,238.004,245.311,And I will here and keep coming back for tiny homes because they are awesome and they work.,1,,
27,0.97,245.311,248.548,A step forward out of homelessness.,1,,
28,0.97,248.548,257.323,And they give you every essential need if you need the tools that you need everything you need to put you back on the right track and the time and --,1,,
29,0.97,257.323,269.002,Thank you very much your time has expired.,2,,
30,0.97,269.002,270.003,Thank you.,3,,
31,0.97,270.003,271.337,Thank you.,3,,
32,0.97,271.337,271.738,Next.,4,,
33,0.97,271.738,272.271,Good afternoon.,5,,
34,0.97,272.271,278.411,"I, too, am a resident of camp second chance, tiny home village.",5,,
35,0.97,278.411,284.417,I am also an employee of Lee high.,5,,
36,0.97,284.417,288.421,I frequent going downtown on the streets every workday.,5,,
37,0.97,288.421,294.594,I see the folks that are not privileged enough to have a tiny house.,5,,
38,0.97,294.594,298.097,Sleeping on the sidewalk with cardboard.,5,,
39,0.97,298.097,306.105,"Whatever they can do to keep the cold, wet off of them and the ground.",5,,
40,0.97,306.105,320.153,The village has allowed me to have security and a safe place to be with 24-hour security for myself to be able to keep my belongings and go look for work.,5,,
41,0.97,320.153,331.898,I seriously don't know as a single woman where I would be if I did not have that opportunity to have a safe place.,5,,
42,0.97,331.898,334.4,I am always fighting for the homelessness.,5,,
43,0.97,334.4,342.041,"Tiny House villages is a step towards, you know, giving folks a second chance at changing their lives.",5,,
44,0.97,342.041,359.926,And I don't know about all of the ordinances that are in place but I know that if some of them could be adjusted and moved and rearranged then certainly there could be room for more tiny House villages to be placed throughout the city.,5,,
45,0.97,359.926,360.226,Thank you.,5,,
46,0.97,360.226,365.531,I hope that it passes.,5,,
47,0.97,365.531,368.367,Thank you very much.,6,,
48,0.97,368.367,370.57,Sharon Lee followed by Peggy.,7,,
49,0.97,370.57,371.237,Good afternoon.,8,,
50,0.97,371.237,373.539,Sharon Lee director of low housing Institute.,8,,
51,0.97,373.539,384.684,I want to let people know of the overall number of people who have been helped by tiny houses.,8,,
52,0.97,384.684,387.22,"1,624 people have been housed in tiny houses.",8,,
53,0.97,387.22,387.62,[crowd APPLAUDS],8,,
54,0.97,387.62,397.53,"Of the people who moved out we have 740 have gotten housing, 740 people.",9,,
55,0.97,397.53,403.369,And 670 people have gotten income support.,9,,
56,0.97,403.369,408.808,"And, the majority of people, overwhelming majority obtained housing within the 1-6-Month period.",9,,
57,0.97,408.808,413.746,We really like the idea of tiny houses a bridge to long time housing.,9,,
58,0.97,413.746,426.325,"In terms of the amendment we are concerned that, I believe, safe parking in tent cities and tiny House villages are considered part of this covered by this ordinance.",9,,
59,0.97,426.325,456.522,"So we know that some private organizations and Nonprofits would like to have 5 or 6 cars, you know, people living in their cars that they could have a place that would be safe and we think that the Council should not reduce the number of possibilities or opportunities because it covers safe parking as well as tent cities if you are just limiting it, it is a different story.",9,,
60,0.97,456.522,474.173,Because safe parking is included overnight parking is an option case management in valuable but 27/7 security would not apply to overnight parking situation.,9,,
61,0.97,474.173,478.978,Our feeling is it makes sense if city funds are available.,9,,
62,0.97,478.978,484.417,Case management as well as needing the outcomes makes sense if the city is funding it.,9,,
63,0.97,484.417,511.911,We feel that the neighborhoods just about every neighborhood has homeless people so we would like to make sure that tiny House villages will be in all neighborhoods and not limit it to as one mile or only one Council district before you have to hit every district before you--thank you.,9,,
64,0.97,511.911,518.184,Your time has expired.,10,,
65,0.97,518.184,520.386,"Good evening, Councilmembers.",11,,
66,0.97,520.386,527.426,I would like to encourage you to vote on it as written and not the amendments.,12,,
67,0.97,527.426,531.464,I will tuck about amendments I find without merit.,12,,
