index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,38.905,49.149,"I am joined by several colleagues, council member Tammy Morales, Alex Pedersen and Andrew Lewis.",0,,
1,0.97,49.149,52.952,I believe we will be joined by a few other as the meeting commences.,0,,
2,0.97,52.952,60.093,Thank you for being with me this morning and looking forward to a robust conversation about this suite of bills.,0,,
3,0.97,60.093,65.565,"If there is no objection, the agenda will be adopted?",0,,
4,0.97,65.565,69.335,Hearing no objection today's hearing is adopted.,0,,
5,0.97,69.335,73.573,"Quickly as Council President chair report, there are three items on today's agenda.",0,,
6,0.97,73.573,82.482,"We are continuing discussion of the clean campaign acts 119730, 31 and 732.",0,,
7,0.97,82.482,100.2,Council central staff will take us through a briefing on all three pieces of this legislation and that will be followed by discussion and potential vote on Council bills 119731 and 119732 so only two out of the three bills.,0,,
8,0.97,100.2,107.907,"Before we continue with the agenda, we will do what we do which is to hold a public comment at the top of our agenda.",0,,
9,0.97,107.907,120.42,I will call out each in the order they signed up and each Speaker is provided up to two minutes to provide the committee with their public comment.,0,,
10,0.97,120.42,124.09,We ask that each Commenter start by stated their Inarm for the record.,0,,
11,0.97,124.09,139.172,There are timers in the front of the room that let you know where you are on your time and then we will turn off the microphone at the end of your two minutes and ask you to wrap up your comments if you are exceeding your two minutes.,0,,
12,0.97,139.172,144.144,We will go ahead and get started.,0,,
13,0.97,144.144,151.384,The first Speaker is Colleen--I have a hard time reading your last name.,0,,
14,0.97,151.384,151.618,Sorry.,0,,
15,0.97,151.618,156.389,Colleen is up first and then following Colleen will be Patrick Burke.,0,,
16,0.97,156.389,169.335,"Good morning, city Council and welcome to your first official day after yesterday and thank you for--most important thing as an individual, I have been through 10 election cycles for city council.",1,,
17,0.97,169.335,171.004,I want to applaud this Committee's work.,1,,
18,0.97,171.004,181.247,"This is really important and when you see the data that talks about 44% of independent expenditures creeping up into our elections, that is scary.",1,,
19,0.97,181.247,184.217,Just a few meant comments.,1,,
20,0.97,184.217,196.729,"It's great the legislation includes all entities being equal, businesses treated the same as unions, PACS for individual political affiliations and as well as business all thrown together.",1,,
21,0.97,196.729,201.601,They should be treated equally as far as regulations go.,1,,
22,0.97,201.601,212.579,"Secondly, since this Committee is digging deeply into the process of fair elections, we might Backtrack and include the democracy vouchers.",1,,
23,0.97,212.579,228.861,"It was very Disheartening to some of the members, the voters in particular because when a council member running would not use the democracy voucher system, those were available and then they were targeted to different districts.",1,,
24,0.97,228.861,235.702,"With districts elections going on, it turns out that some of the candidates Haveed majority of their money coming from a different district.",1,,
25,0.97,235.702,236.636,People were confused about that.,1,,
26,0.97,236.636,244.444,I don't know if this committee can address that but I think that is a reform or something to look into that is meaningful.,1,,
27,0.97,244.444,269.836,"And then Lastly whatever legislation takes place, you guys are smart and many of you are attorneys and to make sure that these laws are Compliant with the election laws which are technical sometimes to be sure that whatever you pass actually will get enacted without any challenges, ACLU et cetera.",1,,
28,0.97,269.836,270.269,Thanks so much.,1,,
29,0.97,270.269,271.504,"Thank you, Colleen.",2,,
30,0.97,271.504,273.673,Welcome Councilmember Herbold to the table.,2,,
31,0.97,273.673,278.311,We will hear from Patrick burning followed by Alice Wolf.,2,,
32,0.97,278.311,281.581,I will stick to my paper.,3,,
33,0.97,281.581,289.956,"November 10, 2015 headline on the Atlantic City, a public financing program, voters get $100 of election vouchers.",3,,
34,0.97,289.956,297.297,"March 3, 2016 less than four years later I got involved in politics because I felt like this program is what we needed to level the playing field.",3,,
35,0.97,297.297,300.166,I worked on four city council campaigns.,3,,
36,0.97,300.166,306.939,I can attest the most stressful times during the candidate's race is the money.,3,,
37,0.97,306.939,311.911,We experienced the world's richest man try to influence the plans.,3,,
38,0.97,311.911,314.914,With limits we can fix this.,3,,
39,0.97,314.914,320.52,"The whole process, initiative voucher program was drafted on was to get money out of politics.",3,,
40,0.97,320.52,324.957,This does the exact opposite.,3,,
41,0.97,324.957,326.759,It favors a very specific group.,3,,
42,0.97,326.759,347.613,"In 2011 ""New York times"" Op-Ed said we should in terms of curbing the democracy--citizens United, the only way that the money candidates would except to finance his or her campaign would be democracy vouchers or contributions capped at $100, no PAC money, no $2,500 checks.",3,,
43,0.97,347.613,348.181,Small contributions only.,3,,
44,0.97,348.181,355.588,If the voter didn't use the voucher the money passed to his or her party or independent back to the public funding system.,3,,
45,0.97,355.588,359.759,That is setting up a bold firm limits.,3,,
46,0.97,359.759,360.226,That is Progressive.,3,,
47,0.97,360.226,363.362,This legislation being discussed today while amended could be so much better.,3,,
48,0.97,363.362,368.601,I am asking Council not to rush through it.,3,,
49,0.97,368.601,369.402,Newly elected just got here.,3,,
50,0.97,369.402,378.111,This is going to lay the ground on the future of the playing field and will very well your reelection campaigns.,3,,
51,0.97,378.111,391.324,I would hope that you would come away with this piece of legislation to go to campaign staff without stutter or need of explanation of political consultants who this is benefiting.,3,,
52,0.97,391.324,393.693,My hope is the next Sickle or two.,3,,
53,0.97,393.693,394.427,[inaudible],3,,
54,0.97,394.427,396.596,"Thank you, Patrick.",4,,
55,0.97,396.596,405.571,Next up is Alice followed by Meghan.,5,,
56,0.97,405.571,407.507,Alice walled.,6,,
57,0.97,407.507,408.941,6514 Northwest Seattle.,6,,
58,0.97,408.941,420.019,I am here to thank Councilmember Gonzalez to be moving this ordinance forward and for taking seriously that area democracy needs to be fixed.,6,,
59,0.97,420.019,456.022,"This is one of the ways you can fix it is to deal with campaign contribution, making it easier for people that don't have big money and don't have big money supporters to run for election having been a candidate myself I know how difficult it is to spend all your time raising money trying to be competitive with those who have more money than you do and I just am very thankful that this new Council is taking this up as one of their very first priorities.",6,,
60,0.97,456.022,456.989,Thank you very much.,6,,
61,0.97,456.989,460.193,"Thank you so much, Alice.",7,,
62,0.97,460.193,463.896,Next up is Meghan followed by Steve.,8,,
63,0.97,463.896,475.208,I was back in August on the committee of ethics in elections when--I think it's held on a certain Wednesday of the month.,9,,
64,0.97,475.208,498.531,"The plan was that a super PAC can be ten people and of the 10 people they can donate no more than $5,000 and I know Uber and--Uber and Airbnb have ties to foreign companies like less than 1% or whatever and they were donating to the elections.",9,,
65,0.97,498.531,520.82,"Just the fact that anybody would want to donate over 5,000 to an election and that would ultimately force their win because people would be inundated with waves of, like, commercials that will brain wash them to vote for somebody that will not be in their best interest ultimately if they are of the working class.",9,,
66,0.97,520.82,529.161,"It's a really good idea to limit it to $5,000 per person in a super PAC of 10.",9,,
67,0.97,529.161,544.477,"I know Shauna couldn't take democracy vouchers because she had to take money from other people in the country who aligned with her ideas and, so, that Nullifies democracy vouchers and makes them inept.",9,,
68,0.97,544.477,561.16,"To flex your must ask you La tore by using outlandish amounts of money from somebody who--Amazon when the workers walked out because they were protesting the climate policies, they were disciplined in a way that said reread the policy.",9,,
69,0.97,561.16,573.272,"If their policy isn't for a green economy, then I think people should walk out every Friday against them and their workers in factories.",9,,
70,0.97,573.272,576.943,What is somebody like that trying to buy our elections.,9,,
71,0.97,576.943,580.78,How would society be shaped in the laws.,9,,
72,0.97,580.78,581.881,Not progressive but Retro aggressive.,9,,
73,0.97,581.881,590.089,Are you going to vote for the Iranian people . I know --,9,,
74,0.97,590.089,590.723,"Thank you, Meghan.",10,,
75,0.97,590.723,598.531,I hope you vote for the people in Iran trying to vote from Canada into Seattle where theories dents of the U.S.,11,,
76,0.97,598.531,600.466,"Thank you, Meghan.",12,,
77,0.97,600.466,602.535,Next up is Steve followed by Cindy black.,13,,
78,0.97,602.535,618.651,"Interesting you will try to take on this problem and as long as we allow Shell could have important rations--corporations and foreign domestic to hide money in this country, good luck on cleaning things up.",14,,
79,0.97,618.651,641.841,"I have a feeling and my question is, is this more reaction to Amazon and the great amount of money they spent which my first thought was never has anybody spent so much money and got so little then I remembered some other elections in Seattle where similar things have happened before.",14,,
80,0.97,641.841,660.259,"Until you start getting the Feds, the lawyers embarrassed and the state embarrassed about the allowing of outright corruption if when this country, in other words, Shell corporations, people are not allowed to know who owns things, who really spent the money, this might be an exercise in futility.",14,,
81,0.97,660.259,671.103,I would hope that you would at least start and try to go the next step of the embarrassment that has to go further.,14,,
82,0.97,671.103,680.88,I have been most unhappy about the lowering of the degree of respect nor citizens in this city.,14,,
83,0.97,680.88,682.515,Look at the three ordinance.,14,,
84,0.97,682.515,690.923,We almost got one for the last Council but the big hold up was you didn't want developers to be subject to it.,14,,
85,0.97,690.923,697.263,I need you to stay focused on the items on the agenda --,15,,
86,0.97,697.263,698.164,Money and actions.,16,,
87,0.97,698.164,711.944,"If you don't think money and actions are tied together, then I think this is a waste of time because money seems to be very close to the actions of this Council.",16,,
88,0.97,711.944,721.253,Any entity that has zoning power typically gets the biggest amount of campaign contributions from the development industry.,16,,
89,0.97,721.253,721.854,Seattle is not an exception.,16,,
90,0.97,721.854,728.36,This cycle may have been slightly different but that's the way it is.,16,,
91,0.97,728.36,729.562,"Okay, thank you.",17,,
92,0.97,729.562,733.165,Next up is Cindy black followed by Ken.,17,,
93,0.97,733.165,734.066,Good morning.,18,,
94,0.97,734.066,736.068,My name is Cindy black.,18,,
95,0.97,736.068,738.604,I am the executive director of fix democracy first.,18,,
96,0.97,738.604,758.023,We are a Nonpark at the San pro democracy organization that works on local and state pro democracy Agendas and legislation and we want to first of all thank Councilmember Gonzalez and their staff for all the work they have done in Championing this legislation.,18,,
97,0.97,758.023,776.842,The main reason we wanted to bring this forward is because we saw the impact of independent expenditures long before this election cycle and realize that we need to defend democracy and be at the forefront in setting limits to independent expenditures and not be afraid do this.,18,,
