index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.015,16.383,This is February 1ST.,0,,
1,0.97,16.383,19.853,The meeting will come to order.,0,,
2,0.97,19.853,23.49,It's now 2:02:00 02 P.M.,0,,
3,0.97,23.49,28.695,Will the clerk please call the role.,0,,
4,0.97,28.695,29.129,Pederson.,1,,
5,0.97,29.129,29.396,Strauss.,1,,
6,0.97,29.396,30.263,Herbold.,1,,
7,0.97,30.263,30.53,Here.,2,,
8,0.97,30.53,30.864,"Lewis,",3,,
9,0.97,30.864,35.301,Present.,4,,
10,0.97,35.301,36.102,Morales Mosqueda.,5,,
11,0.97,36.102,37.404,Present.,6,,
12,0.97,37.404,38.271,Nelson?,7,,
13,0.97,38.271,39.839,Present.,8,,
14,0.97,39.839,41.841,Council President Juarez.,9,,
15,0.97,41.841,42.108,Here.,10,,
16,0.97,42.108,42.642,Eight present.,11,,
17,0.97,42.642,43.943,Thank you.,12,,
18,0.97,43.943,45.812,Let's move on to presentations.,12,,
19,0.97,45.812,46.88,Not aware of any.,12,,
20,0.97,46.88,49.482,And let's move on to approval of the minutes.,12,,
21,0.97,49.482,54.02,The minutes of Seattle city council meeting for January 25th have been reviewed.,12,,
22,0.97,54.02,56.723,"If there's no objection, the minutes will be signed.",12,,
23,0.97,56.723,59.526,"Hearing no objection, the minutes will be signed.",12,,
24,0.97,59.526,64.497,"Madame clerk, will you please affix my signature to the minutes.",12,,
25,0.97,66.266,67.333,Thank you.,12,,
26,0.97,67.333,69.803,Moving to the introduction referral calendar.,12,,
27,0.97,69.803,74.707,"If there's no objection, the IRC will be adopted.",12,,
28,0.97,74.707,78.344,"Hearing or seeing no objection, the IRC is adopted.",12,,
29,0.97,78.344,82.248,Moving on to our approval of the agenda.,12,,
30,0.97,82.248,87.353,"If there's no objection, the agenda will be adopted.",12,,
31,0.97,87.353,90.924,Hearing and seeing no objection t agenda is adopted.,12,,
32,0.97,90.924,93.526,We will now go to public comment.,12,,
33,0.97,93.526,96.096,I'm going to read some introductory remarks.,12,,
34,0.97,96.096,98.465,And I'll hand them over to Madame clerk.,12,,
35,0.97,98.465,106.773,"At this time we'll open the remote public comment period for items on the city council agenda, introduction referral calendar, and the Council's work program.",12,,
36,0.97,106.773,128.461,"It remains again the strong intent of the city Council to have remote public comment included on meeting Agendas, the city council reserves the right to end or eliminate public comment periods at any point if we deem the system is being abused or is no longer suitable for allowing our meetings to be conducted efficiently and effectively.",12,,
37,0.97,128.461,133.5,Our city clerk will moderate the general public comment period and I'll hand it off to Madame clerk.,12,,
38,0.97,133.5,138.471,"Madame clerk, I understand we have 26 people signed up.",12,,
39,0.97,138.471,139.038,Correct.,13,,
40,0.97,139.038,141.541,So if we have 26 people.,14,,
41,0.97,141.541,143.109,My rule of thumb is this.,14,,
42,0.97,143.109,144.644,26 people is over 20.,14,,
43,0.97,144.644,154.754,So people will be given one minute to speak to the matters that are on today's agenda or any other matter regarding city business.,14,,
44,0.97,154.754,155.688,"All right, Madame clerk",14,,
45,0.97,155.688,161.995,The public comment period for this meeting is up to 20 minutes and each Speaker will be given one minute to speak.,15,,
46,0.97,161.995,167.867,Speakers are called upon in the order in which they registered to provide public comment on the Council's Website.,15,,
47,0.97,167.867,175.041,Each Speaker must call in from the phone number provided and use the Id and pass code Emailed upon confirmation.,15,,
48,0.97,175.041,182.849,Please NOTE this is different from the general meeting Id listed on the agenda.,15,,
49,0.97,182.849,188.988,"If you didn't receive an Email, check your Spam or junk hail folders.",15,,
50,0.97,188.988,195.328,Once a speakers name is called staff will Unmute the microphone.,15,,
51,0.97,195.328,201.834,And then the prompt that you have been Unmuted is the speakers Cue to speak.,15,,
52,0.97,201.834,205.205,The Speaker must press Star 6 to begin speaking.,15,,
53,0.97,205.205,208.841,Speakers will hear a Chime when ten seconds are left of the allotted time.,15,,
54,0.97,208.841,214.247,"Once you hear the Chime, we ask you begin to wrap up your public comment.",15,,
55,0.97,214.247,222.722,If speakers don't end their comment at the end of the allotted time the microphone will be muted to allow us to call on the next Speaker.,15,,
