index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.01,12.779,"Good afternoon, everyone.",0,,
1,0.97,12.779,19.686,"Today is March 5th, 2020, and this special meeting of the Seattle city Kouj will come to order.",0,,
2,0.97,19.686,23.089,It is 1:04 P.M.,0,,
3,0.97,23.089,24.324,I'm Teresa Mosqueda.,0,,
4,0.97,24.324,27.494,Will the clerk please call the role.,0,,
5,0.97,27.494,29.896,Pedersen.,1,,
6,0.97,29.896,31.297,Aye.,2,,
7,0.97,31.297,32.799,Strauss.,3,,
8,0.97,32.799,37.003,Present.,4,,
9,0.97,37.003,38.004,Herbold.,5,,
10,0.97,38.004,41.107,Here.,6,,
11,0.97,41.107,42.308,Juarez.,7,,
12,0.97,42.308,44.811,Here.,8,,
13,0.97,44.811,46.212,Morales.,9,,
14,0.97,46.212,52.819,Council President pro Temp Mosqueda.,10,,
15,0.97,52.819,59.426,"So, today March 5th is a special emergency meeting of the Seattle city council.",11,,
16,0.97,59.426,62.328,And the Seattle city chapter.,11,,
17,0.97,62.328,69.436,We appreciate all the hard work of those individuals who have been on the front line providing a response to Covid- 19 or to the Coronavirus.,11,,
18,0.97,69.436,82.749,We applaud the work of our friends on the front line who are our firefighters and who are our police officers those in public health as direct service providers and those who are human service providers working with our most vulnerable.,11,,
19,0.97,82.749,90.957,We appreciate the great information that has been shared from director Patty haze and Dr. Duchin.,11,,
20,0.97,90.957,94.994,Executive dough con Stan teen and yesterday for their briefing.,11,,
21,0.97,94.994,104.671,"This is important for our city, our state, our region and our nation to come together to show true solidarity and lead by example.",11,,
22,0.97,104.671,129.095,"I think the work we have in front of us today to make sure the public has the best information possible about how to protect themselves and their family, their community from the virus is critical, and that we all take a moment to remain calm, take a deep breath and recognize we have some of the most expert public health officials in the county, in our County who are represented right here, the best of the country is right here.",11,,
23,0.97,129.095,131.097,So we applaud all of their work.,11,,
24,0.97,131.097,140.807,We also want to take a moment to send our deepest sympathies to the families Whoef lost their lives as a result of contracting Covid-19.,11,,
25,0.97,140.807,146.746,"And, I know many of us watching on TV or in the audience, we're looking for some certainty, for a plan.",11,,
26,0.97,146.746,157.423,"There's a lot of things that are unknown still, but there's a lot of things that are known that public health will share with us and our good Department heads will explain to us.",11,,
27,0.97,157.423,161.094,Many people are worried about their families and loved ones.,11,,
28,0.97,161.094,168.535,Some of the best ways to help prevent the spread of the virus is by practicing good public health hygiene.,11,,
29,0.97,168.535,170.737,Washing your hands for 20 to 30 seconds.,11,,
30,0.97,170.737,171.938,Avoid touching your face.,11,,
31,0.97,171.938,173.907,Make sure to stay home.,11,,
32,0.97,173.907,174.908,Period.,11,,
33,0.97,174.908,176.943,And especially stay home if you feel sick.,11,,
34,0.97,176.943,197.864,"If you're an individual who's had an underlying health condition or chronic health disease or elderly like we heard yesterday, please do stay home and we strongly appreciate our executive the Mayor and executive Dow Constantine to make that possible.",11,,
35,0.97,197.864,198.898,That is true leadership.,11,,
36,0.97,198.898,202.869,"Today, we have a few items on our agenda today.",12,,
37,0.97,202.869,212.078,One will be to hear about this best practices and what our Department is doing with collaboration and with King County as a region.,12,,
38,0.97,212.078,223.623,We have--I'll turn it over to Council member Herbold who will walk us through the first part of the presentation to hear what has already been put into place.,12,,
39,0.97,223.623,226.292,We will then take a moment to hear from the public.,12,,
40,0.97,226.292,230.396,I know there's folks here who would like to make some public comment.,12,,
41,0.97,230.396,233.233,We will welcome that as part of our presentation.,12,,
42,0.97,233.233,249.616,"We will then take a moment to go into executive session and, we will also have a follow up in terms of our conversation around the possible Orlando Nans that in ordinance that's in front of us.",12,,
43,0.97,249.616,258.257,The Mayor is going to issue a proclamation of emergency when a natural disaster or threatens to cause personal injury or property damage.,12,,
