index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.783,18.385,Thank you so much.,0,,
1,0.97,18.385,21.488,"Good morning, everyone.",0,,
2,0.97,21.488,23.156,The Council briefing will not come to order.,0,,
3,0.97,23.156,24.157,The time is 9:30 A.M.,0,,
4,0.97,24.157,26.393,Will the clerk please call the role?,0,,
5,0.97,26.393,26.993,Council member Juarez?,1,,
6,0.97,26.993,29.396,Here.,2,,
7,0.97,29.396,29.996,Lewis?,3,,
8,0.97,29.996,30.563,Present.,4,,
9,0.97,30.563,35.702,Morales?,5,,
10,0.97,35.702,41.007,Mosqueda?,6,,
11,0.97,41.007,41.508,Councilmember Mosqueda?,6,,
12,0.97,41.508,42.008,Thank you.,7,,
13,0.97,42.008,42.409,Present.,7,,
14,0.97,42.409,42.742,Pedersen?,8,,
15,0.97,42.742,46.079,Here.,9,,
16,0.97,46.079,46.379,Sawant?,10,,
17,0.97,46.379,46.913,Present.,11,,
18,0.97,46.913,47.68,Spectra 20?,11,,
19,0.97,47.68,50.116,Present.,12,,
20,0.97,50.116,50.517,Herbold?,13,,
21,0.97,50.517,52.786,Here.,14,,
22,0.97,52.786,54.32,Council President Gonzalez?,15,,
23,0.97,54.32,58.892,Here . I believe we have been joined by Councilmember Morales.,16,,
24,0.97,58.892,60.226,Councilmember Morales?,17,,
25,0.97,60.226,66.533,Here.,18,,
26,0.97,66.533,67.033,Thank you.,19,,
27,0.97,67.033,67.434,Nine present.,19,,
28,0.97,67.434,68.435,Thank you so much.,20,,
29,0.97,68.435,71.438,"If there is no objection, the minutes of October 4, 2021 will be adopted.",20,,
30,0.97,71.438,74.941,"Hearing no objection, the minutes are adopted.",20,,
31,0.97,74.941,105.972,"I did want to start off our Council briefing meeting today by saying happy indigenous peoples' day . It is a day that we collectively recognize and celebrate the contributions, the culture, and the peoples that are of indigenous heritage . I am really thankful that this is a debris recognize here in the city of Seattle and that we joined together in celebration of indigenous people in our region and across our country.",21,,
32,0.97,105.972,144.01,"Of course, no celebration or recognition of indigenous people today would be complete if we did not recognize our very own Councilmember Debora Juarez of district 5 for her leadership and role on advancing indigenous issues for our city including her work on missing and murdered indigenous women and girls and also her important work around making sure that we have a committee at the city council level that reflects the need to focus and Prioritize issues related to the Americans in our region.",21,,
33,0.97,144.01,159.826,We are lucky to have such a strong advocate and representative on our own city Council and within our broader community as we continue to celebrate and lift up the needs and solutions of indigenous people throughout our city and our region.,21,,
34,0.97,159.826,163.496,Happy indigenous peoples' day to you all.,21,,
35,0.97,163.496,170.136,I did want to take a moment to see if anybody else had any comments on that before we move on.,21,,
36,0.97,170.136,180.346,"Of course, if you have your own recourse, you can do that as well.",21,,
37,0.97,180.346,180.947,Council member Sawant?,21,,
38,0.97,180.947,181.548,Thank you.,22,,
39,0.97,181.548,187.053,I am Unfortunately not able to turn my Video on for some technical reason but good morning to Everybod who is watching.,22,,
40,0.97,187.053,202.468,"I want to wish everyone a happy indigenous peoples' day . back in 2014, in our first year, our office brought forward a resolution that abolished Columbus day and ushered in indigenous peoples' day.",22,,
41,0.97,202.468,209.776,"Our resolution at that time received a unanimous vote, despite some opposition from some Councilmembers in the back rooms.",22,,
42,0.97,209.776,235.401,"This victory was possible only because of the determined activism of the urban, native community, who are still active to this day and have played a huge role in movements across the nation and have been among those who are personally present at the standing rock--just really incredible actions against the pipeline there.",22,,
43,0.97,235.401,244.31,Alongside all community members here in Seattle who agreed that this was an important step forward.,22,,
