index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,20.12,20.987,Good morning everyone.,0,,
1,0.97,20.987,23.79,"Today is March 2, 2020.",0,,
2,0.97,23.79,25.258,The briefing will come to order.,0,,
3,0.97,25.258,38.405,"If there is no objection, the agenda will be amended to remove item 3, the state legislative updates as we have no members of the Oir team here.",0,,
4,0.97,38.405,39.072,"No objection, great.",0,,
5,0.97,39.072,56.122,"The agenda is in front of us, it is 9:33 and I am Teresa Mosqueda, chair of the Finance and budget but today I am pro Tem due to Councilmember Gonzales's leave.",0,,
6,0.97,56.122,58.525,We wish her well in the last month of the family leave.,0,,
7,0.97,58.525,64.597,We wanted to note for the record I am joined by the Councilmembers.,0,,
8,0.97,64.597,71.538,And we wish Councilmember Debora Juarez to feel better.,0,,
9,0.97,71.538,72.806,We thank you for reading the items.,0,,
10,0.97,72.806,77.444,"We will have a the short council meeting today, this afternoon.",0,,
11,0.97,77.444,83.349,A couple colleagues I hope to have folks some Seattle King County joining us.,0,,
12,0.97,83.349,97.297,"Unfortunately, due to all of the breaking news, they are in multiple places this afternoon but we are going to have a Council briefing, I believe Councilmember Herbal is interested in hosting a special meeting in her committee due to the emergency services that she oversees.",0,,
13,0.97,97.297,109.976,We will plan to have public health Seattle King County next Monday.,0,,
14,0.97,109.976,111.578,I would like to have them at full council.,0,,
15,0.97,111.578,115.048,That was the original plan to come next Monday due to the recent news over the weekend.,0,,
16,0.97,115.048,119.486,We do think it is important to have an early briefing this week and then also to have an update next week.,0,,
17,0.97,119.486,125.959,I wanted to take a few minutes to make sure that we send our deepest sympathies to the individuals who did pass away this weekend here in our region.,0,,
18,0.97,125.959,141.007,Also recognize the number of individuals who are feeling ill and have done what public health asks to notify the public health servants of their condition and to call the medical providers and let them know that they are feeling ill.,0,,
19,0.97,141.007,146.513,"I want to take a moment just to recognize, there's a lot of people that have a lot of questions and perhaps feeling a lot of fear.",0,,
20,0.97,146.513,157.49,"We will have a tremendous amount of information that will come forward from public health Seattle King County, but it's also important for us to make sure that folks know a few things.",0,,
21,0.97,157.49,166.833,We posted a lot of this Online and we will post more this afternoon.,0,,
22,0.97,166.833,170.303,We know that the Mayor's office is giving information out along with King County and public health.,0,,
23,0.97,170.303,172.772,I will provide copies of this information from the CDC on Covid-19.,0,,
24,0.97,172.772,178.545,Basically information about how to protect yourself and what to do with the information.,0,,
25,0.97,178.545,180.046,"Councilmember Lisa Herbold, thank you for joining us.",0,,
26,0.97,180.046,182.849,I mentioned that you may have a briefing in your Committee as well.,0,,
27,0.97,182.849,196.863,"A few reminders about questions about Covid-19, there are a lot of things that we don't know yet about the virus but there's a few things that we do know very well.",0,,
28,0.97,196.863,206.706,"That is that this is just the best way to prevent it is to continue to wash her hands, practice the best hygiene that you can . continue washing your hands for at least 20 to 30 seconds.",0,,
29,0.97,206.706,209.075,I counted 32 remind myself the 20 seconds can go by very fast.,0,,
30,0.97,209.075,211.945,And to make sure that you are using effective Handwashing techniques.,0,,
31,0.97,211.945,216.783,"If you do feel sick, please stay home.",0,,
32,0.97,216.783,223.289,This is for our team and every worker in the region.,0,,
33,0.97,223.289,226.392,The entire state has public health at the forefront of their mind right now.,0,,
34,0.97,226.392,227.627,We want your health to be detected.,0,,
35,0.97,227.627,246.679,"If you are concerned about your place of work, please note that there is Anti-Retaliation protections included in the paid sick and safe leave law applying to all workers in the state and we want to make sure that people use their paid sick and safe leave and they stay home if you are going sick.",0,,
36,0.97,246.679,257.156,"If you are concerned about retaliation or missing days work, if you have questions, let us know and we can direct you to the office of labor standards who can offer, who can answer some questions.",0,,
37,0.97,257.156,261.894,We will post more information about how to access sick leave.,0,,
38,0.97,261.894,272.839,"Continue to wipe down services that are commonly used in our chambers, for example, we will wipe down the Doorknobs, the tables where people come for public testimony.",0,,
39,0.97,272.839,279.145,"Practice the same hygiene of, in your place of work and at home.",0,,
40,0.97,279.145,285.652,What I tried to do is wipe the banisters and Doorknobs and wash our hands immediately when we come into the house.,0,,
41,0.97,285.652,288.254,"And Lastly as you've seen, please try to refrain from touching your face.",0,,
42,0.97,288.254,289.455,I know it is very hard.,0,,
43,0.97,289.455,303.069,"People who give that advice are often in the situation where you just by habit reach up, but this is extremely important because it is incredibly important to keep your hands away from your eyes and your mouth and nose.",0,,
44,0.97,303.069,311.044,Thank you for continuing to remind folks about the importance of keeping our hands away from your face.,0,,
45,0.97,311.044,319.986,We also note that there is a lot of misinformation out there about masks and gloves.,0,,
46,0.97,319.986,327.093,Please recognize that the public health officials from the CDC without the public health Seattle King County have asked us not to go out and rush to purchase masks.,0,,
47,0.97,327.093,330.196,Masks are important for people that have experienced any symptoms.,0,,
48,0.97,330.196,344.977,"It helps confine the particles within the individual who maybe sick, but it's not a helpful tool for those who are healthy.",0,,
49,0.97,344.977,357.323,"If you are concerned about getting the virus, please leave the masks to those who are already experiencing some symptoms and those that have the need for gloves and masks, they will be able to access Tem.",0,,
50,0.97,357.323,359.659,We will not accidentally use them for folks that are healthy.,0,,
51,0.97,359.659,370.436,We want to make sure that folks know that the city of Seattle activated the joint information center at 9 am to support operations related to Covid-19 response.,0,,
52,0.97,370.436,375.341,Public information officers are available to answer any media inquiries.,0,,
53,0.97,375.341,395.061,"The number to call for those inquiries is 206-233-5072, that is a public information officer that is able to talk about the Seattle joint information center that has been activated related to Covid-19 at 206-233- 5072.",0,,
54,0.97,395.061,399.866,I would encourage all Seattle residents and those who work in the region to sign up for Seattle alert.,0,,
55,0.97,399.866,403.87,This is available at alert .Seattle.,0,,
56,0.97,403.87,404.07,Gob.,0,,
57,0.97,404.07,409.776,This is the official emergency notification system.,0,,
58,0.97,409.776,426.793,A lot of people signed up last year when we had a significant amount of snow in the region and people want to know what the latest information was for shelters to stay warm . This is the Website you can sign up for and get alerts into the future.,0,,
59,0.97,426.793,430.296,"For those who are interested in getting updates, that is Seattle alert, it is Alert.Seattle.Gov.",0,,
60,0.97,430.296,444.977,You can get customized real-time Notifications via text and Email and voice message and social media during emergencies like these to ensure that you get the most recent public health updates.,0,,
61,0.97,444.977,457.69,Thank you for taking a moment to make sure we got that information out and we will share more information today at the 2 PM full briefing.,0,,
62,0.97,457.69,470.269,"And we will provide the most recent updates that we can from the CDC that is here from public health Seattle King County and Councilmember Lisa Herbold, we will look forward to that.",0,,
63,0.97,470.269,472.004,Did you have something to say about this?,0,,
64,0.97,472.004,487.386,"I wanted to add for folks with School-Aged children, there are currently no confirmed cases in Seattle public schools and the schools are monitoring health and attendance of students and staff and preparing for school operations in case of disruption.",1,,
65,0.97,487.386,497.83,"Mostly I want to remind parents that if your students are running a fever or feeling ill, please make sure you keep your children home and contact their Healthcare provider.",1,,
66,0.97,497.83,503.803,"And folks, I don't want to raise alarm bells unnecessarily.",2,,
67,0.97,503.803,518.784,"We know that this is similar to the flu, and many people are being diagnosed and will survive, and that, it's a huge survival rate.",2,,
68,0.97,518.784,525.758,We also want to recognize that the folks that have fallen ill and have graver consequences are those that have underlying health conditions and individuals who have compromised immune systems.,2,,
69,0.97,525.758,532.265,It is really important for those that have healthy immune systems to do everything we can to stay healthy and not spread the disease.,2,,
70,0.97,532.265,546.913,I want to make sure that nobody undermines the importance of not spreading the disease especially for those who have compromised immune systems and underlying health conditions.,2,,
71,0.97,546.913,552.118,That is why it's so important for us to remain healthy and practice good hygiene.,2,,
72,0.97,552.118,553.185,Thank you for the update.,3,,
73,0.97,553.185,554.754,We have an update from this morning.,3,,
74,0.97,554.754,560.493,"Just after 9:00, the Mayor's office released a mayoral directive on the issue and we will get that circulated.",3,,
75,0.97,560.493,563.229,Thank you to our chief clerk for circulating that as well.,3,,
76,0.97,563.229,568.034,"As we read through, we will share more information.",3,,
77,0.97,568.034,589.722,"In addition to making sure we share more information this afternoon, the Covid-19 or Coronavirus, we will also have a full agenda, a preview of today's agenda including some items from the Land-Use Committee, thank you for bringing those forward, Councilmember Dan Strauss . It will be exciting.",3,,
78,0.97,589.722,597.863,We will have an update from the four appointments for public safety and to appointments for the police Commission.,3,,
79,0.97,597.863,599.465,Thank you for the update from public safety.,3,,
80,0.97,599.465,605.371,"And Lastly, we will be considering a resolution to adopt the Seattle city council 2020 work program.",3,,
81,0.97,605.371,617.95,And another one adopting the statement of legislative intent to the 2020 adoptive budget and 2020 to 2015 approval budget.,3,,
82,0.97,617.95,624.991,"Mike Committee, Finance and housing will have our next meeting on March 3 at 9:30 A.M.",3,,
83,0.97,624.991,629.962,We will include the domestic worker standard boards and have a number of appointments to be considered.,3,,
84,0.97,629.962,636.802,And a briefing and possible vote on rent pending legislation and an update on that given the two-year moratorium that we've put into place.,3,,
85,0.97,636.802,644.777,"As folks know, there was an initial one-year prohibition on the use of rent pending platforms, that was passed in 2018 in response to concerns.",3,,
86,0.97,644.777,661.927,"Actually during my first week here from the Washington University students on the impact that the platforms would have on access to rental units in their area given the first in time law that they cast, that the council passed.",3,,
87,0.97,661.927,677.643,We've done a lot of work to appreciate the office of housing for the analysis of developing platforms.,3,,
88,0.97,677.643,679.812,We want to move forward with possible legislation to consider.,3,,
89,0.97,679.812,681.147,We also have two executive sessions this afternoon.,3,,
90,0.97,681.147,682.548,We will book in time for that.,3,,
91,0.97,682.548,690.656,And I will turn it over to the Council colleagues to give us an update on what is on your agenda this week and anything that is in front of us for the full council.,3,,
92,0.97,690.656,691.457,Councilmember Tammy J. Morales?,3,,
93,0.97,691.457,694.66,"There are no agenda items, no items from the community economic development committee.",4,,
94,0.97,694.66,700.266,We spent Friday in the District as we always do last week.,4,,
95,0.97,700.266,706.072,We were in Columbia city meeting with small businesses and we heard lots of issues about permitting.,4,,
96,0.97,706.072,716.482,And the request to try to streamline that process for small businesses.,4,,
97,0.97,716.482,724.59,I also heard a lot from folks about the need for more affordable commercial space and the need for smaller sized storefronts that are more affordable to some of our small businesses.,4,,
98,0.97,724.59,733.265,As we are looking through development projects.,4,,
99,0.97,733.265,734.7,That stuff we all keep in mind.,4,,
100,0.97,734.7,737.103,This week we will be in the Chinatown International district on Friday.,4,,
101,0.97,737.103,739.939,He will be meeting with folks at wing Luke and touring the businesses.,4,,
102,0.97,739.939,779.845,"Friday evening, I had the great pleasure of attending unity day at Townhall Seattle where we awarded Councilmember Gosset and Harold and Cecile Hansen the salute to greatness awards and I had the distinct pleasure of introducing the keynote Speaker speaking about unity and her call to action for all of us to remember that our individual responsibility to unity is to call out bias and make sure that we are active in the desire to have a more unified community.",4,,
103,0.97,779.845,785.351,I think that is it.,4,,
104,0.97,785.351,786.552,Thank you for the summary.,5,,
105,0.97,786.552,795.06,"Before we move on, if you don't mind, I want to make sure that we approve the minutes.",5,,
106,0.97,795.06,796.061,If there is no objection.,5,,
107,0.97,796.061,798.397,"The minutes from the February 24, 2020 meeting will be adopted.",5,,
108,0.97,798.397,800.566,"Hearing no objection, thank you very much.",5,,
109,0.97,800.566,810.743,"Councilmember Dan Strauss, please continue.",5,,
110,0.97,810.743,813.345,Thank you for your comments about how to address the Coronavirus.,6,,
111,0.97,813.345,830.596,"As I've spoken to my friends who are nurses, I am more than I can count on both hands, friends that are nurses, they remind me the importance of using Sanitizer, and that it does not kill, often times as many germs as washing your hands for 20 to 30 seconds.",6,,
112,0.97,830.596,833.999,Using hand Sanitizer as a backup is a great way to go about it.,6,,
113,0.97,833.999,838.103,Also don't replace washing your hands.,6,,
114,0.97,838.103,844.61,There are seven items from the Land-Use on the agenda.,6,,
115,0.97,844.61,845.044,Half the agenda.,6,,
116,0.97,845.044,849.715,We have been up to a lot of work in the Land-Use and neighborhoods to many.,6,,
117,0.97,849.715,857.089,Two landmarks designating ordinances imposing controls on Eagles and hall and the sunset telephone and Telegraph extreme.,6,,
118,0.97,857.089,866.565,"Two appointment in the landmarks preservation board, the reappointment of Nathan Carlson as director of Seattle construction and inspection.",6,,
119,0.97,866.565,878.811,"The clerk file associated with the Council bill for contract Rezone at 46 Union Bay place, reminder, this is a quasijudicial item.",6,,
120,0.97,878.811,882.514,"Council numbers should avoid Medications about the merits of the Rezone applications with proponents who are, or opponents.",6,,
121,0.97,882.514,889.154,"If you have had communications or if you have questions, please contact our central staff.",6,,
122,0.97,889.154,897.663,There are zero items in the introduction a referral.,6,,
123,0.97,897.663,901.934,"The next Land-Use and neighborhoods committee will be on Wednesday, March 11 at a special start time of 10:15 A.M.",6,,
124,0.97,901.934,908.44,I will be attending the high barriers were grew from 9 am to 10 am that morning.,6,,
125,0.97,908.44,910.776,We are pushing the meeting back by 45 minutes.,6,,
