index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.951999999999998,26.459,"Good morning, thank you for being with us it is October 26th 2020 this Council briefing meeting will come to order, the time is 9:34 A.M.",0,,
1,0.97,26.459,40.94,"Before we asked to take the role I want to let you know my office received notice that will be a unable to join us during Council briefing, she's feeling a little under the weather.",0,,
2,0.97,40.94,49.048,We hope she can join us at 2:00 during our full council meeting.,0,,
3,0.97,49.048,58.992,She does apologize to the guests for not being able to be here in person and we will go ahead and ask that the court please call the role.,0,,
4,0.97,58.992,91.925,[roll call] [roll call],1,,
5,0.97,91.925,96.196,Thank you.,2,,
6,0.97,96.196,106.94,I inadvertently forgot to state for the record Councilmember Juarez is unable to join us so we will make sure to have the record reflect she is excused for today.,2,,
7,0.97,106.94,116.115,"Approval of the minutes, the minutes of October 1920 20 will be adopted, hearing no objection the minutes are adopted.",2,,
8,0.97,116.115,122.956,"The Presidents report, just want to say good morning once again to everyone.",2,,
9,0.97,122.956,127.861,It feels good to be filling well and to be back with you all this morning.,2,,
10,0.97,127.861,142.275,Thank you for your patience and all of last week I was in and out of the virtual office due to feeling Unwell.,2,,
11,0.97,142.275,146.746,Thank you to all of you who reached out with well wishes and even offers of soup and food and magazines.,2,,
12,0.97,146.746,169.502,"A huge thank you to Councilmember Juarez for stepping in last Monday, I do appreciate her stepping up in that roll . at this afternoon's full council meeting we have a short agenda, we will consider payment of the bills, the introduction to referral calendar and our Council bill.",2,,
13,0.97,169.502,221.254,"We will also accept a public comment this afternoon and consistent with agenda the public comment period will be no more than 20 minutes, that does conclude my report and before a transition into a preview of today's council meeting where all Councilmembers provide, excuse me we will not be moving into a preview of today's city council actions and meetings we will be hearing a presentation on a couple of Council bills and we did want to note for the record unofficial welcome to this virtual space to many of our guests who will be presenting on these two important property transfer and/or lease bills that will be shepherded through by Councilmember Mosqueda.",2,,
14,0.97,221.254,245.645,"So, welcome from Africa town community land trust,--also we have several members of the executive's staff with us.",2,,
15,0.97,245.645,270.47,Patrice Thomas is an additional ad and we also want to make sure that we say thank you so much for being with us and I know Councilmember Mosqueda will have some opening remarks as soon as we transition to the next section and I apologize if I missed anybody.,2,,
16,0.97,270.47,282.615,You will all have an opportunity to introduce yourselves to us and again a warm welcome to each of you for joining us this morning on these important bills.,2,,
17,0.97,282.615,316.749,"Okay so we will have now a presentation on Council bills trend 20 and 119906 . before we begin this presentation I want to note an error in the agenda which incorrectly references the bill title, the current presentation title should read presentation on Council bills trend 20 and 119906 Africa town property lease and central area center property transfer.",2,,
18,0.97,316.749,326.526,"Again, a small error but the clerk's office wanted to make sure I corrected that for the record.",2,,
19,0.97,326.526,333.833,Again Presenters for the central district senior center property transfer include the director of the Department of neighborhoods.,2,,
20,0.97,333.833,337.27,The Office of planning and community development.,2,,
21,0.97,337.27,359.892,The executive director of the central area senior center and we will hear a presentation on fire station six property lease to Africa town community land and we will be joined by the director from the Department of neighborhoods and I read through the list of the Africa town representatives.,2,,
22,0.97,359.892,378.111,With that being said I will handed over to Councilmember Mosqueda the sponsor of these Council bills and offer an opportunity to make any introductory remarks before the presentation and Councilmember Mosqueda the floor is yours.,2,,
23,0.97,378.111,381.781,Thank you very much and good morning.,3,,
