index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.737,12.879,Roll.,0,,
1,0.97,12.879,16.015,"Unmute,.",0,,
2,0.97,21.321,25.959,Council member Morales.,1,,
3,0.97,25.959,39.606,"Council member Mosqueda, council member Peterson.",1,,
4,0.97,50.45,58.591,Council member Lewis.,1,,
5,0.97,58.591,60.894,Counsel President Gonzalez.,2,,
6,0.97,60.894,66.332,"If there is no objection, the minutes will be adopted.",3,,
7,0.97,66.332,71.037,Hearing no objection the minutes are adopted.,3,,
8,0.97,71.037,88.922,And I don't have a President's report today and we have a full agenda including an executive session at the end so I will dispense with the President report and we will move into a presentation by the Northwest Healthcare response network.,3,,
9,0.97,88.922,96.963,We have guests with us this morning that will share with us important information to the pandemic and Healthcare crisis we are experiencing.,3,,
10,0.97,96.963,106.573,"And before I handed over to our Presenters, I will hand it over",3,,
11,0.97,106.573,124.891,"We have with us today Onora lien, and Dr. Timothy Dellit, the chief medical officer with Uw medicine.",4,,
12,0.97,124.891,135.568,By office was asking questions over the last few weeks about the Healthcare systems ability to handle this unexpected surge in Covid-19 cases.,4,,
13,0.97,135.568,142.308,Our inquiries with public health let us to the Northwest Healthcare response network.,4,,
14,0.97,142.308,167.133,This is a nonprofit that steps into the space between individual Healthcare facilities and stitches together their individual efforts into a systemwide plan . Onora lien is joining us and she is the executive director of the Northwest Healthcare response network.,4,,
15,0.97,167.133,181.614,She has spent nearly 20 years working on Healthcare and public health preparedness initiatives in developing private partnerships to improve disaster resilience.,4,,
16,0.97,181.614,195.662,Before her appointment she served as the Healthcare coalition Healthcare manager and has Overseen Healthcare initiatives.,4,,
17,0.97,195.662,207.674,Shows research and policy analyst in Baltimore at Johns Hopkins.,4,,
18,0.97,207.674,252.285,She holds an Ma in sociology from Johns Hopkins University where her research focused on the individual and organizational aspects of public health emergency and disasters . We are also joined by Dr. Timothy Dellit and he is the Uw medical--Uw medicine chief medical officer . He is an expert in general infectious diseases and prevention of Healthcare associated infections.,4,,
19,0.97,252.285,286.953,He earned his MD from Cornell University medical college and is board certified . The presentation slides for today's presentation were Emailed to offices yesterday and you should have a copy in your Inbox.,4,,
20,0.97,286.953,306.773,I want to give my sincere thanks to the speakers for taking time out at this very time to share your insights with the city council.,4,,
21,0.97,306.773,312.011,Thank you for that introduction.,5,,
22,0.97,312.011,334.3,"I want to remind people that if they do have questions, you can let me know through the chat function and just tell me that you have a question in this presentation will run until 10:15 A.M.",5,,
23,0.97,334.3,342.608,So we can stay on track with today's agenda.,5,,
24,0.97,342.608,343.676,"So with that being said,",5,,
25,0.97,343.676,346.079,Thank you.,6,,
26,0.97,346.079,351.517,I'm going to take a moment--I appreciate the invitation and offered to join this morning.,6,,
27,0.97,351.517,359.292,"I am Onora lien, executive director of the Northwest Healthcare response network.",6,,
28,0.97,359.292,361.728,I will share my slides and confirm that you are able to,6,,
29,0.97,361.728,363.496,Yes.,7,,
30,0.97,363.496,375.108,"Again, I appreciate the opportunity to be with you and let me see if I can make it work on my end.",8,,
31,0.97,375.108,383.049,So I know we--I appreciate the update in terms of when we need to wrap up our remarks.,8,,
32,0.97,383.049,395.027,I want to give some background on who we are.,8,,
33,0.97,395.027,412.078,When we think about planning it is important to think about what we are doing at a regional level and in collaboration with the States.,8,,
34,0.97,412.078,429.595,"We were here about some of the perspective from Uw medicine, but I also asked Dr. Timothy Dellit to join us because of the partnership that we have with Uw medicine to develop regional capabilities which will speak about later in the presentation.",8,,
