index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,1.334,1.401,.,0,,
1,0.97,1.401,5.405,The committee will come to order.,1,,
2,0.97,5.405,8.908,It is 9:32 A.M.,1,,
3,0.97,8.908,12.545,I'm Tammy Morales chair of the committee.,1,,
4,0.97,12.545,17.317,Please call the roll.,1,,
5,0.97,17.317,21.287,Council member Juarez.,2,,
6,0.97,21.287,21.521,Mere.,3,,
7,0.97,21.521,24.224,Council member Pedersen.,4,,
8,0.97,24.224,24.824,Here.,5,,
9,0.97,24.824,26.693,Countermember lieu BIS.,6,,
10,0.97,26.693,27.027,Chair Morales.,6,,
11,0.97,27.027,27.293,Here ..,7,,
12,0.97,27.293,28.328,Three present.,8,,
13,0.97,28.328,38.938,I want to note for the record Council member Sawant is excused.,9,,
14,0.97,38.938,42.108,"Hey, council member Morales, this is Council member Lewis on the phone.",10,,
15,0.97,42.108,45.678,I'm trying to get it to work on the computer.,10,,
16,0.97,45.678,52.485,"So in the meantime, I'll be on this way while I'm trying to work that out.",10,,
17,0.97,52.485,53.453,Appreciate it.,11,,
18,0.97,53.453,56.489,"Thank you for joining us, council member Lewis.",11,,
19,0.97,56.489,56.756,Yeah.,12,,
20,0.97,56.756,62.362,We have one item on the agenda.,13,,
21,0.97,62.362,65.732,We'll do a public hearing and we will discuss amendments.,13,,
22,0.97,65.732,69.502,We will approve the agenda for the committee meeting.,13,,
23,0.97,69.502,73.74,"If no objection, the agenda will be adopted.",13,,
24,0.97,73.74,75.575,"Hearing no objection, it is adopted.",13,,
25,0.97,75.575,82.415,Would you read the short version of the item into the record.,13,,
26,0.97,82.415,82.549,.,13,,
27,0.97,82.549,83.45,Council bill 119779.,14,,
28,0.97,83.45,89.756,"An ordinance establishing a new University district parking and business improvement area, B.I.",14,,
29,0.97,89.756,91.558,A. public hearing and discussion.,14,,
30,0.97,91.691,93.46,Thank you.,15,,
31,0.97,93.46,93.66,Okay.,15,,
32,0.97,93.66,101.568,"At this time, we will open the remote public hearing for the U district B.I.A.",15,,
33,0.97,101.568,101.935,Reauthorization.,15,,
34,0.97,101.935,106.372,"If time allows, central staff will present the amendments for discussion only.",15,,
35,0.97,106.372,111.377,The Office of economic development will be present for technical purposes.,15,,
36,0.97,111.377,121.754,"Before we begin the public hearing, I ask everyone be patient as we learn to operate the new system in Realtime and we navigate the inevitable growing pains of this process.",15,,
37,0.97,121.754,146.346,"While it remains our strong intent to have public comment regularly included, the city council reserves the right to end or eliminate the periods if we deem the system is abused or unsuitable for allowing the meetings to be conducted efficiently and in a manner to conduct the business.",15,,
38,0.97,146.346,150.783,My staff and I will moderate the public comment period in the following manner.,15,,
39,0.97,150.783,153.353,Each Speaker given one minute to speak.,15,,
40,0.97,153.353,161.161,I'll call on each Speaker by name in the order on this appear on the registered Council Website.,15,,
41,0.97,161.161,167.233,"If you have not registered and would like to speak, please do so.",15,,
42,0.97,167.233,171.871,Sign up before the end of the period on the city council Website.,15,,
43,0.97,171.871,174.34,The public link is on the agenda.,15,,
44,0.97,174.34,188.421,"Once I call the Speaker's name, staff will Unmute the appropriate Mic and an automatic prompt of ""You have been Unmuted"" will be the Cue it's your turn to speak.",15,,
