index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.783,27.66,"The March 9, 2022 meeting of the Seattle city council economic development technology and city light committee will come to order.",0,,
1,0.97,27.66,30.23,We have four items on our agenda and it is 9:31.,0,,
2,0.97,30.23,35.568,"I am Councilmember Nelson, chair of the committee.",0,,
3,0.97,35.568,37.971,Councilmember Strauss.,1,,
4,0.97,37.971,39.005,Present.,1,,
5,0.97,39.005,40.673,Councilmember Herbold.,1,,
6,0.97,40.673,47.781,Present.,1,,
7,0.97,47.781,51.551,Five present.,1,,
8,0.97,51.551,55.054,If there is no objection the agenda will be adopted.,2,,
9,0.97,55.054,60.593,Hearing no objection the agenda is adopted.,2,,
10,0.97,60.593,62.128,At this time we will now go into public comments.,2,,
11,0.97,62.128,69.602,For the items on the agenda today.,2,,
12,0.97,69.602,72.505,I thank everyone for their patience and cooperation as we operate remote public comment system.,2,,
13,0.97,72.505,80.513,I will moderate in the following manner.,2,,
14,0.97,80.513,83.216,The public comment period for this meeting is up to 20 minutes and with each Speaker having up to two minutes to speak.,2,,
15,0.97,83.216,91.691,"There are only, there are three people on the list right now.",2,,
16,0.97,91.691,103.67,Speakers are called upon in the order in which they are registered Online to provide public comment . Each Speaker must call in from the phone number provided when registered and use the Id and Passcode that was Emailed.,2,,
17,0.97,103.67,109.642,This is different from the general was in line.,2,,
18,0.97,109.642,112.345,If you did not receive an Email confirmation check your Spam and junk mail folders.,2,,
19,0.97,112.345,124.057,I will: each Speaker by name and in the order in which they are registered.,2,,
20,0.97,124.057,128.895,If you have not registered to speak that will would like to you could sign up before the end of public comment by going to the Council's Website.,2,,
21,0.97,128.895,139.772,The public comment link is also listed on today's agenda.,2,,
22,0.97,139.772,143.81,"Once I call a Speaker's name staff will Unmute the appropriate microphone and the automatic prompt of, you have been Unmuted will be the Q it is your turn to speak.",2,,
23,0.97,143.81,150.116,And in turn the Speaker must press Star six to begin speaking.,2,,
24,0.97,150.116,153.553,Please begin speaking by stating your name and the item you are addressing.,2,,
25,0.97,153.553,157.957,Speakers will hear a time when 10 seconds are left at the allotted time.,2,,
