index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.467,10.443,♪,0,,
1,0.97,12.245,15.048,Welcome to the 2021 meeting.,1,,
2,0.97,15.048,21.755,The time is 9:32 A.M.,1,,
3,0.97,21.755,22.355,I am Alex Peterman.,1,,
4,0.97,22.355,26.893,Úcouncil member Gonzalez and Councilman the Strauss are excused.,1,,
5,0.97,26.893,30.83,"Thank you, consummate the Wallace for being here as long as you can in your role as alternate committee member.",1,,
6,0.97,30.83,32.899,Will the clerk please call the role?,1,,
7,0.97,32.899,35.969,Councilmember Herbold?,2,,
8,0.97,35.969,36.569,Here.,3,,
9,0.97,36.569,40.407,Council member Juarez?,4,,
10,0.97,40.407,40.707,Here.,5,,
11,0.97,40.707,44.077,Member Morales?,6,,
12,0.97,44.077,44.878,Here.,7,,
13,0.97,44.878,46.98,4 present.,8,,
14,0.97,46.98,52.886,Thank you.,9,,
15,0.97,52.886,54.621,The next item is approval of the agenda.,9,,
16,0.97,54.621,60.927,"If there is no objection, I would like to move item 1 down to item number 2. we have a couple guests who will be joining us shortly.",9,,
17,0.97,60.927,69.302,"So, no objection, we will start with the second item which is the Swedish hospital items.",9,,
18,0.97,69.302,72.705,"Hearing no objection, the revised agenda is adopted.",9,,
19,0.97,72.705,73.006,Morning.,9,,
20,0.97,73.006,92.025,"We have got 10 items on the agenda today which will encourage us to keep discussions succinct, so we can potentially vote on the nine out of 10 items during the next 2 1/2 hours.",9,,
21,0.97,92.025,128.761,"I am looking forward to the first but now second item, which is also member Walruses--at this time, we would open the remote public comment.",9,,
22,0.97,128.761,138.905,We are continuously looking for ways to find tune the process of public participation.,9,,
23,0.97,138.905,142.008,It remains strong intent of city Council to have public comment regularly included on meeting Agendas.,9,,
24,0.97,142.008,150.717,"However, we reserve the right to modify these public comments at any point if we deem it is being abused or unsuitable for allowing meetings to be conducted efficiently and in a manner in which we are able to conduct necessary business.",9,,
25,0.97,150.717,156.789,I will moderate in the following manner.,9,,
26,0.97,156.789,159.926,The comment time is up to 20 minutes.,9,,
27,0.97,159.926,161.694,Each Speaker will be given two minutes to speak.,9,,
