index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.715,22.455,"It is 9:31, and I'm Sharra Nelson.",0,,
1,0.97,22.455,29.896,Will the clerk please call the role.,0,,
2,0.97,29.896,30.43,Councilmember Sawant.,1,,
3,0.97,30.43,30.697,Present.,1,,
4,0.97,30.697,34.968,Councilmember Herbold.,2,,
5,0.97,34.968,38.538,Council President Juarez.,2,,
6,0.97,38.538,38.805,Here.,3,,
7,0.97,38.805,39.172,Nelson.,4,,
8,0.97,39.172,39.472,Present.,5,,
9,0.97,39.472,41.007,Three present.,6,,
10,0.97,41.007,45.478,"Thank you, team.",7,,
11,0.97,45.478,48.915,"For the record, Councilmember Dan Strauss is excused from today's meeting.",7,,
12,0.97,48.915,52.986,So I am excited to have our first meeting in chambers today.,7,,
13,0.97,52.986,64.03,"While I recognize that we're still dealing with the pandemic, front line workers have been on the job, in person, keeping city government and the city as a whole running.",7,,
14,0.97,64.03,83.716,"And we're public servants, and I believe that the public is best served with In-Person meetings, because they facilitate a clear meeting and the public can see our interactions.",7,,
15,0.97,83.716,92.792,"If I don't see you on the screen, please just speak out.",7,,
16,0.97,92.792,98.932,"Let's see, public meetings are also important in person, because reporters get immediate access.",7,,
17,0.97,98.932,106.072,"All that said, we have a hybrid model to accommodate vulnerable people, and to accommodate people who are traveling.",7,,
18,0.97,106.072,117.884,So I ask for your grace as we drive this technology for the first time there are three items on today's agenda.,7,,
19,0.97,117.884,124.357,The first is for an equitable economy.,7,,
20,0.97,124.357,132.332,The second is our first discussion of Seattle city light's 2023 to 2028 strategic plan and rate path.,7,,
21,0.97,132.332,153.453,And the third is a discussion and possible vote on an ordinance authorizing city light to execute an agreement with the Skagit environmental endowment Commission here forth referred to as SEEC.,7,,
22,0.97,153.453,159.526,"To let's see, convey funds, and city light funds to protect the Skagit watershed.",7,,
23,0.97,159.526,164.43,"First, I have a public service announcement from our utilities.",7,,
24,0.97,164.43,180.046,"As city light and Seattle public utilities work to inform available to help with utility bills, there has been an increase in scam reports of people posing as representatives of the city.",7,,
25,0.97,180.046,185.785,Seattle city light and utilities will not call customers to demand personal information.,7,,
26,0.97,185.785,196.896,"If someone calls demanding payment, rather than working with you to establish a payment plan, that is a scam.",7,,
27,0.97,196.896,203.503,Customers who believe they've been called by a Scammer should call to verify their account.,7,,
28,0.97,203.503,203.803,All right.,7,,
29,0.97,203.803,204.871,Moving onto the agenda.,7,,
30,0.97,204.871,212.145,"If there's no objection, the agenda will be adopted.",7,,
31,0.97,212.145,215.014,"Hearing no objection, the agenda is adopted.",7,,
32,0.97,215.014,223.323,We'll now move onto public comment on the items listed on the agenda.,7,,
33,0.97,223.323,226.092,Let's see.,7,,
34,0.97,226.092,231.23,Councilmember Herbold has joined the committee.,8,,
35,0.97,231.23,234.634,Welcome Councilmember Herbold.,9,,
36,0.97,234.634,245.378,"Okay, we're ready for the new Video.",9,,
37,0.97,264.897,269.035,Council WELCOMES remote public comment.,10,,
38,0.97,269.035,275.141,"You may register two hours prior to the meeting, via the Seattle city council Website.",10,,
39,0.97,275.141,277.777,Here's some information about the public comment proceedings.,10,,
40,0.97,277.777,282.982,Speakers are called upon in the order in which they registered on the Council's Website.,10,,
41,0.97,282.982,294.661,"Each Speaker must call in from the phone number provided when they registered Online, and used the meeting Id and pass code that was Emailed upon confirmation.",10,,
42,0.97,294.661,301.901,"If you did not receive an Email confirmation, please check your Spam or junk mail folders.",10,,
43,0.97,301.901,308.574,"A remainder, the Speaker meeting Id is different from the general listen line meeting Id provided on the agenda.",10,,
44,0.97,308.574,320.787,"Once a Speaker's name is called, the Speaker's microphone will be Unmuted, and an automatic prompt will say the host would like you to Unmute your microphone.",10,,
45,0.97,320.787,324.891,That is your Cue that it is your turn to speak.,10,,
46,0.97,324.891,331.264,"At that time, you must press Star 6. you would then hear a prompt of you are Unmuted.",10,,
47,0.97,331.264,335.802,"Be sure your phone is Unmuted on your end, so that you will be heard.",10,,
48,0.97,335.802,340.973,"As a Speaker, you should begin by stating your name and the item you are addressing.",10,,
49,0.97,340.973,354.087,A Chime will sound when there are 10 seconds left in your allotted time as a Genter reminder to wrap up your public comments.,10,,
50,0.97,354.087,360.059,"At the end of your allotted time, the microphone will be muted.",10,,
51,0.97,360.059,371.003,"Please Disconnect from the public comment line and join us by following the meeting via Seattle channel broadcast, or through the listening option on the agenda.",10,,
52,0.97,371.003,382.548,The Council reserves the right to eliminate public comment if the system is being abused.,10,,
