index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.74,9.909,Thank you.,0,,
1,0.97,9.909,14.614,"For December 6th, 2021 meeting of the Seattle city council will come to order.",0,,
2,0.97,14.614,16.816,It is 2:00 P.M.,0,,
3,0.97,16.816,22.222,"I am Shamus want, president pro Tem of the Council.",0,,
4,0.97,22.222,26.793,Will the clerk please call the roll?,0,,
5,0.97,26.793,36.202,[roll being called],0,,
6,0.97,36.202,39.406,Seven present.,1,,
7,0.97,39.406,41.408,Thank you.,2,,
8,0.97,41.408,45.245,"If there's no objection, council real I.D.",2,,
9,0.97,45.245,59.159,Two related to the Council President pro Tem designation will be suspended to allow Councilmember Herbold to act as Council President pro Tem and preside over today's meeting.,2,,
10,0.97,59.159,64.764,"Hearing no objection, the roles are suspended and Councilmember Herbold will preside over today's meeting as Council President pro Tem.",2,,
11,0.97,64.764,68.468,"Thank you so much, good afternoon.",3,,
12,0.97,68.468,70.737,Moving on to the agenda.,3,,
13,0.97,70.737,75.041,I am not aware of any presentations for today.,3,,
14,0.97,75.041,77.811,Moving on to approval of the minutes.,3,,
15,0.97,77.811,89.389,"The minutes of the Seattle city council meeting of November 15th, 22nd, and November 29th, have been reviewed.",3,,
16,0.97,89.389,93.159,There is no objection.,3,,
17,0.97,93.159,98.097,"The minutes of November 15th, 22nd and 29th will be signed.",3,,
18,0.97,98.097,102.802,"Hearing no objections, the minutes are being signed.",3,,
19,0.97,102.802,107.006,Will the clerk please affix my signature to the minutes?,3,,
20,0.97,107.006,110.109,Thank you.,3,,
21,0.97,110.109,112.278,Moving on now to approval of the introduction and referral calendars.,3,,
22,0.97,112.278,118.885,"If there is no objection, the introduction and referral calendar will be adopted.",3,,
23,0.97,118.885,124.491,"Hearing and seeing no objection, the introduction and referral calendar is adopted.",3,,
24,0.97,124.491,128.394,Moving on to approval of the agenda.,3,,
25,0.97,128.394,132.699,"If there is no objection, the agenda will be adopted.",3,,
26,0.97,132.699,136.903,"Hearing no objections, the agenda is adopted.",3,,
27,0.97,136.903,145.545,Now we will be moving into the remote public comment period for the items on the city council agenda.,4,,
28,0.97,145.545,150.049,"The introduction and referral calendar, and the Council's work program.",4,,
29,0.97,150.049,159.659,I think everyone for their ongoing patients and cooperation as we continue to operate this remote public comment system.,4,,
30,0.97,159.659,165.865,It remains a strong intent of the city Council to have remote public comment regularly included on meeting Agendas.,4,,
31,0.97,165.865,180.88,"As a reminder, the Council reserves the right and or eliminating the comment period if we deem the system is being abused, or is no longer suitable for allowing our meeting to be conducted efficiently and effectively.",4,,
32,0.97,180.88,185.985,I will moderate the public comment period in the following manner.,4,,
33,0.97,185.985,191.09,"The public comment period for this meeting is 20 minutes, and each Speaker will be given two minutes to speak.",4,,
34,0.97,191.09,202.802,Speakers are called upon in the order in which they registered to provide public comment on the Council's Website.,4,,
35,0.97,202.802,210.343,"Each Speaker must call in from the phone number used for this registration and using the meeting phone number, i.d., and Passcode Emailed to them upon confirmation.",4,,
36,0.97,210.343,217.183,This is different than the general meeting listen line call in information.,4,,
37,0.97,217.183,235.034,"I will call each Speaker by name, and in the order they registered on the Council Website if you have not registered to speak, but would like to do so, and you can sign up before the end of public comment, by going to the Council's Website at Council @ Seattle.Gov/Counsel.",4,,
38,0.97,235.034,237.937,Is also on today's agenda.,4,,
39,0.97,237.937,249.415,"Once I call a Speaker's name, staff will Unmute the appropriate microphone and an automatic prompt of you have been Un-Muted will be the Speaker's Queue that it is their turn to speak.",4,,
40,0.97,249.415,255.421,"Them, the Speaker must press Star six to begin speaking.",4,,
41,0.97,255.421,261.561,"Please begin by stating your name, and the item that you are addressing.",4,,
42,0.97,261.561,272.271,"As a reminder, public comment should relate to an item on today's agenda, introduction and referral calendar, or the Council's work program.",4,,
43,0.97,272.271,274.974,You will hear a Chime when 10 seconds are left of the allotted time.,4,,
44,0.97,274.974,280.78,Once you hear that Chime you ask to really--wrap up your comments.,4,,
45,0.97,280.78,289.188,"If Speaker cannot end their comments at the end of the allotted time provided, the Speaker's microphone will be muted to allow us to call on the Mac Speaker.",4,,
46,0.97,289.188,299.699,"Once you've completed your public comment we ask that you please Disconnect from the line and if you plan to continue following the meeting, we encourage you to do so via the Seattle channel for the listening options listed on the agenda.",4,,
47,0.97,299.699,319.719,"One special NOTE for today, if you are wanting to speak to Council bill 120213, which is legislation, council bill extending the moratorium regarding multiple homes Park, please NOTE there is a separate for this item.",4,,
48,0.97,319.719,322.388,It will follow after the conclusion of public comment.,4,,
49,0.97,322.388,331.297,Please make comments on this bill during the public hearing for this item so that they are for the record for this particular bill.,4,,
50,0.97,331.297,340.44,"Again, people who are scheduled for comment on Council bill 120213, do not do so in this next public comment period.",4,,
51,0.97,340.44,350.616,Do so at the public hearing following item on the agenda that corresponds to that item.,4,,
