index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.642,11.945,"Good morning, everyone.",0,,
1,0.97,11.945,14.848,"Today is July 15th, 2020.",0,,
2,0.97,14.848,16.349,And it is 10:03 A.M.,0,,
3,0.97,16.349,26.793,"I'm Teresa Mosqueda, chair of the select budget committee for the Seattle city council.",0,,
4,0.97,26.793,27.06,Lewis.,1,,
5,0.97,27.06,30.864,Lewis.,2,,
6,0.97,30.864,31.364,Present.,3,,
7,0.97,31.364,37.704,Sorry about that.,3,,
8,0.97,37.704,38.271,Present.,3,,
9,0.97,38.271,42.409,Thank you.,4,,
10,0.97,42.409,43.777,Morales.,4,,
11,0.97,43.777,44.077,Here.,5,,
12,0.97,44.077,44.377,Pedersen.,5,,
13,0.97,44.377,44.644,Here.,6,,
14,0.97,44.644,45.578,Swant.,7,,
15,0.97,45.578,50.55,Here.,8,,
16,0.97,50.55,50.85,Strauss.,9,,
17,0.97,50.85,53.586,Present.,10,,
18,0.97,53.586,56.489,Mosqueda.,11,,
19,0.97,56.489,61.494,Seven present.,12,,
20,0.97,61.494,71.704,My apology apologies.,13,,
21,0.97,71.704,72.038,I'm present.,13,,
22,0.97,72.038,72.639,This is Lisa Herbold.,13,,
23,0.97,72.639,76.609,It appears that we have lost our chair.,13,,
24,0.97,76.609,85.285,"So Tech folks, can you give me a sense of where we're at with getting Council member Mosqueda back on the line.",13,,
25,0.97,85.285,89.422,I did notice that too about two seconds ago.,14,,
26,0.97,89.422,94.227,It looks like she is logging back in.,15,,
27,0.97,94.227,94.461,So --,15,,
28,0.97,94.461,95.628,Okay.,16,,
29,0.97,95.628,97.63,Thanks so much.,17,,
30,0.97,97.63,98.231,Appreciate it.,18,,
31,0.97,98.231,98.932,No problem.,19,,
32,0.97,98.932,106.606,"For folks hanging on, we've going to give Council member Mosqueda an opportunity to get oriented again.",20,,
33,0.97,106.606,115.949,And I will filibuster in the meantime.,20,,
34,0.97,115.949,121.221,Your Audio is not working.,20,,
35,0.97,121.221,123.923,Apologies to folks watching us.,20,,
36,0.97,123.923,129.395,We are having a little bit of a technology challenge at the moment.,20,,
37,0.97,129.395,138.571,"Appreciate your patience, including those folks that are waiting to give public comment this morning.",20,,
38,0.97,138.571,141.407,Sorry for the slight delay here.,20,,
39,0.97,153.82,158.324,It looks like she is having some issues with the technology.,20,,
40,0.97,160.326,165.265,Unfortunately I don't have the chair's script.,20,,
41,0.97,165.265,170.203,So I'm going to suggest that we go into Recess for just a quick moment.,20,,
42,0.97,170.203,178.912,If we can stop the recording and just go into Recess for about five minutes to address some of the technology issues.,20,,
43,0.97,178.912,182.048,That would be greatly appreciate.,20,,
44,0.97,182.048,185.051,I see that Seattle channel is no longer record.,20,,
45,0.97,185.051,185.652,I appreciate that.,20,,
46,0.97,185.652,194.06,Let's stand by to give chair Mosqueda a minute to Troubleshoot her technology.,20,,
47,0.97,410.376,412.345,I apologize for that.,21,,
48,0.97,412.345,416.916,I want to thank Council president for going into a Recess.,21,,
49,0.97,416.916,421.454,How many more minutes until the Recess is over.,21,,
50,0.97,421.454,422.054,Five minutes has expired.,22,,
51,0.97,422.054,423.356,All right.,23,,
52,0.97,423.356,430.863,"Before we get started, let me make sure I sound fine.",23,,
53,0.97,440.973,441.908,Okay.,24,,
54,0.97,441.908,444.177,"Good morning, again, everyone.",24,,
55,0.97,444.177,444.877,Sorry for the interruption.,24,,
56,0.97,444.877,449.449,We are resuming our select budget committee.,24,,
57,0.97,449.449,452.185,"Today is July 15th, 2020.",24,,
58,0.97,452.185,454.287,The clerk has read the roll.,24,,
59,0.97,454.287,459.759,Madam clerk will you identify how many Council members we have here present with us.,24,,
60,0.97,459.759,460.793,Eight present.,25,,
61,0.97,460.793,462.295,"Thank you, Madam clerk.",26,,
62,0.97,462.295,468.301,Is there anybody who has joined us late that didn't get a chance to say present because I am present now.,26,,
63,0.97,471.804,472.004,Okay.,26,,
64,0.97,472.004,472.738,Thank you Madam clerk.,26,,
65,0.97,472.738,477.877,Again it is our intent to have public comment at the beginning of every select budget committee.,26,,
66,0.97,477.877,481.747,And there is a lot of people signed up for today's public comment.,26,,
67,0.97,481.747,483.349,The first item is public comment.,26,,
68,0.97,483.349,485.651,I'm going to get right into that.,26,,
69,0.97,485.651,489.789,We will open public comment for the period of at least 45 minutes.,26,,
70,0.97,489.789,492.992,"Given the delay, I may add additional time.",26,,
71,0.97,492.992,496.729,The public comment period will be given 45 seconds for each person to speak.,26,,
72,0.97,496.729,504.704,I will call three speakers at a time in the order in which they are registered on the list today.,26,,
73,0.97,504.704,508.274,Giving precedent to Seattle residents and then going to the remaining speakers.,26,,
74,0.97,508.274,517.25,"If you would like to sign up, you can.",26,,
75,0.97,517.25,521.32,That's your Cue to begin speaking Whe you've been Unmuted.,26,,
76,0.97,521.32,525.925,Speak with your name and the topic that you're here to address.,26,,
77,0.97,525.925,532.532,You will hear a Chimer when your time is over to wrap up your comments.,26,,
78,0.97,532.532,537.67,Hang up and connect again to watch the rest of the meeting through the listen in line or Seattle Channel.,26,,
79,0.97,537.67,541.641,All of these options are listed on our agenda for today.,26,,
80,0.97,541.641,549.815,The public comment period is now open and we will begin with the first three speakers on the list.,26,,
81,0.97,549.815,553.786,"Apologies for the delays, folks.",26,,
82,0.97,553.786,554.253,"Maya, Sarah Bender.",26,,
83,0.97,554.253,557.69,Welcome and thank you for waiting.,26,,
84,0.97,557.69,558.925,"Maya, please begin.",26,,
85,0.97,558.925,568.067,My name is Maya and I grew up in D5.,27,,
86,0.97,568.067,569.035,Did I demanding.,27,,
87,0.97,569.035,593.392,We as a city are in the housing and--the 1923 zoning law that's formulated the Residenttial zoning code to exclude black people from Seattle neighborhoods and brought us a housing shortage.,27,,
88,0.97,593.392,600.299,Activists know and live the legacies and calling on the elected officials to implement a solution.,27,,
89,0.97,600.299,604.503,Defund SPD.,27,,
90,0.97,604.503,604.837,Thank you.,28,,
91,0.97,604.837,605.171,Sarah Bender.,28,,
92,0.97,605.171,606.906,Welcome.,28,,
93,0.97,606.906,613.613,My name is Sarah Bender.,29,,
94,0.97,613.613,614.413,I'm a community member.,29,,
95,0.97,614.413,622.421,Cutting SPD by 50% will result 3 #5 days per year that is not enough to serve the needs of community members even with other systems in place.,29,,
96,0.97,622.421,625.725,What is your plan if some major crisis occurs.,29,,
97,0.97,625.725,629.662,Are you prepared to be held accountability for a lack of emergency response.,29,,
98,0.97,629.662,636.702,The funding can be directed to other community support dedicated to prevent crime it should be done over time and with intention.,29,,
99,0.97,636.702,645.211,"Please consider reviewing the Department's proposed budgets at 20% cut, 30%, et cetera.",29,,
100,0.97,645.211,656.188,Please slow down and involve more people at the table to collaborate to come up with an action to care for Seattle community members.,29,,
101,0.97,656.188,656.922,Thank you.,29,,
102,0.97,656.922,657.39,"Thank you, Sarah.",30,,
103,0.97,657.39,657.723,Erin.,30,,
104,0.97,657.723,660.359,Welcome.,30,,
105,0.97,660.359,661.594,Hi.,31,,
106,0.97,661.594,662.795,My name is Aaron Mandel.,31,,
107,0.97,662.795,677.81,I'm a live long resident of district 6. I'm attending the budget hearing in support of Defunding the Seattle police department by 50% and reinvesting in community solutions.,31,,
108,0.97,677.81,681.614,We need to invest in solutions.,31,,
109,0.97,681.614,704.437,"In addition to Defunding police SPD by 50%, I urge Council member to support the four point plan for community reinvestment of the funds to replace current 911 systems with a community system, and invest in housing for all.",31,,
110,0.97,704.437,707.406,Please support Defunding SPD and don't let --,31,,
111,0.97,707.406,708.774,"Thank you, Aaron.",32,,
112,0.97,708.774,717.616,"The next three speakers are Lucas, Robert and Mike.",32,,
113,0.97,717.616,717.883,Welcome.,32,,
114,0.97,717.883,718.25,Good morning.,32,,
115,0.97,718.25,719.018,I'm Lucas.,33,,
