index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.107,16.916,♪ ♪,0,,
1,0.97,16.916,23.123,"Thank you very much, good morning, everyone.",1,,
2,0.97,23.123,28.027,"It is Tuesday, I am Teresa Mosqueda, the time is nine 131 A.M.",1,,
3,0.97,28.027,29.329,The committee meeting will come to order.,1,,
4,0.97,29.329,31.531,Will the clerk please call the role?,1,,
5,0.97,31.531,32.332,Vice-Chair Herbold?,2,,
6,0.97,32.332,34.968,Here.,3,,
7,0.97,34.968,37.871,Council President mother Alice?,4,,
8,0.97,37.871,42.542,Councilmember Lewis?,5,,
9,0.97,42.542,43.543,Consummate the stress?,6,,
10,0.97,43.543,43.943,Excused.,7,,
11,0.97,43.943,68.701,"Chair must get a, that is for present, one excused.",8,,
12,0.97,68.701,69.769,Thank you very much.,9,,
13,0.97,69.769,71.204,Our alternate is also excused today.,9,,
14,0.97,71.204,72.372,There will be four of us.,9,,
15,0.97,72.372,75.008,"When we are joined by other Councilmembers, we will make sure to announce them.",9,,
16,0.97,75.008,79.879,"I expect other Council members to join us as we deliberate the select budget committee--excuse me, on the supplemental budget items.",9,,
17,0.97,79.879,83.883,These are items where we invite other committee members to join us so we can have a more robust discussion.,9,,
18,0.97,83.883,85.185,We will announce them when they join.,9,,
19,0.97,85.185,86.586,We have a full agenda today.,9,,
20,0.97,86.586,87.387,Thank you for joining us.,9,,
21,0.97,87.387,89.222,We will make sure to adjourn by 1:00 P.M.,9,,
22,0.97,89.222,92.892,We will begin today's meeting with public comment period we have a hard end time at 10:00 A.M.,9,,
23,0.97,92.892,95.128,We will get there is many people signed up as possible.,9,,
24,0.97,95.128,96.162,We will go into appointments.,9,,
25,0.97,96.162,98.398,We have three Reappointments to the community roots housing board.,9,,
26,0.97,98.398,109.976,"We have a briefing on the revenue forecast from the budget office, then we will have a briefing and possible vote on the midyear grant acceptance ordinance and the midyear supplemental ordinance.",9,,
27,0.97,109.976,120.52,That will be for about an hour.,9,,
28,0.97,121.588,126.426,"Then the remaining hour of our committee meeting, we will have brief on the multifamily tax exemption annual report and extension legislation.",9,,
29,0.97,126.426,137.57,We will have another 20 minute briefing on the possible vote to authorize the new lease for the report to make sure we are creating additional tiny House villages on public owned land.,9,,
30,0.97,137.57,142.642,"And finally, we will end with a 20 minute presentation from the Finance and services Department on the race and social justice service report.",9,,
31,0.97,142.642,149.549,"If there is no objection, today's agenda will be adopted.",9,,
32,0.97,149.549,151.184,"Hearing no objection, today's agenda is adopted.",9,,
33,0.97,151.184,152.585,Let's get with public comment.,9,,
34,0.97,152.585,159.859,We have quite a few folks signed up for public comment period.,9,,
35,0.97,159.859,162.095,Please adjust your remarks accordingly.,9,,
36,0.97,162.095,173.373,"If you don't get through your comment, feel free to send those at Council @ Seattle.Gov.",9,,
37,0.97,173.373,177.377,"Again, as a reminder, the public comment period will end at 10:00 A.M.",9,,
38,0.97,177.377,179.612,You will hear a Chime at the end of your one minute.,9,,
39,0.97,179.612,181.681,That is your indication to wrap up your comment.,9,,
40,0.97,181.681,190.59,"Then after the one minute, your microphone will soon be shut off.",9,,
41,0.97,190.59,191.791,Please do try to wrap it up.,9,,
42,0.97,191.791,193.66,I will call one Speaker at a time.,9,,
43,0.97,193.66,196.896,"When you are called on, you will hear a prompt that says you have been Unmuted.",9,,
44,0.97,196.896,206.839,That is your indication to hit Star six to Unmute your line.,9,,
45,0.97,206.839,208.841,Also make sure your own phone is off of mute.,9,,
46,0.97,208.841,210.376,"After you hit Star six, begin speaking.",9,,
47,0.97,210.376,212.779,State your name and the item you are addressing as today's agenda.,9,,
