index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,20.854,29.129,Hello everyone.,0,,
1,0.97,52.085,65.632,"Hello everyone, thank you for joining us, this is the Finance and housing Committee, this is Wednesday, February 19, a special Finance and housing committee because of the holiday this week.",1,,
2,0.97,65.632,69.669,"It is 2:00, the many will come to order.",1,,
3,0.97,69.669,99.966,"I am chair Mosqueda, I am here with Dan Strauss, we have three items, potential appointee to the domestic workers standards board, 2 Council appointments and one mayoral appointment, we will vote on them during the March 3 meeting, it is an opportunity to hear from those who join us today, but we won't take any formal action.",1,,
4,0.97,99.966,110.71,"You should have materials in your possession, that is part of the reason we had to wait, the packets were not fully complete yet, we will do that on March 3.",2,,
5,0.97,110.71,115.615,"And we will take a vote on the capital projects Watchlist, we discussed at the community meaning, Inc.",3,,
6,0.97,115.615,147.113,"You for the early amendments and excited to work with you to update that, and we will begin a discussion on the future of work pertaining to gig workers, our esteemed colleagues via Skype and Internet, thank you for turning in, we will have them on the screen, I would if there is any . public comment seeing none, that closes the public comment.",3,,
7,0.97,147.113,167.567,"We will move right into item number 1, and if you could read it into the agenda and if we could be joined at the table by Jasmine Marwaha from the office of labor standards, Baylie Freeman, and Candace Faber, and Etelbina Hauser.",3,,
8,0.97,167.567,176.342,"Agenda number 1, appointment to the domestic workers standards board for briefing and discussion.",4,,
9,0.97,176.342,186.886,"And I know you offered to do some translation, and I'm also able to help out here at the counter at the table as well.",5,,
10,0.97,186.886,199.899,"What we usually try to do, the viewing audience and Konsyl colleagues, you might member from last year, we really want to make sure that when we need a translator we use professionals because we don't want to ask any of our staff to do it.",5,,
11,0.97,199.899,230.997,"Many of us have been in that awkward position, bilingual family members have to translate it medical appointments for example, to make sure we are not floating into using our team inappropriately, that is something we committed to last year, our understanding was that this was not something that was foreseen, we will do our best today but we will Recommit to that principle, and the important labor that includes.",5,,
12,0.97,230.997,242.308,"We will go to introductions and we will ask a few questions, if you give an overview of the domestic workers standards board, that would be great.",6,,
13,0.97,242.308,252.752,[speaking Spanish],7,,
14,0.97,275.708,284.384,After that you will get a chance to introduce yourself.,8,,
15,0.97,284.384,284.984,Thank you Jasmine.,8,,
16,0.97,284.984,290.056,"Thank you with the flexibility with interpretation, I appreciate that.",9,,
17,0.97,290.056,307.507,"Jasmine Katella skin for the record, your title at office of labor standards, I know a lot of people are familiar with your past work, tell us little",10,,
18,0.97,307.507,325.024,"My name is Jasmine Marwaha, I am a policy analyst and staff liaison for the domestic workers standards board.",11,,
19,0.97,325.024,327.894,"As you mentioned, I am here to present three new appointments to the board.",11,,
20,0.97,327.894,335.835,"Candace Faber, Baylie Freeman and Etelbina Hauser.",11,,
21,0.97,335.835,351.25,"Baylie Freeman was scheduled to be here, something came up hopefully she will arrive shortly, but if not, we will do with that.",11,,
22,0.97,351.25,356.322,"And before we turned over to them, I will give a little bit of background on the board and the new positions that you are",11,,
23,0.97,356.322,357.423,Excellent.,12,,
24,0.97,357.423,379.479,"The domestic workers standards board is committed to improving the conditions of domestic workers by providing a place for workers, employers, organizations and the public to make suggestions to enforce, implement and expand on the domestic workers ordinance.",13,,
25,0.97,379.479,381.447,That is the official mission,13,,
26,0.97,381.447,391.858,Excellent.,14,,
27,0.97,394.16,418.885,"The board was initially established last year with eight members, half appointed by the Mayor, and half by Council, and each appointed 2 worker side representatives and 2 hiring side representatives.",15,,
