index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.445,13.613,Good morning everybody.,0,,
1,0.97,13.613,20.72,"Good morning, this is Council briefing meeting February 18th.",0,,
2,0.97,20.72,22.055,The time is 9:32.,0,,
3,0.97,22.055,22.489,I'm Debora Juarez.,0,,
4,0.97,22.489,28.328,"I'm pro Tam until next week, the 28th.",0,,
5,0.97,28.328,33.033,I will start with roll.,0,,
6,0.97,33.033,39.239,We are joined by Councilmember Teresa Mosqueda.,0,,
7,0.97,39.239,46.112,"Morales, Strauss, Pedersen, Lewis, and Andrew.",0,,
8,0.97,46.112,46.479,With that.,0,,
9,0.97,46.479,47.881,We have seven Councilmembers present.,0,,
10,0.97,47.881,49.849,Let's go through approval of the minutes.,0,,
11,0.97,49.849,52.252,The first item is approval of the minutes.,0,,
12,0.97,52.252,59.092,"Is there is no objection, the minutes of February 10th of 2020 will be adopted.",0,,
13,0.97,59.092,59.292,Okay.,0,,
14,0.97,59.292,61.127,"Hearing no objection, the minutes are adopted.",0,,
15,0.97,61.127,63.63,Ly go to the President's report.,0,,
16,0.97,63.63,65.265,I don't have a President's report.,0,,
17,0.97,65.265,70.336,"We were going to start with our state legislative folks, but, we will wait until they get here.",0,,
18,0.97,70.336,76.81,"So with that, we will just go around the table like we normally do and do our reports starting with me.",0,,
19,0.97,76.81,82.849,The next meeting of the public assets will be Tuesday March 3 at 2:00.,0,,
20,0.97,82.849,85.785,We have two parks related items headed our way.,0,,
21,0.97,85.785,87.921,It will most likely be a short agenda.,0,,
22,0.97,87.921,106.84,"One thing we are doing that I'm excited about, we met with the Tulalip tribe, Snoqualmie, the Puyallup tribe.",0,,
23,0.97,106.84,111.244,The Mucklechute tribe.,0,,
24,0.97,111.244,121.921,Our City Council can understand how tribal governments work.,0,,
25,0.97,121.921,130.029,And the Cowliss tribe.,0,,
26,0.97,130.029,130.53,I'm excited about that.,0,,
27,0.97,130.53,135.001,We are put Ting that together.,0,,
28,0.97,135.001,140.34,"Last week, I attended a sound transit expansion committee.",0,,
29,0.97,140.34,152.352,I sit on sound transit but I'm not on this particular committee but I went there because we are discussing 130Th street.,0,,
30,0.97,152.352,156.823,"It is a Tricounty with Snohomish, Pierce, and King.",0,,
31,0.97,156.823,167.133,I want to thank you Councilmember Strauss for showing up and supporting the street coming in early.,0,,
32,0.97,167.133,171.571,The Lynnwood station is supposed to open in 2024.,0,,
33,0.97,171.571,179.712,So we are pushing forward to see the 130Th Street be built at the same time as the Lynnwood link.,0,,
34,0.97,179.712,185.351,I had an opportunity to talk to all the sound transit board members.,0,,
35,0.97,185.351,188.121,"And, also, our other elected leader INS Snohomish County.",0,,
36,0.97,188.121,192.458,And in Pierce County and I really want to thank the North end folks.,0,,
37,0.97,192.458,194.594,All of Seattle North end folks and South.,0,,
38,0.97,194.594,211.778,And people from the South from Snohomish County that came out in support of public comment.,0,,
39,0.97,211.778,215.248,They were great in listening to this issue.,0,,
40,0.97,215.248,224.424,"So, with that, I'm happy to say they did pass a motion and so, within a year, we will be at 100% design for 130Th.",0,,
41,0.97,224.424,228.695,"And hopefully, we will begin planning and building the station.",0,,
42,0.97,228.695,234.534,It will come in earlier than 2031.,0,,
43,0.97,234.534,237.403,We are looking at 2025 or 2026 which is incredible.,0,,
44,0.97,237.403,256.055,"We know with light rail coming at North gate, with the whole Recon figuring of Northgate mall with Ovg and the Nhl and the pedestrian bike bridge that just came in anticipated Ridership is between 40 and 50,000.",0,,
45,0.97,256.055,262.095,"We were at 3,000 units of housing of mixed, low income, affordable, and work force.",0,,
46,0.97,262.095,270.236,"What we have for the first time, the North, East, and West side of I-5 will be connected by the pedestrian I-5 bridge.",0,,
47,0.97,270.236,274.44,North Seattle college is very happy.,0,,
48,0.97,274.44,280.913,"They have 18,000 students that rotate through there.",0,,
49,0.97,280.913,284.55,"North gate had around 2,000 employee Withs the Nhl train center.",0,,
50,0.97,284.55,286.319,1500 units of market rate housing.,0,,
51,0.97,286.319,291.958,"Two new office buildings or anticipating the work force there alone there to be around 2,000.",0,,
52,0.97,291.958,294.26,"So, we have an incredible expansion in density.",0,,
53,0.97,294.26,299.599,Some of you weren't here last year when we passed some of our up zones.,0,,
54,0.97,299.599,306.139,I had 17 up zones and every one of them were passed.,0,,
55,0.97,306.139,310.877,A lot of these areas were also high displacement and low opportunity.,0,,
56,0.97,310.877,319.719,"With these jobs coming, people able to get on light rail, it is everything we have been talking about forever with transit oriented development, housing, and transit oriented child care.",0,,
57,0.97,319.719,321.621,We are working with the developers on that as well W.,0,,
58,0.97,321.621,327.326,"That, I will turn to the right and let each of you introduce yourselves and go through your calendar.",0,,
59,0.97,327.326,328.695,Thank you Madame President.,1,,
60,0.97,328.695,329.195,Good morning everyone.,1,,
61,0.97,329.195,334.033,"We have on today's full council agenda, one amendment I will be bringing forward.",1,,
62,0.97,334.033,336.936,I wanted to make sure folks had a chance to see it.,1,,
63,0.97,336.936,341.607,You may have already seen it over the weekend.,1,,
64,0.97,341.607,343.71,119656 regarding the transitional encampment legislation.,1,,
65,0.97,343.71,346.813,First I want to thank the chair.,1,,
66,0.97,346.813,350.416,Thank you Cancellus for your stewardship.,1,,
67,0.97,350.416,354.854,I know there was a number of amendments.,1,,
68,0.97,354.854,362.261,One of those I'm sad to say is mine but it is a minor amendment.,1,,
69,0.97,362.261,386.486,The funding appropriated for last year is for tiny homes or enhanced shelters and you and I had the time to talk about the importance of it is not just tiny homes but the suite of enhanced shelters we are talking about which is critical so people know there is a number of options available to get stabilized and to get housed in the long term.,1,,
70,0.97,386.486,397.296,So we wanted to make sure that was offered with the intent we sponsored last year with the Council to shake sure it is clarifying enhanced shelters as well.,1,,
71,0.97,397.296,403.403,"Our next Committee for the Finance and housing committee will be on Wednesday, February 19.",2,,
72,0.97,403.403,405.104,That's this week at 2:00 P.M.,2,,
73,0.97,405.104,408.007,This again is another special time.,2,,
74,0.97,408.007,411.377,Apologies to my Council colleagues on the committee due to yesterday's holiday.,2,,
75,0.97,411.377,413.312,We did have to bump our time.,2,,
76,0.97,413.312,417.617,"So, look forward to seeing you at 2:00 P.M.",2,,
77,0.97,417.617,419.218,On February 19th.,2,,
78,0.97,419.218,436.803,We will have four potential appointees for the domestic worker standards board and they will introduce themselves and talk about their experiences but their packets have not been fully processed so we will only hear from the appointees with their vote coming up at the potential March 3 committee.,2,,
79,0.97,436.803,442.341,We will also have a final vote on the capital project's watch list resolution.,2,,
80,0.97,442.341,444.911,We discussed this at the February 6 committee meeting.,2,,
81,0.97,444.911,448.247,Thanks to all of you who came and had great suggestions.,2,,
82,0.97,448.247,456.722,We will bring forward the amended resolution with your suggestions at our committee discussion.,2,,
83,0.97,456.722,460.459,"And, we did have a deadline at close of business.",2,,
84,0.97,460.459,468.067,If you have any final amendments you are considering I would like those due to Dan Eater at noon if possible.,2,,
85,0.97,468.067,472.772,If folks are still working ton amendments.,2,,
86,0.97,472.772,474.874,So thanks to central staff and my team.,2,,
87,0.97,474.874,483.316,"Finally, we will have a discussion on the future of work with some of our community partners that will close up our committee meeting.",2,,
88,0.97,483.316,484.951,That does it for today.,2,,
89,0.97,484.951,485.384,Really?,3,,
90,0.97,485.384,485.818,That's it?,3,,
91,0.97,485.818,486.285,Yeah.,4,,
92,0.97,486.285,491.023,Short and sweet.,5,,
93,0.97,491.023,493.86,Thank you.,6,,
94,0.97,493.86,496.262,Good morning everybody.,7,,
95,0.97,496.262,504.07,I do not have any amendments to add to our conversation this afternoon.,7,,
96,0.97,504.07,511.844,I want folks to know we are rescheduling our community economic redevelopment meeting until next week.,7,,
97,0.97,511.844,517.517,We are waiting on some work for one of our departments that we will reschedule that probably until Thursday or Friday.,7,,
98,0.97,517.517,521.587,We will let you know as soon as that is confirmed.,7,,
99,0.97,521.587,524.123,We have a board of health meeting this week.,7,,
