index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.214,23.022,"C1 Monday, November 21.",0,,
1,0.97,23.022,33.299,The committee will come to order . will the clerk please call the roll.,1,,
2,0.97,33.299,41.274,"Council member her bolt, Council President Juarez.",2,,
3,0.97,41.274,51.117,"Here, council member Lewis.",3,,
4,0.97,51.117,51.751,Present.,4,,
5,0.97,51.751,54.387,Council member Morales.,5,,
6,0.97,54.387,54.654,Here.,6,,
7,0.97,54.654,54.988,Peterson.,7,,
8,0.97,54.988,56.022,Present and Council member Strauss.,8,,
9,0.97,56.022,56.356,Present.,9,,
10,0.97,56.356,57.257,Eight present.,10,,
11,0.97,57.257,60.126,Thank you very much Madam clerk.,11,,
12,0.97,60.126,87.554,"Colleagues, today we will have a opportunity throughout the day . It is going to be a long day for us to discuss the initial balancing package as posted Online and shared with members of the public last Monday . We will have an opportunity to consider amendments to this initial balancing package throughout th course of today . The agenda has been organized in four categories, groups a, B, Cand D which we will describe briefly in a moment.",12,,
13,0.97,87.554,97.464,"We will, however, start wit 90 minutes of public comment at the beginning to make sure that we hear from members of the public about the proposed amendments that have been suggested.",13,,
14,0.97,97.464,102.302,"Before we get started, I want to make sure that we put the agenda in front of us.",14,,
15,0.97,102.302,112.846,Because there are a few procedural changes that we will need to consider before Adoptin the agenda . I will move the agenda to make these procedural changes.,14,,
16,0.97,112.846,116.082,I move to adopt the agenda for today . is there a second?,15,,
17,0.97,116.082,116.382,Second.,16,,
18,0.97,116.382,123.89,Thank you very much it has been moved and Seconded to Adop the agenda . today's published agenda is before the select committee.,17,,
19,0.97,123.89,156.356,This is an opportunity for Council members to move to Amen agenda items to the docket . Thi is not the opportunity for us t pull agenda items out . We will have a conversation about pulling items out of consent package grouping later . This is just to add items as proposed amendments for subs students in the form of a Council budget action or a statement of legislative intent that are not already published on today's agenda.,18,,
20,0.97,156.356,197.564,"As a reminder, Nonsubstantiv oral amendments may be considered at the point of an agenda item before the commit a the, that does not require a move today . But substantive Ora amendments that represent a new idea or a mutually exclusive option . for example if the original CBA and the proposed all around amendment conflict, that would be considered a new walk on amendment that did not meet the rule for distribution by 5:00 p.m. on the preceding business day . the economy city tee may consider substantive suspension of the rules and Tha will be considered in a moment as we consider a walk on amendment as well.",19,,
21,0.97,197.564,203.736,"Colleagues, I do know that there are a few amendments that have been circumstance laid.",20,,
22,0.97,203.736,242.842,"Those were circulated before 5:00 Pnthe day before our, the business day before this committee meeting . This include my open amendment 603 B, Counci member Lewis' SPR walk on 1, an Council member Nelson's Hsd WAL on 1.",20,,
23,0.97,242.842,290.957,"If it is not on today's agenda we can still amend the agenda . As noted the rules require circulation by 5:00 P.M on the business days preceding the regularly scheduled meeting and those amendments may be included in a agenda with the majority vote . a vote to add these items to the calendar today is not necessarily a vote of support . It is simply a procedural motion at this point I move the agenda be Ahmeded to add 60301 a substitute for agenda item 172, which is deal 603 a.",21,,
24,0.97,290.957,303.903,"Also SPR, walk on 1. this I a new option for.",22,,
25,0.97,303.903,316.716,And Hsd walk on 1 the new item circulated by Council member Nelson before the close of business on Friday . This would be considered as part of group did.,23,,
26,0.97,316.716,325.024,I move the agenda be Amende and these items be placed after consideration on the corresponding voting group . is there a second?,24,,
27,0.97,325.024,325.324,Second.,25,,
28,0.97,325.324,326.059,Thank you Council somebody.,26,,
29,0.97,326.059,336.469,It has been moved and Seconded to amended to's agenda by adding the above three amendments that were circulated before 5:00 p.m. on the proceeding business day.,27,,
30,0.97,336.469,355.722,"Again, Cole please, there I no need to comment on the substance here . We will get INT that later . This is just adding items to the agenda for today and a vote is not a vote in favor, necessarily, of the item it is simply procedural at this point . are there any additional comments?",28,,
31,0.97,355.722,375.675,"Hearing none, Madam clerk will you please call the roll O the adoption of the amendment t include these three substitute items circumstance laid prior t 5:67:89P.M.",29,,
32,0.97,375.675,376.075,Herbold? yes.,30,,
33,0.97,376.075,376.375,Juarez?,31,,
34,0.97,376.375,378.377,Yes.,32,,
35,0.97,378.377,383.349,Lewis?,33,,
36,0.97,383.349,388.387,Yes.,34,,
37,0.97,388.387,395.361,Morales? yes.,35,,
38,0.97,395.361,395.762,Nelson? aye.,36,,
39,0.97,395.762,396.095,Pederson?,37,,
40,0.97,396.095,396.362,Yes.,38,,
41,0.97,396.362,396.696,Strauss?,39,,
42,0.97,396.696,402.668,"Yes and 9 in favor, none opposed.",40,,
43,0.97,402.668,414.313,"I am aware of one amendment that was not distributed by 5:0 p.m. on the preceding business day . colleagues, you have received an amendment that I have circulated this morning.",41,,
44,0.97,414.313,423.589,This was circulated in partnership with Council member Strauss . There are two amendments that are already published on today's agenda.,41,,
45,0.97,423.589,426.926,This includes 02 on 0 a . 002.,41,,
46,0.97,426.926,448.815,"Which is regarding one call . An Hsd 90 4-A 001, regarding case Conferencing and sea planes . th amendment I circulated this morning is Hsd 020 C, 001. as you'll see in the attached, excuse me, I will hold that comment for a second.",41,,
47,0.97,448.815,461.794,"I would like to have colleagues consider this amendment as a substitute for those two . and have worked with the sponsor, council member Strauss to suggest this combine amendment.",42,,
48,0.97,461.794,463.93,I will move to put this no front of us.,43,,
49,0.97,463.93,496.629,"Again, a vote to suspend th rules here is not an indication of support for this amendment, nor is this a vote to adopt it in our budget . This is purely a procedural motion to include this item for our consideration later in the agenda . I move to suspend the Council rules to allow for consideration of amendment Hsd 020 C, 0 on 1 to include on the agenda . because it was not distributed by 5:00 p.m. the preceding business day is there a second?",44,,
50,0.97,496.629,497.063,Second.,45,,
51,0.97,497.063,497.897,Thank you Council members.,46,,
52,0.97,497.897,508.908,It has been moved and Seconded to suspend the rules . will the clerk please call the roll on the suspension of the rules?,46,,
53,0.97,508.908,509.876,Procedural motion only.,46,,
54,0.97,509.876,517.316,Council member her bold? Yes,47,,
55,0.97,517.316,519.285,Juarez?,48,,
56,0.97,519.285,520.62,Aye.,49,,
57,0.97,520.62,521.087,Lewis?,50,,
58,0.97,521.087,523.122,Yes.,51,,
59,0.97,523.122,526.425,Morales?,52,,
60,0.97,526.425,528.327,Yes.,53,,
61,0.97,528.327,532.965,Nelson? aye.,54,,
62,0.97,532.965,536.636,Pederson? yes.,55,,
63,0.97,536.636,537.203,Strauss?,56,,
64,0.97,537.203,537.47,Yes.,57,,
65,0.97,537.47,537.77,Chair?,58,,
66,0.97,537.77,560.326,Aye? we can proceed . again this is an agenda that I circulated this morning in partnership with company member Strauss to add Hsd 001 to the agenda and that it be placed fo consideration at the end of the corresponding group . that would be group B. is there a second?,59,,
67,0.97,560.326,560.626,Second.,60,,
68,0.97,560.626,571.704,"It has been moved and Seconded . for discussion, council member Herbold?",61,,
69,0.97,571.704,572.071,No.,62,,
70,0.97,572.071,596.095,"Thanks for taking the time t add this to the agenda . We'll talk more about this, this afternoon . This is in interest in making sure we did not have to choose between 904 investments and 020 investments and appreciate the vice chair's flagging of possible options here . Thanks for considering this as part of the agenda.",63,,
71,0.97,596.095,600.533,Are there any additional comments on the agenda?,64,,
72,0.97,600.533,611.577,"Hearing none, excuse me Council member Lewis . We are at the point of considering adoption of Hsd 020 C.",65,,
73,0.97,611.577,628.461,"Chair this is just a point O inquiry . After we make these final alterations, would it be possible for the clerks to Recirculate the amended agenda given the changes that we have made? no big deal if not . But I'm just curious.",66,,
74,0.97,628.461,633.599,I will pause there one Secon to see if central has an answer,67,,
75,0.97,633.599,653.085,"Thank you, chair . good morning Council members, we wil not be able to Recirculate an amended agenda but we will be reminding Council members of items that have been added of for individual consideration or substitution . So we will remind you at each stage of the away.",68,,
76,0.97,653.085,660.993,"But the agenda is going to continue to evolve as you get through the day, so we won't be able to update it in Realtime.",68,,
77,0.97,660.993,661.527,No worries.,69,,
78,0.97,661.527,671.437,Thank you Council member Lewis and I will do my best as well to remind folks about the items we have added to the end of those groups.,70,,
79,0.97,671.437,674.707,Council member Herbold?,71,,
80,0.97,674.707,711.143,"I have a question if I could I think I was under the mistake impression that items we are no in this moment adding to the agenda are new items, not substitutes . But I have been hearing them described as substitutes for other versions, this now is making me wonder, I have a substitute in voting group C. should I move to have that added to the agenda? to pull one for another version?",72,,
81,0.97,711.143,713.045,I believe the answer is no.,73,,
82,0.97,713.045,730.629,Because it is going to be stood up as an oral amendment and we appreciate you did the early work to share that information with members of the community I advance . But that is not substantive in nature and does not need to be added to today's agenda . You can make that Motio when we get to that item.,73,,
83,0.97,730.629,742.007,"Very good, thank you? on I'm seeing a thumbs up from the deputy director, so that is always a good sign when we are getting into procedural motions at this hour of the day.",74,,
84,0.97,742.007,761.861,"Colleagues, we are at the point of amending the agenda by including Hsd 020 CAS a Possibl substitute for today's deliberations . Madam clerk will you please call the roll on the adoption of the amendment?",75,,
85,0.97,761.861,763.529,Council member Herbold?,76,,
86,0.97,763.529,763.796,Yes.,77,,
87,0.97,763.796,766.732,Council President Juarez?,78,,
88,0.97,766.732,767.032,Aye.,79,,
89,0.97,767.032,769.435,Council member Lewis?,80,,
90,0.97,769.435,769.702,Yes.,81,,
91,0.97,769.702,773.239,Council member Morales?,82,,
92,0.97,773.239,773.506,Yes.,83,,
93,0.97,773.506,779.011,Council member Nelson?,84,,
94,0.97,779.011,779.578,Aye.,85,,
95,0.97,779.578,780.379,Council member Pederson?,86,,
96,0.97,780.379,781.08,Yes.,87,,
97,0.97,781.08,783.482,Council member slant? yes.,88,,
98,0.97,783.482,784.316,Council member Strauss?,89,,
99,0.97,784.316,784.583,Yes.,90,,
100,0.97,784.583,786.185,Chair?,91,,
101,0.97,786.185,786.418,Aye.,92,,
102,0.97,786.418,787.486,"Nine in favor, none opposed.",93,,
103,0.97,787.486,802.835,"Thank you very much colleagues . Okay the motion carries on the and the agenda I amended . and the items, Hsd 020 Cwill be considered on group B, at the end of that voting group",94,,
104,0.97,802.835,808.14,Are there any further amendments to the agenda?,95,,
105,0.97,808.14,817.616,"Hearing none, if there is no objection to today's agenda as amended, the amended agenda wil be adopted.",95,,
106,0.97,817.616,823.556,"Hearing no objection to today's amended agenda, the amended agenda is adopted.",96,,
107,0.97,823.556,880.579,"All right, colleagues, than you so much for helping to get the agenda in front of us today as a reminder, we will have at least 90 minutes of public comment . I'm aware there was a delay in the Online set up for having folks register Online . S in order for us to make sure we give a few more minutes for people to be able to sign up in the full two hours, I have a Fe comments just to get us started here as folks may still be filling in the Online form . All amendments today need to be SEL balancing . We have put together a consent agenda package for Yo that includes groups B, and group C. group B, is the heart of the chair's balance be package and group C, also includes amendments that we possibly discussed in the past that we are seeing favorable an complementary to some of the existing items in the chair's balancing package.",97,,
108,0.97,880.579,886.252,"However that does not necessarily mean there won't be support for items a, and D, fro the chair.",98,,
109,0.97,886.252,897.096,"I do need to say though, that if you do not have a funding source and still want t make a change to group B, that does require funding, then our package will no longer be balanced.",99,,
110,0.97,897.096,900.399,And this will be a huge problem for central staff and for us.,100,,
111,0.97,900.399,914.38,"Today is the last day that we can consider amendments to the balancing package . so that we can finalize the budget, Hav a technical vote next Monday, and have the Council President steward us through the full council vote on Tuesday next week.",101,,
112,0.97,914.38,925.824,"Today is the last day that we can make amendments to the balancing package . and thus, wh it was so important to make sur that amendments that were being considered were self balancing.",102,,
113,0.97,925.824,939.004,"If a council member is interested in pulling an item that requires an additional fun or funding source, this will no be taken lightly, because we have to have a balanced budget, and we need that to be balanced by the end of today.",103,,
114,0.97,939.004,963.595,"So there is no time to go back to the drawing board for large ticket items that don't have funding associated . We do not have the ability to find money that does not exist . Toda is to consider amendments that are self balancing and as noted in the process, we need to information last week so that W can work with central staff to ensure that self balancing amendments are part of our deliberations today.",104,,
115,0.97,963.595,981.146,"So I will not be shy about noting when or if an action attempts to move forward an amendment that does not have a funding source . and if you have not found a way to balance for an increase that you want, then we need to make sure that we AR addressing that in the moment that it is being pulled up.",105,,
116,0.97,981.146,1022.287,"To repeat, you do not have to pull an item just to speak against it . I don't know if I have already said that . So apologies . Let me say this again . When we get to the Actua agenda, and we start going through the consent package items in groups band C, colleagues, if there is pieces that you do not like, you don't have to pull an item out just t speak against it . If there is pieces that you really like Tha you sponsored, that you want to highlight for members of the community and the media, you ca speak to it without having to pull it out . pulling out an amendment means that we will have an opportunity for a vote.",106,,
117,0.97,1022.287,1033.465,"But please note that it is not an opportunity for just pulling out an amendment to speak to it you with ill have a chance to speak to any items in groups B, and C, before we take a final vet.",106,,
118,0.97,1033.465,1051.15,"Please consider when we get to groups band C, that pulling things out merely to speak in favor or opposed, especially if you do not have a way to make itself balancing is highly discouraged and not what today is for.",107,,
119,0.97,1051.15,1053.552,Now to some of the more exciting parts.,108,,
120,0.97,1053.552,1113.345,"To members of the public listening Online, watching on Seattle Channel, here with us I chambers, thank you for Stickin with us through this really difficult budgets season . When we say this was a difficult budget to construct, I think Yo can see why . The sheer number O investments that are coming in reflect haircuts here and there to fund long existing priorities . We were faced with $141 million operating deficit and $152 million operating deficit in the years 2023 and 2024. we then were hit with an additional $87 million Shortfal combined, and were having to look at serious reductions in projects and services . But instead of taking cuts or going through an austerity budget we looked at ways to slow down initiatives . taking haircuts instead of whole cuts.",109,,
121,0.97,1113.345,1114.78,Preventing austerity and preventing layoffs.,109,,
122,0.97,1114.78,1136.034,"Some of the Council members priorities were not funded but that is not an indication of no having support from Council members or the public . This is just a matter of having to balance within our existing revenue . and as I have talked about before, this also continues to underscore the Nee for existing progressive revenue, so we can continue to meet our growing needs in the growing population throughout Seattle.",110,,
123,0.97,1136.034,1158.056,"What we were able to do in the balancing package is important . We were able to fund key services, avoid budgetary layoffs, prevent against austerity and do so through short-term use, temporary measures in large part, due to the flexibility of the jump start Seattle progressive payroll tax, higher than anticipated revenue a.",111,,
124,0.97,1158.056,1172.604,"What we tried to do in this budget was also make sure we were not going down new policy routes, yielded policy changes or shifts or permanent policy changes to fund sources in the middle of a possible recession.",112,,
125,0.97,1172.604,1200.399,"We Prioritize working families and small businesses and I believe that this budget invested front line workers specifically . The front line workers, working on address and go helping those who need to remain Stably housed, who need to find affordable housing, who need assistance in care and support if they are Experiencin homelessness . This is a budget that is in support of small businesses and supports basic needs like food security.",112,,
126,0.97,1200.399,1238.136,"Specifically food security funding that was at risk when W saw the sugary sweetened beverage tax stream reduce . Thi also makes upstream investments investments in gun violence, reduction strategies and mental health funding, as well as investing in reproductive Healt and justice . We put the budget together with an eye toward equity . not equal distribution of funds, as the Mayor Commente on . We went through and this Council looked at ways where we needed to provide that equity lens to ensure the impact with the scarce resources that we had.",112,,
127,0.97,1238.136,1244.61,"We pushed forward funding t preserve programs, to promote health and safety and the resilience of our community and our economy.",113,,
128,0.97,1244.61,1255.754,"And I'm excited about some of the things that we have been able to include in this budget, and I look forward to this discussion today about amendments to add to those.",114,,
