index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.314,19.085,Good afternoon everyone.,0,,
1,0.97,19.085,26.393,"This is the February 27, 2020 meeting of the community economic development committee . that committee will come to order.",0,,
2,0.97,26.393,28.194,It is to: 08 P.M.,0,,
3,0.97,28.194,37.57,"And I am Tammy morale is, chairman of the committee.",0,,
4,0.97,37.57,55.622,I am joined by Councilmembers Herbold and Sawant . The agenda is adopted . We will move on.,0,,
5,0.97,55.622,57.791,We have three items on our agenda today.,0,,
6,0.97,57.791,70.403,The first item of business is the appointment of Annabel Backman as the Seattle Lgbtq Commission.,0,,
7,0.97,70.403,71.504,Please read that into the record.,0,,
8,0.97,71.504,77.544,"Opponent of Annabel Backman as Commission until April 30, 2020.",1,,
9,0.97,77.544,80.013,"Breeding, discussion and possible vote.",1,,
10,0.97,80.013,89.956,"Would you like to come up, thank you.",2,,
11,0.97,89.956,92.225,Would you like to do a short introduction I get started?,2,,
12,0.97,92.225,100.133,Annabel Backman is a software engineer specializing in Digital identity and security.,3,,
13,0.97,100.133,131.364,"She has seen how small changes in decision can introduce small unintended effects in different committees . There is the 43rd district where there is a chair of the District committee . She has endeavored to leverage her influence to include and support the Lgbt people, people of color, indigenous people, and people have disabilities and all others.",3,,
14,0.97,131.364,143.576,Annabel brings experience to the Commission and is hoped to guide Seattle toward programs that work toward everyone.,3,,
15,0.97,143.576,144.577,Thank you.,4,,
16,0.97,144.577,157.624,I will continue that . It seems the most important and most pressing question is why am I here and why should I be here?,4,,
17,0.97,157.624,160.26,"And in large part, the answer is because I can be.",4,,
18,0.97,160.26,181.948,Because I am fortunate enough to be one of the people who has the time and resources and energy capacity to participate and to show up and to be engaged in programs like this.,4,,
19,0.97,181.948,185.251,"Unfortunately, many of the people whose voices we most need to hear don't have that.",4,,
20,0.97,185.251,208.975,"As I said, I am privileged to have gotten through life such that I am in a place where I have that despite having to do with the fact that we are in a trance Phobic society and a Homophobic society and Ablest society.",4,,
21,0.97,208.975,215.481,My hope is that since I have that capacity that I can leverage it and use that to get people's voices to the table.,4,,
22,0.97,215.481,218.985,That's what I hope to do here.,4,,
23,0.97,218.985,228.561,I hope to be able to work with all of you to ensure their voices are heard and their stories are heard and their faces are being seen.,4,,
24,0.97,228.561,228.928,Thank you.,5,,
25,0.97,228.928,237.87,I will start . Thank you for your application and for being willing to serve the community.,6,,
26,0.97,237.87,253.553,"I would like to know a little bit about how you learned of this Commission . as a former human rights Commissioner myself, it is an interesting opportunity . What brought you to this position in this decision?",6,,
27,0.97,253.553,269.402,"On that note, I will take the opportunity to thank former Cochair and current Commissioner Jesse Murray for bringing this opportunity to my attention.",7,,
28,0.97,269.402,286.786,She has recently resigned from the 43rd district's Democratic executive board but we served at the same time . She brought up at a meeting that the Commission had open seats it was looking to fill.,7,,
29,0.97,286.786,297.964,"I asked her Afterwords and she got a big grin on her face and said, I'm so glad you are going to be on the Commission.",7,,
30,0.97,297.964,305.838,"So, I will thank her for bringing the opportunity to my attention and for inviting me to apply to see if I can help out.",7,,
31,0.97,305.838,312.378,Great . are there any questions for Ms. Beckman?,8,,
32,0.97,312.378,316.649,Thank you for your willingness to serve.,9,,
33,0.97,316.649,327.827,You come highly recommended by the Commission itself and thank you to the chair for being willing to bring forward a holdover appointment from my time as chair of the committee with oversight here.,9,,
34,0.97,327.827,336.369,I am really glad to sponsor your time with the Commission.,9,,
35,0.97,336.369,340.807,Thank you Councilmember.,10,,
36,0.97,340.807,344.11,"Well, in that case, I know there is an official something that needs to happen here.",10,,
37,0.97,344.11,360.526,I move the committee recommend the confirmation of appointment 01508. those in favor of the recommendation that the committee confirm appointment zero 5108 say aye.,10,,
38,0.97,360.526,367.633,Aye . and it will go to the March 9 city council meeting.,11,,
39,0.97,367.633,371.437,"You are welcome to join us, but you're not required to be there.",11,,
40,0.97,371.437,373.94,Thank you.,12,,
41,0.97,373.94,377.41,Thank you and congratulations.,13,,
42,0.97,377.41,378.811,"Great, thank you.",14,,
43,0.97,378.811,384.917,The second item of business is related to the age Memorial project.,14,,
44,0.97,384.917,386.652,Would you please read the minutes.,14,,
45,0.97,386.652,394.66,"The Presenters want to come on up, that would be great.",15,,
46,0.97,394.66,410.676,"And ordinance relating to donation funds from Non-City sources authorizing the director of arts and culture to execute, deliver and execute corresponding deliverance on parts of the city.",16,,
47,0.97,410.676,420.052,It is 12600 adopting the 2020 budget changing the Department of arts and culture and recognizing certain prior acts.,16,,
48,0.97,420.052,422.855,Do you want to introduce yourselves and we get started?,17,,
49,0.97,422.855,426.793,Sure.,18,,
50,0.97,426.793,431.397,I am the story gathering consultant for the AIDS Memorial Pathway.,18,,
51,0.97,431.397,435.501,I am the director of arts and culture.,19,,
52,0.97,435.501,439.772,I am Jason and I am the project manager for the Pathway.,20,,
53,0.97,439.772,445.211,Thank you.,21,,
54,0.97,445.211,454.62,"Great, I think I will kick us off and give an overview of the project . I am pleased to be here to talk about this partnership that has been years in the making.",22,,
55,0.97,454.62,464.831,"In 2016, the city adopted a budget with a line-item Avenue $75,000 to help a planning group to come together around the AIDS legacy and Memorial.",22,,
56,0.97,464.831,489.322,"Through that line item, we worked with private consultants and we worked with the Museum of history and industry and a number of other community members to scope scale locations, purpose and the Timeline of this project . a community advisory group was brought together and we worked with them to identify a site.",22,,
57,0.97,489.322,497.029,That site is at the northern end of Cal Anderson park on the link light where all station.,22,,
58,0.97,497.029,517.583,"We have begun a relationship with the develop for who has been an eager participant in the project . through further allocation in city funding in 2018, the office of arts and culture in Seattle parks and Rec were able to dedicate funding to the AIDS Memorial Pathway arts plan.",22,,
59,0.97,517.583,529.362,We commissioned a plan for the overall project spanning public and private property . that plan was funded through city funding and private fundraising of the independent group.,22,,
60,0.97,529.362,571.437,"And then, as a continuation of that plan, we have been able to Commission artists to develop Artworks that will go on to the property in accordance with the master art plan . Today we are here to seek your approval to seek funds that have been raised privately into the city to do the fabrication and installation of those Artworks into accept the Artworks into the city civic collection . I think this is a unique partnership and not one we have entered to before . We are responsive to community members coming forward and saying this is important and how we Prioritize making this happen.",22,,
61,0.97,571.437,578.044,The community did independent fundraising which we are able to leverage as a city.,22,,
