index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.842,13.813,"Good morning, everyone.",0,,
1,0.97,13.813,20.887,"The may 25th, 2022 meeting of the Seattle city council economic development, technology and city light committee meeting will begin.",0,,
2,0.97,20.887,25.525,It is 9:30 in the morning.,0,,
3,0.97,25.525,31.431,"I am Sara Nelson, chair of the committee.",0,,
4,0.97,31.431,38.772,We have a presentation from the office of economic development on their 2021 race and social justice initiative accomplishments.,0,,
5,0.97,38.772,48.715,"Before we take roll, I would like to note that vice chair and Councilmember Juarez has been excused from this meeting.",0,,
6,0.97,48.715,49.949,Will you please call the role?,0,,
7,0.97,49.949,50.75,Councilmember Herbold?,1,,
8,0.97,50.75,52.385,Councilmember Sawant?,2,,
9,0.97,52.385,55.622,Present.,3,,
10,0.97,55.622,56.856,Councilmember Strauss?,4,,
11,0.97,56.856,58.625,Present.,5,,
12,0.97,58.625,59.292,Chair seven,5,,
13,0.97,59.292,60.927,Present.,6,,
14,0.97,60.927,69.836,We will make sure we announce when Councilmember Herbold will join us.,6,,
15,0.97,69.836,75.542,"Okay, now would be the time for public comment, but no one signed up for public comment.",6,,
16,0.97,75.542,76.676,Is that correct?,6,,
17,0.97,76.676,80.213,That is correct.,7,,
18,0.97,80.213,82.615,"If there is no objection, the agenda will be adopted.",8,,
19,0.97,82.615,85.285,And I see no objection.,8,,
20,0.97,85.285,98.865,"All right, so moving right along, we are now ready to proceed to our items of business.",8,,
21,0.97,98.865,108.241,Today we will be joined by the office of economic development interim director Markham McIntyre and his team to present their Rsji accomplishment for 2021.,8,,
22,0.97,108.241,117.984,I will leave it to interim director Markham McIntyre to introduce himself and the other members that will be presenting.,8,,
23,0.97,117.984,120.22,"Thanks, Councilmember Nelson.",9,,
24,0.97,120.22,125.091,Phillip sit will drive our Powerpoint.,9,,
25,0.97,125.091,132.999,"Philip, if you could load that up, we will get going.",9,,
26,0.97,132.999,133.967,Beautiful.,9,,
27,0.97,133.967,137.47,Thank you.,9,,
28,0.97,137.47,138.638,"Good morning, everybody.",9,,
29,0.97,138.638,145.011,Happy Wednesday.,9,,
30,0.97,145.011,148.615,My name is Markham McIntyre and I in the interim director for the office of economic development.,9,,
31,0.97,148.615,150.783,"Thank you, Councilmember Nelson to share this presentation with you.",9,,
