index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.343,16.015,I appreciate the Seattle channel understood my code.,0,,
1,0.97,16.015,26.025,"Welcome back to the meeting of the Seattle city Council, it is March 29th, 2021.",0,,
2,0.97,26.025,28.261,Is meeting of the Seattle city council will come to order.,0,,
3,0.97,28.261,29.262,It is to: 06 P.M.,0,,
4,0.97,29.262,34.334,"I'm Lorena Gonzale, will the clerk please call Oh.",0,,
5,0.97,34.334,35.368,Councilmember Mosqueda.,1,,
6,0.97,35.368,37.771,Present.,2,,
7,0.97,37.771,38.838,Councilmember Pedersen.,3,,
8,0.97,38.838,40.039,Here.,4,,
9,0.97,40.039,41.341,Councilmember Sawant.,5,,
10,0.97,41.341,42.275,Present.,6,,
11,0.97,42.275,43.276,Councilmember Strauss.,7,,
12,0.97,43.276,44.878,Present.,8,,
13,0.97,44.878,46.279,Councilmember Herbold.,9,,
14,0.97,46.279,47.981,Here.,10,,
15,0.97,47.981,48.982,Councilmember Juarez.,11,,
16,0.97,48.982,50.383,Here.,12,,
17,0.97,50.383,51.651,Councilmember Lewis.,13,,
18,0.97,51.651,52.786,Present.,14,,
19,0.97,52.786,53.887,Councilmember Morales.,15,,
20,0.97,53.887,55.889,Here.,16,,
21,0.97,55.889,60.96,Council President Gonzalez.,17,,
22,0.97,60.96,61.361,Here.,18,,
23,0.97,61.361,62.562,Nine present.,19,,
24,0.97,62.562,86.586,"Presentations, we have a presentation right here at the top, Councilmember Strauss as a proclamation honoring Sam and his service as the director of the office of planning and community development, Councilmember Strauss is going to first present the proclamation, and then I will open the floor for comments from other counsel members.",19,,
25,0.97,86.586,98.531,"Then after we conclude Councilmember comments, we will suspend the rules to allow our guest to accept the proclamation and we will also allow him to opportune, to provide some comments.",19,,
26,0.97,98.531,119.319,"We are very pleased to have the director with us in this virtual zoom room, this was a surprise for him, so, he is here, rather surprised, but very excited to accept this proclamation that I am now going to hand over to the microphone to Councilmember Strauss to present a proclamation.",19,,
27,0.97,119.319,136.536,"In Queue, Council President, thank you colleagues for allowing us to provide this proclamation . a little more than five years ago, he was nominated to be the first permanent director, the first ever of the office of planning and community developments.",20,,
28,0.97,136.536,164.564,"He came to us with an impressive resume as a leader in community planning, coming from boulder, Chicago, and San Francisco . During his time in Seattle, he oversaw the implementation of mandatory housing Affordability, led the creation of the equitable initiative and provided a study planning leadership from one of the fastest growing cities in the United States.",20,,
29,0.97,164.564,173.206,"During his time, Seattle had the fastest growth in the nation, even outpacing New York City in terms of construction.",20,,
30,0.97,173.206,232.165,"His final day was this past Friday, and I wanted to take just a moment, I want to read the whole proclamation, considering time . I do want to recognize the fact that he is a national, internationally recognized leader in urban planning, and, I guess, that was, other things that this proclamation States is where as he spearheaded implementation of equitable development initiative, which provides assistance to Community-Based funding organizations and development projects that responded to displacement pressures and advanced equity in historically marginalized communities, and whereas under his leadership they lead the implementation of Mha, which will create thousands of desperately needed affordable housing units in Seattle, and has already raised more than $66 million for affordable housing.",20,,
31,0.97,232.165,254.354,"While he is helped establish the criteria for mutually offsetting benefit transfers, in response to community, which is allowed for the transfer the property but the central area senior center in the central district, this has also allowed for the preservation of many acres of farmland throughout the region, and increased density here in Seattle.",20,,
