index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,18.685,18.818,Roll?,0,,
1,0.97,18.818,19.252,Pedersen.,1,,
2,0.97,19.252,21.521,Here.,2,,
3,0.97,21.521,24.19,Sawant.,3,,
4,0.97,24.19,25.024,Present.,4,,
5,0.97,25.024,25.525,Herbold.,5,,
6,0.97,25.525,26.526,Here.,6,,
7,0.97,26.526,26.86,Juarez.,7,,
8,0.97,26.86,28.695,Here.,8,,
9,0.97,28.695,29.295,Lewis.,9,,
10,0.97,29.295,31.531,Present.,10,,
11,0.97,31.531,32.365,Morales.,11,,
12,0.97,32.365,32.632,Here.,12,,
13,0.97,32.632,33.433,Mosqueda.,13,,
14,0.97,33.433,33.733,Present.,14,,
15,0.97,33.733,35.835,And Council President Gonzalez.,15,,
16,0.97,35.835,36.102,Here.,16,,
17,0.97,36.102,36.469,8 present.,17,,
18,0.97,36.469,37.37,Thank you so much.,18,,
19,0.97,37.37,42.542,I am not aware of presentations we will move to approval of the minutes.,18,,
20,0.97,42.542,45.145,"Minutes of June 28th, 2021 have been reviewed.",18,,
21,0.97,45.145,49.015,"If there is no objection, the minutes will be signed.",18,,
22,0.97,49.015,54.454,"Hearing no objection, the minutes are being assigned.",18,,
23,0.97,54.454,59.559,Will the clerk please affix my signature.,18,,
24,0.97,59.559,65.532,"Hearing no objection, the referral, introduction and referral calender is now adopted.",18,,
25,0.97,65.532,71.304,"If there is no objection, today's agenda will be adopted.",18,,
26,0.97,71.304,78.144,"Hearing no objection, the agenda is now adopted.",18,,
27,0.97,78.144,79.679,Introduction referral County and the work program.,19,,
28,0.97,79.679,86.286,I want to thank everyone for their patience and cooperation as we continue to operate this remote public comment system.,19,,
29,0.97,86.286,93.526,It remains our strong intent.,19,,
30,0.97,93.526,106.272,City Council reserves the right to end public hearing if the system is being abused or no longer suitable for allowing our meetings to be conducted efficiently and effectively.,19,,
31,0.97,106.272,109.476,I will moderate it in the following manner.,19,,
32,0.97,109.476,111.311,It is 20 minutes.,19,,
33,0.97,111.311,117.15,"Today, we have several speakers signed up to speak.",19,,
34,0.97,117.15,135.602,"Instead of a Lotting 2 minutes we will give 1 minute and 30 seconds, I think it will allow us to get through everybody who is Preregistered today F. we run short on times in the 20 minutes I will extend it to allow all of those who signed up to speak.",19,,
35,0.97,135.602,142.909,"Again, we have enough speakers Preregistered to merit a reduction of time from 2 minutes to 1 minute and 30 seconds.",19,,
36,0.97,142.909,150.884,But I think we can get through that in the allotted 20 minutes as opposed to extending it at the top.,19,,
37,0.97,150.884,153.119,"Okay, once speakers will be called on.",20,,
38,0.97,153.119,158.057,Again in the order of which they Preregistered to provide comment.,20,,
39,0.97,158.057,164.43,Each Speaker is required to call in from the phone number that they use for this registration.,20,,
40,0.97,164.43,172.105,"And using the meeting phone number, Id and pass code E-Mailed to the Speaker upon confirmation of that registration.",20,,
41,0.97,172.105,178.945,This is different than the general Meetinglisten line call in information.,20,,
42,0.97,178.945,195.762,"Again, if you are listening, Double-Check that you are calling into the meeting number with the Id and pass code provided via E-mail upon confirmation and need to call in with the phone number that you used to Preregister.",20,,
43,0.97,195.762,203.303,If you did not follow those instructions you are going to show up as not present on my end on the public comment sign up sheet.,20,,
44,0.97,203.303,219.519,If you do show up as not present on my end I will call out your name and let you know you are showing up as not present so you have an opportunity to go back and look at your registration and make sure that you are calling in with the number that you registered with.,20,,
45,0.97,219.519,225.258,We do apologize in advance if there are technology issues that are out of our control.,20,,
46,0.97,225.258,236.603,We will do our best to make sure we can present . Ou once you show up as I will call on each Speaker by name and in the order they registered.,20,,
47,0.97,236.603,244.177,If you have not registered you can do so before the end of public comment by going to Council's Website.,20,,
48,0.97,244.177,248.314,The public comment link is listed on today's agenda.,20,,
49,0.97,248.314,256.055,"Once I call your name staff will Unmute your microphone and you will hear the prompt, you have been Unmuted.",20,,
50,0.97,256.055,259.959,It is your Queue it is your time to speak.,20,,
51,0.97,259.959,263.229,You need to press Star 6 before we can hear you.,20,,
52,0.97,263.229,272.805,"Say your name, item you are addressing and as a reminder it should relate to an item on the agenda, calender or work program.",20,,
53,0.97,272.805,276.509,Speakers will hear a Chime when 10 seconds are left of your allotted time.,20,,
54,0.97,276.509,285.451,Once you hear the Chime we ask you wrap up your comment.,20,,
55,0.97,285.451,288.988,Your microphone will be muted if you do not wrap up.,20,,
56,0.97,288.988,299.365,Once you completed your public comment please Disconnect from the line and follow today's meeting by watching Seattle channel or dialing into one of the listening options listed on the agenda.,20,,
57,0.97,299.365,300.7,Public comment period is now open.,20,,
58,0.97,300.7,303.87,We will begin with the first Speaker on the list.,20,,
59,0.97,303.87,310.376,"Again, remember to press Star 6 after you hear the prompt of, you have been Unmuted.",20,,
60,0.97,310.376,319.686,"First up Howard, followed by Thomas and then we will hear from Margo.",20,,
61,0.97,319.686,320.086,"Howard, welcome.",20,,
62,0.97,320.086,321.487,Good afternoon.,21,,
63,0.97,321.487,322.989,District 7.,21,,
64,0.97,322.989,334.2,"Police accountability is not justice or reform or refunding, accountability can be a part of those efforts but it is its own necessary goal, Foundational to any other changes.",21,,
65,0.97,334.2,338.404,Until the 1980s there was too little accountability for drunk driving.,21,,
66,0.97,338.404,342.842,What changed was holding people accountable.,21,,
67,0.97,342.842,352.752,"Setting up systems guarantees Fundabilities for society values and a pros Thaes can then help shape those values, changing policies next to patients.",21,,
68,0.97,352.752,358.091,"The same holds per women's rights, sexual assault, workers Mistreatment and more.",21,,
69,0.97,358.091,369.702,It is by making society aware of the Unjustices and indicating society's condemnation.,21,,
70,0.97,369.702,379.579,"Last November, other cities voted through the election process.",21,,
71,0.97,379.579,388.354,80% of the population in Oregon will have full civil control of the police setting complaints and imposing discipline directly.,21,,
72,0.97,388.354,396.863,A year after George Floyd's murder the Council has done nothing to face the accountability in Seattle.,21,,
73,0.97,396.863,406.506,"Public safety committee with Herbold, Gonzalez, and Sawant have been worse.",21,,
74,0.97,406.506,411.811,Maintaining the fiction that Seattle has police accountability.,21,,
75,0.97,411.811,412.612,Bring accountability to Seattle.,21,,
76,0.97,412.612,413.546,Thank you.,22,,
77,0.97,413.546,423.589,Next is Thomas Hudson followed by Margo Stewart and then Jordan Quinn.,22,,
78,0.97,423.589,423.923,"Thomas, welcome.",22,,
79,0.97,424.223,427.627,Hello.,23,,
80,0.97,428.127,428.928,My name is Thomas.,23,,
81,0.97,428.928,436.235,I would like to speak about how we should not allow our police to be trained by people who violate human rights.,23,,
82,0.97,436.235,441.541,"The police have been founded, from the beginning, on violating human rights.",23,,
83,0.97,441.541,445.244,They were slave patrol and to this day they still are.,23,,
84,0.97,445.244,457.423,Our 13th amendment allows slavery for prisoners and they have created with the help of the court system the world's largest prisoner population.,23,,
85,0.97,457.423,461.861,"That, to me, says it is clear that our police know how to violate human rights.",23,,
86,0.97,461.861,466.666,They do not need anymore training from anyone on how to do it.,23,,
87,0.97,466.666,474.006,And anymore training they receive from people who violate human rights are only going to help them violate more human rights.,23,,
88,0.97,474.006,475.741,That is what we do not need.,23,,
89,0.97,475.741,484.283,I don't think we should allow our police Department to be trained from anyone that violates human right rights and that includes Israel.,23,,
90,0.97,484.283,489.922,We need to stand in solidarity with anyone who is having their human rights violated.,23,,
91,0.97,489.922,494.927,We can do that by standing against anyone who violates our rights in every way we can.,23,,
92,0.97,494.927,505.638,"And since we have a large issue, with recent violence--[broken Audio]",23,,
93,0.97,505.938,518.317,Thank you for calling in Thomas.,24,,
94,0.97,518.317,533.533,You broke up on us a little bit there towards the end but we got the gist of what you were calling on.,24,,
95,0.97,533.533,537.403,"Next up, Margo Stewart.",24,,
96,0.97,537.403,537.77,Welcome.,25,,
97,0.97,537.77,554.053,"Hi, my name is Margo, I am calling to end deadly exchange for Renters that have been championed by Sawant in a movement for unions, working people and Renters.",26,,
98,0.97,554.053,575.975,"Especially in the contest of police brutality, ordinary people need to make sure the police have not been trained to make them a part of not being safe.",26,,
99,0.97,576.275,580.947,Even after the cease-fire is a violation of community safety and needs to stop.,26,,
100,0.97,580.947,593.092,This is true given that there have been pictures of officers having the knee on the neck Chock hold that murdered George Floyd.,26,,
101,0.97,593.092,594.193,We need to end this.,26,,
102,0.97,594.193,601.667,"In light of the recent heat wave and the Covid-19 crisis, public safety is more than just that.",26,,
103,0.97,601.667,621.687,"Investing in affordable housing and because of this, strongly in favor of initiatives by Sawant's office to use land from a Baptist church that the city forced the black church and community to sell 50 years ago to build affordable housing units for 87 households and to invest in renovations to the Garfield community center and high school.",26,,
104,0.97,621.687,630.396,It should be funded by the money diverted through the Amazon pack and expand big business taxes to further invest in social housing.,26,,
105,0.97,630.696,636.969,Thank you for calling in today.,27,,
106,0.97,636.969,642.241,Únext up is Jordan Quinn.,27,,
107,0.97,642.241,642.608,"Jordan, welcome.",28,,
108,0.97,642.908,645.244,"Hi, can you hear me?",29,,
109,0.97,648.047,650.549,"We can hear you, go ahead.",30,,
110,0.97,650.549,651.517,Great.,31,,
111,0.97,651.517,652.318,Hi I am Jordan.,31,,
112,0.97,652.318,657.39,I am a Renter in district 2 and member of Socialist alternative.,31,,
113,0.97,657.39,669.602,I am calling because Seattle police should be banned from training or having any exchange with the military or the police of any nation that violates the Geneva conventions.,31,,
114,0.97,669.602,674.273,These are standards that most countries agreed to internationally for the last 70 years.,31,,
115,0.97,674.273,683.449,"There is no reason the police here in the Seattle police Department should have any business bringing back, you know, tactics of war, occupation to our streets.",31,,
116,0.97,683.449,686.886,"Last summer we saw 19,000 complaints.",31,,
117,0.97,686.886,702.902,Abuse of force against the Seattle police Department for attacking black lives matter protesters and the same Department admitted in the last eight years they sent top officers including the former police chief to train with the Israeli police and military forces.,31,,
118,0.97,702.902,709.742,The same forces that are carrying out a brutal occupation against Palestinian people.,31,,
119,0.97,709.742,718.017,Condemned worldwide by unions and faith and community groups for their brutal military assault on Gaza earlier this year.,31,,
120,0.97,718.017,726.892,The city Council has an obligation to support the legislation that Sawant's office will bring forward.,31,,
121,0.97,726.892,732.832,And bringing it forward in solidarity with the labor to end the deadly exchange.,31,,
122,0.97,732.832,733.065,Thanks.,31,,
123,0.97,733.065,737.203,Thank you for calling in today.,32,,
124,0.97,737.203,749.749,Next up is Matthew followed by guy and then we will hear from Evette.,32,,
125,0.97,750.716,751.083,"Matthew, welcome.",32,,
126,0.97,751.083,757.623,"Hi, my name is matt, I am calling about police violation of the Geneva conventions.",33,,
127,0.97,757.623,767.032,Last year the black lives matter movement put a spotlight on the roll that police play in society and all across the country.,33,,
128,0.97,767.032,774.44,The police in Democratic-Party cities use of rubber bullets and tear gas.,33,,
129,0.97,774.44,779.178,I remember it getting into people's apartments because there was just so much being fired.,33,,
130,0.97,779.178,787.486,I think it is Supe important especially here in a city with the largest known police officers attending the January 6th riot.,33,,
131,0.97,787.486,818.617,"It is super important that right we are not having our police officers, having the police officers in this city trained with Militaries and police departments that have violated the Geneva conventions and then ultimately we need a Democratic police oversight board to put real police accountability in our hands, thanks.",33,,
132,0.97,818.918,828.527,Thank you for calling in today.,34,,
133,0.97,828.527,834.867,Next up is guy.,34,,
134,0.97,834.867,835.668,"Guy, welcome.",35,,
135,0.97,835.668,872.871,"Hello, there, my name is guy, I am a local district 5 resident and calling in support of legislation to end the deadly exchange between the Seattle police Department and any military or police force around the world that violates human rights including but not limited to Israel as previous Commenters have mentioned we should hold our police Department to a high standard including International human rights, humanitarian law and not train with any country that violates those basic rules.",36,,
136,0.97,872.871,878.143,This is about Dematerializing the police and bringing safety back to the community.,36,,
137,0.97,878.143,885.584,"Letting communities, especially black and Brown communities in our city take charge of what safety and community health looks like.",36,,
138,0.97,885.584,899.398,"Please support legislation to ban the deadly exchange, we want all of the city Councilmembers to join.",36,,
139,0.97,899.398,901.6,We appreciate Kshama but we need all of them.,36,,
140,0.97,901.6,904.837,Thank you for calling in.,37,,
141,0.97,905.137,910.843,Welcome.,38,,
142,0.97,911.31,912.411,Good afternoon.,39,,
143,0.97,912.411,916.382,It has been awhile since I have been to a council meeting.,39,,
144,0.97,916.382,919.385,Prior to this it was about homeless situation.,39,,
145,0.97,919.385,939.204,"What I am requesting now is how do we find, without going through a huge politic work to--work on homelessness, housing and what services are provided.",39,,
146,0.97,939.204,946.712,There has not been any accountability from the homeless service providers as far as where does the money go.,39,,
147,0.97,946.712,948.58,How do we do that?,39,,
148,0.97,948.58,949.615,I appreciate the time.,39,,
149,0.97,949.615,950.282,Thank you very much.,39,,
150,0.97,950.582,960.659,Thank you for calling in today.,40,,
151,0.97,960.659,965.13,Next up is Blythe.,40,,
152,0.97,965.13,965.564,"Blythe, welcome.",41,,
153,0.97,965.564,965.664,,42,,
154,0.97,975.007,979.378,And Blythe remember to press Star 6 so we can hear you.,43,,
155,0.97,979.678,982.281,Can you hear me now?,44,,
156,0.97,984.75,987.319,"We can hear you now,.",45,,
157,0.97,987.319,988.687,Sorry about that.,46,,
158,0.97,988.687,990.589,I guess it did not go through.,46,,
159,0.97,990.589,995.661,"Any way, my name is Blythe.",46,,
160,0.97,995.661,999.131,I work in the district.,46,,
161,0.97,999.131,1021.92,"Our research has shown many Psychedelic drugs can be effective in the treatment of Ptsd, depression and addiction, as someone who suffers from Ptsd I find it frustrating that full range of treatment options are not available because the city want Tossup hold criminal drug wars.",46,,
