index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.446,15.315,"Good morning, everyone.",0,,
1,0.97,15.315,27.427,"The July 27, 2022, meeting of the economic development technology and city light committee will come to order.",0,,
2,0.97,27.427,31.498,"I am Sara Nelson, chair of the committee.",0,,
3,0.97,31.498,40.94,Council president and Council member Sawant is not present.,0,,
4,0.97,40.94,51.217,Please call the roll.,0,,
5,0.97,51.217,52.051,We have an agenda.,0,,
6,0.97,52.051,59.826,We will have a decision and vote on the apartment on the appointment of Markham McIntyre.,0,,
7,0.97,59.826,68.735,"Then, we will discuss--I will discuss the order of items later.",0,,
8,0.97,68.735,78.845,One item is a discussion and possible vote on making the 15% cap on delivery service fees permanent.,0,,
9,0.97,78.845,94.227,Third will be a discussion and possible vote on authorizing city light to execute an operations and maintenance agreement and telecommunications agreement with the Snohomish County Pud.,0,,
10,0.97,94.227,103.503,"Then, a briefing public hearing and discussion of resolution 32061, which would approve the 2022 integrated resource plan.",0,,
11,0.97,103.503,107.14,Okay.,0,,
12,0.97,107.14,132.165,"If there are no objections, the order of the agenda will be changed to move 120370 from item 4 to item 2. that is to constant accommodate the bills sponsor.",0,,
13,0.97,132.165,150.483,"The first will be the appointment, the next will be 120379, third will be 120378, and then the fourth will be the resolution.",0,,
14,0.97,150.483,155.188,"Hearing no objection, the agenda is approved.",0,,
15,0.97,155.188,159.325,We will now move into public comment.,0,,
16,0.97,159.325,171.104,And we will show the Video first.,0,,
17,0.97,183.95,196.229,"We are the city of flowers and goodwill, built on indigenous land, the traditional territory.",1,,
18,0.97,196.229,202.402,The Seattle city council WELCOMES remote public comment and is eager to hear from residents of our city.,1,,
19,0.97,202.402,212.078,"If you would like to be a Speaker and provided verbal public comment, you can register to irons you can register two hours prior.",1,,
20,0.97,212.078,215.582,Speakers are called upon in the order in which they registered on the Council's Website.,1,,
21,0.97,215.582,227.293,Each Speaker must call and provide a phone number and use the meeting Id and Passcode Email upon confirmation.,1,,
22,0.97,227.293,235.235,"If you did not receive an Email confirmation, please check your Spam or junk mail folder.",1,,
23,0.97,235.235,241.941,The Speaker meeting Id is different from the general listing line Id provided on the agenda.,1,,
24,0.97,241.941,253.72,"Once a Speaker's name is called, the microphone will be Unmuted and an automatic prompt will say, the host would like you to Unmute your microphone.",1,,
25,0.97,253.72,255.555,That is your Cue and your turn to speak.,1,,
26,0.97,255.555,258.224,At that time press Á6.,1,,
27,0.97,258.224,262.929,"You will hear a prompt of, you are Unmuted.",1,,
28,0.97,262.929,269.535,Be sure your phone is Unmuted so you can be heard.,1,,
29,0.97,269.535,272.505,As a Speaker begin by stating your name and the item you are addressing.,1,,
30,0.97,272.505,280.013,A Chime will sound when 10 seconds are left and you have used your time.,1,,
31,0.97,280.013,282.849,A gentle reminder that you have used up your time.,1,,
32,0.97,282.849,288.154,"At the end of the allotted time, the microphone will be muted, and the next Speaker registered will be cold.",1,,
33,0.97,288.154,303.603,"What speakers have finished providing public comment, please Disconnect and join us by following the meeting via the Seattle channel broadcast or through the listing line options listed on the agenda.",1,,
34,0.97,303.603,320.62,The Council reserves the right to eliminate public comment if the system is being abused or if the process Impedes the Council's ability to conduct business on behalf of residents of the city.,1,,
35,0.97,320.62,338.271,Any offensive language that is disruptive to these proceedings or not focused on an appropriate topic as specified in Council rules may lead to the Speaker being muted by the Presiding officer.,1,,
36,0.97,338.271,342.642,Our hope is to provide an opportunity for productive discussions that will assist our orderly consideration of issues before the Council.,1,,
37,0.97,342.642,344.043,The public comment period is now open.,1,,
38,0.97,344.043,346.112,We will begin with the first Speaker on the list.,1,,
39,0.97,346.112,350.616,"Please remember to press Á6 after you hear the prompt of, you have been Unmuted.",1,,
40,0.97,350.616,358.658,"Thank you, Seattle.",1,,
41,0.97,358.658,366.299,"We will start with in person commentaries, and everyone present an Online will have two minutes to speak.",2,,
42,0.97,366.299,379.612,"Clerk, could you please grab the list, and if you would like to speak, you are welcome to sign up on this list throughout the course of the public comment period.",2,,
43,0.97,379.612,382.482,We will get to at the end if you have not signed up yet.,2,,
44,0.97,382.482,395.128,The first Speaker is Alex Zimmerman.,2,,
45,0.97,406.139,412.211,The new manager and agenda.,3,,
